"","TP53","ACTN1","CYBA","INSRR","CHRNB1","COL6A3","CXCR3","KRT5","TLL2","MAP3K3","TRAPPC5","RNF41","KIF4B","CACNB3","LRPPRC","DOCK2","TREM2","SOX9","CRNKL1","JAG2","APBA2","BRCA2","ADAMTSL3","RABGGTB"
"Defective B3GALTL causes PpS",0.822214674047891,0.865575818032012,0.827530471879819,0.869251448495687,0.869162772292488,0.866692929092634,0.865434848511987,0,0.828816238882369,0,0.825917370498404,0,0,0,0,0,0,0,0,0,0.829129736696858,0,0.807214821811648,0
"Glucuronidation",0.890776948571409,0,0,0,0,0,0,0.85976082315889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collagen biosynthesis and modifying enzymes",0.925753371398732,0.926808730341388,0.906517824879187,0.92877732261481,0.926904477643019,0.945879979739401,0,0.929152530588061,0.947079273447108,0,0.946492289933035,0,0.927132994322206,0.925581483598095,0,0,0,0,0.905850090267276,0.928827391686665,0,0.906422276877801,0.92545141450661,0.907965762768819
"O-glycosylation of TSR domain-containing proteins",0.822189264930928,0.865575818032012,0.827505062762857,0.869251448495687,0.869162772292488,0.866692929092634,0.865434848511987,0,0.828816238882369,0,0.825891961381441,0,0,0,0,0,0,0,0,0,0.829104327579895,0,0.807169509482084,0
"Activation of Matrix Metalloproteinases",0.766360207507507,0.768268490297565,0.768371252299498,0.769142148360188,0.741795650919813,0.76788336575815,0.792812624071396,0.770421960184294,0.769320177766231,0,0.768339799476498,0.736062051027978,0.739181316196088,0,0.71375145523362,0.742565468178837,0.770250239876553,0.771542994985412,0,0.743315418883922,0.740056304273863,0.737598894284572,0.740751243815861,0.741757307344842
"Collagen formation",0.918581454227478,0.919462224469899,0.918908259511406,0.920080530958896,0.918336952788839,0.934353884651966,0.900169944720523,0.920199711376748,0.935217221107234,0.901052672961131,0.934864899981336,0.899999069630494,0.918708224940195,0.917413381620676,0.901341722573436,0.901803798035512,0.901199180378528,0.920872611858018,0.900946165221714,0.920122317072391,0,0.900924778046485,0.917304829941613,0.902694921379535
"Diseases associated with O-glycosylation of proteins",-0.0225385007157358,0.823585261017649,0.763398040982239,0.826985295172545,0.796151172155733,0.79440423211433,0.793532411999217,0.734497435105952,0.76442023903267,0.736097515072203,0.762115608718881,-0.0225385007157358,-0.0225385007157358,0,-0.0225385007157358,0.737433491082681,-0.0225385007157358,0.735349300493831,0.730268096763639,-0.0225385007157358,0.764669473033971,0.731873252228934,0.747246889294762,0
"Glucagon-type ligand receptors",0.877183841300148,0.879077966213875,0.882293604938791,0.882611133479863,0.847127994772691,0,0.91521326494669,0,0,0.881907766280354,0,0.880687529875289,0.840188052522781,0.916606823081286,0.843324135022372,0.84812518557272,0.882222835223389,0.884892318153255,0,0,0.883655782490574,0,0,0
"Aspirin ADME",0.824111699502707,0.795747516851234,0,0,0,0.795173872875263,0,0.795677044940009,0,0,0,0,0,0,0,0,0,0,-0.0237938568376864,0,0,0,0,0
"Collagen chain trimerization",0.882545940942441,0.884042940388075,0,0.885439558876051,0.884895458861903,0.924156551185052,0,0.890141038968786,0.927000557660756,0,0.882349080328418,0,0.840310236010431,0.88219510150452,0,0,0,0,0,0,0,0,0.885152487809931,0
"Phase II - Conjugation of compounds",0.810840830633259,0,0,0,0,0,0,0.790607618245312,0,0.788448707967314,0,0.743619728822978,0,0,0.814354016521542,0,0,0,-0.0170590038382235,0,0,0,0,0
"O-linked glycosylation",0.853648883557285,0.8789835567933,0.85433743254848,0.881363074731553,0.881024752464479,0.879706748592378,0.878892296394584,0,0.855186257567052,0.832044213018684,0.853293148115855,0.854251820824343,0.855415780040861,0,0.857428579410214,0.833132098117932,0.857042545823583,0,0.855232217952586,0.857633736612933,0.855372759510144,0,0.841172666858864,0
"Assembly of collagen fibrils and other multimeric structures",0.880246348306451,0.881752840965844,0.880805324685961,0.882810408696982,0.879884433303727,0.907594786936537,0.848754816707556,0.883346006619738,0.909169031149541,0.850264658378708,0.908097983518806,0.847007445200451,0.880463180277989,0.87824844610332,0.850759056461391,0.851549402522345,0.850515248530626,0.884165204763763,0,0.823110961153691,0,0.82101828939352,0.880316736573617,0.855490843308682
"Interaction between L1 and Ankyrins",0.863078779372835,0.865878561050839,0.818744869776541,0.870594485209741,0.870480711463136,0.86897480002943,0.819086306068524,0,0,0.818229868443806,0.867379634448126,0,0.91402065762624,0.867455374401348,0.870841273987985,0.820385928517647,0.870076200908233,0.873947126869437,0,0,0,0,0,0.82843660359309
"Transcriptional regulation of pluripotent stem cells",0.836368463535475,0.839627410019868,0.77900323654815,0.84570641935912,0.778408785175094,0.841474964782953,0.768972569519861,0.782450877464902,0.84570641935912,0.777345261853742,0,0.837908801273009,0.771201159125463,0.776058971571288,0.84602453967599,0.780124506999177,0.845038330771795,0.847355731003591,0.839045536960051,0.843120078184547,0,0.841334023927639,0,0
"Potassium Channels",0.835263998211035,0.83649365499276,0.838581232183161,0.838787370184457,0.812713056776316,0,0.859952517090199,0,0,0.8383307475823,0,0.837913673858513,0.814466361750169,0.860823837369752,0.813263523833857,0.813735526126465,0.838535288824382,0.86415686297145,0.816723481203282,0,0.839465551296608,0,0,0
"Metabolism of Angiotensinogen to Angiotensins",0.854081447090166,0.857260930571503,0.862658710904638,0.863191715219124,0.863048632428364,0.80163282236742,0.912569345693533,0.865291983926905,0.801396166678608,0,0.854766109059513,0.801982815841344,0.858237841771032,0.858402822600144,0.863502078797479,0.864722519748812,0.862539916658563,0.867020918316747,0.794158929431238,0,0.865239192081434,0,0,0.809590304340252
"Blood group systems biosynthesis",0,0,0,0,0,0.603338542414023,0,0,0,0,0,0,0,0,0,0,0,0,0,0.612669949444411,0,0,0,0
