"","TP53","PRKCB","MED12","MED13","APC","KRAS","SPRY1","RAB5A","HCK","TRIM9","TRIM50","DGKI","RYR2","ERBB4","NSMAF","PDS5A","VCAN","CSPG4","RGMB","MYO9B"
"Phase II - Conjugation of compounds",0.829736349982931,0.808771356579155,0.831478598746393,0.831557713408531,0.793160048765058,0,0.812976209819439,0,0,0.750884595775694,0.750884595775694,0.832303863891224,0.790864137086128,0,0.810238424886261,0.792204104106354,0,0,0.794205568655839,0.793538300241435
"Activation of Matrix Metalloproteinases",0.884780222682906,0.885328692864007,0.887132492459634,0.887239307876897,0.885799913269665,0.885991150284197,0.859869604449179,0.886337672388132,0.886773607213297,0.857154015411516,0.857154015411516,0.860956017076942,0,0.886819011367825,0.860590269078836,0.858164689719633,0.886843031556886,0.887081432122282,0.85989584531991,0
"Glucuronidation",0.874500227085032,0.833408960249634,0.877905721295469,0.87806036311788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Potassium Channels",0.863434915365394,0.866575537678216,0,0,0.864932355331772,0.864456472817747,0.843200704157261,0.843188726660766,0.865116565713651,0.844404731056059,0.844404731056059,0.865989236914159,0.864773160614795,0.865792082416814,0.843608581726903,0,0,0,0.840645266145354,0.865812346223763
"Interaction between L1 and Ankyrins",0.832456019525198,0.845819813077023,0,0,0.792328304504523,0.890279834845416,0.849263462608312,0.84714950179099,0.845296234661507,0,0,0,0.84680647282792,0.846931954231375,0,0.848124538591688,0.794459144965751,0.787715427112203,0,0.787228431939222
"Aspirin ADME",0.786215505294256,0.745933149178575,0.789844355996135,0.790009140327312,0,0.745789865610376,0,0,0,0,0,0,0,0,0,0,0.748269322130718,0.748637103100241,0,0
"Assembly of collagen fibrils and other multimeric structures",0.862899815803512,0.864404464960369,0.86510820265902,0.830774099974735,0.864948273948316,0.863791043796898,0.831971684641892,0.864697180980842,0.862674399354769,0.797957595041501,0.797957595041501,0,0.830213270073634,0.865618122292808,0.834263242509348,0.865200268863364,0.865645842643087,0.865920967337683,0.833461847075251,0.830915863340264
"Cytosolic sulfonation of small molecules",0.700115036277463,0,0.707935738383242,0.70829087263144,0,0,0.710763380108236,0,0,0,0,0.797522417089057,0,0,0,0,0,0,0,0
"Ethanol oxidation",0.786476205927521,0,0.790866713540492,0.791111786736683,0,0,0,0,0.787527459156154,0,0,0.852751214288818,0,0,0,0,0,0,0,0
"Voltage gated Potassium channels",0,0.826767500509507,0,0,0.788577174103423,0.7816994748245,0,0.827164479187263,0,0.78702177261268,0.78702177261268,0,0.783485793122472,0,0,0,0,0,0,0
"TNFs bind their physiological receptors",0.314628632016109,0.270793684859021,0.214587444447418,0.214791558647652,0.320666285117516,0.270616203112299,0.217612803241165,0.213670971929953,0.217902513805204,0.211585326085946,0.211585326085946,0,0,0.319967940608699,0.374388302870248,0.321083547048196,0.322659585901257,0.323115146924077,0.217209723824094,0
