"","ITGA8","FHOD1","NOTCH3","FAT1","SCN9A","OBSL1","GRIN3B","BCOR","TAT","CDH18","KRAS","ZFPM1","FLNA","APC","OR5T3","ATP6V0A4","KRT1","MCF2","CARD10","ITPKA","PTPN5","UBR4","COL12A1","SERPINC1","NEFH","PRDX2","RBP1","MYO9B","GAD2","PLXNA1","SMAD4","IL6ST","ITGB3BP","PCGF6","PDE4DIP","DBF4","RPS6KA3","GUCY2D","TNIP3","MYOM1","WASF3","ATP1B4","P2RY4","ATM","KDM6A","EP400","ATXN1","RBMX","CAPNS2","PPFIA4","SAMD8","COL4A1","PCLO","DGKB","PIK3CB","CLDN2","PRKCG","RPL14","NUP88","THBS3","TTN","TREML2","SNTG2","OTUD5","PIP5K1C"
"Extracellular matrix organization",0.813225016282844,0,0.829454508428149,0.821495215900449,0.821752602410995,0.812305292499798,0.821152747357852,0,0.821959768936343,0.821599647729743,0.828219829786107,0.821836684464865,0.828802845861363,0.828711607003453,0.812204064468829,0.81190439952567,0.829319522862721,0.821100968270275,0,0.811045584170529,0.811746788381627,0.820469043480319,0.828487069587602,0.821397967022637,0.80351054461907,0.821709145993055,0.828882826804316,0.821920623582845,0.821305849724987,0.82087481600061,0.819593369249902,0.820482741000583,0.821084565682842,0.821335449521173,0.812064542806896,0,0.821495032986562,0.802469990635367,0,0.811320348743995,0.821130875527525,0.812258691773582,0.820660568858304,0.820433526371101,0.821204548317407,0.820966706345734,0,0.810997773100553,0.839685151288613,0.820266991595767,0,0.828253311621668,0.813037808616572,0.812530403398975,0.821475367473649,0.821625123248332,0.828395020917398,0.820691249642216,0.820768852897817,0.828996907674473,0.819169471946859,0.814178625887143,0.828674273868437,0.821969955483173,0.819734709269524
"Neuronal System",0.922424145730559,0.913792354970235,0.922439480287644,0.92271880939159,0.922428083874922,0.922940301435022,0.93191029996279,0.922905096306748,0.92312853508019,0.913224091908923,0.930261460449404,0.923153785275474,0.93170806207777,0.92155975146335,0.93225235657318,0.92253679746691,0.922788010717325,0.922597453542744,0.924076946945318,0.922040179855781,0.922334520508357,0.921772899938089,0.922478703037345,0.922864187246538,0.922632026903636,0.923020873445039,0.922180248722457,0.922164330448886,0.931384391207154,0.921969321356005,0.922110578460595,0.922032403726474,0.922211044512156,0.922666170816933,0.922185991022282,0.912331449506318,0.922599586532677,0.921971345722101,0.90500303232497,0.912289981521687,0.922078118313424,0.920878137666435,0.930983144092405,0.921349731441564,0.921901597203158,0.92257818998473,0,0.92149075047701,0.912709364301018,0.932082009871119,0,0.922270625357895,0.923039923960847,0.922237713551908,0.930931173355205,0.922581893861837,0.931849807943286,0.92136836234766,0.920924169439876,0.922542819657881,0.921543110725893,0.913710110510295,0.922206592877747,0.922635343343252,0.922058534534769
"Activation of Matrix Metalloproteinases",0.867158627162581,0,0.866682650804155,0.869793820495982,0,0,0,0,0,0.870190443632653,0.866488954840492,0.870369026242286,0.836397002075996,0.866245663114099,0,0,0.903422232087948,0,0,0,0,0.829767462903697,0.867512144125519,0.837722628517356,0,0,0.868293664212317,0,0,0.868951612116628,0.866576836252946,0.829399783376245,0.86598110504738,0,0,0,0.869074754687796,0,0,0,0,0,0.86575837650883,0.82986056436641,0.868100594969692,0.832681659152995,0,0,0,0.833290508342055,0,0.866755755189249,0,0.834639258831968,0.866127522401606,0,0.866108431387543,0,0.830646895650051,0.868725834521926,0.832509772939178,0.840800087866198,0,0.8353139247028,0.86814907465458
"Transmission across Chemical Synapses",0.907076112083689,0,0.907097962202255,0.907495976569827,0.907081723522013,0.907811579256209,0.920592876445472,0.907761415679739,0.908079792250049,0.894014252442544,0.91824345489621,0.908115771102108,0.92030470889412,0.905844441868396,0.921080270861359,0.907236628868252,0.907645294743503,0.907323057347495,0.909431178637515,0.906529001407933,0.906948405641258,0.906148155853702,0.907153850463436,0.907703124604812,0.907372320722403,0.907926385830809,0.906844705633553,0.906705902844627,0.919843512208744,0.906428035555909,0.90662931195838,0.906517921247848,0.906772465433651,0.907420972180002,0.906736766865956,0.893726814462403,0.907326096632076,0.906430920063037,0,0.892636002186522,0.906454620452878,0.903841489657829,0.919271777597632,0.905545185596969,0.906331535816051,0.907295608819031,0,0.90574612277614,0.893233578197502,0.920859907870135,0,0.90685736182397,0.90801349898819,0.9068104659887,0.9191977248054,0.907198486104654,0.920506681729112,0.9055717326635,0.904938804849058,0.907245209852106,0.90582073058124,0.895246510911472,0.893144773593653,0.907377046297353,0.906555154880115
"Degradation of the extracellular matrix",0.8474352994553,0,0.826691506374819,0.828390879063303,0.808316504617847,0.787622670643597,0.787093256655288,0,0.788382400959789,0.828212788263234,0.827044012184169,0.828882383925382,0.826624827027238,0.826768230228251,0.787708155898851,0.807231344375149,0.848304832711515,0.808175466161231,0,0,0.808137197665575,0.805089438110902,0.825843244775061,0.809698980329829,0.788178306286762,0.808852651853014,0.827078305943681,0.807299429555337,0,0.828491098286706,0.826654048913064,0.806153937464289,0.825964499849549,0.827438689910472,0.788730695367452,0,0.828942133533965,0,0,0,0.828554220799093,0.808086956862462,0.825936380168805,0.825715367091831,0.827549427285032,0.826902245771316,0,0.784963989409522,0.869911715921201,0.806229430697326,0,0.825916798587325,0,0.80786243598389,0.82705679824571,0.828411440699352,0.82818646131598,0.804833719347651,0.804790208919467,0.827074440152328,0.806464402772788,0.811507331292014,0.806027672940674,0.8284489956712,0.828019517925383
"Interaction between L1 and Ankyrins",0.848356301978104,0,0.848501140621554,0,0.751857562656159,0,0.852126772600156,0,0,0,0.900495666465116,0,0.851068266725888,0.795944099844302,0.853777773844819,0.850194269273102,0,0.793417097577552,0,0.850363787436568,0,0,0,0,0,0,0,0.790933021736096,0,0.85030467558997,0.788081691808359,0.848125026539184,0.849913169970513,0,0.856523286956196,0,0.850498961835472,0,0,0,0.849457418176414,0.852126772600156,0.793811877265269,0.794445611185736,0,0.7976323742166,0,0,0.794146175616804,0.854243623520981,0,0.850254881926336,0,0,0.84774759262254,0.792564267543984,0.849233577028569,0,0,0.851464563509892,0.791352132284567,0,0,0.8017853895872,0.849038484792612
"Neurotransmitter receptors and postsynaptic signal transmission",0.865581653074127,0,0.865610209361834,0.866130381037638,0.865588986757315,0.865334098089164,0.885943696906742,0.866477287877884,0.866893379576094,0.847100769062606,0.880176441349027,0.866940400943396,0.881521950394676,0.863971962539995,0.883883923879233,0.865791435161468,0.86632552747193,0.867252768492026,0.868659529190536,0.864866624923774,0.865449768030392,0.864368891459088,0.865683250671004,0.866401106290986,0.865968773129434,0.866692890144864,0.864319210291904,0.866446198885139,0.866470357906101,0.864734670952444,0.864997722470441,0.864852144076073,0.865184812156633,0.866032356538205,0.865138157097681,0.845438474343234,0.864559983591418,0.86473844076336,0,0.844067425694118,0.864161071909007,0.865399406074262,0.880171995098429,0.863580859482201,0.864688044509713,0.86586851705181,0,0.863922958354994,0.844848407840438,0.885943696906742,0,0.865295764678002,0.869030047919455,0.865234475721599,0.880075214257907,0.865741585741755,0.883134290588439,0.864269453659393,0.84658357314087,0.865802649793689,0.862647147636619,0.849029414944682,0.845334392171878,0.866047218777386,0.864900805336747
"Phase 0 - rapid depolarisation",0.832302477392264,0,0.83121406257263,0.78065669602236,0.729993883161025,0,0.885727518577094,0.835963618097365,0,0,0.883613251125113,0.836652510956677,0.887652201788434,0.831465886468611,0.835477756905177,0.833493191350698,0,0.836224594572204,0,0.832721858833998,0,0,0,0,0,0,0.777677226056412,0.833642360633628,0.831778380570231,0.834327840862099,0.830433022592905,0.832062063119248,0.827541472481378,0.833745405282476,0.835689890646964,0,0.832434694317941,0.830998339831273,0,0.771514391636621,0.833447104126335,0.831119648308892,0.828429942993432,0.773952010093318,0.830836996141364,0.833220872894154,0,0,0,0.833957547937168,0,0.830726463650849,0,0.831556299988236,0.829696112712876,0,0.831240815697143,0.826706060727467,0.824855486782844,0,0.83222440356921,0,0,0.781581819366282,0.833011616616814
"Cardiac conduction",0.869827684843445,0,0.869009554898643,0.846419970943893,0.824634951917143,0.821678500029469,0.893050035700977,0.871232842579024,0.847130221693687,0,0.892131023576931,0.871320678247036,0.893886640930139,0.869464042485434,0.870601344508641,0.870313471013506,0.847874387228431,0.871532517993537,0,0.86958967008332,0.870490725102342,0.842251830128192,0,0,0.82171204089564,0.840775400612921,0.868755072009909,0.87041009410414,0.869029211507405,0.870708052926791,0.868617242971466,0.869325340706628,0.867547020891748,0.870057041823947,0.870220187306667,0.841010417823532,0.869698919453504,0.869073640272733,0,0.842518413193291,0.870325221635743,0.894551160685974,0.868144403922678,0.842935234902416,0.868845654810421,0.870226885332539,0,0.844595549246024,0,0.869976433784636,0,0.869142636348436,0.848131294303162,0.869083034695473,0.868694772005099,0.844217321672333,0.869366210601604,0.868424444796937,0.866117981608588,0.841318510103544,0.869496414454137,0,0.819289253429624,0.846251696696051,0.870135927560982
"GPCR ligand binding",0.91841613247999,0,0.918619472582719,0.919845756360776,0.918367619837785,0.918790252316007,0.918404121914571,0.906247946152465,0.90639733397493,0.906505490728615,0.918327747999173,0.906592964752583,0.91863383777271,0.918380613062281,0.930569890271227,0.918645416047049,0.906771649017916,0.919103501048823,0,0.918681009655799,0.918779534529285,0.917950218509884,0.918666705778488,0.919072985642357,0.919159527887901,0,0.918925604417272,0.918581921403324,0.918299045261037,0.918438524672851,0.918356860978408,0.918685907223034,0.918292971395087,0.905686934735925,0.919670453653544,0,0.918536463693301,0.91770002384957,0,0,0.918647333068468,0.918404121914571,0.929041467046578,0.917231362636724,0.91867677148726,0.905781792140646,0,0.917718994435298,0,0.918739210393153,0,0.91841613247999,0,0.918337032381904,0.928978882347057,0,0.92929089344059,0.918124228447385,0.918326468931236,0.918963920863504,0.918805240252199,0.907108562514211,0.90560380710293,0.906653797837331,0.918454518833102
