"","SPTB","TP53","FLNC","APC","LIPE","OR2M4","PDE4D","ATM","WWP1","KIF4A","TSHR","SEMA3A","GOLGB1","FBXL5","SYNE1","ARHGAP25","SMG1","NEFH","NUPL2","CD22","RPL14","SETD2","ZC3H13","NALCN","PPP4R1","KRT1","LAMB4"
"Phase 0 - rapid depolarisation",0.937494859185032,0.935633950314757,0.938523658356369,0.913578874634781,0.912899016383178,0.915362041898766,0.937694467889205,0.912886518766561,0.91097853728941,0.911499648632389,0.912679254121738,0.915299952653842,0.913620380232671,0,0.91187013185256,0.915693990923641,0.911976441395961,0,0.910640731813902,0,0.911463261586436,0.915532677408932,0,0.91591006773802,0.913056633475477,0,0
"Potassium Channels",0.947160092019891,0.945313462426199,0.94762793172477,0.947256010997177,0.947407810168799,0.960448771850045,0.946342547542609,0.945789817226873,0.946732159932863,0.947304575395606,0.959108906077453,0.947912394610817,0.935165787217621,0.946763178244474,0.946628523372604,0.948312364371366,0,0.947908858225811,0,0,0,0,0,0.948941324019493,0,0,0
"Interaction between L1 and Ankyrins",0.94102195124759,0.930740725760387,0.915138285784967,0.914791878567331,0.91512897834412,0.916558350059034,0.914218644757555,0.914023998463544,0.911907888696951,0.941186353386704,0.886584371755143,0.915276605439098,0.941901447118171,0,0,0.885627343613451,0,0,0,0,0,0,0,0.916897472476315,0,0,0.916396845808301
"Phase 4 - resting membrane potential",0.85552685512105,0,0,0,0,0.861869284695899,0.79909789944251,0,0,0,0.855637348243991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nitric oxide stimulates guanylate cyclase",0.743338780984401,0.740060680490471,0.698043569736743,0.696731336368597,0.787222859372807,0.747742026027637,0.785035076763413,0.692071112516255,0.741112780326437,0,0.743016137469921,0.699549938241915,0.744267552308598,0.74122218612433,0,0,0.692322128911812,0.748498367910799,0,0.749214993976965,0,0.69771265681432,0.695301083836195,0.702675664294019,0.742948306083091,0,0
"GABA receptor activation",0.89209583703121,0.890457018787572,0.891993832939679,0.912934383251054,0.891963971320596,0.915528009099176,0.913502484565834,0.890288962942765,0.890982994244548,0.891733712752721,0.913165399288974,0.892792857392884,0.892560156960718,0.889420311924246,0.890641523122792,0.893924471600881,0.890414453375184,0.89330757714477,0.867726540574079,0.870866470083292,0,0.89310933581879,0.89190372000569,0,0,0.870647581512289,0
"Metabolism of Angiotensinogen to Angiotensins",0.902880716414947,0.900020237464796,0,0.86299838871944,0.904741952322921,0.906722999402263,0.903187543098227,0.86445792805511,0.900938302496606,0.902700075833814,0.90259917685163,0.905196144163623,0.863848441653495,0.86647422323419,0.904257225051943,0,0,0,0.862524741076981,0,0,0,0.904304837775373,0,0,0,0
"Post-translational modification: synthesis of GPI-anchored proteins",0.820975217690341,0.819411520683288,0.767167623054892,0,0.822714804153794,0,0,0.793995873749357,0.764702377492903,0.821286319576062,0,0,0.821542202441054,0,0.79593435683692,0,0.819465750493156,0,0.794612291373907,0.771042013968946,0.818913890007427,0,0,0,0,0,0.767823998900938
"Glucagon-type ligand receptors",0.889588786098314,0.884875389247945,0.853184856724322,0.889833612785252,0.888791142313886,0.923507240492741,0.887502059243389,0.886091252583409,0.887977927864682,0.889957570119943,0.920087323940972,0.891508987461223,0,0.885715919508804,0.888389154401759,0.892529883160095,0,0.891499961078238,0,0,0.88859583609456,0,0,0,0,0,0
"TNFs bind their physiological receptors",0,0.401702156550422,0.338123122741577,0.403755955175248,0,0,0,0.335079465322203,0.332845626848633,0.337113614362188,0,0,0,0.3329304107222,0,0,0.334207883332922,0,0.405124500942849,0.375661215630493,0.333507332529951,0.37157346133243,0,0,0,0,0
"DNA strand elongation",0.75181397331482,0.87525588527932,0.811111940058045,0.81021639182096,0,0,0.811758120016412,0.877507011305597,0.809531887193552,0.753345074477828,0,0,0.753058361495906,0.809678471480011,0.814627867079298,0,0.808056577812431,0,0.812686418950045,0,0.806964529826241,0.81527892526969,0.812047846926057,0,0.815645390690078,0,0
"CD22 mediated BCR regulation",0.759839790963385,0.753571381681731,0.654699083164751,0.646617851199665,0,0.657474532548234,0,0.643848648435371,0.754785578316865,0.650114182845399,0,0.764941772406173,0,0.755033988022108,0,0.655077642100225,0.646413895752825,0.660818957991585,0,0.589196288244432,0.644361340105725,0,0,0,0.760127836971362,0,0.657140366757727
"Blood group systems biosynthesis",0,0,0,0.808543485261311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Presynaptic depolarization and calcium channel opening",0.794908190032768,0.786103189332413,0.795109976138554,0.796422163801125,0.795677378916949,0.801386469439962,0.866802572583232,0,0,0,0.796520652781453,0.801786506001512,0.794732752367595,0,0.790262778580961,0.803014664223186,0.79107506116375,0,0.786430922944268,0,0.78947555662175,0,0,0.806939881718637,0.794441857957675,0,0
"Recycling of bile acids and salts",0,0.731320021088727,0,0.735369394828506,0.738876231201132,0,0,0.733666266798306,0.730146091472781,0,0,0,0,0,0.738100517034399,0,0.734016794908142,0,0,0,0,0.74229949416588,0.738176712178127,0,0,0.677839157515118,0
"O-linked glycosylation",0.860020772352557,0.858313224926939,0.860701749790499,-0.0142551213650562,0,0,0,0,-0.0142551213650562,-0.0142551213650562,0,-0.0142551213650562,-0.0142551213650562,0,0,-0.0142551213650562,0,0,0,0,0,0,0,0,0,0,-0.0142551213650562
"GABA B receptor activation",0.894698183193216,0.892384489107632,0.89455417316392,0.894066034495835,0.894512014338969,0.927779873695806,0.924920225195314,0.892147226790299,0.893127064624284,0.894186933819079,0.924444326043938,0.895919012336582,0.895353713041564,0.890920859722575,0.892644973509011,0.896695788228555,0.892324394985986,0.896408925641254,0.860293454479965,0.864726427058114,0,0.896129047268397,0.894426951146949,0,0,0.864417398772579,0
"Activation of GABAB receptors",0.894698183193216,0.892384489107632,0.89455417316392,0.894066034495835,0.894512014338969,0.927779873695806,0.924920225195314,0.892147226790299,0.893127064624284,0.894186933819079,0.924444326043938,0.895919012336582,0.895353713041564,0.890920859722575,0.892644973509011,0.896695788228555,0.892324394985986,0.896408925641254,0.860293454479965,0.864726427058114,0,0.896129047268397,0.894426951146949,0,0,0.864417398772579,0
