"","KRAS","TP53","APC","ELMO1","PSMD3","IRF5"
"Initial triggering of complement",0.915672724407818,0.914448426206981,0,0,0,0.91628917520763
"Potassium Channels",0.953378818702942,0.951951643273116,0.953600604541594,0.954060698340312,0.953367161992788,0.953618540801328
"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)",0.889926937905339,0.888152820887864,0,0.852985433736884,0.850401064116856,0.890820229959217
"Classical antibody-mediated complement activation",0,0,0,0,0,0
"Creation of C4 and C2 activators",0,0,0,0,0,0
"TNFs bind their physiological receptors",0.51268821146525,0.47254752273195,0.47437172656757,0.475159719419526,0.497289531307869,0.474250622144593
"Nicotinate metabolism",0.807579724737092,0.805265561451453,0.760604144381808,0.807502122125842,-0.0395386114540012,0.808516024205007
"Trafficking and processing of endosomal TLR",0.825274072667368,0.822204300669828,0.826704095826917,0.761275908612352,0.825198912929557,0.826819744630155
"Defective B3GALTL causes PpS",0.882649667893296,0.881197993124342,0,0.884202917219275,0,0
"Synaptic adhesion-like molecules",0.92495389172142,0.882667540385036,0.885471645239252,0.887320305661966,0.841729005113225,0
"Voltage gated Potassium channels",0.842373349698972,0,0.842873400087944,0,0.842347067847607,0
"Arachidonic acid metabolism",0.896929934014945,0.895861727742757,0.873601333998514,0.874687237468959,0.873131173347725,0.897467790405164
"O-glycosylation of TSR domain-containing proteins",0.882649667893296,0.881197993124342,0,0.884202917219275,0,0
"CD22 mediated BCR regulation",0.826934326554241,0.824572996020866,0.748435177509759,0.830856961187371,0.746867354054701,0.750767730656048
"Scavenging of heme from plasma",0.866738023651244,0.806359931028082,0.811869386542484,0,0.810656288448561,0.81196259338334
"Norepinephrine Neurotransmitter Release Cycle",0.744672715675528,0.741869986577587,0.744963042184368,0.747671553414793,0.743588796830793,0.679224004507349
"The canonical retinoid cycle in rods (twilight vision)",0,0.810299961331538,0,0,0,0
"Acetylcholine Neurotransmitter Release Cycle",0.688704055457837,0.686345643122132,0.688331600710222,0.690610731540927,0.687175214530574,0.633630931234562
"TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway",0.862294307234916,0.860713987782727,0.862800624135428,0.807774594142372,0.915429167591316,0.864439653620586
"Lewis blood group biosynthesis",0,0,0.706792730018271,0,0,0
"FGFR2 ligand binding and activation",0.926804725487384,0.883683245075402,0.885676162871809,0.8884278995658,0.885586230894454,0.886616220580526
"Glucagon-type ligand receptors",0.912715858303204,0.909260049525507,0.91325289771123,0.914366983726831,0.881897867923666,0.913296329151075
"Presynaptic depolarization and calcium channel opening",0.855957204161441,0.849997454194797,0.857075672215109,0.859395929534899,0.852339638741436,0.800002708080932
"Diseases associated with O-glycosylation of proteins",0.87257786021404,0.86930952179258,-0.015832896867526,-0.015832896867526,-0.015832896867526,-0.015832896867526
"Inwardly rectifying K+ channels",0.890857361856524,0.886107356628025,0.891595521911125,0.893126831870535,0.848479368320797,0.891655218375719
"Serotonin Neurotransmitter Release Cycle",0.839002546801595,0.836334168053908,0.83927895635065,0.841857633615766,0.837970586198757,0.776403095759956
"Blood group systems biosynthesis",0,0,0.75698731874246,0,0,0
"Presynaptic function of Kainate receptors",0.857681461800122,0.854056625451534,0.858721386390901,0.860878705623999,0.797989582290411,0.858805487150794
"Dectin-2 family",0.796701327943039,0.797980143046605,-0.0308365185697954,-0.0308365185697954,-0.0308365185697954,-0.0308365185697954
"Specification of primordial germ cells",0.631808118022435,0.389594993184515,0.404422284661066,0.409287979512744,0.401953526744644,0.397165112294191
