"","TP53","KRAS","APC","CHEK2","NTSR2","MTNR1B","SPTBN5","CACNA1B","GRIN2C","NINL","AXIN2","TRIM29","ANK2","KIF4A","F11","CX3CL1","HIPK2","GZMH","MAP3K10","CABP2"
"Glucagon-type ligand receptors",0.925006604058377,0.927161173401552,0.92749599766963,0.926665073763543,0.942470585427719,0.942242013984815,0.927633447324986,0.943049696883349,0.928148045808956,0.927349774415556,0.927818558196741,0.928222922579125,0.92766559413804,0.927558233386662,0.927335001739611,0.927413908263716,0.929371486512596,0.928217183805643,0.930104075763793,0.930104075763793
"Presynaptic function of Kainate receptors",0.889088833652847,0.891228471983901,0.891842310044949,0.890318965508667,0.919295433342087,0.918876390086564,0.892094298439994,0.920357126555351,0.893515060383911,0.892051578160452,0.89243366481642,0.893174991751484,0.892153233646535,0.891956407664246,0.891480170162496,0.891691814377332,0.895280670237572,0.893164470776983,0.896623736461776,0.896623736461776
"G beta:gamma signalling through PLC beta",0.880299617720033,0.882706527305362,0.883397042469319,0.881683410537735,0.914279451263398,0.913808063546257,0.883680507798306,0.915473765056807,0.884741775126897,0.883632451148345,0.884062265861107,0.8848961950724,0.883746804850232,0.883525392503791,0.882989666165738,0.883227747752693,0.8872649027452,0.884884359878571,0.88877573703988,0.88877573703988
"G-protein activation",0.906415742108091,0.91051358473596,0.911150397453509,0.909570037362679,0.939631032919829,0.939196305764161,0.911411817239642,0.940732463057914,0.911752198008188,0.911367498030659,0.910398514050306,0.912532958609325,0.911472958265946,0.911268765504663,0.910708438197396,0.910774703443458,0.914717448174409,0.912273591711915,0.915615575374055,0.916110782518362
"Inwardly rectifying K+ channels",0.911377386281484,0.914253162923213,0.91470006420874,0.913591001941727,0.934687153429453,0.934382071386699,0.914883522916875,0.935460113094146,0.915570374934315,0.914852420661969,0.91513059666403,0.915670315494287,0.914926430356536,0.91478313232715,0.914590496699666,0.914590496699666,0.917203342659031,0.915711422908813,0.918181154333205,0.918181154333205
"Activation of G protein gated Potassium channels",0.903285319272894,0.906544228959049,0.907050669865143,0.905793849807537,0.929700592572722,0.929354865157812,0.907258570350971,0.93057653185873,0.908036930067825,0.907223324414864,0.907538561159755,0.90815018547654,0.907307194249187,0.907144804956084,0.90692650493125,0.90692650493125,0.909887454290754,0.908196769536452,0.910995537543801,0.910995537543801
"G protein gated Potassium channels",0.903285319272894,0.906544228959049,0.907050669865143,0.905793849807537,0.929700592572722,0.929354865157812,0.907258570350971,0.93057653185873,0.908036930067825,0.907223324414864,0.907538561159755,0.90815018547654,0.907307194249187,0.907144804956084,0.90692650493125,0.90692650493125,0.909887454290754,0.908196769536452,0.910995537543801,0.910995537543801
"Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits",0.903285319272894,0.906544228959049,0.907050669865143,0.905793849807537,0.929700592572722,0.929354865157812,0.907258570350971,0.93057653185873,0.908036930067825,0.907223324414864,0.907538561159755,0.90815018547654,0.907307194249187,0.907144804956084,0.90692650493125,0.90692650493125,0.909887454290754,0.908196769536452,0.910995537543801,0.910995537543801
"GABA receptor activation",0.895208275375606,0.89682832962566,0.896581136256587,0.896358795238778,0.911317949932685,0.91226388502407,0.913818629868927,0.911866051002352,0.897230983193467,0.896182657494367,0.896886424242558,0.897408897351838,0.913849055277455,0.897204127756477,0.897029204479456,0.896992849766129,0.898673856102157,0.897506765530698,0.899613644813247,0.899049556418701
"ADP signalling through P2Y purinoceptor 12",0.886516519270906,0.890574266328626,0.890360490671815,0.889639951147338,0.919406813213882,0.918976339670358,0.89146371002619,0.920497466347242,0.891571214469349,0.891419824460982,0.890967975891062,0.891729524080756,0.891524252814705,0.891322057988904,0.890973982367931,0.890901640998436,0.894246635068048,0.892434743653857,0.896116698016598,0.894994232090055
"Prostacyclin signalling through prostacyclin receptor",0.870878935618552,0.875692002878043,0.87643996289496,0.874583771698244,0.909891519370124,0.909380916296808,0.876747010072679,0.91118518967854,0.877896565608142,0.876113316477667,0.876578888034396,0.878063831949387,0.876818822462425,0.876578990535433,0.876256584331071,0.876256584331071,0.880629595488694,0.878218438903294,0.882266118049809,0.882266118049809
"Initial triggering of complement",0.867879781354213,0.86904428028593,0,0,0.86927117386896,0.893477723123613,0.868646346987246,0.870209429702224,0.871065019307129,0,0.870109351806773,0,0.868698430113172,0,0.873258376013607,0.871780010215417,0,0.873268486224089,0,0
"GABA B receptor activation",0.914131683357514,0.916205752608191,0.91606821358275,0.91560463271734,0.934756042471508,0.93447908431576,0.916778003074741,0.935457747105672,0.916721248545218,0.915379132935739,0.9162801280549,0.916949022575084,0.916816955106296,0.91668686695826,0.916462921994635,0.916416378989656,0.918568481952649,0.917074317996757,0.919771643431804,0.919049471076308
"Activation of GABAB receptors",0.914131683357514,0.916205752608191,0.91606821358275,0.91560463271734,0.934756042471508,0.93447908431576,0.916778003074741,0.935457747105672,0.916721248545218,0.915379132935739,0.9162801280549,0.916949022575084,0.916816955106296,0.91668686695826,0.916462921994635,0.916416378989656,0.918568481952649,0.917074317996757,0.919771643431804,0.919049471076308
"Interaction between L1 and Ankyrins",0.934489670720317,0.944783094456284,0.924363194987563,0.925270982839941,0.899611628573499,0.89926860138262,0.947079552319807,0.923341151257575,0.924838053645574,0.924534501058846,0,0.92545412308652,0.895902992503445,0.947221931556945,0,0.926394791622716,0.927177823364372,0,0,0
"Creation of C4 and C2 activators",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.861669786461015,0,0,0,0,0
"Erythrocytes take up carbon dioxide and release oxygen",0,0.821820578523321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O2/CO2 exchange in erythrocytes",0,0.821820578523321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TNFs bind their physiological receptors",0.429524669263049,0.478651766147721,0.429900254815887,0.406717356713065,0,0,0,0,0,0,0.430394699660588,0,0,0.431096084849877,0,0,0.408665022471541,0,0.434599426381553,0
"Binding and entry of HIV virion",0.73924728697129,0.744351676592316,0.746729506404849,0.751025282427717,0.745346227311728,0.851451656360137,0.747705636032796,0.747609836482723,0.642701142703965,0.637032038942117,0.749020242503856,0.751891927071636,0,0.747171487340733,0.75449421795545,0.864071979514245,0.642825354427787,0.761018707830769,0,0
"Molecules associated with elastic fibres",0.777913666315057,0.779783823182256,0.82065296675777,-0.0279162549861216,-0.0279162549861216,0.781214521800456,-0.0279162549861216,-0.0279162549861216,-0.0279162549861216,-0.0279162549861216,-0.0279162549861216,-0.0279162549861216,-0.0279162549861216,0,-0.0279162549861216,0,-0.0279162549861216,-0.0279162549861216,0,0
"Activation of the phototransduction cascade",0.862347011308823,0.864655588718155,0.865731016848845,0.867673880191622,0.913828166475919,0.913094013718765,0.866172493886251,0.915688225048624,0.868661631426683,0.866097649080616,0,0.868065840131089,0.866275746817315,0.865930912875538,0.870079075284976,0.870079075284976,0.871754933430809,0.873029925641605,0.874107950114756,0
"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)",0.870956316009728,0.824957096046394,0,0.82255808242102,0,0,0,0,0,0.826308964854166,0,0.829894398793748,0,0,0,0,0,0,0,0
"Scavenging by Class A Receptors",0.437178319489594,0.438231583555441,0.407068810877802,0.441951685689535,0.40757194530098,0.407118383490843,0.405169072708664,0,0.407105627963045,0.406837469964509,0.408598522509612,0.408341483656298,0.404566855880093,0.440874875171301,-0.0243681130858372,0,0,0,0,0
"Blood group systems biosynthesis",0,0,0.729473288996351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGI-ADAM interactions",0.875342458240432,0.87734774244652,0.878281884414875,0.879969500849182,0.877738456517713,0.878763571957342,0.880328179326203,0.881016964451781,0.880827484620142,0.878600349726387,0,0,0.880417867231428,0,0,0,0,0,0,0
"Cytosolic sulfonation of small molecules",0.777200183058505,0,0,0,0,0,0,0,0,0,0.844934474424218,0,0,0,0,0,0,0,0,0
"Transcriptional regulation of testis differentiation",0.724111219035687,0.831072436599855,0.784168396469236,0.785265566012921,0.731707059076811,0,0.732757509078663,0.730431871964909,0.735207815938981,0.732683831856039,0.785188272219442,0,0,0,0,0,0.735821998629125,0,0,0
"Sensory perception of taste",0.905456383383752,0.906436403910697,0.906892936855648,0.907362691616011,0.927310789742688,0.92699913254245,0.927763785918484,0.928100408308304,0.907880731855105,0.906235926299102,0.906520097577074,0.907272795373073,0.927807618103405,0.905857259571942,0.90812743934923,0.90812743934923,0,0.907658054832944,0,0
"CD22 mediated BCR regulation",0.822024544214117,0.824420178115432,0.744780661318706,0.747415904946754,0.825052241727734,0.742869930631738,0.826551709145562,0.746515275155977,0.748898714339682,0.74529584710296,0,0.750305744668849,0.827545140901142,0.747305778825245,0.75089048391827,0.75089048391827,0,0,0.750676753143901,0
"Sensory perception of sweet, bitter, and umami (glutamate) taste",0.890810615210684,0.891984013797253,0.892530630013545,0.89309307697939,0.916977342158547,0.916604188629413,0.917519723728918,0.917922768589267,0.89371333713479,0.891743977859623,0,0.892985442372254,0.917572204898871,0.89129059245573,0.894008725054676,0.894008725054676,0,0.893446721389626,0,0
"Biosynthesis of specialized proresolving mediators (SPMs)",0.873879026048289,0.828342743606681,0,0.830267347471254,0,0,0,0,0,0,0.832297482832908,0,0,0,0,0,0,0,0,0
"Heme degradation",0.799037436589138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scavenging of heme from plasma",0.8602224140459,0.862709132220815,0.806659268416756,0,0.805985372903828,0.805194569443221,0,0,0,0,0.807775252014064,0,0,0,0.811342843632823,0,0,0,0,0
"Phase II - Conjugation of compounds",0.857612525196457,0,0.834578909028099,0,0,0,0,0,0,0,0.859874379363912,0,0,0,0,0,0,0,0,0
