"","OBSCN","ZW10","ABLIM3","BCL2L11","FBN1","EPHA3","USP34","RELT","ZNF334","DENND1B","HECW1","PCDH15","HPSE2","KIF3C","ALDH3B2","SHOC2","KRAS","CAMK2D","TLL2","PRKD3","PTGES3","DCLK1","NOX3","OR2M3","SRCAP","CTNNA2","APC","ARHGAP29","ABCG5","UBFD1","UNC79","PTPRZ1","KIF4B","DMBT1","CTNND1","BRAF","ADAMTS17","DSPP","TP53","KCNU1","NRXN3","PWP1","MUC20","WNT3A","NEB","HEXDC","FGFR3","MYOM1","GRIA1","TRPC1","ENPEP","ST14","SOX7","RYR2","TUBA3C","KCNG4","CATSPER3","SOAT2","TTN","SF3B1"
"Neuronal System",0.914540312496663,0.914340305449615,0.914771152319671,0.91477004209337,0.914859547187467,0.914861283305582,0.919679213692336,0.914917325864445,0,0.909895206013478,0.914321894423856,0,0.909401002313503,0.914437402208599,0.919644215928335,0.914627725444196,0.919356420276192,0.919300490044271,0.914915058084875,0.919491797949215,0.914594453685578,0.914866055819102,0.913363326659879,0.919984321074209,0,0.914802197514966,0.914551364169328,0.914603483743432,0.914538954717511,0.908690518310761,0.910115477111788,0.909495698151843,0.914473931784153,0,0.914610944768944,0.91950540745344,0.909259513198329,0.915025503010555,0.914477954947872,0.919900186102983,0.920283586870279,0,0.914341102414542,0.914598170991682,0.914681562582974,0,0.914416951103236,0.909104614496128,0.905933400865894,0.915090240425783,0.914908697580802,0,0.91522940517068,0.919536150397544,0.909620830143372,0.920157996168454,0.913992929958985,0,0.914659871849561,0.914086026892201
"Signaling by GPCR",0.924938217455462,0.924507422040556,0.924969277570464,0.924857669739481,0.925026419949598,0.928563379464998,0.925035016283087,0.924660290746727,0,0,0.92475210731292,0,0.925088804009208,0.924742584663853,0.924985080985,0.924757330803307,0.928302223632826,0.928384910825408,0.920724406486446,0.928721042973853,0.925025686128375,0.925055554667361,0.925066780176678,0.928792519562999,0,0.924900030084894,0.924833965543472,0.924656801503035,0.924782083582726,0.924839104217846,0.92159458876051,0.920870197988973,0.924779303442764,0.921345299887389,0.928424702472777,0.928442853553198,0.924842199152719,0.924696866660289,0.92457859479303,0.928731090657248,0.924827911516711,0.925090071477793,0.924647031472139,0.928767048461111,0.924846598643649,0.92090421061084,0.928420893920341,0.92057141937911,0.928408132922796,0.925219237079966,0.924695642059978,0.925437712441738,0.925198894246789,0.928465299694064,0.921225893006049,0,0.924445151087668,0,0.92483076173304,0.924564125735893
"GPCR downstream signalling",0.936914594717618,0.931437779326851,0.935696151750093,0.936827080053395,0.937010426257523,0.939601124307801,0.937019766128054,0.932856059978543,0,0,0.936536765255017,0,0.936939370585252,0.936702040731941,0.936965511692756,0.935465872716907,0.93556081103675,0.939407219081834,0.932336311552525,0.936015856019151,0.932000870496764,0.937042080973131,0.937054277429192,0.939850083803337,0,0.936873104342973,0.931783685451274,0.931600079316885,0.93674495609683,0.932302819821525,0.933281759956644,0.932494713243189,0.936741935489577,0.933010908924301,0.939450452494676,0.936965794312882,0.936810271343311,0.932895799513739,0.931515108143179,0.941035531241532,0.936794747902918,0.937079583303748,0.936598222698285,0.93689594812143,0.936815051366763,0.932531667775617,0.939446314522748,0.932170091875578,0.936928070532954,0.932211162574356,0.931642807989919,0.937457293358715,0.937221246605544,0.939494561159287,0.932881173983968,0,0.932622311885319,0,0.935545655030794,0.936508146057607
"GPCR ligand binding",0.923006791771983,0.922558848711555,0.923229109856978,0.92289809770362,0.915547251921945,0.922980760327924,0.923148198181514,0.922881038627725,0,0,0.922912360180433,0,0.923246254423381,0.922726456428814,0,0.922868414917561,0.922623562118542,0.922775426053351,0.915400068220544,0.922731663769517,0.922939424243627,0,0.922802048568265,0.929998211688451,0,0.922902115287634,0.92270236799145,0.923090874682535,0.914979859991851,0.923023997474722,0,0,0.922793395593669,0,0.922727949033017,0.922872406569891,0.922893271175579,0,0.922316131476884,0.922766410615067,0.922687409158389,0.923248565047292,0.922741636905284,0.929467324235102,0.92294007383765,0,0.922721005955743,0,0.922809110074982,0.922869898943961,0.923076664009786,0.92399369009778,0.916294560308759,0.922493118163922,0.91583440245916,0,0.922686998501293,0,0.922911202791239,0.922147397156732
"Chemokine receptors bind chemokines",0.900733650951715,0.873799968572155,0.901209952258604,0.900693004909521,0,0.900164486918803,0.8737627630315,0.903083725744419,0,0,0.873457246292314,0,0.874735432534476,0.87398871585083,0,0.900444207439613,0.89859193135983,0.899101602393898,0,0.8767427137282,0,0,0.874390725698751,0.901566423789918,0,0.900382345870044,0.877259187260373,0.874215981311454,0,0,0,0,0.899161910025245,0,0.899316026128815,0.899427079013554,0.900352664117479,0,0.897560162406687,0.901190586262238,0.899634269961265,0,0.89984376386122,0.873065520982463,0.900509738680344,0,0.899292724445118,0,0.899214649445905,0,0.901184924921675,0,0.877221980988545,0.899564410160603,0.876180572572268,0,0,0,0.900412844469764,0.871713832701771
"Class A/1 (Rhodopsin-like receptors)",0.933348090794903,0.922661063907024,0.932518669757061,0.933200709806563,0.923233515342895,0.93331279411302,0.933123477063321,0.933275707279068,0,0,0.932939771977786,0,0.922886415305676,0.922737321135134,0,0.933160462179328,0.932677453943787,0.933034376267575,0.923033945304655,0.923849984829268,0.922720669333799,0,0.923829999557169,0.933613857368993,0,0.933206157348566,0.932606296796141,0.922817012256361,0.922464174525206,0,0,0,0.932642391417629,0,0.932775345374398,0.932820212697642,0.933194165397254,0,0.932065945475614,0.933878362578179,0.933027888780769,0.93367591718695,0.932988560722055,0.932841778983464,0.933257626289802,0,0.932960586704893,0,0.933080049269552,0,0.933442832298461,0.934686250759241,0.92389102471779,0.932651587984957,0.923622869891989,0,0.932914475152319,0,0.933218479320528,0.932295673088441
"G alpha (i) signalling events",0.915244679657079,0.913830156608352,0.915209047930131,0.915231363905868,0.915209047930131,0.914871542090186,0.915400151521872,0.915360942676548,0,0,0.906971028078241,0,0.907288572386305,0.914656175671673,0.915300063427923,0.914963179274587,0.9213795655902,0.922114531379751,0.906623230145615,0.91469053678078,0.915381450574102,0.915441317747238,0.915552211775509,0.922931524232212,0,0.915023401249275,0.914403282522906,0.915006467862009,0.914893184449551,0.906358602759882,0.908540692598316,0,0.914729773161507,0,0.914780262005733,0.921653162176267,0.915119867359854,0.915769395506224,0.913907813522119,0.92280839886147,0.915042358428154,0.899349956110856,0.914846960354932,0.915049287914559,0.914984647482831,0,0.914772628312361,0.906830011374991,0.921583569686568,0.914911604310271,0.914148304068765,0,0.915946830218757,0.922275659258159,0.90777189830774,0,0.913681856340083,0,0.914952904682493,0.914261954429969
"Peptide ligand-binding receptors",0.932725923718511,0.92158189726324,0.931879353410812,0.932572240411612,0.922178827916887,0.93268911767687,0.932565416149706,0.932668763436761,0,0,0.932362992584647,0,0.921816885157879,0.921661415409529,0,0.932530271711864,0.932026609036411,0.932398794103454,0.921970723847422,0.922821658924712,0.921644051542426,0,0.92280081904068,0.933003055025814,0,0.932577920901876,0.932026120175245,0.921744514289371,0.921376588480663,0,0,0,0.932063758278056,0,0.932128686508836,0.932175472452435,0.932565416149706,0,0.931388951190272,0.933278871029613,0.932465740312754,0.933067768651067,0.932351019389617,0.932271672072213,0.932631590762425,0,0.932321849145117,0,0.932446420178288,0,0.932824716566435,0,0.922864453764495,0.931999636995212,0.922584832078857,0,0.932273765766345,0,0.932590769787068,0.93170221354971
"Transmission across Chemical Synapses",0.893201058230063,0.893480991464419,0.89359399100814,0.893694916999645,0.893744455691914,0.893493524306631,0.901948434210415,0.893870226353821,0,0.885294213686838,0.892880615319723,0,0.88506485552492,0.893025885572005,0.901888861436289,0.893349851500941,0.901292537532028,0.902647232448069,0.893838945675694,0.902301145924828,0.893293216712476,0.89375553460662,0.8932127926888,0.902467784336444,0,0.893392949182509,0.893219870254722,0.893308587568649,0.893198747034674,0.883243608728049,0.885669156508492,0.884637161720518,0.893085004201724,0,0.893067401052074,0.901652583315163,0.884212145001259,0.894026943703533,0.893070054693239,0.902324570797521,0.901915124437263,0,0.883922143252174,0.893299544266341,0.893441492432857,0,0.892827745562228,0.883948478288197,0.879225146870139,0.894137138955289,0.893845447425119,0,0.894407041802106,0.901704913585891,0.884880196061114,0,0.892269310239622,0,0.893404570726597,0.892427778722756
"Phase 0 - rapid depolarisation",0.90308642031421,0.898632657252998,0.904060769769896,0.903033341292022,0,0.902343158025908,0,0,0,0,0,0,0,0.898129242780254,0,0.901591176635444,0.928725983608035,0.931630926922597,0,0.902485582647607,0.901397086260598,0,0.903683124892973,0.903056661178153,0,0.902627656576875,0.900917242076884,0.903454928967615,0,0,0.875765863179462,0.901630676687318,0.898422615849037,0,0.901235166529897,0.932118638458267,0,0,0.927378612887527,0.901247796427853,0.901439486489365,0,0,0.901678378307419,0.901448270797604,0,0.901204737230531,0.868946774630051,0.929539181285435,0.872734780108469,0,0,0,0.929995928258421,0,0,0.898706207785971,0,0.901321738183955,0.898795966023847
