"","PIK3CA","KRAS","TP53","APC","LAMC3","LAMA2","NRG1","TAS2R16","CACNA1B","EFNB3","OR8B8","SMAD4","RYR2","DIAPH1","CPSF6","ELMO1","EPHA5","MAMLD1","ITGA8","OFD1","OAS2","TTF2","TFAP2C","SCN9A","TRIM26","PTPRK","KCNQ4","PDK2","NEFH","COL7A1"
"Potassium Channels",0.957777828767013,0.948187700280411,0.946751920740752,0.948410823214473,0.948743515620168,0.948743515620168,0.948755818930108,0.958242752471782,0.958775624499623,0.948606322432254,0.959677210032817,0.948215023427897,0.948340380794081,0.948665380892399,0.948048258746628,0.948873690812051,0.948941205843927,0.948906354175723,0.948569415579019,0.947945909000697,0.948557655530811,0.947996552604946,0.949243174864692,0.948883166952343,0.948906354175723,0.949714258483286,0.96017020438095,0.948655572573041,0.948968343319107,0
"Interaction between L1 and Ankyrins",0.921192299952373,0.945863653643354,0.920288555385663,0.898801774542806,0.923646413341813,0.923646413341813,0.92321623876465,0.897841995512484,0.922246157668647,0.923333033247136,0.924834491810679,0.895262662615687,0.922897114846002,0.89709236867386,0,0.923089153466533,0.924097982271587,0,0.922394120405595,0.92331358492423,0.923618198284272,0.92342933053802,0,0.85082857257668,0.924414704408361,0,0.923049639971331,0,0,0.921592126137667
"Nitric oxide stimulates guanylate cyclase",0.800057972475301,0.800184817931916,0.798672296963603,0.765543700042678,0.766594299156418,0.766594299156418,0.802526777766529,0.799467528176862,0.801698183788562,0.76616106100861,0.804545273009475,0.801233882568577,0.801062507116163,0.802947480376384,0.802218047447648,0.8023510863295,0.767218579032727,0.801510773446946,0.800842309504086,0.800384054397357,0,0.802602681640469,0.768172157714298,0.803324470255343,0,0.805005489121149,0,0.804135865098033,0.805123554215652,0
"Phase 4 - resting membrane potential",0.854174371567419,0,0,0,0,0,0,0.856661357133305,0.859511814161219,0,0.86433460591063,0,0.802959532546076,0,0,0,0,0,0,0,0,0,0,0.809365023346198,0,0,0.9200065014947,0,0,0
"Voltage gated Potassium channels",0,0.875945376365456,0,0.87723797450759,0,0,0,0.853003220199758,0.875410537481192,0.877645366066145,0.878653551643996,0,0.876716867319025,0.877768435193469,0,0,0,0.878270588002963,0,0.876438415917295,0,0.877371651152831,0,0.855186820393502,0,0,0.898776937836051,0,0,0
"Erythrocytes take up carbon dioxide and release oxygen",0.702098284844109,0.792088316193517,0,0,0.711102792958683,0.711102792958683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O2/CO2 exchange in erythrocytes",0.702098284844109,0.792088316193517,0,0,0.711102792958683,0.711102792958683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glucagon-type ligand receptors",0.929185274222581,0.905196802932687,0.901605385329275,0.905754916216083,0.906587103421243,0.906587103421243,0.906617878566507,0.930348220992213,0.931681131740896,0.906243932330884,0.933936331836353,0.905265148267155,0.90393269598711,0.904991789229012,0.904716479856118,0.906912719898384,0.907081600055316,0.906994423095874,0.906151614590774,0.903395288650179,0.906122198344766,0.904718671640551,0.907402928871975,0.905290405656193,0.906994423095874,0.909015291670682,0.906571650086465,0.9063671252151,0.90714948095442,0
"Blood group systems biosynthesis",0,0,0,0.803385559300722,0,0,0,0,0,0,0,0,0,0,0,0,0,0.805319173095911,0,0,0,0,0,0,0,0,0,0,0,0.800713065163895
"Synthesis of Leukotrienes (LT) and Eoxins (EX)",0.762605309907501,0.765154095839465,0.81416625641726,0.766250773788708,0.767885999798717,0.767885999798717,0.768799286079846,0,0,0.767211677615728,0,0.759764140277008,0,0,0,0.768525827627607,0.768857672702222,0.768686372265652,0,0,0,0,0.764817636969127,0,0,0,0,0,0.773693904666667,0
