"","TP53","INSR","APC","AR","GNB2","ANK2","TAS2R46","ITGA3","GRIN2A","NEFH","AKR1B10","PDE3A","OR2T33","MC3R","TBP","RNF126"
"Transport of bile salts and organic acids, metal ions and amine compounds",0.485032796905505,0.315139126392861,0.316843393991527,0,0.314208802842085,0,0.318221881274682,0.489086632735667,0.320807625570576,0,0,0.320385738982592,0,0,0.448558454942603,0
"Glucagon-type ligand receptors",0.906787728563155,0.910330150523466,0.910487782972664,0.93352868351053,0.933140359042729,0.908605766191246,0.932417145173744,0.910657443463066,0.91106461487783,0.911731288696611,0,0.909059545432583,0.935616592463769,0.933105763761151,0,0
"Inwardly rectifying K+ channels",0.893622555731643,0.898008869156552,0.898204053506656,0.926733859521735,0.926218812269113,0.897419291312657,0.92535752559439,0.898414131271266,0.898918300865637,0.899743792677203,0,0.896435574887732,0.92931915940249,0.926210189954658,0,0
"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)",0.859044815987653,0.809552009504296,0,0.812895488990031,0.806181789563804,0,0,0,0,0.81251184762606,0.864552960615625,0,0,0,0.810558096770994,0.807928488812246
"Activation of G protein gated Potassium channels",0.872641719074229,0.878126188820867,0.878370239475589,0.914042760522194,0.913398766169431,0.877728816354974,0.912321847980258,0.878632912256312,0.87926330562305,0.880295467356162,0,0.876159004996085,0.917275315428432,0.913387985174506,0,0
"G protein gated Potassium channels",0.872641719074229,0.878126188820867,0.878370239475589,0.914042760522194,0.913398766169431,0.877728816354974,0.912321847980258,0.878632912256312,0.87926330562305,0.880295467356162,0,0.876159004996085,0.917275315428432,0.913387985174506,0,0
"Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits",0.872641719074229,0.878126188820867,0.878370239475589,0.914042760522194,0.913398766169431,0.877728816354974,0.912321847980258,0.878632912256312,0.87926330562305,0.880295467356162,0,0.876159004996085,0.917275315428432,0.913387985174506,0,0
"Blood group systems biosynthesis",0,0,0.80104177426672,0,0,0,0,0,0,0,0.805354169248909,0,0,0,0,0
"Acyl chain remodelling of PE",0.825708539528656,0.826267880020116,0,0.83187573907442,0.825365138534937,0,0.825354285287139,0,0,0.84050698334722,0.831751819787787,0,0,0,0,0
"Cytosolic sulfonation of small molecules",0.820809440427727,0,0,0.827149991677977,0,0,0,0,0,0,0.831196590415588,0,0,0,0.823899107437487,0
"O-linked glycosylation of mucins",0.899159484239239,0.899720872506953,0.921795764779189,0,0,0.90086146917522,0,0,0,0,0.901172262573212,0,0,0,0,0
"G beta:gamma signalling through BTK",0.826937951719762,0.835320568071644,0.834777812886475,0.890216456855009,0.889309582688746,0.831240068215289,0.887586166183238,0.83609505828712,0.83797433807571,0.838636153818637,0,0.832313869510333,0.895157183829026,0.889215679972301,0,0.833584399882367
"Synthesis of Leukotrienes (LT) and Eoxins (EX)",0.79679648957342,0.733075493828077,0.733534124214925,0.734972139660687,0.728644204427781,0,0,0,0.736338374449242,0.743361220576716,0.805977603710712,0,0,0,0.731898850217435,0
"CD22 mediated BCR regulation",0.749453284974001,0.755473554807062,0.640712441862569,0.75706593191311,0.748962900092129,0.757224959774944,0.638073680677221,0.64459703230876,0.75813502255463,0.655150864967525,0,0,0.651750550449677,0,0,0.75114294437765
"Termination of O-glycan biosynthesis",0.845099408620012,0.847581078633937,0.889830291246029,0,0,0.84830304115581,0,0,0,0,0.848449248997256,0,0,0,0,0
"Phase II - Conjugation of compounds",0.761289901757932,0.760745510668092,0.728320598500487,0.762544971129805,0,0,0,0,0,0,0.761595258517652,0.762347727046783,0,0,0.762042931905791,0.70710608298078
"Defective pyroptosis",0.719627731614381,0,0.619647789913012,0.621873475904367,0,0,0,0,0,0,0,0.156453326002825,0,0,0.721086283089759,0.618133748424872
"O-linked glycosylation",0.902332144033001,0.902709121167029,0.917532604487458,0.873319347064807,0.90148084957352,0.903475041810213,0.902114904250421,0.91576484598439,0.902208185457073,0,0.903683742296469,0,0,0,0,0
"Lewis blood group biosynthesis",0,0,0.781207866766074,0,0,0,0,0,0,0,0.786034642977618,0,0,0,0,0
"Initial triggering of complement",0.764732613516475,0.767688842766689,0,0.769057210873776,0.811819571498932,0.766309087961278,0.814051736084965,0.768375864603873,0.770042904712504,0,0,0.769501392828632,0.773439948389225,0.768169458441492,0,0
"G-protein activation",0.887542877973624,0.893594056879195,0.893863325239121,0.933221880730871,0.932524117114114,0.890648456887682,0.931323146641129,0.894153139945594,0.89399651712309,0.895987486530466,0,0.891423604344346,0.936788454887237,0.932499447577829,0,0
"Resolution of D-loop Structures through Holliday Junction Intermediates",0.889046689783193,0.773039345966358,0.834446566544189,0.837137729198189,0.767882611247915,0,0,0.769498502411955,0,0,0,0,0,0,0.835697094261894,0.833923283326247
"Defective GALNT12 causes CRCS1",0.779360540550623,0.782823511470714,0,0,0,0.783830952107307,0,0,0,0,0,0,0,0,0,0
