"","AR","PIK3CA","TP53","SMAD4","CHRNA1","GAS6","ITGB2","ADCY1","GSK3B","KRAS","DOCK4","APC","FGD3","RYR2","TTN","SNAP91","OR6T1","KLHL9","TRIM9","PTCH1","MUC16","TSHR","MASP2","PBRM1","SRGAP3","MYOF","SYNE1","CCDC129","IFT122","PREX2"
"Complement cascade",0.860831259973918,0.879894758904184,0.862406068658611,0.863541485287736,0.861738020624086,0.883817521007861,0.886590632621879,0.880447786806405,0.860164626671936,0.860223042129025,0.862635547913952,0.86024626235004,0.861566980164876,0.833504880711082,0.861228038749056,0.860827213636165,0.86224684415036,0.85980317616313,0.859841878766974,0.861605974902954,0.884196152038348,0.859862946885339,0.887369509678725,0,0,0.864621063478486,0.884455231154933,0,0.836438105844741,0
"Regulation of Complement cascade",0.799319635351087,0.826240836405302,0.799757611893002,0.803465441265681,0.800451416401631,0.82773468454117,0.829458109674615,0.826094820279279,0.799323853927044,0.80085113246188,0.804137771018666,0.798589465570126,0.800237930791538,0.765211981667708,0.802380976432355,0.801605234289009,0.801086508832034,0.798277137540845,0.798084730746906,0.80285270067096,0.828482724950994,0.798111027098795,0.831492089820106,0,0,0.804049910965671,0.828806096763266,0,0.768873111672234,0
"Activation of Matrix Metalloproteinases",0.759657312032216,0.759162009368423,0.758169896587526,0.759374953912447,0.759614339771634,0.759955370708339,0.760565710343851,0.782450973944222,0.759247922010047,0.759309920374919,0.762104616862725,0.759129880919738,0,0,0.732217039705454,0.730846301827576,0,0.731930531155996,0.730213508680576,0.761723003415301,0.731588250257286,0,0.762540913735914,0.734529355979094,0,0,0.733909279692404,0.736511572215197,0,0
"Interaction between L1 and Ankyrins",0.871604018186689,0.869718809264358,0.867505969092156,0.824909758214795,0.872232202834508,0.825731907406767,0.871044098487361,0.868817616702212,0.869773707454585,0.917400311644089,0.830349363194426,0.872602430063178,0.830516770126745,0.871945960499458,0.827415442546009,0,0.875243541868273,0,0,0,0.871234120761953,0.82724675562448,0,0,0.828488221753918,0,0,0.878490066783068,0.874244192528084,0.834044017609483
"Cytosolic sulfonation of small molecules",0.765732782627897,0,0.759649539970284,0.762983893751453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769107715149396,0,0,0,0,0,0
"Initial triggering of complement",0.723852849136612,0.718633308484849,0.718847830646783,0.721591186989062,0.725103577049769,0.778160735572989,0.778221936604117,0.774743704955843,0,0.72144313580183,0.729424226605075,0,0.727282490391902,0,0.726023449220557,0.722902915140464,0.728925155408976,0,0,0.72693660613422,0.724591987426235,0.722725159125043,0.787033538489861,0,0,0,0.779992154502402,0,0,0
"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",0.799528252759453,0.79366232378591,0.792667665374581,0.872798073690957,0.801242677623287,0.71063011031407,0.800261676594444,0.707095385726572,0.796031689742299,0.797513871164549,0.807165171994451,0.799171094326232,0.805518117805767,0,0.714105050913145,0.798226138650649,0,0.707724766050793,0.707852946789839,0.716645466019669,0,0,0,0.714677143205432,0.804898423923567,0.81079114535072,0,0,0,0.814223313413967
"Classical antibody-mediated complement activation",0,0.477785505018073,0,0,0,0.629486590025454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64748315475995,0,0,0,0,0,0,0
"CD22 mediated BCR regulation",0.753914933797366,0.845128596843427,0.746203546338454,0.63736150934602,0.75614428000833,0.637879303027043,0.753192865686939,0.631270669362008,0.74936819064278,0.749619766770313,0.763845574281608,0.636052270369881,0.644305599543699,0.638257449786631,0,0.752221734395082,0.647233549734283,0.74781154238851,0.747978221751915,0,0,0,0,0,0.643499782830828,0.768560595705631,0,0.653878279285639,0,0.65730114252975
"Collagen chain trimerization",0.81841588172641,0.861616541270492,0.861511949319677,0.860474758764197,0.863273961142024,0.865636236499719,0.861954346690103,0.815321056194798,0.863467797217836,0.863580280067582,0.867227192186937,0.864543791648729,0,0.865529755092199,0,0,0,0,0,0,0,0,0,0,0,0,0,0.872107939929378,0,0
"APAP ADME",0.652517674954176,0.636625863253313,0.722561649387871,0.72629950261975,0,0.654690732628763,0.728829087410643,0,0,0,0,0,0,0,0.657689673681911,0,0,0,0,0,0,0,0,0.656301017472927,0,0,0,0,0,0
"Phase 4 - resting membrane potential",0.645086424858957,0.742543730680139,0,0,0.754495361381633,0,0,0.637913282171665,0,0,0,0,0.651421525992792,0.647701132337231,0,0,0.654455793497046,0,0,0,0,0.750102039465406,0,0,0,0,0,0,0,0
"The canonical retinoid cycle in rods (twilight vision)",0.563018811544687,0.554467071456678,0.554818546403301,0.559313284920193,0.565068014865006,0.562730947154942,0.562355090332563,0.556656325823107,0.558839469133357,0,0,0,0,0.563078537668926,0,0.561462431553073,0,0,0,0.568071265409419,0,0,0,0,0.567897262650967,0,0,0,0,0
"Phase II - Conjugation of compounds",0.764517597718284,0.758730073909292,0.786104502571398,0.763899652804461,0.761755616920705,0,0,0,0.78965225946594,0,0,0.739013470817867,0.740645062827365,0.735906884568838,0,0,0,0.70688527341822,0.706929000267019,0,0,0,0,0.765816022103793,0.740433663978436,0,0,0,0,0
