"","APC","CCR10"
"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",0.797878191664038,0.806400342720927
"Generation of second messenger molecules",0.920921646845993,0.920217618079302
"Phosphorylation of CD3 and TCR zeta chains",0.91103568448378,0.910127849155937
"Translocation of ZAP-70 to Immunological synapse",0.9079251378468,0.90693742830231
"PD-1 signaling",0.910483218716714,0.910034519311957
"Cell surface interactions at the vascular wall",0.828846965301957,0.828363509812473
"Complement cascade",0.925114386016947,0.937550193034492
"Antigen activates B Cell Receptor (BCR) leading to generation of second messengers",0.917933875773867,0.917218455502956
"Regulation of Complement cascade",0.887299215096388,0.904892095127753
"Molecules associated with elastic fibres",0.895096187745797,0.866590171649195
"Initial triggering of complement",0,0.886418661505244
"Elastic fibre formation",0.906385206402192,0.904716683981955
"Glycosaminoglycan metabolism",0.881055684393074,0.880737319741636
"Binding and Uptake of Ligands by Scavenger Receptors",0.700367649206858,0.699706619771012
"Keratan sulfate biosynthesis",0.918473187966597,0
"Costimulation by the CD28 family",0.90511558568353,0.904712136438053
"G-protein beta:gamma signalling",0.904176418183792,0.930716123658204
"Class B/2 (Secretin family receptors)",0.908875855534619,0.919544266171863
"G alpha (q) signalling events",0.898547007418618,0.905398740394873
"GABA receptor activation",0.898368149801805,0.918317353499438
"DAP12 signaling",0.889328184833295,0.88920277728078
"Glucagon-type ligand receptors",0.910270712650063,0.932105765660676
"Integrin cell surface interactions",0.891374399339617,0.889440395170043
"GABA B receptor activation",0.905720370082114,0.928724257132783
"Activation of GABAB receptors",0.905720370082114,0.928724257132783
"DAP12 interactions",0.899606229753595,0.899497073877967
"Constitutive Signaling by Aberrant PI3K in Cancer",0.879185578376234,0.878135710774518
"G beta:gamma signalling through PI3Kgamma",0.878884096489548,0.914859287034827
"Keratan sulfate/keratin metabolism",0.918473187966597,0.843513743478526
"Blood group systems biosynthesis",0.809689495656057,0
"Presynaptic function of Kainate receptors",0.85292402625414,0.896758513146394
"Sialic acid metabolism",0.714204914585361,0
"MyD88 deficiency (TLR2/4)",0.868392764505391,0.819444310881596
"IRAK4 deficiency (TLR2/4)",0.868392764505391,0.819444310881596
"G beta:gamma signalling through BTK",0.861996338296148,0.90581429094872
"TNFs bind their physiological receptors",0.39275892201014,0.359807149755577
"ADP signalling through P2Y purinoceptor 12",0.867669673631739,0.907948673466901
"Synthesis of Leukotrienes (LT) and Eoxins (EX)",0.756495449317843,0
"Other semaphorin interactions",0.647110555817688,0
"CD22 mediated BCR regulation",0.724348227254419,0.724265074569498
"G alpha (z) signalling events",0.895622028844928,0.921605353134634
"Acetylcholine Neurotransmitter Release Cycle",0.730925044803089,0.729771405538472
"Lewis blood group biosynthesis",0.79604950251933,0
"Activation of G protein gated Potassium channels",0.886552068882632,0.919540205763288
"G protein gated Potassium channels",0.886552068882632,0.919540205763288
"Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits",0.886552068882632,0.919540205763288
"Diseases associated with glycosaminoglycan metabolism",0.884071723886545,0.88321632989157
"Scavenging by Class A Receptors",0.310997894796067,0.347042621505415
"G beta:gamma signalling through PLC beta",0.84162311738695,0.891307386664233
"G beta:gamma signalling through CDC42",0.84360128608253,0.894289462848477
"FCGR activation",0.829097978426054,0.826792185738047
"CD28 dependent Vav1 pathway",0.785779611801386,0.783144085211336
"Phase II - Conjugation of compounds",0.716533336699797,0
"CRMPs in Sema3A signaling",0.847323495228455,0.840767483254474
"Inwardly rectifying K+ channels",0.898766487284029,0.92750276029963
"Activation of the phototransduction cascade",0.822422120413172,0.82013566583358
"Aspartate and asparagine metabolism",0,0
