"","ABCA1","B2M","TP53","TCF7L2","CASP8","IRF5","HMGB1","APC","RET","FGFR4","PAX6","PTPN5","HTR2C","OR5AN1","OR4D6","OR5W2","OR52I2","OR5K3","OR10V1","OR5M8","OR51E1","SCLT1","DSCAM","RYR2","ARHGEF6","PDE4B","CACNA1E","PKD1L1","GLI3","MED6","ARHGAP31","ARHGAP39","ROBO1","RYR1","PLXNA1","PLCH2","CUL3","ABLIM3","DOCK6","COL4A2","SYNE1","CARD6","COL6A3","KIF6","SELP","ZNF429","HNRNPA3","GCLC"
"Potassium Channels",0.952440933463259,0.952668464635035,0.951351990715332,0.953003659357884,0.953088097551104,0.95286087784577,0.952254306257151,0.952844641819846,0.953038050497722,0.952922355239496,0.952298132630601,0.953025397551052,0.961786997486364,0.962981937408151,0.962981937408151,0.962981937408151,0.962981937408151,0.962981937408151,0.962981937408151,0.962981937408151,0.962981937408151,0.952530859472657,0.953756582367386,0.952893962684145,0.953129393165416,0.952429590470658,0.952921867214823,0.952460949385279,0.952908515258266,0,0.953656342002945,0.953556107054862,0.95336725901419,0.953581302109074,0.953176690409093,0.952695185711296,0.943199945408171,0.953850125204464,0.954564576037372,0,0.952362481368427,0.953547535306652,0,0.941267890969282,0,0.954408456650218,0.943670383768086,0
"Nitric oxide stimulates guanylate cyclase",0.778965708324066,0.777598647195135,0.77586326027211,0.778875541606822,0.779197201375627,0.777307570552022,0.778276493266393,0.739904545106641,0.779006551587817,0.778565820816667,0.738246942112966,0.7816432315304,0.777685937321995,0.782237954416604,0.782237954416604,0.782237954416604,0.782237954416604,0.782237954416604,0.782237954416604,0.782237954416604,0.782237954416604,0.778119483069214,0.781149011796847,0.778457661908455,0.740989279969975,0.814279931399799,0.779588019344575,0.778003510911114,0.776428870099535,0.778679435616493,0,0,0.780260642080013,0.781505354894685,0.741587262292045,0,0.7764511139106,0.782100077780889,0,0,0,0,0,0,0,0,0.736378085765088,0
"Voltage gated Potassium channels",0.879623154233439,0,0,0,0.879500349396667,0,0,0.859522123812566,0.878444944625213,0,0,0,0,0.880308161464637,0.880308161464637,0.880308161464637,0.880308161464637,0.880308161464637,0.880308161464637,0.880308161464637,0.880308161464637,0.878436902977472,0,0.878471371909993,0,0.878999474509778,0.877486342407916,0.877774479471482,0.878160421188603,0,0,0,0,0.858736397129007,0,0,0.858473487471674,0,0,0,0,0,0,0,0,0,0,0
"Arachidonic acid metabolism",0.881469389376771,0.900948623665474,0.899917662678346,0.880785995247938,0.901544981105039,0.901384073982445,0.901606379117463,0.879592868519104,0.901785033392437,0.901523203465719,0.8811376687877,0.903351435743567,0.901000481100932,0,0,0,0,0,0,0,0,0.901611356307654,0.902802769272183,0,0.857498727097822,0,0,0,0,0.881022806107236,0.858691264956594,0.858464423256134,0.902530065151423,0,0.880746586712957,0,0.878561379138146,0.859129815699566,0.860746689304355,0,0.857818553438499,0,0,0,0.879837044137228,0,0,0.900482304912943
"Phase 4 - resting membrane potential",0,0,0,0,0,0,0,0,0,0,0,0,0.863380290192322,0.870178249695926,0.870178249695926,0.870178249695926,0.870178249695926,0.870178249695926,0.870178249695926,0.870178249695926,0.870178249695926,0,0,0.811446842893846,0,0,0.815597912625914,0.816344192131074,0,0,0,0,0,0.819349408098323,0,0,0,0,0,0,0,0,0,0,0,0,0.813589576464204,0
"Glucuronidation",0.896229462516359,0.855863252219645,0.891438408123877,0.894220922795276,0,0.893718497238121,0.894613513794882,0,0.857163766412467,0,0.894767731870969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.894589134538402,0,0,0,0,0,0,0,0,0,0.89416349904957,0,0,0,0,0,0,0,0
"Molecules associated with elastic fibres",0.695615344641829,0.740968740538405,0.737462346571904,0.74123814521773,-0.0325913135425355,-0.0325913135425355,-0.0325913135425355,0.787359080285274,-0.0325913135425355,-0.0325913135425355,0,0.700528344470008,0.739855933905056,0.696995712313807,0.696995712313807,0.696995712313807,0.696995712313807,0.696995712313807,0.696995712313807,0.696995712313807,0.696995712313807,0.693824213992055,0.696421474211797,0.741443620818243,-0.0325913135425355,0.694358558889794,0.691309425184754,0.691890054219794,0.69689141650702,0.697775698416856,0.695977791635659,0.695534133033336,-0.0325913135425355,0,-0.0325913135425355,0.695765894380778,0.694495578950956,-0.0325913135425355,0.699997805114032,0.783330064351397,0,0,0.783451839863846,0,0.743458923960006,0,0.740096997845454,0
"Activation of G protein gated Potassium channels",0.88947941881478,0.889569340733545,0.884667759653013,0.890817359465417,0.891131745222832,0.890285746079117,0.888027319399889,0.890225295054375,0.890945406787769,0.890514642698685,0.888190496595973,0.890898296516095,0.923520053647296,0.927969131464439,0.927969131464439,0.927969131464439,0.927969131464439,0.927969131464439,0.927969131464439,0.927969131464439,0.927969131464439,0.887196508103347,0.893620691246804,0.887527039369074,0.891285499732353,0.888679948952047,0.888308287054181,0.888796706496814,0.890463112782947,0,0.893247469820616,0.892874268560966,0.8921711372878,0.890763537821497,0.891461599897572,0.88966883037773,0,0.893968976004733,0.896629065683029,0,0.888430083990118,0.89284235367209,0,0.847121985452967,0,0.896047791855327,0,0
"G protein gated Potassium channels",0.88947941881478,0.889569340733545,0.884667759653013,0.890817359465417,0.891131745222832,0.890285746079117,0.888027319399889,0.890225295054375,0.890945406787769,0.890514642698685,0.888190496595973,0.890898296516095,0.923520053647296,0.927969131464439,0.927969131464439,0.927969131464439,0.927969131464439,0.927969131464439,0.927969131464439,0.927969131464439,0.927969131464439,0.887196508103347,0.893620691246804,0.887527039369074,0.891285499732353,0.888679948952047,0.888308287054181,0.888796706496814,0.890463112782947,0,0.893247469820616,0.892874268560966,0.8921711372878,0.890763537821497,0.891461599897572,0.88966883037773,0,0.893968976004733,0.896629065683029,0,0.888430083990118,0.89284235367209,0,0.847121985452967,0,0.896047791855327,0,0
"Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits",0.88947941881478,0.889569340733545,0.884667759653013,0.890817359465417,0.891131745222832,0.890285746079117,0.888027319399889,0.890225295054375,0.890945406787769,0.890514642698685,0.888190496595973,0.890898296516095,0.923520053647296,0.927969131464439,0.927969131464439,0.927969131464439,0.927969131464439,0.927969131464439,0.927969131464439,0.927969131464439,0.927969131464439,0.887196508103347,0.893620691246804,0.887527039369074,0.891285499732353,0.888679948952047,0.888308287054181,0.888796706496814,0.890463112782947,0,0.893247469820616,0.892874268560966,0.8921711372878,0.890763537821497,0.891461599897572,0.88966883037773,0,0.893968976004733,0.896629065683029,0,0.888430083990118,0.89284235367209,0,0.847121985452967,0,0.896047791855327,0,0
