"","KRAS","APC","CACNA1S","OR5B3","OR4K14","OR5P3","OR1Q1","OR6C4","ARHGEF17","ATM","SOX9","TRIM45","HECTD1","BRPF3","MAMLD1","CBX4","PAX6","ANPEP","MECOM","STAB2"
"Chemokine receptors bind chemokines",0.927782574081224,0.914025415656597,0.928150144552337,0.929700778481126,0.929700778481126,0.929700778481126,0.929700778481126,0.929700778481126,0.912062898965689,0.913615201608932,0.930332904565246,0.928606907189131,0.910396009185362,0.915123848324559,0,0.911173729878955,0.928403949154261,0.927617809034322,0.912755813718868,0
"Interaction between L1 and Ankyrins",0.951660454686077,0.931497509471376,0.930772018579124,0.932883049306196,0.932883049306196,0.932883049306196,0.932883049306196,0.932883049306196,0.908622175715723,0.930895219269039,0.933811158300207,0.932508211816742,0,0.933110265635154,0,0,0,0,0,0.93392538729172
"Translocation of ZAP-70 to Immunological synapse",0.887168416444924,0.888015583089078,0.888173050837299,0.892411204599014,0.892411204599014,0.892411204599014,0.892411204599014,0.892411204599014,0.890781973094146,0.885760028879944,0.894138915757369,0.928278322029894,0.885856000864687,0.888938466492134,0.843290634696994,0.887981647557902,0,0,0.846358134610947,0.892059590542853
"Generation of second messenger molecules",0.876170509593419,0.876771780616961,0.876883542328545,0.879086434495773,0.879086434495773,0.879086434495773,0.879086434495773,0.879086434495773,0.878397666735561,0.874905734250192,0.880312666269342,0.905347998083268,0.874636308522599,0.87742679111837,0.844553444822721,0.875739476246728,0,0.847506779872617,0.848896190940767,0.879641988642408
"Phosphorylation of CD3 and TCR zeta chains",0.885326304859077,0.886159493657805,0.886962279101542,0.890482589510087,0.890482589510087,0.890482589510087,0.890482589510087,0.890482589510087,0.889528155385931,0.88458907085517,0.892181794258662,0.926405832454662,0.884215724245188,0.88771506576327,0.843962819021202,0.841574094869243,0.843417251823016,0,0.845826860956509,0.890784692756315
"Complement cascade",0.877940977990837,0.877957660380839,0.877727377242179,0.879394963057804,0.879394963057804,0.879394963057804,0.879394963057804,0.879394963057804,0,0,0.84468907685238,0.859978082345886,0.877663611800449,0.879574450131296,0.87909886425045,0.878565624313583,0.842653656418771,0.881172437345498,0,0
"Regulation of Complement cascade",0.87055209023218,0.870573054103732,0.870283669540826,0.872379235873506,0.872379235873506,0.872379235873506,0.872379235873506,0.872379235873506,0,0,0.82876619599488,0.84797907539943,0.870203538904294,0.872604787725071,0.872007144262972,0.871337050017466,0.826208391476784,0.872903005411238,0,0
"PD-1 signaling",0.878382122134965,0.879315512109758,0.880214842353081,0.884158513281575,0.884158513281575,0.884158513281575,0.884158513281575,0.884158513281575,0.883089296743322,0.877556226696414,0.886062068249981,0.924401966959394,0.876726323160635,0.881058160847385,0.83206464992725,0.829344980980364,0.83145347157951,0,0.834109194369995,0.883745515942817
"Phase 0 - rapid depolarisation",0.94191356259665,0.919690753000069,0.944567729068336,0.920327277432438,0.920327277432438,0.920327277432438,0.920327277432438,0.920327277432438,0.92190172300358,0.918967020662301,0.921442524682571,0.89120763823927,0,0.921628695513715,0.920905247222889,0.920094097152075,0.919573751690457,0.892403762926146,0.92288533563482,0
"Negative regulation of NMDA receptor-mediated neuronal transmission",0.871842045461953,0.836549562677192,0.876057179651119,0.83919364177205,0.83919364177205,0.83919364177205,0.83919364177205,0.83919364177205,0.838897962102018,0.785816575746734,0.84215148973296,0,0.78714745353833,0.839627247454334,0.838478324936743,0.837190121490386,0.836047610083561,0.793128533304201,0.841622942447264,0
"Molecules associated with elastic fibres",0.785897352599799,0.696439195940426,0.623420243576869,0.627001216723128,0.627001216723128,0.627001216723128,0.627001216723128,0.627001216723128,0.626181250923258,-0.0262532857927081,0.628461023896348,0.624876910121326,-0.0262532857927081,0,0.698028912819885,-0.0262532857927081,0,0,0,0
"Initial triggering of complement",0.790555996053512,0,0.791633995755936,0.796181648642033,0.796181648642033,0.796181648642033,0.796181648642033,0.796181648642033,0,0,0,0,0,0,0,0,0,0.795041137740052,0,0
"Transcriptional regulation of testis differentiation",0.825273896600825,0.757311662579816,0.757596786160605,0.765270723142133,0.765270723142133,0.765270723142133,0.765270723142133,0.765270723142133,0,0.754088703835342,0.690909705402878,0,0.754594201097219,0,0.687699973250906,0,0.686695553612863,0,0,0
"Activation of SMO",0.765461455440064,0.710203379878387,0.709591778026648,0.773548266975183,0.773548266975183,0.773548266975183,0.773548266975183,0.773548266975183,0.65046664093783,0.704924859772616,0.654453973934221,0.645019190962593,0.705547206473507,0.653782513094643,0.71213949424489,0.647301875972012,0.640318533474822,0.714284176597457,0,0.717011667787594
"Assembly and cell surface presentation of NMDA receptors",0.876421710331849,0.839214133636682,0.877417604754791,0.841510278960789,0.841510278960789,0.841510278960789,0.841510278960789,0.841510278960789,0.841485012431002,0.796269269881343,0.843222959633597,0,0.794522885643193,0.842190224084551,0.841079227482385,0.839833547612864,0.839034455200675,0.800356034577139,0.844120041215088,0
"Unblocking of NMDA receptors, glutamate binding and activation",0.907896520089513,0.883710126953899,0.909001073657091,0.868699888971865,0.868699888971865,0.868699888971865,0.868699888971865,0.868699888971865,0.86914798066923,0.812184960820721,0.870599435252771,0,0.813612321241155,0.869930135915692,0.868697921704807,0.867316329326896,0.866430050265205,0.820006858033801,0.872070509781842,0
"Scavenging of heme from plasma",0.609018032987317,0.528588562037682,0,0,0,0,0,0,0,0,0,0,0,0.534479387959793,0.53228029902145,0,0.531191847732819,0,0,0.619548489008133
"CD22 mediated BCR regulation",0.819792137890406,0.738053434049969,0.73834172865842,0.746101012023349,0.746101012023349,0.746101012023349,0.746101012023349,0.746101012023349,0.744324303086732,0.736000746451038,0,0.743801427724256,0.818595460890322,0.743549928206178,0,0.739197419879699,0.824642870175469,0,0.747114076798551,0.749837471646306
"Norepinephrine Neurotransmitter Release Cycle",0.693821233494331,0.695270107116861,0.694197140332384,0.702088171003259,0.702088171003259,0.702088171003259,0.702088171003259,0.702088171003259,0.628524859815669,0.693531030436321,0,0.631919225048316,0.692942216048298,0,0,0,0,0,0,0.703302302548108
