"","COL14A1","SPATA13","PIP4K2A","CDH17","EPHA6","DST","DNTT","SLC32A1","SYNE1","DNAH10","APC","KCNK9","APOB","NCKAP1","DNAH8","SLIT1","ADAMTS13","ADAMTS15","CD22","ZNF480","TP53","ST8SIA1","PLXNA3","BRCA2","PDE4DIP","TUB","CCDC85A","SSTR4","MED17","CACNA1C","OR10A3","ATXN1","TG","DCAF4L2","TBP","ZBTB2","HTR7","SOX2","STAU2","CUL3","RHOBTB1","COG5","TTN","SIRPB2","ACTA1","KCNQ3","MYH2","PIP5K1B","PHIP"
"Biological oxidations",0,0.829206484322586,0.850798253091615,0,0.852255529587579,0,0,0.871010434804403,0.849644235335891,0,0.849531592190729,0,0.849781575828728,0.848770750709034,0,0.851307249073993,0,0,0.829174458002385,0,0.868475360545277,0,0.849223119490424,0.849187118452413,0,0.851323571786755,0,0.847896704664392,0.869731356746401,0.847443511549437,0.833261714161398,0,0,0,0.869324339917335,0,0.848466515394892,0.850238295147496,0,0.847875910648048,0.849921871486517,0,0,0,0.850450410643727,0,0.827041738334065,0.827246064443617,0
"Phase II - Conjugation of compounds",0,0,0.74715612559274,0,0,0,0,0.78015826507963,0,0,0.716839559679292,0,0.716223342293622,0,0,0,0,0,0,0,0.773539623065034,0,0,0,0,0,0,0,0.747568385715306,0,0,0,0,0,0.746632395886657,0,0,0,0,0.647545040504314,0.716183600045643,0,0,0,0.743477813102498,0,0,0,0
"Cytosolic sulfonation of small molecules",0,0,0.714116329995059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.709161266233989,0,0,0,0,0,0,0,0.716575975407245,0,0,0,0,0,0.712748230799754,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metabolism of Angiotensinogen to Angiotensins",0.839133072563344,0,0.839490021697154,0,0.840184705393969,0,0,0.771876601949577,0.839819393781714,0,0.766260135797499,0,0.835478821304183,0.838967790350941,0,0,0,0,0,0,0.83226538376342,0,0.840508833280469,0,0.84769198557882,0.910494078089811,0,0.899934969924743,0.838243801866203,0.83652902547521,0.844215555857259,0,0,0,0.769140544672174,0,0.836922247502389,0,0,0.771752112730734,0.83674830955833,0.76629716798497,0,0,0.838115713641873,0,0,0.839306834900895,0
"Metabolism",0.870015465667059,0.870839302041978,0.880053899718312,0.870405982398051,0.87539714608927,0.875706592812472,0.875482949014964,0.875225525639389,0.87506355494293,0.870374438833947,0.875152612885561,0,0.880690025670808,0.875176160013834,0.875129153005152,0.875450395163664,0.875569193605131,0.875569193605131,0.870717871020101,0.870821344190459,0.874971516252855,0.885098648239698,0.875317533813547,0.875125618712361,0.880876778834287,0.880722384776058,0.876337133699997,0.8799647398631,0.880466815746801,0.884678592679503,0.880627335486172,0,0.875653236569595,0.870199136473745,0.875036432017064,0,0.880104020648658,0.875364678118613,0.870371849481003,0.874469611596001,0.875430924028943,0.87444131473325,0.875632992858884,0,0.875466939239968,0.875633602575315,0.875530318819081,0.880380601015415,0.870498964154589
"Formation of axial mesoderm",0.620213039182729,0.62855834619047,0.493733068057656,0.623063799610285,0.494908424432869,0,0.625195762062237,0.393766073270439,0.618126204658998,0.635120950930193,0.726123608020881,0,0.723927675703901,0.619933393204354,0.386136324731393,0.61262703945109,0,0,0,0,0.608593388612298,0,0.49545682621562,0.618015370351735,0.507610219028344,0,0,0.486104330832281,0.613507587585868,0.615807173087952,0.501728342348428,0,0.635120950930193,0,0.610238644950831,0,0.616472477338848,0.62040435140865,0,0.610457906174496,0.489094282296398,0.617165201846574,0,0,0.615243696658787,0.393774726882811,0.492245445685881,0.493423128771871,0
"Glucuronidation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.635683816874558,0,0,0,0,0,0,0,0.643310820791596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.643750523985458,0,0,0,0
"IRS-related events triggered by IGF1R",0,0.742739870438761,0.78628263561767,0.787844306808034,0.785802483028447,0.745306426951692,0.744882217089288,0,0,0,0.783270010267073,0,0.785611127670999,0.783795537425511,0.741458489262419,0.788502791383045,0.787423044965453,0.787423044965453,0.743735843505105,0,0.788687803460566,0.742739464301679,0.745142932277551,0.782384903818427,0.745271043617355,0.789517716652013,0,0.784070911873792,0.786684792107157,0.783559712148836,0.743195236027787,0,0,0.747303659244504,0.783695661716505,0,0.739506042691767,0.787283300792738,0,0.782249201428775,0.783458825251116,0.782578600141906,0.786094767722345,0,0.785462023863645,0.740458921840901,0.785757630083249,0.786173253126885,0
"Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)",0,0.742739870438761,0.78628263561767,0.787844306808034,0.785802483028447,0.745329590272737,0.744882217089288,0,0,0,0.783270010267073,0,0.785611127670999,0.783795537425511,0.741458489262419,0.788502791383045,0.787423044965453,0.787423044965453,0.743358288060951,0,0.788687803460566,0.742730561113069,0.745142932277551,0.782384903818427,0.745241320889361,0.789517716652013,0,0.784070911873792,0.786684792107157,0.783559712148836,0.743165513299793,0,0,0.747294756055894,0.783695661716505,0,0.739476319963773,0.787283300792738,0,0.782249201428775,0.783458825251116,0.782469108283978,0.786094767722345,0,0.785462023863645,0.740447819485531,0.785757630083249,0.786173253126885,0
"IGF1R signaling cascade",0,0.742739870438761,0.78628263561767,0.787844306808034,0.785802483028447,0.745329590272737,0.744882217089288,0,0,0,0.783270010267073,0,0.785611127670999,0.783795537425511,0.741458489262419,0.788502791383045,0.787423044965453,0.787423044965453,0.743358288060951,0,0.788687803460566,0.742730561113069,0.745142932277551,0.782384903818427,0.745256129962885,0.789517716652013,0,0.784070911873792,0.786684792107157,0.783559712148836,0.743180322373317,0,0,0.747294756055894,0.783695661716505,0,0.739491129037297,0.787283300792738,0,0.782249201428775,0.783458825251116,0.782469108283978,0.786094767722345,0,0.785462023863645,0.740447819485531,0.785757630083249,0.786173253126885,0
