"","MAX","HIST1H2BJ","GSTA4","IRF5","PIK3CA","TBP"
"Phase II - Conjugation of compounds",0.773612854733092,0.772472591317293,0.831413457043977,0.774169992306065,0.799106250508345,0.773906922743341
"Activation of Matrix Metalloproteinases",0.832278825998702,0.831021219390388,0,0.831995278315074,0.830609729255045,0.832081630050782
"APAP ADME",0.734535826879724,0.732274235444342,0.848395872204282,0.735640850110243,0.78427161920806,0.734181203530928
"Cytosolic sulfonation of small molecules",0.715472059755926,0.7121633444521,0.80194804463071,0.717088712178949,0,0.71495324469371
"Ethanol oxidation",0.51977763940393,0.521297651561238,0.775230830911829,0,0,0.524124933631534
"Aflatoxin activation and detoxification",0,0,0.872345853703406,0,0,0
"Transport of inorganic cations/anions and amino acids/oligopeptides",0.631378816610159,0.629235803787919,0,0.575601456481155,0.573128997591921,0
"Glutathione conjugation",0.689711305357531,0.678219185451589,0.850131761458577,0.682920563188692,0.760648850490972,0
"Collagen formation",0.904132134693645,0.905804750335071,0.88102520445549,0.907755333501067,0.90589442028389,0.907093893565956
"SUMOylation of intracellular receptors",0.361751583923328,0.352087381997309,0,0.360992962686047,0.433363193067028,0.357040525454061
"Collagen biosynthesis and modifying enzymes",0.884796234279216,0.848402367875455,0.853409878615974,0.888724264934119,0.885704242291935,0.887850406624086
