"","FZR1","KDM6A","ERBB4","SYT8","SLC18A3","TBP","LRP1","MUC5B","TRRAP","SPHK1","SEMA4D"
"Blood group systems biosynthesis",0,0,0,0,0,0,0,0.731489616106916,0,0,0
"FGFR4 ligand binding and activation",0.826223214970087,0.782462136523772,0.830430154326823,0.828917789260648,0.8285935634339,0.780215939832523,0.831420494229969,0.784175095764178,0.829087699927863,0.830430154326823,0.832442060388574
"Lewis blood group biosynthesis",0,0,0,0,0,0,0,0.69985016889129,0,0,0
"Activated point mutants of FGFR2",0.861984895149458,0.864743729832373,0.866800399622323,0.865069259683472,0.864698132175674,0.86217260405745,0.867933999569661,0.809785233731077,0.861063527391358,0.866800399622323,0.864461178158983
"Glucuronidation",0,0.686857437742418,0,0,0,0,0,0,0.685648280779287,0,0
"Phase II - Conjugation of compounds",0.477840929070564,0.581297955202351,0,0,0,0.514105711835795,0,0,0.580704032209958,0,0
"Defective GALNT12 causes CRCS1",0.698252164838488,0,0.706035173016457,0.703237236397935,0.70263740548831,0,0,0.876674030750914,0,0,0.709757280706657
"FGFR2 ligand binding and activation",0.861984895149458,0.864743729832373,0.866800399622323,0.865069259683472,0.864698132175674,0.86217260405745,0.867933999569661,0.809785233731077,0.861063527391358,0.866800399622323,0.864461178158983
"APAP ADME",0,0.622153775707776,0,0,0,0.617848518985254,0.627723249063724,0,0.620597363792629,0,0
"FGFR2c ligand binding and activation",0.850459613302384,0.853631315140091,0.855995771188416,0.854005561423624,0.853578893669374,0.850675413361776,0.857299017467893,0.790448129804024,0.850269267624514,0.855995771188416,0.854007193679677
"Peptide hormone biosynthesis",0.395506509077852,0,0,0.400851691379954,0.400208529988158,0,0.405816265693698,0,0,0,0
"FGFRL1 modulation of FGFR1 signaling",0.800283076407873,0.729223680882321,0.808468827917899,0.805800035655657,0.805227891140423,0.725259933978115,0.809126383505271,0.731296934480826,0.805337884576615,0.808468827917899,0.81092908836829
"O-linked glycosylation",0.825541203321548,0,0.828415969378686,0.827382511230239,0.827160955053041,0,0.827422872410401,0.89069135823393,0,0.825635791618144,0.829790783409987
"Synthesis of bile acids and bile salts via 24-hydroxycholesterol",0,0,0,0,0,0,0,0,0,0.471008207450223,0
"Metabolism of amine-derived hormones",0,0.738900943556895,0,0.580811196812352,0.580275898425117,0,0,0,0,0,0
"O-linked glycosylation of mucins",0.817300279893393,0,0.821554886845734,0.820025385614697,0.819697486080229,0,0,0.913721448269157,0,0,0.82358958922481
"Bile acid and bile salt metabolism",0.525602425998254,0.587305811796324,0.531814165761888,0,0,0.528287867031897,0.654395426741452,0,0.585316498211418,0.596036107131137,0
"Keratinization",0.799446781635641,0.872694701601214,0.733635702948039,0.730971214138916,0.730715183792216,0.836465400425486,0.734219801879971,0,0.80213981164689,0.733743966273981,0.734751960917392
"Aspirin ADME",0,0.701251538875212,0,0,0,0.697524732325579,0.648456455731611,0,0.700236558624787,0.644464994633922,0
"Phase 4 - resting membrane potential",0,0,0,0,0,0,0,0,0,0,0
"Ethanol oxidation",0,0,0,0,0,0.625369081008934,0,0,0,0,0
"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",0,0,0.443785883042627,0,0,0.477171516734101,0.483328515329554,0,0.479298325087467,0.44764428894434,0.48275535275898
"Termination of O-glycan biosynthesis",0.711825864973863,0,0.719588948744737,0.716798174810223,0.716199879460495,0,0,0.889321108854349,0,0,0.723301527884127
"Defensins",0,0,0,0,0,0,0,0,0,0,0
"Heme degradation",0,0,0,0,0,0,0.309105348010166,0,0,0,0
"Collagen biosynthesis and modifying enzymes",0.850028547524222,0.853289964706725,0.894049769487196,0.855058112045534,0.854801198008986,0.851876529382365,0.891926892085333,0,0.852499409435253,0.891142154408437,0
"Nucleotide catabolism",0,0.447543748624216,0,0,0,0.44131849888619,0,0,0,0,0
"Signaling by activated point mutants of FGFR3",0.757665271745224,0.6898790948168,0.763764967289852,0.761771771126668,0.76127765479755,0.686455917598963,0.764731077927193,0.692441288089262,0.762030712975948,0.764076597618378,0.766287932682733
"FGFR3 mutant receptor activation",0.757665271745224,0.6898790948168,0.763764967289852,0.761771771126668,0.76127765479755,0.686455917598963,0.764731077927193,0.692441288089262,0.762030712975948,0.764076597618378,0.766287932682733
"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)",0.542768670027685,0.554221473389395,0,0,0,0.54722429438065,0,0,0,0.537778629527745,0
"Defective GALNT3 causes HFTC",0.654013719216099,0,0.663131678186379,0.659853836161062,0.659151121542498,0,0,0.863038715154733,0,0,0.667492206201533
