"","PIK3CA","NCOA3","SMAD4","EPHB4","PAK3","SPTBN1","MEF2A","MEF2C","APC","IRF5","MYH2","UNC5D","DYNC2H1","COL4A5","NPHP4","GATAD2A","PHF12","PDGFD","OR5H15","OR8H2","OR51T1","CCDC129","ATF6","CER1","MAGI2","COL27A1","ADAMTSL3"
"Collagen chain trimerization",0.898352453774754,0.900307075771677,0.9306724550027,0.898211051316095,0.897994329882288,0.90068510147117,0.901974688320391,0.901234434949424,0.900602302557906,0.900657039144722,0.898483862831883,0.90157190900089,0.863970013935993,0.931694260140769,0.864172515490556,0,0,0.902099777245895,0,0,0,0.869109726839603,0,0,0,0.932250806375452,0.90056038386389
"Diseases associated with O-glycosylation of proteins",0.810298229460705,0.839745865155804,0.839490984350898,0.840179571396311,0.840249353126685,0.839744215994375,-0.0211808177264497,-0.0211808177264497,-0.0211808177264497,-0.0211808177264497,0.453007294083069,0.455317950303057,-0.0211808177264497,0.452678995064498,0,-0.0211808177264497,-0.0211808177264497,0.812481090190202,-0.0211808177264497,-0.0211808177264497,-0.0211808177264497,0,-0.0211808177264497,0,0.424341157291846,0.47972145766996,0.480384851574015
"RA biosynthesis pathway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.752406026286477,0,0,0,0,0,0,0,0,0,0
"Phase II - Conjugation of compounds",0.766209532481802,0.796662739818621,0.796420031932899,0,0,0,0.798017662554223,0.797416212221409,0.747030587798224,0.79694708244433,0,0,0.770562725685776,0.796984770187569,0,0.768393214905989,0.769468988869336,0,0,0,0,0,0,0,0,0,0
"O-linked glycosylation",0.882213015036019,0.883315536764351,0.883084950493423,0.88370790332453,0.883540613009144,0.883314044796432,0.833605022736208,0.833033610773309,0.858705147005285,0,0.884211785670254,0.88630219652469,0.882182590937339,0.883914779206903,0.858818273484849,0,0,0.885105626598826,0,0,0,0,0,0,0.858260851627256,0.908379629006766,0.908949163127394
"Glucuronidation",0.693743074671719,0.755392855162797,0.754911005027829,0,0,0,0.758082795380761,0.756888730658964,0,0.755957363119213,0,0,0,0.756645076514314,0,0,0,0,0,0,0,0,0,0,0,0,0
"Defective GALNT12 causes CRCS1",0.746424759703471,0,0,0,0.751989321623653,0.751367394605484,0,0,0,0,0,0,0.819945487948956,0,0,0,0,0.75548017300443,0,0,0,0,0,0,0,0,0
"Inwardly rectifying K+ channels",0.827660964757049,0.767931258043029,0.704069021831701,0.769609601241731,0.769200112869091,0.768645525781954,0.771082159810205,0.769683474212322,0.768489079824333,0.768592502893594,0.770125070070424,0.712662022910367,0.706547301265347,0,0.768498921497286,0.705870504744081,0.70837224007786,0,0.838547439967985,0.838547439967985,0.838547439967985,0.71387078970835,0.774893983229532,0.772055179099973,0,0,0
"Defective B3GALTL causes PpS",0.841967892768909,0.844244061513957,0.843768013514688,0.845659618302034,0.845314245528469,0.844846492856439,0,0,0,0,0.846094377652841,0.851015566349095,0,0.845481204405016,0,0,0,0.847939722494925,0,0,0,0,0,0,0.792553833196106,0.895989167228618,0.897228206554743
"O-glycosylation of TSR domain-containing proteins",0.841967892768909,0.844244061513957,0.843768013514688,0.845659618302034,0.845314245528469,0.844846492856439,0,0,0,0,0.846094377652841,0.851015566349095,0,0.845481204405016,0,0,0,0.847939722494925,0,0,0,0,0,0,0.792518376876055,0.895989167228618,0.897164976948553
"Activation of G protein gated Potassium channels",0.875990688256528,0.806098848921143,0.731371390869976,0.808062737572981,0.807583580766013,0.806934638828674,0.809785830361174,0.808149178944885,0.806751575888368,0.806872594874363,0.808665905854553,0.741426364916214,0.734271313162142,0,0.807067630279618,0.733479369649786,0.736406738519105,0,0.888729337384916,0.888729337384916,0.888729337384916,0.742840785637264,0.814246179568546,0.810924394596828,0,0,0
"G protein gated Potassium channels",0.875990688256528,0.806098848921143,0.731371390869976,0.808062737572981,0.807583580766013,0.806934638828674,0.809785830361174,0.808149178944885,0.806751575888368,0.806872594874363,0.808665905854553,0.741426364916214,0.734271313162142,0,0.807067630279618,0.733479369649786,0.736406738519105,0,0.888729337384916,0.888729337384916,0.888729337384916,0.742840785637264,0.814246179568546,0.810924394596828,0,0,0
"Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits",0.875990688256528,0.806098848921143,0.731371390869976,0.808062737572981,0.807583580766013,0.806934638828674,0.809785830361174,0.808149178944885,0.806751575888368,0.806872594874363,0.808665905854553,0.741426364916214,0.734271313162142,0,0.807067630279618,0.733479369649786,0.736406738519105,0,0.888729337384916,0.888729337384916,0.888729337384916,0.742840785637264,0.814246179568546,0.810924394596828,0,0,0
"Signaling by Retinoic Acid",0.718089841640716,0.775177691813232,0.720066775590303,0.607990771329738,0,0,0.722843177839584,0.721547618977899,0.720441288694633,0.720014654936963,0,0,0,0.722869393750011,0.659619754692603,0.721070446378964,0.732938218220723,0,0.665107363230295,0.665107363230295,0.665107363230295,0,0,0,0.668352179597798,0,0
"FGFR4 ligand binding and activation",0.858284515545222,0.685971676629989,0.774932550387467,0.778070473493895,0.77749754556849,0.776721605516173,0.692753228944428,0.69079628439745,0.77650271710828,0.693892585570677,0,0.786955285610107,0.692304255311123,0.695019674374039,0.77928679528433,0,0,0.781852865925863,0,0,0,0,0,0,0.698409043422112,0,0
"ADP signalling through P2Y purinoceptor 12",0.869296535701834,0.791651653877996,0.70988834438265,0.794386391288696,0.79346907778666,0.792753432257057,0.79589769271685,0.794092812800491,0.792940457616989,0.793073915930194,0.794662653153922,0.720976851400668,0.710931462406043,0,0.79346907778666,0.712201446298205,0.715429714228335,0.717197327750597,0.883344568010086,0.883344568010086,0.883344568010086,0.722536657922263,0.800816513318606,0.797542192969154,0,0,0
"TNFs bind their physiological receptors",0.295661666731399,0.163964446785694,0.295225066635257,0.298674871697066,0.165316616845275,0,0.167322242289756,0.165831716542145,0.294558791232656,0.29424601831136,0,0.174992041416528,0,0.29844944697899,0,0.16528273488967,0.165362357713425,0,0,0,0,0,0,0,0,0,0
"The canonical retinoid cycle in rods (twilight vision)",0.692976977278839,0.698156965528582,0.697365320472423,0.700510968769252,0.699936630363998,0.699158780040319,0.702576343506044,0.700614581196259,0,0,0,0,0,0.700214274991017,0,0.698181590168912,0.701690463138141,0,0,0,0,0,0,0,0,0,0
"Blood group systems biosynthesis",0,0,0,0,0,0,0,0,0.502750084138731,0,0,0,0,0.497674514355099,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glucagon-type ligand receptors",0.890167796769919,0.835521766643472,0.779921690183786,0.837057263769515,0.836682627509289,0.836175242083533,0.838404490875134,0.837124849311091,0.836032111454175,0.836126732045327,0.837528860345016,0.787126512642304,0.772932365143755,0,0.836682627509289,0.774497777900233,0.776786587136693,0.785356703938485,0.900127709266995,0.900127709266995,0.900127709266995,0.781817147728563,0.841891884818094,0.839294695169571,0,0,0
"Cytosolic sulfonation of small molecules",0,0.599133210519356,0.597980759290316,0,0,0,0.605566797822267,0.602710927798946,0,0.600483356220192,0,0,0.594773683476458,0.721699492948152,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ethanol oxidation",0,0.513303963657492,0,0.511330185484206,0,0,0,0,0,0,0,0,0,0,0,0.518758063918102,0,0,0,0,0,0,0,0,0,0,0
"G beta:gamma signalling through BTK",0.823480199606546,0.719386385794058,0.600003832712276,0.722311314678701,0.721597679726096,0.720631174310832,0.724877612855732,0.722440056634245,0.720358528465402,0.720538768789821,0.723209646835881,0.614979266270921,0.60016144866191,0,0.721597679726096,0.603143363059636,0.607503256760259,0,0.842452580119097,0.842452580119097,0.842452580119097,0.617085841925383,0.73152065965985,0.726573340063468,0,0,0
"Chondroitin sulfate biosynthesis",0.772814597607223,0,0.777558205644073,0.775674552319209,0.775053717495028,0.685341792356135,0.783191094789717,0.781070515097433,0.77925966604917,0.779416468164471,0.68824066782308,0,0,0.780637801508586,0,0.780289475692015,0,0.682955400264201,0,0,0,0,0,0,0.789319835301662,0.782079657351853,0.690118260208438
"Prostacyclin signalling through prostacyclin receptor",0.823480199606546,0.719386385794058,0.613551541173097,0.722311314678701,0.721597679726096,0.720631174310832,0.724877612855732,0.722440056634245,0.720358528465402,0.720538768789821,0.723209646835881,0.62727582170754,0.600172465678656,0,0.721328130736578,0.603154380076382,0.607514273777005,0.623904558739806,0.842452580119097,0.842452580119097,0.842452580119097,0.617096858942129,0.73152065965985,0.726573340063468,0,0,0
