"","SMAD4","TP53","CPT1A","PIK3CA","NLK","FLT4","COL6A5","KRAS","NTSR1"
"Collagen biosynthesis and modifying enzymes",0.931637293088343,0.904706949884596,0.907717131039675,0.904606508263722,0.907995776430628,0.932613964506198,0.932239257634702,0.903725755849629,0.906158862721422
"Assembly of collagen fibrils and other multimeric structures",0.877629820929122,0.850244419097454,0.850645084100856,0.850140582991633,0.853189325006393,0.879094568051508,0.876366912574653,0.848774996513392,0.849034153168202
"Collagen chain trimerization",0.901209992186006,0.849803887627587,0.855549885219487,0.849612159195996,0.856081778704605,0.903074315735304,0.903044018324124,0.847930931060641,0.852575377858324
"Activation of Matrix Metalloproteinases",0.863321500746047,0.861583319350246,0.865656784071374,0.861447398826502,0.865008148479575,0.863617454283116,0.863639186188665,0.862201989367275,0.863548090044855
"Glucuronidation",0.597493149569517,0.592010021320531,0.604859847890776,0.462108871669593,0.606049326119457,0,0,0,0
"Cytosolic sulfonation of small molecules",0.206869787831254,0.199666938169358,0.21654696810191,0,0.218109512778641,0,0,0,0
"Scavenging by Class A Receptors",0.626215945616319,0.512308335019357,0.531832512440832,0.521295609371214,0.534668878536121,0.631806561148993,0.631869927417779,0.522510777865443,0.527420841421269
"Phase II - Conjugation of compounds",0.54672940399027,0.586975494921901,0.550438725437067,0.471732736586488,0.551037658216954,0,0,0,0
"Post-translational modification: synthesis of GPI-anchored proteins",0.583882088985333,0.586592862080836,0.580394981148791,0.721837500162699,0,0.587843547545149,0.511205348787356,0.586294437564086,0.585635032437778
"Collagen degradation",0.77453447269131,0.770874352073436,0.710509514346269,0.770872416536979,0.777981618412894,0.777530575260753,0.839563199179269,0.772604089327572,0.649111453288521
"Metal ion SLC transporters",0.285312494488389,0.27465810623805,0,0,0,0,0,0,0
