"","MTOR","FOXO4","KRAS","TGFBR1","TLN1","COL18A1","ACVR1B","IRF5","BGN","APC","ABCA1","ADAM2","ITCH","POFUT2","TTN","OR10C1","KCNJ3","IFNA2","POLE","SNRNP200","PRODH2","WNK1","CP","NLGN4X"
"Interaction between L1 and Ankyrins",0.862930053268467,0.866173818207411,0.911227879970088,0.858182707311077,0.862855809226327,0.865732975506397,0.861715174275224,0.864940723837041,0,0.864868122233461,0.866206774537555,0.82114190406114,0,0,0.818105692399359,0.867601316284579,0.866124729021215,0,0,0,0,0.866863786815836,0,0.821080189178368
"Classical antibody-mediated complement activation",0.806882251002526,0.808918834289052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Complement cascade",0.778446130426877,0.779680121858545,0.768336742564354,0.76983284917835,0.768911867640812,0.769587881106229,0.770439395653454,0.769025516864805,0.770326383473493,0.736353138103558,0.771290484358421,0.774385069505867,0.76741495946342,0.772155063379062,0.771953806699213,0.772280372347342,0.77123224596481,0,0,0.768319908522673,0,0,0,0.771070424588783
"Regulation of Complement cascade",0.552454672849557,0.554172575478389,0.55199516464943,0.554077971238875,0.552795825703793,0.553736938647985,0.551668660405139,0.552954042605185,0.554765045590679,0.507734190024339,0.55610721977615,0.557161634918273,0.550711903216919,0.554057129255398,0.506891630351362,0.557485293508897,0.556026143127711,0,0,0.551971729118424,0,0,0,0.555800863307978
"Activation of Matrix Metalloproteinases",0.848297326795796,0.881522209149418,0.879950193767024,0.880596297039476,0.880528243383019,0.910169096301473,0.851105824801496,0.879784859401077,0.881092340980986,0.879733062525804,0.819230369898196,0.85025359224409,0.84853582319684,0.849980047171171,0.849624699138404,0,0,0,0.880073920691119,0,0.850779775138401,0,0.854017758751087,0
"Assembly of collagen fibrils and other multimeric structures",0.863740653200985,0.898318023967257,0.89669232181153,0.898247390389949,0.893068057048202,0.933207343875373,0.863405424472351,0.895353368141029,0.926854370158119,0.897869743410211,0.864703883931603,0.898442215041679,0.860160555220315,0.897828721320299,0.863865710881918,0,0,0.833624951395658,0.830342705916442,0,0.898682677816913,0.83431380281961,0,0
"Common Pathway of Fibrin Clot Formation",0.884441061177317,0.885428919840673,0.921957789088329,0.885338013014973,0.922727157937842,0.883868851125075,0.883022865182855,0.883595107596522,0.885998234466605,0.843242125230207,0.887287952510581,0.888964061230551,0.881440597654772,0.883931369515826,0.884038105360166,0.888612167041224,0.88721004457764,0.88425670398448,0,0.883314089073405,0,0,0,0.886330666116498
"NCAM1 interactions",0.848067426924833,0.848472734258779,0.894860937833643,0.849186168561886,0.847649486942831,0.896948494990685,0.842019359114679,0.89601017564574,0.898180705374009,0.846329419634459,0.847339077051442,0.849429638143504,0.845151856764747,0,0.797628261619658,0.848990730874563,0.847241904778886,0.849261190430349,0,0,0.850456910623199,0,0,0
"Collagen degradation",0.822525086100136,0.875118947575954,0.872587222979472,0.875008949096601,0.873518169614722,0.929923971502832,0.777125084267754,0.873702131968314,0.923921151968844,0.87361871330421,0,0.879396516110374,0.772922407388843,0.823754533445349,0,0,0,0.776908991361027,0.773811624251603,0,0.87814031082947,0.779995858964798,0.781814742451811,0
"Collagen chain trimerization",0,0.763805347682851,0.824368359450303,0.826698631275371,0.824846729065964,0.88990824622764,0.763948423543054,0.82575334122985,0.896092813982455,0.760941103207063,0,0.832149031650133,0,0.830542037525207,0,0,0,0,0,0,0.832414978116137,0,0,0
"Collagen biosynthesis and modifying enzymes",0.864639806197116,0.865972999446379,0.89691248241764,0.89821076304334,0.897178999824432,0.935521358315383,0.86556349333377,0.897684106994648,0.934254511787547,0.900396280833919,0.866988082179981,0.901247382691202,0,0.900247522986714,0,0,0,0,0,0.863846717122496,0.902743819079821,0,0.86875665140343,0
"Scavenging of heme from plasma",0.423145851963806,0.353944201048303,0.504041113409246,0.431849188165364,0.429489997883494,0.431221676894441,0,0.35170206017276,0.431844052876515,0.351570048360099,0.43145862820011,0,0,0,0,0,0,0,0.350253028875712,0,0,0,0,0
"IL-6-type cytokine receptor ligand interactions",0.791881041235652,0.796585799447944,0.790512989138603,0.793565459114094,0.791251775680064,0.795799675181875,0.703523249991897,0.794386907633081,0,0.794257442220138,0.710844530988198,0,0.787491253333919,0,0,0.713331320731708,0.710698224899499,0.869056131445945,0.704421693448251,0,0,0,0.715965057519466,0
"Glucuronidation",0,0.659145510741777,0,0,0,0,0,0.657038069403613,0,0,0.662491460167844,0,0,0,0,0,0,0,0,0,0,0,0,0
"Initial triggering of complement",0.772980325023701,0.770792324207677,0.767363924156695,0.770643366934543,0.768624589513499,0.692607315425904,0.770948292657094,0.691374621624003,0.771725186548657,0,0,0,0.687844304473559,0.772480910153945,0.77265580439534,0.698509214978037,0.696211738004599,0,0,0,0,0,0,0
"Creation of C4 and C2 activators",0.806882251002526,0.808918834289052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Regulation of FZD by ubiquitination",0.691866720276387,0.696082438289869,0.756820931110431,0.761023695438185,0.694748439447503,0.676048185644282,0.697621713154326,0.672546272139965,0.698617340202911,0.763110217386059,0,0,0.754231518632543,0,0,0.701814065260756,0.699227947991158,0.676862640839033,0.757166738204063,0.685662101151759,0,0.76789911659451,0.685265738945524,0
