"","FGA","APC","KRAS","POLR2G","TP53","EDNRA","STK11","RAC2","PDYN","ADORA1","APCS","SPTBN5","CACNA1A","MYH2","PIK3C2G","GLI3"
"Potassium Channels",0.943935738153235,0.944015914612106,0.943711909369339,0.943015211548649,0.943059313797639,0.958813277978341,0.944412789115515,0.943635171691917,0.958701052284254,0.958701052284254,0.944789469879597,0.945037301206201,0.959709089810326,0.944404818632907,0.944604689350108,0.94369984873389
"Interaction between L1 and Ankyrins",0.904342864516696,0.906124898363979,0.932766957024159,0,0.92414605557109,0.873610140196669,0.907870961363211,0.904793997445768,0.87336812150305,0.87336812150305,0.905707092946898,0.835610377168873,0.905368227965314,0.871358915587927,0.905785481522359,0.90492783160821
"Phase 0 - rapid depolarisation",0.829253287014064,0.866954638032636,0.862145209999291,0.825387013134358,0.888604640740266,0.864443648320952,0.86816994867796,0.862752720017891,0.864493595742673,0.864493595742673,0.86715694415219,0.899852759916387,0.899210782164462,0.83091979954832,0.866734572911861,0.897922357064192
"RA biosynthesis pathway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adrenaline,noradrenaline inhibits insulin secretion",0.890621827113267,0.890197447044101,0.890013816502444,0.925534673501629,0.888241099762153,0.927494053634325,0.892396818176405,0.889163193399678,0.927189202704859,0.927189202704859,0.890690395717616,0.890536449640029,0.929927445308396,0.891253869578878,0.929852345930244,0.891102352382741
"Cytosolic sulfonation of small molecules",0,0,0,0.825518855870728,0.75833657909979,0,0.766920680466122,0,0,0,0,0,0,0,0,0
"Scavenging of heme from plasma",0.603491992002635,0.599991286675129,0.6627723350519,0.595650401848833,0.593687332150186,0.598779336627981,0.603503463160585,0.598339686689757,0.598292520078326,0.598292520078326,0.663092270297244,0,0,0.66216036303911,0,0
"Phase II - Conjugation of compounds",0,0.788465904935895,0,0.82898631656327,0.827764980697235,0,0.830373143871742,0.787479970400159,0,0,0,0,0,0,0,0
"Neurotransmitter release cycle",0.896244030417791,0.897197004977091,0.895201074792193,0.893555731929926,0.9274648370024,0.895773560373168,0.899109125472212,0.895019848748327,0.895508524744743,0.895508524744743,0.898260229350161,0.896213749751965,0.897374782238778,0.896837470482192,0.897309491275363,0.896147441567595
"Glutamate Neurotransmitter Release Cycle",0.704003753883941,0.791789052777074,0.703106928167842,0.700315434995822,0.843141538856544,0.703205553127537,0.683161972067848,0.702799459569264,0.702755892960008,0.702755892960008,0.706203429103583,0.703604021888082,0.705573832760795,0.705883241543076,0.706684073303682,0.704712536611132
"Synaptic adhesion-like molecules",0.837092031556934,0.839715832430328,0.896595047915658,0.66286864322264,0.835676161478006,0.838535982065267,0.839983974694124,0.838107976685562,0.663487071815307,0.663487071815307,0,0.839244523559484,0.84231894459435,0.841358152039836,0.842202194735898,0.836973267921942
"Sensory perception of taste",0.865457655312186,0.865640048240446,0.864948468602043,0.86336355505738,0.86346388298966,0.896874595913002,0.866788692066282,0.864773898536341,0.894082807257669,0.894082807257669,0.867399804313427,0.895257594889297,0.898912472685139,0.866524763581641,0.86697944823468,0.89742519850564
"Sialic acid metabolism",0,0.427026353590536,0.379500709937018,0,0,0,0,0,0,0,0,0.381064985347927,0,0,0,0
"Glucuronidation",0,0,0,0.853528921834632,0.853681629052099,0,0.859797438448684,0,0,0,0,0,0,0,0,0
"Sensory perception of sweet, bitter, and umami (glutamate) taste",0.844486283708224,0.844705367202656,0.843874667869605,0.841970929599442,0.842091439721204,0.882223125793144,0.846085074769287,0.843664980902123,0.881916467235612,0.878869734737045,0.8468191197121,0.880280845255455,0.884670946378726,0.84576805384503,0.8463142038718,0.882884488825081
"Erythrocytes take up carbon dioxide and release oxygen",0.688739816796239,0,0.78066808244625,0,0,0,0,0,0,0,0.787899113862205,0,0,0,0,0
