"","CARD6","KLHL11","MARK3","MYH7B","MRPS9","MAP2","TBX3","FBP1","STX4","OR2L2","APC","ADNP","CLPB","AK7","MSLN","CLCNKA","PPP1R3D","PPP1R12A","DNAH5","EFEMP1","WNT5A","TP53","DNAH3","SSH1","HLA-DPA1","GPAA1","TMEM8A","CUBN","OR4C15","ALYREF","MSN","EPHX1","CACNA1D","NF1","DYNC1H1","TG","HGF","PDYN","CD1D","OR4F15","TBP","SEPT6","HTR7","ALK","MYBL1","ZNF326","ARAP1","DAO","PIK3CA","ARID2","PTP4A1","CXCL16","HCN4","CAPN2","IL7R","CNGA3","TONSL","DUSP6","KCNQ3","PUS10","OPRM1","TUBGCP6"
"Neuronal System",0.91539494414852,0.914821020260709,0.915031207563438,0.915198694844537,0.914612058541194,0,0.916694629004556,0.915102775202386,0.919792305395326,0.920534453950738,0.916846387900079,0,0,0.914928317946453,0.910198087308775,0,0.920230147725486,0.915146423555498,0.914977820682308,0,0.921364490292944,0.921186512583442,0.91527347613735,0.915333135802685,0.915258505099557,0.910273011353354,0,0.915352404592483,0.920164884631935,0.91460586956716,0.915417499617733,0.915345264924031,0.919999888008495,0.914963844615351,0.914766439462532,0.915521366958759,0.914805697692496,0.919881825201889,0.91542035967929,0.920164884631935,0.914884739984142,0.909963545678214,0.919652288013719,0.915213437779155,0.910445077346754,0.910922621030831,0.915385383086421,0.915495857126468,0.921524525545757,0.915373119556975,0.915037480347644,0.919514652855157,0.922199191998135,0.915248537251456,0.915040452894364,0.915484608100767,0,0.915290170833711,0.92021594412472,0,0.919871310473491,0.914994607314181
"Interaction between L1 and Ankyrins",0,0,0.918020557802616,0.890408361727997,0,0,0,0,0.915604140965093,0.919776028010511,0.918119911221087,0,0,0,0,0,0.918269035677771,0.889472087570411,0.918178684691296,0,0.891034256858449,0.941052702417551,0.918178684691296,0,0.942242246965339,0,0,0,0.919776028010511,0,0.890839742280251,0,0.917088254017526,0.917311587715282,0.94181676156459,0,0.91789173172843,0.890940996486703,0,0.919776028010511,0.91750556881366,0,0.891696942681297,0,0,0,0.918450099676048,0,0.915888725115078,0,0.891127604318141,0.890953936244942,0.945006426149897,0.91904648016242,0,0,0,0,0.944281215864433,0,0.890884234021666,0.918643949397269
"Transmission across Chemical Synapses",0.906558988967095,0.905656290355933,0.905974383151641,0.906371991847559,0.90538280405687,0,0.905135980222351,0.906082692026913,0.913179722866827,0.913743576008557,0.905365648764283,0,0,0.905818672290467,0.898660046301442,0,0.913897785436687,0.906148748475086,0.905893588631457,0,0.912298888872499,0.912548636777078,0.906341027030633,0.906431314643117,0.905854716489114,0.89877343468645,0,0.898806088663046,0.913184278009586,0.905330686074796,0.906055132679964,0.906449670585974,0.912934575784232,0.905313139563161,0.905573688988208,0.899061792555527,0.905784257041879,0.911637306156938,0.906630572481153,0.913184278009586,0.905752722370167,0.898305096206901,0.912408525672306,0.906250166312789,0.899033835539289,0.898883970912422,0.906565826233754,0.906677573480501,0.911886140377225,0.906491825168823,0.905983876243941,0.912759529679176,0.899770513396889,0.906303285074613,0.905988374830126,0.906660549454846,0,0.906407587858806,0.913521216425993,0,0.912739989398454,0.905359695148334
"Neurotransmitter release cycle",0,0.873619474764133,0.877073610438842,0.874703913138594,0.876729297557828,0,0,0,0.92052474896222,0.876849017641512,0.898780364675894,0,0,0,0.875417344459309,0,0,0.899100967502658,0.8983234808525,0,0.897120983096516,0.918369790099474,0.899686851268388,0,0.876015097247692,0,0,0.877278345958815,0.876849017641512,0.894445190538633,0.876443742175552,0.900017894400809,0.919777771768114,0.874817560535907,0.897348728326874,0.878057490356969,0.898585451413208,0.897687575553664,0.876849017641512,0.876849017641512,0.89825558709118,0,0.874485255861902,0,0.877240884399936,0.878668987417097,0.877979355146396,0.900712327566729,0.896741574647527,0,0.878734684178829,0.897698628827853,0,0,0,0,0,0.876337039497405,0,0,0.897639088473911,0.876251281089161
"Metabolism",0.928952598469344,0.930345663558926,0.928950123970836,0.93064737369018,0.930481005004075,0.925805487998666,0.928923105883125,0.930647365668794,0.930456100604764,0.930581636403988,0.930520804662263,0.929006862728418,0.928984687002089,0.930418425142905,0.928857338396209,0,0.930522811458294,0.930585799744628,0.928833921677668,0.927203763323037,0.930367562313357,0.930367680458558,0.929058060640449,0.928933623900041,0.928824179370362,0.9290160567124,0,0.930702739555531,0.930581636403988,0.930474004515598,0.930546639634475,0.930515189483441,0.927680012805493,0.930427819503371,0.928958896770394,0.929064525142894,0.928984931214969,0.930237219864419,0.929017062630049,0.930581636403988,0.928953482533654,0.927358977574241,0.930408923542335,0.928879606737297,0.928983029521625,0.92750505392511,0.928887913344362,0.924832264762142,0.930634868528713,0.928938472589207,0.928839513640427,0.930362549139433,0.927458000474388,0.928925136156447,0.928842665825064,0.928928283472592,0.929071328936024,0.928861145766131,0.928993958234094,0,0.930358198707421,0.928908827140526
"Biological oxidations",0,0.917468181658347,0,0,0.909338488907125,0,0,0.918488821229819,0.917957826753737,0.909985321160175,0.918132370397163,0,0.929307129981792,0.918059591148039,0,0,0.918905137984327,0.918433720213263,0,0,0.917537539752057,0.927337833517101,0,0.918543705266013,0.917628713194762,0,0,0.918811270357958,0.909985321160175,0.918086335535605,0,0.938138238883772,0.91715039602952,0.917953080190222,0.927589955433675,0,0.917992188026996,0.917758325419349,0,0.909985321160175,0.927547155891957,0,0.918036526469313,0,0.919603418537169,0,0.918934843102362,0.928605586473374,0.917628724812552,0.918988923953443,0.918543705266013,0.917763087470344,0,0.908010905662956,0.918104797839778,0.910393583015103,0,0,0,0,0.917386900254383,0.917657373661736
"Phase 0 - rapid depolarisation",0,0,0.904642878593706,0.875252828287298,0,0,0,0,0.904421570007006,0.906543178597994,0.904322503971665,0,0,0.904134236728379,0,0,0.904975000884186,0.903461194469193,0,0,0.90272258375326,0.922230958451275,0,0.875218938956154,0.9028248030318,0,0,0,0.906543178597994,0,0,0,0.933763016777455,0.903591542694602,0.902315203352047,0,0.904049215637495,0.902610886723252,0,0.906543178597994,0.903586712112455,0,0.903228942767026,0,0,0,0.904920176835059,0,0.901284496675705,0,0.872106438613774,0.902626384544429,0.938913699465388,0.871761669082166,0.904086859858685,0,0,0,0.904130852145389,0,0.902542902877146,0.903790441468213
"RA biosynthesis pathway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.884771785903425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects",0,0.799495356984003,0.730943051694502,0,0.798989237986306,0,0.738534542674943,0,0.802591625449471,0.806378491629579,0.802989218609725,0,0,0.80319843173346,0,0,0.803994611550924,0.802801443314237,0,0,0.801452726468304,0.860994233317384,0,0.735849004456564,0.728079667574715,0,0,0,0.806378491629579,0.800935398367882,0,0,0.799079328014162,0.803894648227443,0.798143284036601,0,0.802412073214985,0,0,0.806378491629579,0.863769739654715,0,0,0.811257294407677,0.810484909462052,0,0.807201378407758,0,0.860750101691331,0.871210642227146,0.871772342589768,0,0,0.732468043818512,0.802491572359961,0,0.811257294407677,0.80965089892852,0,0,0,0.801865579635108
"Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)",0,0.799495356984003,0.730943051694502,0,0.798989237986306,0,0.738534542674943,0,0.802591625449471,0.806378491629579,0.802989218609725,0,0,0.80319843173346,0,0,0.803994611550924,0.802801443314237,0,0,0.801452726468304,0.860994233317384,0,0.735849004456564,0.728079667574715,0,0,0,0.806378491629579,0.800935398367882,0,0,0.799079328014162,0.803894648227443,0.798143284036601,0,0.802412073214985,0,0,0.806378491629579,0.863769739654715,0,0,0.811257294407677,0.810484909462052,0,0.807201378407758,0,0.860750101691331,0.871210642227146,0.871772342589768,0,0,0.732468043818512,0.802491572359961,0,0.811257294407677,0.80965089892852,0,0,0,0.801865579635108
