"","LAMA3","PPARA","NCOR2","TGFB1","TP53","COL4A6","LAMA5","NCOA6","APOB","AR","ITGB4","ADCY3","COL6A3","LRP1","PPIB","BRAF","PAK4","PTPRJ","VASP","THBS1","F2RL3","KISS1","HTR2A","PTGFR","ECM1","ITIH4","CAMK2D","SPP1","UBR4","CFTR","VTN","TRRAP","PTGS2","TGFBI","CTGF","LAMC3","LAMA2","LUM","AP2A2","BSG","CLTC","GIT2","PTPN6","CHD9","ADAM10","P4HA2","PSMB4","ACAN","HDAC4","LAMA4","DVL2","LAMA1","AKAP9","HOXB3","KDM6A","PICALM","IGF2R","PLEC","TRAPPC6B","LMAN1L","FMOD","NRG1","FCHO1","SNX18","ADAMTS14","ADAMTS1","PLOD2","ADAMTS17","MED17","NR1H4","PTPRK","SELP","PTCH1","HUWE1","EPS8","CCNT2","CCL2","MED23","PKN1","RPS4X","NOTCH4","TLE2","FBXW7","CHST5","CBX4","TRIM33","UPF1","TAS2R38","GALR1","HTR1E","RXFP3","GRM8","ITPR3","DYNC2H1","PLIN1","CHEK2","ANK2","MDH1","TTN","TNFAIP3","C8B","PAX3","KDM4A","ABCB1","ELL3","ARIH2","SH3RF1","RNF123","HECTD1","FBXO31","TRIP12","CHST15","TPD52","AGAP2","PTPRF","ERLIN2","PLCD4","OBSCN","TPR","NEB","TMOD1","AAAS","MERTK","INHBC","ATP1A3","NT5C","ZBP1","ASH1L","STRN","MAP2K7","DSCAM","MDH2","MALT1","XRCC6","KLRD1","TAF1B","KIF26A","MUC16","CDH5","COG5","ABCC3","HAPLN1","KLB","MFAP2","MFAP5","ARAP2","MUS81","EP400","CEP192","HAUS3","NINL","CEP72","PLK4","CDK5RAP2","CEP164","IDI1","NTN4","SETD1B","RIOK3","CSTF1","ARFGAP2","EXOSC3","MASP1","RNF139","DOT1L","SH3PXD2A","HIPK1","ABCA3","RGS19","ANKRD1","ORC6","MAG","GTF3C1","CACNG7","RNF43","SLIT1","RAB2A","BEX1","RAB11B","USP43","USP39","SYF2","PRPF31","HNRNPUL1","HNRNPM","PRPF8","TPO","CTSA","WNK4","USP42","SESN3","FBXO43","VBP1","DICER1","GRIN3B","ARHGEF11","HSD17B1","WWOX","PHKB","PHKA1","CDH10","CDH9","SOD3","PLXNA3"
"Collagen biosynthesis and modifying enzymes",0.937478832533887,0.915528472489483,0.915156061900846,0.915043886303947,0.913795839422049,0.936875136051041,0.915279592411758,0.914915568134166,0.914873179431022,0.915785676487873,0.937028792056224,0.913574339649735,0.937163868516085,0.914815037633595,0.942255346119644,0.91354350507511,0.915247575959376,0.915284228330014,0.914186107726045,0.936867156458154,0.914941372035069,0.915028691092121,0.915006255368737,0.915006255368737,0.915771363673365,0.915771363673365,0.915337342602925,0.914666403980186,0.912424866532958,0.914391683947126,0.914626209127172,0.915494369198702,0.91619713354901,0.915941745692405,0,0.915381398290927,0.915381398290927,0.938059411494668,0.91341096511423,0.914754340869735,0.890848124332879,0.915887760014587,0.913319899707934,0.891895936092453,0.938336030990013,0.944356557568311,0.890926276434756,0.915639317328598,0.915166288714673,0.915807269412263,0.91454448156806,0.915756661679621,0.915147688278675,0.915844201306867,0.915533304545438,0.915021165520675,0.91498423373613,0.938015699839197,0.937874792193699,0.937837552084585,0.914732460630356,0.916425288366345,0.891276119874484,0.891177591519388,0.937874792193699,0.938336030990013,0.938509160190035,0.938364940758975,0,0,0,0.917052635275717,0.892770807031589,0.914433519874321,0,0.915028691092121,0.91647801128463,0,0,0.914554625168843,0.916042894384699,0,0.889570071472436,0.916127050396822,0.915662832565987,0.918246377887699,0.915308309820119,0,0,0,0,0,0,0.91492050367363,0,0.892300554784928,0.915551775128467,0.891197647726475,0,0,0.918000679972269,0,0.892004810734402,0.918116215183172,0.915587627637292,0,0,0,0,0,0,0.893195890505201,0.916156562770611,0,0,0.889920829532464,0,0,0.915021165520675,0,0,0.891101112640769,0,0,0,0.888614769297331,0,0.914070368118466,0.91627486159854,0,0.917117876508261,0.912928351317226,0,0.891773843419286,0,0.891085023877999,0.915472174917553,0,0,0.915494369198702,0,0,0,0.894210700596998,0.894160684327373,0,0,0.892148895752875,0.915472174917553,0.915472174917553,0.915472174917553,0.915461233887981,0.915461233887981,0.915450394289467,0.915298789224199,0.918000679972269,0.917158656025259,0.915206244746831,0.9155998283618,0.890620245892402,0.915540065551276,0,0,0.891358043914058,0.916040642732954,0,0.89490640946829,0.919674038551992,0,0,0,0.892489153612181,0.916815217163223,0.914226898881389,0,0,0,0,0.917101390549571,0,0.890833126531863,0.890905882247576,0.890798344322384,0.890784709426243,0.890731668856948,0.890579550139317,0.894124568411447,0.89396897753402,0,0.895176241654456,0.893926153487207,0.892883468678746,0.916130101619866,0,0.915691070562464,0,0,0,0,0,0,0,0.893394689860283,0
"Assembly of collagen fibrils and other multimeric structures",0.896907283994475,0.838649754347694,0.838176705308659,0.840388144097834,0.83927761551083,0.86643469022496,0.838000811844854,0.837871221660521,0.838703420974669,0.841330392101458,0.867892455046171,0.836642330521864,0.866514952209718,0.83862956721691,0.86697130382988,0.838820423246523,0.836157518574077,0.841168219494998,0.83963667975421,0.840447572065582,0.839645902682659,0.838014914423794,0.837986415778185,0.837986415778185,0.841312211460641,0.841312211460641,0.838406974437762,0.868044695247901,0.834707444810654,0.837680550020018,0.838823117048782,0.839873554650846,0.839499111163265,0.839994126469847,0.808123313581463,0.838193661682594,0.838193661682594,0.869011250190013,0.838788734616952,0.839278171701401,0.837825821723047,0.836970702896338,0.838816945734551,0,0.839959460021202,0.867186846691199,0.807627384975117,0.867557946747953,0.838189695767579,0.838734618172145,0.839753782622598,0.838736959433671,0.838166068839014,0.83905080420561,0.838655892195263,0.838005355178034,0.837958443125256,0.83702569696421,0.867034836256197,0.866987532558698,0.839532468324932,0.839314136948301,0.805588086614252,0.80546293242928,0.867327113158068,0.8400374640431,0.866751826464589,0.838332282250419,0.806203457063954,0.808998623125984,0.808670595522572,0.840585799571328,0.77878068029554,0.836172098314622,0.808380847958077,0.838014914423794,0.83985589195032,0,0.807563431555191,0.837412739200295,0.839303191147333,0.839413977011583,0.775453961531416,0.841303925337713,0.838820423246523,0.842102133458398,0.838370095975049,0.805917233198338,0.805909884503939,0.805902570807859,0.805902570807859,0.805866515559724,0.805942989612122,0.837877490956486,0.806400488647517,0.809373041711933,0.838679354180016,0,0.807025541734557,0.808432316792711,0.841790039317324,0.809859711004257,0.778486169154974,0.841936796209207,0.838724895298781,0.775541361530859,0.775541361530859,0.775535379394665,0.775535379394665,0.775511678699492,0.775511678699492,0.84095315029143,0.839447576732398,0.84229163361521,0.840851471120052,0.806341887514206,0.806133340726186,0.807433058126813,0.838005355178034,0.807148625217428,0.807065381716111,0.806613031925344,0,0,0,0.806379076168135,0.808902928886718,0.83661673806263,0.839597844067909,0.807782174050828,0.840668671281484,0.836835176135693,0.808653897288733,0.808703994394353,0.807148625217428,0.805804720214907,0.838578243190079,0,0.840195712046077,0.838606435147263,0,0.843303574107532,0.80706447575898,0.868433241500098,0.868369709073782,0.807237135898755,0.777720015611917,0.80918039907082,0.838578243190079,0.838578243190079,0.838578243190079,0.838564345509177,0.838564345509177,0.838550576669577,0.838358002578974,0.841790039317324,0.836774274170881,0.839562725863665,0.838740393088533,0,0.838664480262875,0.776455975868137,0,0.779573158226054,0.839119450234243,0,0.812683090060295,0.843915598289739,0.841427934786726,0,0.777772491311612,0.809145380017867,0.840284222727404,0.836996449733571,0.779085511105499,0.841790039317324,0,0.842783161349573,0.840647730236428,0.778577579056322,0,0,0,0,0,0,0.811689968028047,0.81014972754683,0.780183698819913,0.813025840401615,0.811437934406807,0.807858792043836,0.839413964847254,0,0.838856292143665,0.807237135898755,0,0,0,0,0.840908651804126,0.840908651804126,0.808060054928712,0.806912373192553
"Phase II - Conjugation of compounds",0.792722290541605,0.819056046671582,0.792395041502523,0.764855658540094,0.790784890734318,0.792690930289356,0.792983724471756,0.818772981684819,0.766175644289733,0.793140341941809,0,0.765249440136483,0,0,0.76329351529636,0,0,0,0,0,0,0,0,0,0,0,0.792609630855561,0,0.708656298708749,0,0,0.792795509634775,0.819974930115643,0,0.794591613132592,0,0,0,0,0,0,0,0,0.819776160338769,0,0.792407166558502,0.791563243381066,0,0.792849602269141,0,0,0,0.792827584175206,0.793652075024968,0.793284053861481,0,0,0,0,0,0,0,0,0,0,0,0,0,0.793157497725071,0.795762331813005,0,0,0,0.708650829258023,0,0.766359729779046,0.764536983427235,0.793402801157374,0.793627400429226,0.7412174199492,0.793444821246207,0.793990518210029,0.708602511690902,0,0.766940402926958,0,0.742109587178571,0,0,0,0,0,0.792244680723272,0.792016084202221,0.793533010809498,0,0,0.793589661553247,0,0.767734755151376,0,0.797007240279471,0,0.770014557841773,0.767021365740526,0.708683960339312,0.708683960339312,0.708678385546283,0.708678385546283,0.708656298708749,0.708656298708749,0,0.793729675701024,0,0,0,0.792964642508843,0.768120063462872,0,0,0,0,0,0,0.764371845754705,0.795169005810181,0,0,0,0.762546407781942,0,0.793535468064199,0,0,0,0,0,0,0,0,0,0,0,0,0,0.767937482218358,0,0,0,0,0,0,0,0,0,0.769877794105333,0,0,0,-0.020868165374149,0,0,0,0,0,0,0,0,0,0.795159776254684,0,0,0,0,0,0,0,0,0,0,-0.020868165374149,-0.020868165374149,-0.020868165374149,-0.020868165374149,-0.020868165374149,-0.020868165374149,0.769115927882277,0,0,0,0,0,0.793990506874009,0.793461511611048,0,0.767937482218358,0.843892981470525,0,0.742577118144923,0.740460108856218,0,0,0.792914501509132,0
"O-linked glycosylation",0.421500502919587,0.421263508984321,0.420755908115101,0.420603011199094,-0.0240285746826095,0.421464393268848,0.421801530087168,0.420937574813658,0.420879798415193,0.357664142360425,0.451078209979718,0.385881959345542,0.421518872673279,0.423342523926112,0.422040201503969,0.421446643657992,0.421390106148176,0.42347257435877,0.422322520107616,0.450836362372244,0.385360263179162,0.385479280281821,0.385448700075353,0.385448700075353,0.421594573083533,0.421594573083533,0.385899976631362,0.422630471081992,0.382439693876622,-0.0240285746826095,0.42292238450614,0,0,0.425300101749551,0.423794605778234,0.42194029293209,0.42194029293209,0.855701332812001,-0.0240285746826095,0.423172189194334,-0.0240285746826095,0.422262686017817,0.421217025719419,0.422092681301184,-0.0240285746826095,0.421835529822488,0.35632390631824,0.885892451371741,-0.0240285746826095,0.42252076125915,-0.0240285746826095,0.422451782207903,-0.0240285746826095,0,0,-0.0240285746826095,-0.0240285746826095,0.422232260606252,0.386937181874093,0.386886423081693,0.854097489315733,-0.0240285746826095,-0.0240285746826095,-0.0240285746826095,0.452482958767081,0.452784132646225,0.421368735416552,0.452821589641732,0.421633835616501,0.389530142918127,0.389687619035266,0.42435989046384,-0.0240285746826095,0,-0.0240285746826095,0,0,0.421916289379796,0.358224964120742,0,-0.0240285746826095,-0.0240285746826095,0,0.422588842173749,0,0,0,0.386923289062108,0.386915403613969,0.38690755572045,0.38690755572045,0.386868866971963,-0.0240285746826095,-0.0240285746826095,0,0,-0.0240285746826095,0.387679655847265,0.387687291290364,0,-0.0240285746826095,-0.0240285746826095,0,0,0,0,0,0,0,0,0,0.390617354206332,0,0,0,-0.0240285746826095,0,0.388124572962794,-0.0240285746826095,0.387819364876264,0.387730041211827,0,0.390963588337174,0.389032484132617,0,0,0,-0.0240285746826095,0,0.358142742010632,0.359989412806272,0,0,0,-0.0240285746826095,0,-0.0240285746826095,-0.0240285746826095,0.358972445215588,-0.0240285746826095,0.391473051421583,0.425044226819623,-0.0240285746826095,-0.0240285746826095,-0.0240285746826095,0.359067420778521,0,0,-0.0240285746826095,-0.0240285746826095,-0.0240285746826095,-0.0240285746826095,-0.0240285746826095,-0.0240285746826095,-0.0240285746826095,0,0.360412780925563,0,0,-0.0240285746826095,-0.0240285746826095,0,0.389141590021254,0,0,0.387219304046646,0,0,0,0,-0.0240285746826095,0,-0.0240285746826095,0,0,0,-0.0240285746826095,0,-0.0240285746826095,0,-0.0240285746826095,0,-0.0240285746826095,-0.0240285746826095,-0.0240285746826095,-0.0240285746826095,0,-0.0240285746826095,0,0,0,0,0,0,0,0.359067420778521,0,0,0,0,0,0,0,0.358718937178819
"Post-translational modification: synthesis of GPI-anchored proteins",0.79637778539255,0.711602974794174,0.710932561590348,0.795192424341715,0.792120563029656,0.796330093617163,0.796102493919926,0.711172497651913,0.794885117983934,0.795702665910437,0.794894750210748,0.792061196131176,0.796402047221425,0.798137759577035,0.795440334718037,0.795481522393699,0.712255929494423,0.714520595083952,0.796790590828244,0.795276646675907,0.710546077088736,0.710703268776028,0.710662880007144,0.710662880007144,0.712040227283055,0.712040227283055,0,0.79719731668683,0,0.794691202972798,0.79825573369348,0,0.712806697826947,0.800050355280807,0.798061973387314,0.796285764771252,0.796285764771252,0.714530841362279,0.794791697858712,0.714123861759242,0.793246827624659,0.713408388249861,0.711541582081047,0.757774157986106,0,0.71441392165734,0,0.760235880883819,0.795260517325187,0.797052417577544,0.794293396389213,0.797634186305325,0,0.712844222246985,0.712284546179096,0.79515152240828,0.795085037843245,0,0.759230656663521,0.759163617052876,0,0.713217421922138,0.796044111645199,0.795866740989737,0,0,0.713797403538108,0,0.757168138130382,0,0.716261426843839,0.7994814451406,0,0,0.715540259716548,0,0.713985206393982,0.757541188579792,0.79726849898609,0.791756661292452,0,0,0,0,0.795481522393699,0,0.793113443717961,0.710133354252562,0.71012293955694,0.710112574461535,0.710112574461535,0.710061476346071,0.756533662624723,0.794970311042547,0.757496625680896,0.796406525497894,0.796106725342876,0,0,0,0.71605344046198,0.717946661680001,0.797492331427171,0,0,0,0,0,0,0,0,0,0.79719546350762,0.761283193801922,0.715396158252596,0.757480027258073,0.756803431485246,0,0.794326393960827,0,0,0.794677847537547,0,0,0.713734069741007,0.712718494151771,0,0,0,0,0,0,0,0,0.83697199083679,0,0.795963429115399,0,0,0.796003383240189,0,0,0.713985206393982,0.714610634327158,0.714520595083952,0.79838117254769,0,0,0,0,0,0,0,0,0,0,0,0,0,0.793812191653363,0.794435388877736,0.792885239563425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.715396158252596,0,0.798642455942048,0,0.794195419187403,0.794326393960827,0.794132804285453,0.794108258757788,0.79401277517306,0.793738931195578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collagen chain trimerization",0.857583753777494,0.860027141475204,0.859226163097047,0.858984896520816,0.856300605048372,0.907152851118507,0.856317885647469,0.859512827494999,0.85861774124009,0.860580334235483,0.906269895096805,0.85662812161129,0.907209186355904,0.858492690223748,0.908089466931523,0.85575788590415,0.856249024860784,0.859501822655884,0.857139991689674,0.85828160453555,0.858764409468811,0.858952214753713,0.858903960139378,0.858903960139378,0.859745633427261,0.859745633427261,0,0.858173009886295,0.853351925084088,0.858386060643357,0.858086559046389,0.859953792329467,0.861465293523878,0.861034605980513,0,0.856536849099294,0.856536849099294,0.908486544975969,0.803387602576858,0.858480743071946,0.803513513636196,0.857625928745665,0.855395555941405,0,0.857051785085528,0.908346854774312,0.802247384845778,0.857348835240779,0.860052075760416,0.857452810058727,0,0.857343963262071,0.802990054547369,0.861510125948018,0.860841451126889,0,0,0.856997565004851,0.85605975555069,0.855979659755589,0.858572339597864,0,0,0,0.908584357438669,0.859427410886328,0.907610267725566,0.859489589837633,0,0,0,0.863305301317633,0,0.857672124199619,0,0.858952214753713,0.862873320506761,0,0,0.857932596713969,0,0,0,0.861571814595141,0.860316122292213,0.865872795504038,0.859553616975046,0,0,0,0,0,0,0.858719525926801,0,0,0.86007726064622,0,0,0,0,0,0,0.865592842368575,0.860154371999247,0,0,0,0,0,0,0.808472484870784,0,0,0,0,0,0,0,0,0,0,0,0,0,0.802820215985908,0,0.856763024931651,0.862436387425233,0,0.864249538650662,0.857132889700525,0,0,0,0,0.804787532345933,0,0,0.859953792329467,0,0,0,0,0,0,0,0,0.803687958392405,0.803687958392405,0.803687958392405,0.803664426494039,0.803664426494039,0.803641112752963,0.803315041521361,0.865344349955435,0,0.859206061320341,0,0,0.860052075760416,0,0,0,0.861000679320083,0,0,0.869747316078492,0,0,0,0,0.862794663917693,0.804042933895745,0,0,0,0,0,0,0,0,0,0,0,0,0,0.810225825293777,0,0,0,0.807891119598232,0,0,0,0,0,0,0,0,0,0,0,0
"Defective B3GALTL causes PpS",0.810439414745338,0.809983735037094,0.809007746281387,0.8087137639818,0.737990099955695,0.810369984972399,0.811018214248132,0.809357045634144,0.809245956156828,0,0.867309903471411,0.742092841325884,0.810474735159734,0.813981157675978,0.811477119331301,0.810335856936645,0.810934307671693,0.814231211936413,0.812019946972851,0.866865526768064,0.740992235189538,0.741221075132446,0.741162277089594,0.741162277089594,0.810620288001919,0.810620288001919,0.742029968362575,0.812612059214033,0.735376715255687,0.740531218750833,0.813173335281284,0,0,0.81774508729067,0.814850397330766,0.811285020285249,0.811285020285249,0.811960957243892,0.740677519387662,0.813653646844136,0.740830941479299,0.812612059214033,0.809894359414191,0.811578024777075,0.74523303685612,0.811083587184591,0,0.870010881945242,0,0.812401114828439,0.739952091206344,0.812268485468486,0.741532934997823,0,0,0.741201352618276,0.741104564268147,0.811846400661626,0.744024253076512,0.743926656689981,0.81099842418731,0.744881183833659,0.742500785645143,0.742242569123844,0.8700698716742,0.870661983915383,0.810186058990595,0.870735827812258,0.810695779974098,0.749009864757705,0.74931265170891,0.815937297551748,0.746417961749006,0,0.748262775299548,0,0,0.811238867493642,0,0,0,0,0,0.814653271746498,0,0,0,0.744095056365261,0.744079894632522,0.744064805107869,0.744064805107869,0.743990416378878,0,0,0,0,0,0.745451843715463,0.745466524751414,0,0.752713528585437,0,0,0,0,0,0,0,0,0,0,0.751058890178234,0,0,0,0,0,0.746307307384478,0,0.745720469026495,0.745548722094218,0,0.751766019633998,0.748052992127475,0,0,0,0,0,0,0,0,0,0,0,0,0,0.743975055222598,0,0,0.752745588960969,0.819374358629178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.748262775299548,0,0,0.744566703030489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O-glycosylation of TSR domain-containing proteins",0.810439414745338,0.809983735037094,0.809007746281387,0.8087137639818,0.737948691618697,0.810369984972399,0.811018214248132,0.809357045634144,0.809245956156828,0,0.867309903471411,0.741953917318216,0.810474735159734,0.813981157675978,0.811477119331301,0.810335856936645,0.810934307671693,0.814231211936413,0.812019946972851,0.866844891372727,0.740950826852541,0.741179666795448,0.741120868752597,0.741120868752597,0.810620288001919,0.810620288001919,0.741988560025578,0.812612059214033,0.73533530691869,0.740489810413835,0.813173335281284,0,0,0.81774508729067,0.814850397330766,0.811285020285249,0.811285020285249,0.811960957243892,0.740636111050664,0.813653646844136,0.740789533142302,0.812612059214033,0.809894359414191,0.811578024777075,0.745191628519122,0.811083587184591,0,0.870010881945242,0,0.812401114828439,0.739910682869346,0.812268485468486,0.741491526660826,0,0,0.741159944281278,0.74106315593115,0.811846400661626,0.743982844739515,0.743885248352984,0.81099842418731,0.744839775496661,0.742459377308145,0.742201160786847,0.870010881945242,0.870589963537457,0.810186058990595,0.870661983915383,0.810695779974098,0.748968456420708,0.749271243371913,0.815937297551748,0.746376553412008,0,0.74822136696255,0,0,0.811238867493642,0,0,0.746519775592387,0,0,0.814653271746498,0,0,0,0.743956132357593,0.743940970624854,0.7439258811002,0.7439258811002,0.74385149237121,0,0,0,0,0,0.745410435378466,0.745425116414417,0,0.752574604577769,0,0,0,0,0,0,0,0,0,0,0.751058890178234,0,0,0,0,0,0.746265899047481,0,0.745679060689498,0.745507313757221,0,0.751724611297,0.748011583790478,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7439336468856,0,0,0.752704180623972,0.819374358629178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74822136696255,0,0,0.744525294693491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diseases associated with O-glycosylation of proteins",0.68785152286586,0.687490045373881,0.730440965084794,0.735169285027687,0.679843318178396,0.69051969576408,0.688310667718799,0.686992910852572,0.736368521566701,0.590641908367893,0.782428966370287,0.633634169101655,0.687670804151168,0.690661084776651,0.688674703807128,0.687769373460732,0.7371468738028,0.740323180340126,0.689105313226188,0.782076455224161,0.632761090185422,0.632942622272829,0.632895979491334,0.632895979491334,0.736681675219136,0.736681675219136,0.633647525939672,0.68957501868825,0.62830646114418,0.68185911399346,0.690020262708177,0.585639005506432,0.586266736450475,0.69364690093763,0.691350627375667,0.688522317207238,0.688522317207238,0.787345805281828,0.681975170044057,0.690401279935776,0.682096875338139,0.68901405065151,0.687419146285274,0.688754749169705,0.68164104459427,0.688362526172634,0.588597699250704,0.833395126353171,0.630172981074496,0.689407682627257,0.681399708914562,0.689302471603964,0.633190011656087,0.587143353430532,0.58649701413215,0.682390711748003,0.682313932357953,0.688967643972569,0.635166302007653,0.635088881625768,0.786342063630201,0.685309815088745,0.683421514267951,0.683216678593204,0.735154634297531,0.735624339759593,0.687650543096196,0.735682917980562,0.688054889963947,0.639121243107498,0.639361435211174,0.69221283378689,0.68652889642267,0.583433551178576,0.687992333489001,0.584638225329603,0.587627731576152,0.68848570553668,0.591497307655387,0.583685323216124,-0.0366498362177862,0.632176721299001,0.58334869317167,0.693677310787905,0.585167913347239,0.591360298185758,0.585252197076335,0.635222468202412,0.635210440839715,0.635198470757597,0.635198470757597,0.635139460337119,0.636363039385706,-0.0366498362177862,0.586934246213001,0.587057468205382,0.635935916216801,0.636298768243048,0.636310414282929,0.588038675303562,0.690745923014643,0.643213448392317,0.588311406121927,0.591089696231808,0.585800227316326,0.583491737831843,0.583491737831843,0.58348194706932,0.58348194706932,0.583443156933069,0.583443156933069,0.640746675525519,0.586182391768579,0.590837164685163,0.589257162753704,0.639211393068369,0,0.636977382752231,0.583833918660527,0.636511860908702,0.636375619050195,0.584239793185497,0.64130762080693,0.638362183811547,0.584417683429401,0,0.589292329076012,0.583405924161625,0,0.591371897517299,0.594188551567834,0,0,0.585129178726524,0.642101145829231,0.586399213827941,0.635770431236395,-0.0366498362177862,0.592637411055771,0.635816572071185,0.642084684733911,0.742694669184071,0.640394029116173,0.633622261254056,0.633518279853708,0.592782273531891,0.587057468205382,0.585908894349919,0,0,0,0,0,0,0,0,0.594834298243899,0,0.585858249995089,0.583240094522421,0.635911572573365,0.584988656572116,0.638528598715542,0.59009044483218,0,0.63559661181812,0,0,0.589423577657699,0.588969943106748,0.637320919995286,0,0,0,0.589292329076012,0.590016222049655,0.589269125497529,0,0.592644217407422,0.588461013654628,-0.0366498362177862,0.583833918660527,0.583610352526232,0.583582006238014,0.583471737465234,0.583155490024211,0,0,0.591089696231808,0,0,0.588822347002592,0,0.589615689782813,0,0.592782273531891,0,0.591850953107346,0,0,0,0,0,0.592250745256812
"Cytosolic sulfonation of small molecules",0.754452879005543,0.752561762334782,0.6498289192751,0,0.643519822689349,0.754329999294961,0.755477262528307,0.751452621267498,0,0.65274924981166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.650669750445277,0,0,0,0,0.651398084210326,0.65465770403887,0,0.658435804322932,0,0,0,0,0,0,0,0,0.755383402872247,0,0,0.748659795685729,0,0.651610036818449,0,0,0,0,0.654754387163719,0.653312360049311,0,0,0,0,0,0,0,0,0,0,0,0,0,0.652816471773566,0.663023062470006,0,0,0,0,0,0,0,0.653777650737534,0.65465770403887,0,0.653942299169361,0.656080518098477,0,0,0.65217946495644,0,0,0,0,0,0,0,0.75431513043798,0.750434173921018,0.654287854681085,0,0,0,0,0,0,0.66790102042925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.754150935165919,0,0,0,0,0,0,0,0,0.754209868186924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.660662052997605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.758170606796363,0.654007697469885,0,0,0.757941920137762,0,0,0,0,0,0,0
