"","GSDMD","EPHB1","ADCY2","ABLIM3","RGS6","NCOA2","JARID2","SCN1A","MAML3","NUP153","ESYT3","OR9A4","KLHL5","GRB10","EFCAB6","SMAD9","APC","OR8H1","WDFY4","NOP58","SMU1","PIK3R3","PERP","WDR26","BOD1L1","DBH","ADAMTS16","TP53","CENPJ","CENPF","STOML2","DYNC2H1","PDE10A","SCN5A","MSN","CACNA1B","NDUFS1","MCCC2","OR4K17","GLUD2","AP5S1","ARAP1","DGKB","CD40","CCR5","ZNF540","THBS2","ZMYM3"
"Biological oxidations",0.857742508931006,0.883201426691073,0.858978349541717,0.858289398191605,0.87305007727775,0.89924170199278,0.859864389665418,0.871116042817183,0.872305476059192,0.870556727676264,0,0.871938957482985,0.870366896119807,0.871399542083547,0.861056274853969,0.871301425728309,0.871210809496519,0.871938957482985,0,0,0,0.870190581979804,0.849892953002567,0,0.860303888428864,0.897617818466548,0,0.871229719249699,0.87033179987295,0.857939291910269,0.870204151098617,0.883773449246614,0.860361173332628,0,0,0.858563364104405,0.860112567541577,0.884733332052944,0.871938957482985,0.88481544386052,0,0.859073979838072,0.884100448464685,0.871399542083547,0.870979865194496,0,0.870910390943277,0.848551333554159
"Phase II - Conjugation of compounds",0,0,0.782513896015042,0,0,0.822333981766511,0.765155692356935,0,0.803856282544114,0.762909383512909,0,0,0.740220411868022,0,0,0,0.76435939954634,0,0,0,0,0.778714432831501,0,0,0,0.803277613133376,0,0.801594471684784,0,0.763406257778893,0,0.80251484300313,0.784773123740868,0,0,0,0.785435890455513,0,0,0.823396020288114,0,0.765260086476018,0.784361698776904,0.781259134351498,0.779853683490659,0,0,0.749229835364462
"Activation of Matrix Metalloproteinases",0,0.885870326223832,0.883911613733898,0.888528785525809,0,0.885294082127953,0.829573550840363,0,0.886853289223701,0.857786327202326,0,0,0.854792292365457,0.886214518928455,0,0.858207466779354,0.884780478818417,0,0,0,0,0.884130901379317,0.861340166732307,0.888188205411972,0,0,0.885659032168691,0.88371300760172,0,0.855878120834585,0,0.855145281474139,0,0,0.859195607043396,0,0,0,0,0,0,0,0.858772448107191,0.857714473057772,0.884525053342828,0,0.885661003568648,0
"GPCR ligand binding",0,0.916045332569534,0.925366328191205,0.916918920184704,0.916196361151114,0.915740529964938,0.904844876927574,0.926407120631065,0.904889612395899,0.915480235189524,0,0.927087130077814,0.91567813117816,0.916603862531896,0.90550737172055,0.916401500805208,0.925339696122008,0.927087130077814,0,0.9158580262903,0.905435509883178,0.925446213851463,0.906967802011878,0,0,0,0.916401500805208,0.91516455049193,0.915706154568073,0.915934886358909,0,0.904716903848466,0.915646689796174,0.915849300865897,0.916951597691381,0.926217848893332,0.904513446513606,0,0.927087130077814,0,0.916460404478068,0.916500091071069,0.916017697706084,0.916819510209358,0.936740991363423,0,0.916162257736562,0
"Signaling by GPCR",0.9248756860267,0.924949454403652,0.931431583010253,0.925062610774831,0.932309026904675,0.924999721384502,0.917727372972286,0.931615458827309,0.925365138899287,0.924963080285058,0,0.932052926371832,0.924713224316264,0.925039562464454,0.925473333166755,0.925185343089425,0.930928757221655,0.932052926371832,0.912235903198981,0.924828955462876,0.918085876188409,0.931499703398032,0.91905246602435,0.918082888311788,0,0,0.925424940904432,0.924443862804151,0.931318709619206,0.9247143219192,0.918473029525333,0.924810645896131,0.931988280227955,0.931686993641786,0.925172536567739,0.931493695456594,0.918590009204336,0.917810909926967,0.932052926371832,0.918411117754549,0.925030737775624,0.931758532321764,0.932024186822658,0.925555125401285,0.931052443112474,0,0.924931340271768,0
"GPCR downstream signalling",0.922146498610094,0.922227315390408,0.92932879688156,0.922351283599665,0.930290078576807,0.922282385268807,0.914316362448489,0.929530241621512,0.922682717609505,0.922242243194296,0,0.930009508211077,0.921968514046736,0.922326033074802,0.922801249597143,0.922485742712303,0.922150515669407,0.930009508211077,0.90829901281479,0.922095303045459,0.914707937634,0.929403426019971,0.915766882966018,0.914704664272454,0,0,0.922748233562435,0.92167341564484,0.929205138690553,0.921969716523178,0.91513208260601,0.922075244040578,0.929938685272799,0.929608611427453,0.922471712556126,0.929396844033171,0.9152602394316,0.91440669896152,0.930009508211077,0.915064255304057,0.922392069539935,0.929686985468234,0.929978022662285,0.922890856896673,0.928913431014876,0,0.922207470493754,0
"Class A/1 (Rhodopsin-like receptors)",0,0.904756626434146,0.917783720038231,0.905956927460592,0.90365790187862,0.90445938445528,0.888726299344736,0.904709207600629,0.888789642687579,0.903962505221296,0,0.905766613528148,0.904065683591733,0.905681823223095,0.889901237524438,0.905089941345242,0.904431330614813,0.905766613528148,0,0.904320406704978,0.889562608144049,0.917896834418286,0.891732262543096,0,0,0,0.905089941345242,0.903643824305902,0.904056065517853,0.904563581323156,0,0.887427879764437,0.902748610906749,0.904866655022368,0.905868852955262,0.905188860690142,0.888257009290853,0,0.905766613528148,0,0.905489461331644,0.905363884912225,0.904612356998475,0.905681823223095,0.933889714141467,0,0.904885528620609,0
"Adrenaline,noradrenaline inhibits insulin secretion",0,0.844671935759392,0.893470891626538,0.849808783194534,0.90142199762002,0.843558479554241,0,0.898991362406533,0.781913561310104,0.838764527715117,0,0.902598202864941,0,0.848137684808605,0.852982147760887,0.845505147348004,0.844093960271571,0.902598202864941,0,0,0,0.89389461343341,0,0,0,0,0,0.841390753925117,0.842401822009449,0.84458936597571,0,0.844060655332647,0.841916923998676,0.846997446819671,0.786980362716265,0.897987445527796,0,0,0.902598202864941,0,0,0.847587270244323,0.846628132495113,0.843993827526569,0.894656219413728,0,0,0
"Extracellular matrix organization",0.807887870108472,0.829611347425798,0.827331621141459,0.830240503819229,0.819277641234176,0.828958803601417,0.808633282443897,0.819122032049523,0.838723140033011,0.819200472992945,0,0.830638987981786,0.817402344947569,0.829621804584372,0.819269640592066,0.829824325867141,0.836835101591187,0.830638987981786,0,0.829685271897529,0.828289040004811,0.826663362271064,0.819715203172481,0.830950860464233,0.819228003973856,0,0.827926232574179,0.827597607952656,0.829753391941213,0.828979897842227,0,0.829598179276312,0.817905792357294,0.819238249876239,0.829759858220077,0.817726823311821,0.818752534748402,0.818937180997807,0.830638987981786,0.81911761735043,0.81848029137741,0.829875004555251,0.819724750730046,0.818947541510547,0.829255041481148,0,0.838827098623668,0
"G alpha (s) signalling events",0.912068168475256,0.912550365580863,0.936185249436546,0.914092217161494,0.934463593384076,0.911873073643858,0,0.935141033260985,0.913036423841595,0.911562100160297,0,0.934917768280635,0.910948893288408,0.913641268507557,0.915157176565567,0.913226810650371,0.912079841893237,0.93653376331314,0,0.91191939615739,0.890140678470142,0.933172996264336,0,0.889945014711625,0,0,0.889014571239615,0.910940754482722,0.93258030176688,0.912518482435362,0.890402258996337,0.911971698870042,0.936383558817452,0.935368772866233,0.913911797404777,0.934753385062235,0.888430904212496,0.889576611995195,0.93653376331314,0,0.913610373604012,0.913074021479654,0.91286405421235,0.913286556221253,0.931851084529643,0,0.912245350395627,0
"Glucuronidation",0,0,0,0,0,0.913735352567044,0,0,0.873298610518415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.872969971360838,0,0.868258629207512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.819683823327637,0,0,0
"Regulation of insulin secretion",0.841657779987786,0.842456813288349,0.87368097763235,0.845011765906524,0.878768517639004,0.875390214126443,0.772368602131495,0.877213268105124,0.844239875306155,0.840819190474685,0,0.879521116239058,0.804439047434621,0.843942508384307,0.847042253136886,0.843577728636559,0.841677123632928,0.879521116239058,0,0.841048853293762,0,0.873952097354049,0.783918604247847,0,0,0,0.844555359157946,0.840767209076444,0.875647775728054,0.842403980754338,0,0.841497923310589,0.84038199325928,0.877590648073468,0.844390793110883,0.876570908754347,0,0,0.879521116239058,0.804709941684059,0.807858912391399,0.843590323906032,0.841443403812811,0.843942508384307,0.87443941331957,0,0.876821493729138,0
"Regulation of FZD by ubiquitination",0,0.726992091239569,0.720129289756765,0.73392580156383,0.730553476410943,0.724246673454651,0.713434070287384,0.727580814398157,0.713690949327379,0.718694199547206,0,0.732141116797996,0.778296098862711,0.713946423883927,0,0.728345972714645,0.784880690151553,0.732141116797996,0,0.77948069229187,0,0.722455377815476,0.721683189698467,0.715313780031027,0,0,0,0.793905061074145,0.720079763740275,0.722870175426637,0.717251087968027,0.707245538827992,0.724318852468613,0.707888158496884,0.728131839701034,0.726225728635014,0,0,0.732141116797996,0,0.728318118054255,0.730927206127069,0,0.713946423883927,0.721729243740106,0,0,0
"Ethanol oxidation",0,0.756132944678518,0,0,0,0.830059177285185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.836194843885804,0,0.754747939213618,0,0,0,0,0,0,0,0,0,0.765714849174017,0,0.82971979810284,0,0,0.830870988871146,0,0,0,0,0
"Peptide ligand-binding receptors",0,0.900514396131373,0.915338987942488,0.901880316520702,0.899264067889054,0.900176140251763,0.88227218010671,0.900568023896897,0.882161481047395,0.880529939045625,0,0.90213740771617,0.899728115943721,0.901567252981717,0.883609238045092,0.900893702341318,0.90014421549968,0.90213740771617,0,0.900017986139901,0.883223884067291,0.9154677100169,0.885692910683251,0,0,0,0.900893702341318,0.899248047871422,0.899824760275242,0.900294714362089,0,0.880794602616098,0.898300610074347,0.900747196153575,0.901780089361049,0.901006270728014,0.881738136696779,0,0.90213740771617,0,0.900988615532701,0.901205445058704,0.900350220179341,0.901567252981717,0.933667311630734,0,0.900661084437754,0
"Drug ADME",0,0.787328668206159,0.813701122821611,0.789687646480939,0.7655016052332,0.865238143598617,0,0.764385392276727,0.842473852462508,0.787197304668409,0,0.766041750264658,0.762399712396822,0.765179868297041,0,0.818330691131277,0.817040247382709,0.766041750264658,0,0,0,0.815281075793166,0.821529427082229,0,0,0.844013962043547,0,0.839687330164635,0.766995716696025,0.766660456486699,0.766188863919078,0.840821215958095,0.84094084954602,0.76465624039531,0.7655016052332,0.789823317868882,0.790118135285719,0.792480092434919,0.766041750264658,0.866546561590086,0,0.788667468083029,0.842907445720736,0.818489748928193,0.812848697309863,0,0.817747946038979,0
"Blood group systems biosynthesis",0,0,0,0,0,0,0,0,0.498457537742294,0,0,0,0,0,0,0,0.494368774122887,0,0,0,0,0,0,0,0,0,0.499271317114436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADP signalling through P2Y purinoceptor 1",0,0.822095180488969,0.882902010343582,0.822724882887646,0.822295176904034,0.821813410663576,0.747648582280861,0.889780893743268,0.746169715524399,0.742039123538865,0,0.894275263144618,0.740577874244939,0.821250211345602,0.754158093587385,0,0.816211454562121,0.894275263144618,0,0,0,0.883429996636696,0.755263766194193,0,0,0,0,0.811909365408765,0.822314993486216,0.823097965509388,0,0.821333483353402,0.818834210860198,0.820001360055218,0.824517544555966,0.888529944788546,0,0,0.894275263144618,0,0,0.820736320301596,0.825638407751557,0.821250211345602,0.884379009672703,0,0.745202874571854,0
"G beta:gamma signalling through BTK",0,0.808965340225445,0.87973583346604,0.816553002158643,0.807891740420002,0.800092906432237,0,0.887890147278076,0.721185379564534,0,0,0.893217828582791,0.805142233484796,0.806856872431138,0.730654902129453,0,0.80680093182634,0.893217828582791,0,0,0,0.880361714975051,0,0,0,0,0,0.795580270490312,0.800687488939439,0.807532697963108,0,0.716166244922661,0.803789068289299,0.805172621440105,0.722446803349123,0.886407256851396,0,0,0.893217828582791,0,0,0.811960916707297,0.811854847786821,0.814084614734325,0.881486686813891,0,0,0
"Neuronal System",0.822484743271961,0.822182785416502,0.845734568341948,0.823322547196508,0.834979384789901,0.822375897827401,0,0.834455755063664,0.823354096925648,0.822639970714828,0.812896606251192,0.835232773709382,0.822196182943761,0.823021630758152,0.823651320413106,0.823034748214104,0.822491255993804,0.835232773709382,0.82361713680128,0.822279726577761,0.810123598957877,0.833357766663475,0.824095865900911,0.81101705403852,0,0.835459901444616,0.81071563761606,0.832695993265333,0.833928676722231,0.822927134702985,0.810943001532113,0.822430921871409,0.822055204576829,0.834582813368589,0.823239129333596,0.83500174661555,0,0.800357271876447,0.835232773709382,0.822715499607358,0.822235213094754,0.822742495347777,0.822762996833933,0.823088198435666,0.833521838807564,0,0.82265989100441,0
"Signal amplification",0,0.833023145426226,0.88693430938996,0.83697560049713,0.895718378050662,0.832773329093206,0.767019001284268,0.89303310802384,0.765707842186207,0.762045670973996,0,0.897017803267599,0.760750131468563,0.836851968439528,0.840940295643499,0,0.830662089272375,0.897017803267599,0,0,0,0.887402420549294,0.773770601878267,0,0,0,0,0.828417938783961,0.833218031010036,0.833912211798957,0,0.832347826892691,0.829834898744644,0.830869689931314,0.834867798037162,0.89192402020641,0,0,0.897017803267599,0,0,0.834521360508217,0.836164560730573,0.831991819521015,0.888243812832204,0,0.77253370845784,0
"Chemokine receptors bind chemokines",0,0.776371861644389,0.813639772738688,0.780294887662385,0.774598852809682,0.775814835383395,0.730135086161299,0.777313103621214,0,0,0,0.780067658655162,0.774010879978226,0.778634332447985,0,0.777814613669674,0.775546127713722,0.780067658655162,0,0.726971220116261,0,0.815130230978835,0.743462520271749,0,0,0,0.777814613669674,0.773188357169689,0.775444594664988,0.775924470557526,0,0.72641344860292,0.772477660582913,0.777763529226014,0.779169387130343,0.775355651154594,0,0,0.780067658655162,0,0.779274781614984,0.778213979170294,0.777376610360473,0.778634332447985,0.900363344628877,0,0.776845497428382,0
"Signaling Pathways",0.862796073222527,0.862636156261827,0.864772315258855,0.862388705446758,0.865528038830135,0.870563454556057,0.862653742016576,0.867890391594392,0.865182818372321,0.865098483295752,0.860245762001065,0.865425778782511,0.862198979406049,0.865488908045411,0.862774223009519,0.865443917517789,0.865065267376067,0.865425778782511,0.862839733638116,0.862612211024222,0.862435504450604,0.866002292470034,0.865612475494844,0.862761804608219,0.863390125076375,0.863092323989743,0.86261536251989,0.860682500381589,0.864929926953901,0.862234305869616,0.862492201232434,0.865088260051362,0.865375244989933,0.86791895519578,0.862635251149978,0.865202479832718,0.862641770330353,0.862836328353342,0.865425778782511,0.86516284528641,0.862665980975098,0.865292892393832,0.865414303180977,0.86260132082163,0.865228970959574,0.862950387003119,0.865217427795526,0.859925978868445
"Platelet homeostasis",0,0.699546736200255,0.763487502540951,0.699323847616676,0.698347698470673,0.705653919470144,0.663046715503692,0.732672035608618,0.699531458171034,0.660939859452849,0,0.734957945246681,0.660277025781586,0.697076600808542,0.700561031673544,0.697881400129429,0.6975566626171,0.734957945246681,0,0.658593790614366,0,0.734981935510899,0.665144935074691,0.665854139289338,0,0,0,0.69497069120471,0.695914603598434,0.69689043434734,0.665952313451513,0.695415391523925,0.698552000972172,0.696931684457527,0.700480516395548,0.732035782551301,0,0.625758290074768,0.734957945246681,0.662662326778329,0.664564973518325,0.697467375332267,0.700048120250495,0.697737297316343,0.730881054024775,0,0.699520338099058,0
"Degradation of the extracellular matrix",0.791899091350643,0.840286894966174,0.839299693120836,0.842533875784566,0,0.840468181937334,0.793372119605018,0.81665583139642,0.841786053696154,0.816829960476428,0,0.794167372387086,0.814764425846266,0.840883092689438,0,0.816754514212143,0.839342166081778,0.794167372387086,0,0.840493041324314,0.793802273580715,0.839485039246917,0.820301394391219,0.842914350475788,0.820237934611791,0,0.840521505918568,0.839131827406628,0.815585610662636,0.814716364092832,0,0.813961790028009,0,0.816913820430766,0.817719049794508,0.816320227982675,0.815835593618754,0,0.794167372387086,0,0,0.817113668601007,0.818022328411333,0.818294503840934,0.839818184050331,0,0.839858506577116,0
