"","MMRN1","TP53","AR","PIP5K1C","APC","ELMO1","GSN","SOX9","RGS4","CSNK1G1","SCN2A","CACNA2D3","DLGAP1","TAF6L","NEFH","DIAPH3"
"Interaction between L1 and Ankyrins",0.908842058923204,0.938072837878747,0.931954241146056,0.909244655355678,0.93245838211688,0.909578091254269,0.910075991982382,0.934685316733559,0.914302567887193,0.933935171921781,0.9531918494413,0.932507658774982,0.9114730682793,0,0,0
"Phase 0 - rapid depolarisation",0.924333370545494,0.934483129429651,0.924730557169337,0.924499846706554,0.924895107466537,0.923639230550669,0,0.926419170151305,0.927696899049376,0.926499114132019,0.947717062034201,0.94735035537782,0.926026371102544,0.923344225519363,0,0
"Initial triggering of complement",0.90896601859025,0.86993680438619,0.873206497311236,0.873459344485095,0,0,0.874344139294896,0,0.878130901204526,0,0,0,0,0,0,0
"Classical antibody-mediated complement activation",0.771726664195995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Creation of C4 and C2 activators",0.863333822712367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Potassium Channels",0.934623027860238,0.933390052032796,0.950490179809554,0.935926603083504,0.935756138184472,0.936416324440167,0.935413363579947,0.936259567434236,0.936616683529196,0.936829054577472,0.936685694210501,0.934993724648492,0.935714623862999,0.935285238193374,0.936551326943155,0.937615222843154
"Defective B3GALTL causes PpS",0.882938665631838,0.852156706017271,0,0.854934898949833,0,0.856112720612808,0.856117132601802,0,0,0,0,0,0,0,0,0
"O-glycosylation of TSR domain-containing proteins",0.882918188887722,0.852136229273155,0,0.854914422205717,0,0.856135543526563,0.856096655857686,0,0,0,0,0,0,0,0,0
"Nitric oxide stimulates guanylate cyclase",0.745724581633571,0.788177007273617,0.791260714066521,0.792267560324122,0.745053166552342,0.792965725825168,0,0.795192878564785,0.796979182785693,0.791655695929194,0.793742058186793,0.792798843448747,0,0,0.796574676237787,0
"GABA receptor activation",0.694307732668737,0.692410160039704,0.715597722116359,0.694469284210104,0.693400142721315,0.694561545484128,0.69356550405108,0.694984281055319,0.718476315062579,0.695160323053823,0.694201349139383,0.69372654872951,0.694161750567643,0.69353880960821,0.695266811364975,0.696097251784034
"GABA B receptor activation",0.8913282466554,0.888892208563421,0.918659598551365,0.891535640935106,0.890424517780447,0.891654082766792,0.890375399234486,0.892196776067957,0.922355036586783,0.892422772695221,0.891191675160904,0.890582142821091,0.891140839884468,0.89034112983226,0.892559478704964,0.893886973084914
"Activation of GABAB receptors",0.8913282466554,0.888892208563421,0.918659598551365,0.891535640935106,0.890424517780447,0.891654082766792,0.890375399234486,0.892196776067957,0.922355036586783,0.892422772695221,0.891191675160904,0.890582142821091,0.891140839884468,0.89034112983226,0.892559478704964,0.893886973084914
"Presynaptic function of Kainate receptors",0.839638900366574,0.838399451472269,0.892625605964034,0.892967436537643,0.843189137058034,0.845404230386281,0.845188177942107,0.846328123798652,0.845959967656832,0.846789045301201,0.844878270636284,0.8437801822601,0.84762874711217,0.841609147442142,0.84585719822844,0.849426840416094
"Nicotinate metabolism",0,0.759511137588016,0.764906664442506,0,0.705792697912739,0.762491870153095,0.7099779042123,0,0,0,0,0,0,0,0.704544497632101,0
"G beta:gamma signalling through BTK",0.838596994549088,0.833953072448258,0.894666564875903,0.843837669158795,0.841475142550289,0.844697762153946,0.841136779605329,0.845675409397258,0.845675409397258,0.846163148167026,0.840808841318117,0.839646864125173,0.842206395233505,0.840681874250873,0.845177084504628,0.848075767049754
"Calcitonin-like ligand receptors",0.85689630814512,0.793673901670403,0.85385560458092,0,0,0,0.859554760963583,0,0,0,0,0,0,0,0,0
"ADP signalling through P2Y purinoceptor 12",0.86379521659179,0.859978495238419,0.906617270459197,0.864120156574677,0.862379277610354,0.864305728167178,0.862302319945435,0.866133839603354,0.912407187007001,0.865510091626689,0.862134131188355,0.861397979060264,0.86350159251968,0.862248627534107,0.865724279060063,0.867804162852979
"Activation of kainate receptors upon glutamate binding",0.864889864079598,0.863938515810803,0.905560206254126,0.905822580867487,0.867614874804724,0.869315086255738,0.869149253586333,0.869925104611044,0.869741646554169,0.870378011300862,0.866211657152777,0.867154351343598,0.868786482233321,0.866402141958135,0.869563642167526,0.872402670669648
"Activation of G protein gated Potassium channels",0.854820754620065,0.851255209520077,0.900705714101397,0.858590460518858,0.858097506584212,0.860006646906902,0.857106263865287,0.860485624663056,0.860586049480924,0.861200188488118,0.856839161560251,0.85589274328969,0.857977454607351,0.856735748211925,0.860397049948311,0.863473646203249
"G protein gated Potassium channels",0.854820754620065,0.851255209520077,0.900705714101397,0.858590460518858,0.858097506584212,0.860006646906902,0.857106263865287,0.860485624663056,0.860586049480924,0.861200188488118,0.856839161560251,0.85589274328969,0.857977454607351,0.856735748211925,0.860397049948311,0.863473646203249
"Adrenaline,noradrenaline inhibits insulin secretion",0.876630234128113,0.873154748246275,0.914966190067854,0.876268547340009,0.875158020741657,0.876912236229876,0.874705510552506,0.877605725106747,0.920238456852837,0.878008923101301,0.8767803407388,0.875602902259682,0.875705286247277,0.874564343088314,0.87782626243959,0.880097891988657
