"","NCOR2","IL2RG","ITGB4","VWF","RELN","ITGAM","HLA-DRB1","NRIP1","FGF3","PPP2R5C","PTEN","DNM2","RPA1","AP2A1","ADCY5","MTOR","APC","IRS2","CDK9","ACACB","CCND1","CTNNA2","TNFRSF1A","NLK","PLG","NUMB","DAPK1","SMAD4","MAP2K7","AKAP9","YWHAE","S1PR2","FGFR1","CDK12","FPR1","PRKAR2A","BRD1","SIN3A","RBBP4","SH3BP2","GYS1","CHD4","HSPA1L","PLA2G4D","GRM5","REPS2","IL1B","NTSR2","NMB","CCK","CCKAR","PRL","MKS1","NINL","GTF2F1","HEY1","RXRG","WDR5","TNC","KLC2","ABCB1","SLC9A1","DSCAM","SCN3B","PPP2R3B","EPB41L1","EPHA3","EPHA1","SEC31A","GABBR2","CNR2","CHRM4","CXCL5","OPRD1","GRM7","GRM8","PARD6G","PPP2R3A","PLXNA3","PLXNA1","SOS2","F8","IFNGR1","LNPEP","TBK1","RPA3","GSN","PDE9A","MAGI1","WDR48","ARIH1","FBXW7","NOD2","SALL4","TRIM17","TRIM35","RGS14","CALML3","CHRNB1","FZD3","ITPR1","STX5","ARF5","CIT","NR1H3","GPR83","CPT1A","RAPGEF5","ASAP1","RANBP10","USP34","TBP","POLE2","CACNA1D","GNAT1","OR11L1","OR2M4","OR10J3","OR2T10","OR2W3","OR2Z1","OR4N2","OR51B4","PLA2G16","NRCAM","CACNB2","DOCK8","KCNB1","KCNQ3","CACNA1H","CACNG1","RYR1","ARFGEF2","RGS12","SYNE1","FGD3","MAP3K9","TAF11","H2BFWT","PLXNB1","IGFALS","LCOR","WRN","SEC23IP","GZMB","MTMR2","ATP6V1B1","PTPN5","DEPTOR","TTN","FGF5","LRRK2","NEB","TMOD1","MYH6","WBP11","CTCF","SRSF9","COL6A3","CFB","ECT2","DOCK11","DLGAP1","EFCAB6","OTUD5","BNIP1","NSA2","PRMT5","SLC2A14","WNK2","RPL22","VDAC1","PGM1","PNPLA6","HERC6","KLHL3","TRIM71","FBXL19","ABCB4","FARP1","F9","RAD17","WNT10A","L3MBTL1","NEFH","MYH7B","SCAF4","PARN","H6PD","HOXD3","YLPM1","FADS2","DNMT3B","UPF1","FANCM","PCF11","CUBN","CWC27","PRCC","HNRNPUL1","USP35"
"Interaction between L1 and Ankyrins",0.880197745353183,0.909760303236756,0.90997230236962,0.909798313683129,0.911404347089467,0.91060956853976,0.936635192888191,0,0.911052700829375,0.910518165155808,0.911872354981638,0.911010359076662,0.910572823057361,0.910750359299781,0.908805089156644,0.910208975756577,0.911448773729355,0.910735629337414,0.909812980613967,0.908616108872746,0.907806288728424,0.881824917160781,0.880882913330913,0.91195602231267,0.879899210911213,0.880975351077866,0.912601243763175,0.879875688028299,0.911029100127824,0.911256864255389,0.910822072734086,0.88270123749085,0.910387518522112,0.911985136024,0.90919454160162,0.911307211077188,0.913433501828491,0.911448773729355,0.910488663944782,0.914229359942328,0.9116459278665,0.911753796979975,0,0.91218344185174,0.909829528158273,0,0,0.883160332344326,0.883160332344326,0.883160332344326,0.883160332344326,0,0.911739664346106,0.911644558580921,0,0,0,0,0.911756402588339,0.937513606930236,0.914803639062645,0.912277617211708,0.882868586375654,0.857390881767853,0,0.91222695539496,0.912306854913088,0.912249004091299,0.911739664346106,0.880922157958323,0.882782079840417,0.882768288284555,0.882768288284555,0.882768288284555,0.88273437444428,0.88273437444428,0.882951638399911,0,0.911534182139145,0.911435638739917,0.911029100127824,0.909305552481565,0.910946188860556,0,0,0.910688729364202,0.8821040799628,0,0.882809290594153,0,0,0,0,0,0.912724203114495,0.912724203114495,0.886587071186663,0.911505376258026,0.912361115871511,0.884153620058834,0.937986838741703,0.93723592632046,0.933503896297724,0.882951638399911,0,0.883576732075605,0,0.913549597050151,0.911756402588339,0.913131866621583,0,0.910800181566187,0,0.910359601357049,0.912039694020012,0.913197219478704,0.913197219478704,0.913197219478704,0.913197219478704,0.913197219478704,0.913197219478704,0.913197219478704,0.913197219478704,0,0.938344839519871,0.910609225819123,0.884733299467417,0.913093685945251,0.939068578197971,0.911029100127824,0.911031720187937,0.912497710229722,0.912313179136291,0.887645381622832,0,0.88569389338683,0.884157624872631,0.911856968933728,0,0.881501796844734,0,0,0.912036443985029,0.910499160222727,0.881754910974197,0,0.911049952150972,0,0,0.881534479265257,0,0,0.881650252524201,0.881898831953725,0.880876947245554,0,0,0,0.911489083695722,0.912402070028758,0.913591133816764,0.885179885370206,0.883935733144397,0,0.914411518444798,0.911887913961731,0,0.912326450136297,0,0.913100521457848,0,0,0,0,0,0,0,0,0,0.885922670583627,0,0.912263316618938,0,0.917111501233578,0,0.882192297840405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nitric oxide stimulates guanylate cyclase",0.726195295998399,0.726790511216607,0.72715147364433,0.726855230080388,0.729589758800028,0.679184589278944,0.725848839451272,0.68087808852941,0.728991024805093,0.725680891887657,0.727986616635327,0.726518930752165,0.673071339400716,0.726076239551487,0.860811894668869,0.727554447935682,0.678213469876941,0.728451159882281,0.681515858925047,0.724842337326271,0.680968195623001,0.729169636544557,0.728326108293851,0.72986963562935,0.677929634057646,0.67943156640615,0.73024241032091,0.681346472973824,0.728950840836353,0.726178261321483,0.726198343142183,0.725154499847452,0.727858445547509,0.724549209922756,0.725066827633323,0.772085221600927,0.6813665916591,0.678213469876941,0.672928045052381,0.73199979452559,0.728937213680948,0.678506625527227,0.727590444716123,0.728516291782331,0.726248939251308,0.727468230116848,0.72822838971958,0.726696566176244,0.726696566176244,0.726696566176244,0.726696566176244,0.728387797362016,0.72700030568787,0.726838372912827,0.67921246132304,0.73111210842702,0.729031922029774,0.725440175320994,0.68113725765441,0,0.683925664634658,0.729437024313571,0.730946650291973,0.73040533978006,0.725890735703573,0.730330942530999,0.729486806176018,0.729388305900113,0.677399447133183,0.725110274518101,0.725292146876325,0.725268664546853,0.725268664546853,0.725268664546853,0.725210920810103,0.725210920810103,0.731088059645388,0.728150961129901,0.680532696586165,0.680364910689397,0.728950840836353,0.677449351040199,0.728150232679223,0.730258943636565,0.680364910689397,0.673268688424462,0,0.689869825722579,0,0.73199979452559,0.730351724507145,0.725402757426768,0.730644718808947,0.677942102503431,0,0,0.731770753157633,0.816723098436776,0.682166878727956,0.728387797362016,0.674041826547168,0.726871684192174,0.727689932617146,0.681487201090701,0.681353407845038,0.727405553311592,0.680336373965092,0.684018844491924,0.680965644143555,0.732531137077508,0.728937194199348,0.726161069927884,0.723825752842621,0.771451942568184,0.77257200703375,0.732338919661351,0.732338919661351,0.732338919661351,0.732338919661351,0.732338919661351,0.732338919661351,0.732338919661351,0.732338919661351,0.679195718188805,0.730055872220262,0.727576499212274,0,0.732162637263018,0.730913112478322,0.728950840836353,0.728295863442712,0.731402253343142,0.731848443565264,0.733572695925806,0,0.731010359031577,0,0.727960419428142,0,0,0,0.686364263235374,0,0,0.728501513196472,0.730819977877734,0.729697597600823,0.731578535741476,0.681452486344789,0.729231683181133,0.68205286031469,0.681198043176678,0.729428805669557,0.729295488300387,0.728112129761593,0.724984842960286,0.679782392252371,0.673201136582355,0,0,0,0,0,0.730130543454172,0,0.725144057733352,0,0.679707854322408,0,0,0,0,0.679941187066528,0.680843414125205,0.72554273157258,0.72554273157258,0.72554273157258,0.725495193483423,0.682655102276826,0,0,0,0,0,0.733141444482924,0,0.679460020957502,0,0.677227404158916,0.677859411814959,0.73242418184446,0,0.729159165761886,0,0,0.673611074918568,0,0.673888757794927,0.673816314446649,0.673732135390002,0.682551849198288
"Glucagon-type ligand receptors",0.894107562271957,0.894001835557884,0.894232892477274,0.894043262975651,0.893109584992904,0.894927446063954,0.921756386531799,0.896011477779583,0.895410413990933,0.893291553256593,0.893929371432904,0.893827993238958,0.890667037957155,0.893544620629473,0.920895964263984,0.894490841757316,0.894305819434274,0.895064839171031,0.891180892942015,0.892754783169698,0.893514412979508,0.896011477779583,0.894984791962324,0.895972824632052,0.891584836200634,0.894247432115779,0.89486935994658,0.893756553414754,0.894897959685722,0.893609926140727,0.893622780785063,0.921798662389447,0.894198702724855,0.890369793663995,0.92174254222248,0.894638262929105,0.893784879126087,0.894305819434274,0.89325940001688,0.897336368077505,0.893178614064045,0.894638262929105,0.892380752465887,0.895106530978886,0.922012495811172,0.894435652568396,0.893076261618597,0.922299027844337,0.922299027844337,0.922299027844337,0.922299027844337,0.895024279967045,0.891938773128672,0.891835117774884,0.892255187098708,0.896768148230872,0.892752506151014,0.893734335673025,0.896177375432702,0.894356438345807,0.895278185651391,0.893011817587726,0.897148968251325,0.893631649380458,0.892578308372008,0.893436520348294,0.895727770334582,0.895664718979201,0.894622859833816,0.921770353159528,0.921886772109496,0.921871740753622,0.921871740753622,0.921871740753622,0.921834778208762,0.921834778208762,0.897239486286067,0.892675323199526,0.895448446341014,0.895341044325051,0.895384691690459,0.891277400562119,0.894872211608828,0.893537939234115,0.895827776329788,0,0.893484143031041,0.895793671698048,0,0.897336368077505,0.894084061525729,0.890429428930983,0.893784879126087,0,0.895695904292869,0.895695904292869,0.894992400907687,0.894854242285229,0.895998342432493,0.923381607741159,0.923229539382942,0,0.857803006319199,0.89675275428133,0,0.922752860073952,0,0.897645038158811,0.895690643427966,0.860901926602413,0.895972824632052,0,0,0.922590220251388,0.923793920630271,0.925910774425838,0.925910774425838,0.925910774425838,0.925910774425838,0.925910774425838,0.925910774425838,0.925910774425838,0.925910774425838,0.892360335247517,0.893407950481094,0.922862284851049,0.899181310821353,0.894756519205347,0.894309093491059,0.892700604985315,0.892281345119961,0.894756519205347,0.894555399580923,0.896145848781909,0.892950098494611,0.896703017070244,0.898553885620856,0,0.896315736085602,0.896092037186237,0.894164116556582,0.899181310821353,0,0,0,0.893897064820272,0,0.89486935994658,0.893839861473121,0,0.865242932714932,0,0,0,0,0,0,0,0,0.894652281372361,0.896640768239643,0.899668042826089,0.894008361060262,0.899181310821353,0,0,0.893641537749561,0,0.895722292566296,0,0.893152158796243,0,0,0.864468749893542,0,0,0,0,0,0.897793514447259,0.894407893231506,0,0.893143689624644,0,0.895869798915713,0,0,0.8940189303651,0,0,0,0.864556702998713,0,0,0,0,0,0,0,0,0
"Activation of Matrix Metalloproteinases",0.857717897921959,0.857619105629722,0.857380199805676,0.856222304550962,0.859293418514143,0.857700869624045,0.857055863857563,0.859496939093087,0.829926375451413,0.856955409445695,0.857551394294185,0.856673527899295,0.857011073671838,0.857191878592367,0.85625187511286,0.828414112350646,0.855146005979592,0.85717687743182,0.857491225847916,0.856453845127221,0.857163652206923,0.831347364574867,0.828875665264983,0.859460821134818,0.886444614565235,0.8578485939585,0.860937773046668,0.857389911093818,0.858911262757359,0.827799875555857,0.829115337848062,0.856640558776396,0.856822357433887,0.829440466668912,0.857042927571176,0.858213790893485,0.859924421340025,0.857903151759547,0.856925365078177,0.831073005803043,0,0.858213790893485,0.858612388779773,0.82898941964207,0.857295175397644,0.8281166359545,0.859262280759018,0.857562914318729,0.857562914318729,0.857562914318729,0.857562914318729,0.857791352368509,0,0,0.856441824791548,0.860203980913182,0.858959759820509,0.857823958715762,0.858868818411214,0.828288524213117,0.86131978462111,0.859202063494284,0.829581119725329,0.830772319125435,0.829135060899156,0.83111322995222,0.859231839500594,0.859172923568312,0.828537471602926,0.856614106297099,0.856722889541031,0.856708844064302,0.856708844064302,0.856708844064302,0.856674305825167,0.856674305825167,0.859861267355964,0.829225712701545,0.859425643999592,0.859325286285453,0,0.856145892361746,0,0.831224646048064,0.829872261006749,0.857129113967788,0.858527257324775,0.801135457399068,0.831899621393786,0.802576971144091,0,0.827336023708478,0.830262494883903,0.859924421340025,0.829540137038163,0.829540137038163,0.830074040056576,0,0.831015633533461,0,0,0.829493462678203,0,0,0.859781241653204,0,0.859172923568312,0,0,0.832345448622695,0,0.857242618152895,0.857439687943323,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833005843303545,0,0,0,0,0,0,0,0.829691367164919,0,0,0.858318862379987,0.80162328053813,0,0.886977861227975,0.831934972805309,0.829492719277675,0.828577340063932,0.859425643999592,0,0,0,0,0.829626217602721,0.83132597642025,0.859359984174978,0.829744122401186,0.82966438133425,0.828956579544896,0,0.858841570698764,0.830557622378311,0.857615874617276,0.831281906980461,0,0,0,0,0.831911522013925,0,0.799124477980704,0.858796987355278,0,0,0,0.827253740805296,0.831550983631114,0,0.827419746390675,0.827419746390675,0.827419746390675,0.827391312451624,0.802401862529816,0,0.859301452177459,0.829723768938211,0.831484911193837,0.834661215073213,0,0.830296147491857,0.859491475076782,0,0,0.801717000475141,0,0,0.800877906950164,0,0,0,0.834087107875925,0,0,0,0
"Phase 0 - rapid depolarisation",0.813973845205738,0.813859888559544,0.814721504172535,0.814489455745861,0.812382226997113,0.814759836268823,0.853328374918493,0.816086359051007,0.853813415129383,0.891894900502919,0.856028488541974,0.853853259341402,0.854295304939509,0.853506498064118,0.852164715260152,0.853418524405046,0.856163923094518,0.855366779917685,0.851841530358063,0.812318457939354,0.849165208671583,0.816897947803801,0.816296635574155,0.850957038383243,0.814765594380942,0.814953294155401,0.855166152186024,0.813544317878157,0.854512322937942,0.852825398053207,0.856573951494927,0.853380107619205,0.854902505092534,0.856178904433756,0.853311433724384,0.854396214426013,0.858110587538894,0.855463558918427,0.854183062068677,0.816493828757756,0.854286129111602,0.855870367929017,0.85226510394553,0.855079997437895,0.853303973748001,0.854596848235238,0.814648382400334,0.853654601192143,0.853654601192143,0.853654601192143,0.853654601192143,0.813747660188683,0.853580074093688,0.853453231690175,0.810954749576307,0.815881620798639,0.815382875991366,0.851657655361462,0.816289366964153,0.852338963804388,0.859937937327688,0.891754514031505,0.817478298976314,0.783832182791176,0.89133479788382,0.855011549984639,0.81573918803761,0.815662032491186,0.81338095194274,0.853345465792871,0.853487926928633,0.853469533153132,0.853469533153132,0.853469533153132,0.853424302319811,0.853424302319811,0.817589065325262,0.888644344987828,0.81599299191443,0.815861564744013,0.854512322937942,0.814389387326605,0.849625645627253,0.856782822076936,0,0.854449888991418,0,0.814606040915538,0.818646762895627,0,0.815881620798639,0,0.816863479866925,0.816863479866925,0.856139010332248,0.856139010332248,0.858562637665346,0.853052084816982,0.817095872081117,0.854979347392797,0.855020296434215,0.854129572114813,0.854770508434634,0.816293777081055,0.81532800690618,0.854209952832869,0.814531361373783,0.817550276368306,0.816717778491245,0,0,0.854598532610964,0.813594210306462,0.889964235688158,0.855821692560526,0.857963506384868,0.857963506384868,0.857963506384868,0.857963506384868,0.857963506384868,0.857963506384868,0.857963506384868,0.857963506384868,0,0.892350025706858,0.818557767505942,0.819965263777691,0.89388949441125,0.855238245374212,0.889237116015718,0.888051470144554,0.857657375651068,0.857690081411973,0.859974104563554,0.852961809094613,0.857033607411749,0.819197487511946,0.856007968195034,0.816458678023583,0.816184939089492,0,0,0.856247333777484,0.814163547191628,0.816194992790258,0.81565279410805,0.856343118129682,0,0,0.81530434737827,0,0,0.815458753984415,0.815354326109755,0.816724636469214,0.851300992227552,0.81409742592171,0.811071517057461,0.855087344471358,0,0.816856417823132,0.820560874666,0.818585254800962,0.821431889268405,0.859414966700848,0.852776317393206,0,0.856634114507223,0.818066816394543,0.857666492163041,0.85237599738615,0,0.816376503884337,0,0,0,0,0,0.816347627858911,0,0,0.856549913438354,0,0.863015929331333,0,0.818478917406756,0,0,0,0,0.857128247546106,0,0.815482546368834,0.853192113753781,0.815490428575628,0,0,0,0,0,0
"DNA strand elongation",0.804125107279682,0.730500312170581,0.804401344979499,0.803983386537535,0.739404705845599,0,0.804964815562028,0.805926639806398,0.803419426961543,0.805284441692934,0.804147952996157,0.802707144677518,0.867743545269245,0.799307070605018,0.799865300273703,0.804969885624648,0.803130419248306,0.737798301225864,0.806548318878346,0.806783045981479,0.805775642174765,0.80832148786598,0.802481322297337,0.744093929808961,0.805591386855346,0.802703377750908,0.745103028881099,0.80446208391279,0.738503281513922,0.806502379868933,0.805457916631196,0.734219968588725,0.804970600232499,0.804760591823121,0,0,0.807898165248141,0.807519964687683,0.805213573405777,0,0.804416302846059,0.808252696482851,0.809192904308788,0,0,0.801270975576268,0.805373130593975,0,0,0,0,0.803750777632485,0.807662170070038,0.807433705459839,0.801684663496841,0.812947132394305,0.804659547899033,0.80198043412516,0,0.807074956007453,0.81118953111342,0,0.737436841908563,0.807560434751581,0.804967595710488,0,0,0,0,0,0,0,0,0,0,0,0,0.736876282981502,0,0,0,0,0,0.808785552687241,0.809801682346217,0.878127476181867,0.742375016755391,0.807039655701031,0.807641141320741,0.810813467309421,0.808557586954929,0.803044777714233,0,0.806934979709459,0,0,0,0,0,0,0,0.803801683862461,0.804956118518492,0.810599932167169,0.806597249212899,0,0.805162355943893,0,0,0,0.804659024562625,0.805961906083679,0.868928548471822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.804895548157015,0,0,0.804110992382554,0.7400999961138,0,0.742204634624147,0.742989081805047,0.871433472271716,0.74013600398351,0.805758469810619,0,0,0.743283389233743,0.809451013217008,0,0,0.80579786417897,0,0,0,0.803998826192623,0.80634742918515,0.805598867549767,0,0,0,0,0,0,0.81156311770585,0,0.732843256333547,0.805354905161181,0,0.809043924929806,0.799514849530076,0.803875153219596,0.734478289568119,0,0.80324226175446,0.80324226175446,0.80324226175446,0.803175192126302,0.737436841908563,0,0,0.871978469389084,0,0.816733515016517,0,0,0,0,0.807519717556964,0.806818314655681,0.737851702996141,0,0.733842154099977,0.80488887449878,0.805733492351472,0.803788892506552,0,0.805253460293395,0.804078456918499,0.803959691984356,0.809043924929806
"Erythrocytes take up carbon dioxide and release oxygen",0.545512599329043,0.545009611978933,0.546108848899593,0.545206699983299,0.553534145441255,0.685788231851367,0,0.69094543592096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.555359588768558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.692392923251253,0,0.689295755500438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.684029143331303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.548980397998889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.689213080183992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.689631510849239,0,0,0,0,0.701032576687837,0,0,0,0
"O2/CO2 exchange in erythrocytes",0.545512599329043,0.545009611978933,0.546108848899593,0.545206699983299,0.553534145441255,0.685788231851367,0,0.69094543592096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.555359588768558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.692392923251253,0,0.689295755500438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.684029143331303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.548980397998889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.689213080183992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.689631510849239,0,0,0,0,0.701032576687837,0,0,0,0
"GABA receptor activation",0.869670352243313,0.869564983668593,0.868959989575453,0.868771002426027,0.868460678657897,0.869652190426834,0.897225518697555,0.87045743531334,0.870968790673974,0.868021839053318,0.869492765009057,0.869391730224259,0.867066544406236,0.86910931751298,0.765446514248418,0.868941950303341,0.868757554726109,0.869789118127614,0.867578658755406,0.867486887224878,0.868243943859771,0.87045743531334,0.87054461040017,0.869679363612605,0.867156171670553,0.869307558621805,0.871254631423054,0.868485264066945,0.869605697507237,0.868322027055379,0.869187212908354,0.897267651349691,0.868715198529441,0.868600603930706,0.897211721284539,0.898460525180773,0.868835516348125,0.86986793782804,0.868825063058529,0.872052952442422,0.867940702288933,0.870199255201633,0.867802385158459,0.869830668708371,0.897480760430703,0.869997331164566,0.868495538338979,0.897766321863412,0.897766321863412,0.897766321863412,0.897766321863412,0.869748696314137,0.868076471105241,0.867973166874267,0.867198951961345,0.871486657387362,0.868104809387178,0.867933540571118,0.870897885776778,0.869083116943914,0.870621933384528,0.868431312606234,0.871591072642522,0.869049044776755,0.867999271862429,0.870988316380546,0.871285072002699,0.871222234227885,0.869348635954056,0.901488000997967,0.897355462606305,0.897340482167744,0.897340482167744,0.897340482167744,0.897303644830047,0.897303644830047,0.87168128405589,0.868095958061294,0.870154319440483,0.870047281238801,0.870107887176555,0.867539963047745,0.870432411402089,0.868589412941936,0.870549470908119,0.86719244226185,0.868980974601178,0.899612020110601,0.839909404189674,0.872052952442422,0.86943185424263,0.866004678234938,0.869201755470954,0.870173824179885,0.870418045575389,0.870418045575389,0.866840254052242,0.898675772927033,0.871052537893621,0.89884523462211,0.89869368138123,0.867631958569638,0.834700479170727,0.871454209159671,0,0.898218616778806,0,0.872149859824523,0.87039569610746,0.837788902151388,0.899563491284582,0.867313502052433,0.867523690139657,0.898056527883425,0.899256150839882,0.901365833991251,0.901365833991251,0.901365833991251,0.901365833991251,0.901365833991251,0.901365833991251,0.901365833991251,0.901365833991251,0.867713966925929,0.868826103636484,0.898327670889707,0.873616530842222,0.8721568371795,0.870857519214619,0.86909322291633,0.868675383254548,0.871142172919275,0.870116672545291,0.867989794729697,0.8676698048795,0.871146632079348,0.872991230985896,0.868461388367159,0.871871046074742,0.870537721832541,0.869866347779402,0.874101614087827,0,0,0,0.869313561146596,0.835981259340997,0.870282562714123,0.868890312447602,0,0.837023272507923,0.836818729149196,0,0,0,0.867505791223131,0.869018891683426,0.867149347890758,0,0.869366221771993,0.871084594110838,0.874101614087827,0.869786563927476,0.873616530842222,0,0.868360124552845,0.86920590633539,0,0.871211542614263,0,0,0.868660207613668,0,0.836195112853008,0,0,0,0,0,0.873128741739413,0.86926966815856,0,0.868709744624422,0,0.87127961278984,0,0.871142172919275,0.868735016182019,0.869717885826215,0.870121072054943,0,0.836282768025263,0,0,0,0.867410866070495,0,0.86758801251901,0.867541797635203,0.867488096012979,0
"Trafficking and processing of endosomal TLR",0.737679552847728,0.737303512028938,0.631651023320201,0.630976563381836,0.637202285376145,0.74059565380821,0.83601880990743,0.637976961653152,0.742313437778929,0.73477723340113,0.740026694184369,0.736685202753719,0.734989112493134,0.735677324385154,0.625625021147217,0.737409775257456,0.738384699000266,0.741084323270176,0.736816753226521,0.732868089957598,0.735569884089424,0.742328359841893,0.740799617383228,0.744313777615817,0.736522296445661,0.741157948481473,0.643461320476894,0.736431110964114,0.742221950636663,0.631166475302884,0.629481023975142,0.528388128391764,0,0.733931896364163,0.73298746409863,0.734793970500015,0.639604120721107,0,0,0.743699427337434,0.743922097349172,0,0.741084323270176,0.735768510580123,0.52914867501137,0.738846479719451,0.74355805787505,0.530167790580283,0.530167790580283,0.530167790580283,0.530167790580283,0.740940065346243,0.633038029861941,0.632669356301505,0.732822336014995,0.640668230161336,0.737633410295972,0.731551271471095,0,0.733100637560651,0,0,0,0,0.7370138367471,0,0,0,0.734048225456226,0.528287440253561,0.528701510412203,0.52864804801701,0.52864804801701,0.52864804801701,0.528516582419544,0.528516582419544,0.638678635174336,0.737358891783516,0.637705585569791,0.637323586163335,0.742221950636663,0.630685709697322,0.740399200055596,0.638725823499978,0.844657089763522,0.735438418491958,0.743802247504423,0.637202285376145,0.749126022286427,0.749163526311614,0.747142524729801,0.734144002593167,0.746078415289571,0.639604120721107,0.743328848196612,0.743328848196612,0,0,0,0,0,0,0,0,0.639059124695131,0,0.636743636051745,0,0,0,0.744313777615817,0,0.736620580474547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.751371004690148,0,0,0,0,0,0.740662778411137,0.734890940367376,0.744179880138256,0,0,0,0.639799677794634,0,0,0,0,0,0,0,0,0,0.736309380187482,0,0,0,0,0,0.75199255258304,0,0,0,0,0.751389695540794,0.736012617435654,0.741157948481473,0,0,0.734462682778149,0.734462682778149,0.734462682778149,0.734354452454911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.738384699000266,0.742132030283875,0,0.751864413413301,0,0,0,0.751389695540794
