"","JAK3","APP","SMAD3","TP53","CBL"
"Glucuronidation",0,0,0.854828179946486,0.852205785952269,0
"TNFs bind their physiological receptors",0.610172786030714,0.546476671469706,0.550691269159539,0.547608078471262,0.610831692551056
"Cytosolic sulfonation of small molecules",0.841908910033631,0,0.77985433393742,0.776303230868746,0.840362172287325
"Initial triggering of complement",0.71917313475087,0.799782343718419,0.758945483602102,0.756642695396615,0.757727574101067
"TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway",0.879291010041406,0.813836623164651,0.819739550403621,0.816308204570925,0.816897112242363
"Scavenging of heme from plasma",0,0.748698578688385,0.591879764340274,0.588044575661116,0.67906319148659
"Classical antibody-mediated complement activation",0.653495843690339,0.741357354999119,0,0,0
"CD22 mediated BCR regulation",0.769634488538483,0.764779205177691,0.666403057686569,0.766073447119999,0.860035735695862
"Phase II - Conjugation of compounds",0.889170019493587,0,0.889373441574667,0.88811063201656,0.88861998330141
"Creation of C4 and C2 activators",0.625285338589547,0.681191261288809,0,0,0
"Synthesis of Leukotrienes (LT) and Eoxins (EX)",0.663516017128116,0.659812475376753,0.656251259640027,0.730912879441289,0.66180251839501
"Erythrocytes take up carbon dioxide and release oxygen",0.64255521638062,0.743771180982014,0,0,0
"O2/CO2 exchange in erythrocytes",0.64255521638062,0.743771180982014,0,0,0
"Scavenging by Class A Receptors",0.135537641237949,0.393465987250296,0.385291150164715,0.127623170452653,0.383223109842962
"Inwardly rectifying K+ channels",0.854647344518349,0.90739227827247,0.854918407847181,0.852013720823195,0.853382163256551
"Activation of the phototransduction cascade",0.604480734167108,0.731550965095755,0.605045388165157,0.598994613432029,0.734611822291416
"The canonical retinoid cycle in rods (twilight vision)",0.562171436912059,0.673450285446036,0.562800530515799,0.556059227531254,0.559235158357529
