"","AR","TP53","SUPT3H","CBL","CYP1A2","GLI1","HGF","SETD2","IRS2","APC","ABCB1","KRAS","RANBP2","CENPQ","GRM1","SPTBN1","GRHL1","FLNA","PTHLH","FBN2","MAP4K1","QARS"
"Collagen biosynthesis and modifying enzymes",0.927637047679771,0.926059345079723,0.928164473195969,0.926525538041195,0,0,0.927098688269236,0.927443708055065,0,0.927258553055349,0.929484885888357,0.926472094978538,0.926677260649419,0.927214149453762,0.92683779901828,0.927305174940598,0,0.926504865740967,0.908061461472141,0.927423413691934,0.928799397564446,0.92839439042448
"Collagen chain trimerization",0.896605635307546,0.893515796167142,0.897638567625428,0.894428808074009,0,0,0.894970885135147,0.896134553528017,0,0.895864375513123,0.900224519387377,0.894324142931936,0.893932087819185,0.894983553438658,0.895040353107265,0.895955681774416,0,0.894388322571631,0,0.896187245518926,0.898882030217716,0
"Glucuronidation",0.783061393390851,0.779092605508534,0.783473957643927,0,0.865279971835236,0.782328979866056,0,0,0.77916072035369,0,0,0,0,0,0,0,0.786464013833416,0,0,0,0,0
"Phase II - Conjugation of compounds",0.780863979703333,0.77865381924226,0.781093730757519,0.779212954313771,0.878851096627641,0.780456109224573,0,0.783114860834253,0.77910691444253,0.727547639481797,0.73173118052092,0,0.72673332283437,0.72748543568968,0,0,0.782758849721382,0,0,0,0,0.730499385795644
"Negative regulation of TCF-dependent signaling by WNT ligand antagonists",0.735135873725686,0.799589935854626,0.733713145372586,0.800287672742671,0,0.733939700581432,0.732924089542825,0.73821088836323,0.734262002399121,0.732363314366689,0.742727492340046,0.730797590129936,0.729975145192171,0.65452152621726,0.730634697561906,0,0,0.736170489863515,0.73245788727158,0,0.738693686691897,0
"Collagen degradation",0.855258062870811,0.851041115525917,0.799523256273308,0.851486816991019,0,0.801631683575813,0.854301938111809,0.85790056215462,0.856135158980447,0.854142552431956,0.805833997008227,0.853019348129872,0.796460759160819,0.798043093564281,0.800940099158629,0.854279957817183,0,0.856873707635692,0.802315557931872,0.859580879050492,0.802219811080139,0.858994111159298
"Formation of axial mesoderm",0.713616550497541,0.587087021139699,0,0.590217335830613,0.596691278353117,0.595725719140976,0.594065829324097,0,0.598242431944457,0.711075097963554,0,0.592580281348915,0.591236097478079,0.594841108815688,0.592314053723731,0.595452311562702,0,0,0.595293830349118,0,0,0
"APAP ADME",0.640241769888138,0.700452140015094,0.640851138291173,0.700833996861434,0.769919571241719,0.639159975581822,0.640315237442931,0.711183018125415,0,0,0.713179848754196,0,0,0,0,0,0.645267531014481,0,0,0,0,0
"Peptide hormone biosynthesis",0.666762836932148,0,0,0.558306090851507,0,0.45549274602182,0.661964335597177,0,0.380963411565027,0,0,0,0,0,0.564194192582342,0.665032591026732,0,0,0.662917818022482,0,0,0
"Aspirin ADME",0.869648831632464,0.865417316572697,0.870088706955049,0,0.915562694258478,0.868867933546689,0.820909062479043,0,0.865620674788996,0,0,0.817934618986394,0,0,0,0,0.873276699906689,0.821442210790446,0,0.823905824330485,0,0
"Arachidonic acid metabolism",0.757002625277734,0.800809465417995,0.756621372545789,0.751831584269273,0.862107701323115,0.754660359806683,0.753386631460192,0.705664332943578,0.755324454905843,0.753853836325571,0.762402932765558,0.752860040863388,0.745938996304873,0.747508053929481,0.74640816971595,0.749473941071697,0.759464336375496,0,0,0,0,0.758481225182292
"Cytosolic sulfonation of small molecules",0.495593299332244,0.485226161074892,0.496670986217634,0.602523660411716,0.724703637431179,0.4936801126117,0,0.62082622489858,0,0,0,0,0,0,0,0,0.504481513470001,0,0,0,0,0
"Ethanol oxidation",0,0,0,0,0.514992927763836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RA biosynthesis pathway",0,0,0,0,0.883336252877436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
