"","CSF2RB","WNT5A","AR","OR51Q1","OR10P1","NRAS","APC","MEF2C","CACNA1B","AP1S3","TP53","TEK","SNAP91","IRF4","CTNNA2","ZFYVE28","OBSCN","SCN2A","PML","FTL","LIFR","SLA","DOCK6","PIK3R2","NTRK2","F13B","KCNJ15","SF3B1","TESPA1","RGS7","F10","CX3CL1","TRIM32","CFHR3","COL4A2","MAGI1","AFP","CRTC1","RYR3"
"Initial triggering of complement",0.769815236833825,0.805174283244641,0.806902482690602,0.810338960825026,0.810338960825026,0.804736346687484,0,0,0.807029202993786,0,0.803511591904612,0.806693143780402,0.806258904162095,0.806072775794212,0.808321085300644,0.812009419693875,0.808919770500323,0,0,0,0,0,0,0,0,0.810191293401901,0.809809645947759,0,0,0.809494640849832,0.808783720746456,0.809400673106159,0,0.852122997587562,0.806671199025198,0.810191293401901,0,0,0
"Classical antibody-mediated complement activation",0.694816627183325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Molecules associated with elastic fibres",0.719924410494337,0.714211768225727,-0.0304420477945929,0.677881547036399,0.677881547036399,-0.0304420477945929,0.762285815157646,0.716279935733114,0.672092314004303,0.675470834241528,-0.0304420477945929,-0.0304420477945929,0.715310844618458,-0.0304420477945929,-0.0304420477945929,0.721138001153343,0.718373237436094,0.675999348377372,-0.0304420477945929,0.676365682612274,0.720639782338643,-0.0304420477945929,0.68068566391831,0.67909209926904,0.676918692577313,0.719661706781885,0,0.75841576086587,0.677881547036399,0,-0.0304420477945929,0,0.718181834347429,0,0.758522496583076,0.718132146341115,0.721504064470508,0.719523479412162,0
"Interaction between L1 and Ankyrins",0.906697113351839,0.874190764667332,0.907154541656088,0.909997709247971,0.909997709247971,0.937517820389113,0.907934493248364,0.907361119469488,0.906556115210744,0.908778695151239,0.936504520443514,0.906771010729236,0,0.907921070257522,0.87297749508866,0.911169427595413,0.87347281683694,0.942496533537451,0.907673108947838,0,0,0.910230009796022,0.876936453546727,0.909828501107816,0,0,0.878025828502632,0.904047990384001,0,0.877765209272516,0,0.910674403587847,0,0,0.907889191126044,0.874139083898651,0.91283274810904,0,0.909294440855392
"Creation of C4 and C2 activators",0.654543192452281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elastic fibre formation",0.747280185606084,0.742125513267914,-0.0274686868712799,0.709343767553973,0.709343767553973,-0.0274686868712799,0.785083592091877,0.743991677004371,0.704119985288847,0.707168515897261,-0.0274686868712799,-0.0274686868712799,0.743117239760273,-0.0274686868712799,-0.0274686868712799,0.748375241432392,0.745880520008438,0.707645408562383,-0.0274686868712799,0.707975961896267,0.747925685058696,-0.0274686868712799,0.711873998407672,0.710436081725612,0.708474957813652,0.747043140908371,0,0.781809163434782,0.709343767553973,0,-0.0274686868712799,0,0.745707811800887,0,0.779361418752192,0.745515751672211,0.74870555030984,0.74691841459687,0
"G beta:gamma signalling through BTK",0.79967428937405,0.866319312449403,0.869524510395449,0.875897960337138,0.875897960337138,0.796682278549609,0.798009645472378,0.800609776806204,0.869759531681004,0.801083395198198,0.787896363973802,0.800311444174971,0.799506083465048,0.799160881258304,0.802149373442007,0.808989927551167,0.80325972246846,0.797113816022187,0.79860503326705,0.713467282599928,0.79428544328362,0.808065386455211,0.811024060824399,0.807165335563828,0.803733342034467,0.800284844695371,0.874916268691886,0,0.80589181792736,0.798992800924486,0.797674295898652,0.7988185240378,0.796484934425897,0.803656825093992,0,0,0,0,0
"Nitric oxide stimulates guanylate cyclase",0.687864193451213,0.685802957363137,0.687716752522721,0.694860629007541,0.694860629007541,0.68503491609162,0.615345343571688,0.687631726131621,0.689056065374813,0.689196658953331,0.682886974328459,0.688466693829245,0.687705136148946,0.685455211132171,0.690204659354398,0.697790234523863,0,0.691603095333305,0.61445897274132,0.690745378950054,0.617040473174352,0.623737085320425,0,0,0.690585402739121,0,0.693932330913388,0.607684300712813,0.693743554790689,0.693379883505215,0,0,0.684848305382625,0,0,0,0.624611341245382,0.693245348640422,0.693743554790689
"Other semaphorin interactions",0.608647386523848,0.605193128219948,0.610069459021923,0.614371787356515,0.614371787356515,0.608338874258939,0.608312095646725,0.609887975080255,0.553202345846136,0,0.604995956248372,0.657950818402782,0.609122313179181,0.608882837078335,0.606663565502071,0.615464625016552,0.610012139389295,0.611981967501667,0.608497230303499,0,0.609555691196643,0.614774747136995,0.615398470759162,0.614795610417506,0.612054876701942,0.560362919531063,0,0.606626326961094,0.614371787356515,0,0.612370787540463,0,0,0,0.658217932250537,0.614181795797925,0,0,0
"Synthesis of Leukotrienes (LT) and Eoxins (EX)",0,0.635063829686306,0.638525740292845,0,0,0.634186559869006,0.636896180259732,0.638428621701237,0,0,0.708585133596234,0.638106394831718,0,0.628598546657484,0.641367469836066,0,0.642566749611088,0,0.627998179351334,0,0,0.646481370566233,0.650952954070111,0.645509232252234,0.641802361412782,0,0,0.634271536527746,0,0,0,0,0,0,0,0,0,0.644840596910533,0
