"","STAT5B","STAT5A","HSPG2","NCOR2","MTOR","KRAS","PTK2","ITGA2B","RAF1","ITGB4","NCOA3","AKT3","ITPR3","TGFBR2","STAT2","TP53","LAMA5","GNAS","FLT4","GNAO1","GNA15","PIP5K1C","GRM5","GRM1","NMUR2","ANXA1","DNAJC6","TACR3","NTSR2","CHRM3","ADRA1D","AVPR1A","ITSN2","PTPRJ","ATM","PROS1","IRS1","PIKFYVE","EXOC4","ERBB3","TSC2","DOCK4","EFNA1","TCF7L2","NCAM1","HIST3H3","SCARB2","CACNB2","PPP3CA","SH3BP2","ERBB4","MTMR4","OR4A47","OR2C1","OR1M1","OR2M5","OR5L2","OR1J2","OR7A17","OR5K3","OR4N2","OR2A14","OR10K1","EPHA5","CHEK2","APC","NAPA","AP1M2","HSP90AB1","DGKZ","GSN","GABBR1","TAS2R43","CACNA1B","RYR2","NPHS1","SMARCB1","EGR1","TFF3","RIPK1","CGA","NFATC3","MYO5A","DAB2IP","ARAP2","ARAP1","RGS14","ATP1A3","CAD","CEP89","PCM1","ARHGEF12","GRIA4","ITCH","GIPR","ARNTL","NPPA","ENTPD8","NT5E","NRP1","APBA1","TNRC6B","EPHA8","STK3","APAF1","BMPR1B","IRAK2","MTA2","CHD4","TRIB3","CHD3","UBA3","TAS1R1","GUCY2F","DSCAM","NCKIPSD","ULK1","MADD","PKD1L1","BRD1","IHH","OBSCN","SHH","ENTPD2","PTPRR","DUSP4","KHSRP","CALCOCO1","MYT1","RGS2","NFASC","SERPINC1","LPIN2","PDE4DIP","SYNE1","PHC2","PHKA1","GRIN3B","MYO10","PHKG2","SH2B3","MCF2L","SPCS2","DDX54","CTSH","SCN4A","GRIK4","ALS2","ARAP3","SERPINB3","ZMIZ1","TUBB2A","CORO1C","WNT2","KDM4C","DOCK6","MAP4K2","AMPD2","EFCAB6","KIF26B","KIF21A","ASH1L","TAF6L","DIRAS1","DAAM2","DYSF","TBL2","CFP","SND1","BBS9","FGF14","PDGFD","ARHGEF10","RHPN1","DIAPH2","RELT","NEFH","TRPV4","GFPT1","PFKP","TAOK3","PRSS54","CCT8L2","KIF13A","NEDD4","FGF8","COL1A1","LRP1","PIAS4"
"Interaction between L1 and Ankyrins",0.916082044252938,0.917248355557549,0.915610636932603,0.885892816772242,0.916069021984433,0.936545968655139,0.942535345218835,0.915756387946982,0.915914982972602,0.915831047579616,0,0.916970671354705,0.944016361122991,0.912881626278763,0,0.93107063329378,0.917605301090789,0.915904779031287,0.91638789966142,0.910617034665634,0.915447406360491,0.91665667650666,0.915687488523799,0.915650234841983,0.887856888528585,0.887825560268591,0.915133336641233,0.888880787775554,0.888871689407651,0.888862648481283,0.888844736009549,0.888835863027783,0.915536919735996,0.919527200568243,0.916551412846802,0.917710773683996,0.916149031769486,0.886880350761246,0.916473627927849,0.918073190748222,0.918358844725016,0.889189864306671,0.917529419368671,0,0.943511929236393,0.885162196567208,0,0.916471472262587,0.916667759223465,0.920111506634028,0.916941536747084,0.888071359803878,0.919073692388508,0.919073692388508,0.919073692388508,0.919073692388508,0.919073692388508,0.919073692388508,0.919073692388508,0.919073692388508,0.919073692388508,0.919073692388508,0.919073692388508,0.918239231542704,0.918358844725016,0.917315635253713,0.936665826956407,0.918034975923251,0.91635570395889,0,0.887809630698553,0.88664732858955,0.888491357610969,0.91614112548646,0.916878656024719,0.919414771952457,0,0,0.918604819121284,0.886178880845566,0.889140332684128,0,0.916297321055555,0.918169980174905,0.917708666654023,0.917666148075498,0.892317265384546,0.917764230933877,0.916034595277681,0.917680667209618,0.91751249635467,0.917838597775487,0.918541136066773,0,0.889278253187843,0,0,0,0,0.91736766264867,0,0.9181981363378,0.918514492436854,0.88715326374831,0.919215361170083,0,0,0.91765119672389,0.917622335248398,0,0.91765119672389,0,0.893381393461628,0,0.888578339681497,0.91736766264867,0.916086834381051,0.91763243740058,0.915755886398515,0.919311273606587,0,0.887950994758612,0,0,0,0,0,0,0,0,0.883818242320681,0,0,0.920473891600021,0,0,0.918176689094093,0.918231689255687,0.917126198554642,0.916722042086969,0,0.888227009304863,0,0,0.919860240271577,0.946936823501628,0.890780121610946,0.890902344123462,0.888109493266077,0,0,0.918513542596284,0,0,0,0.890902344123462,0.889065009409993,0,0,0.917960124945334,0.917942030036531,0,0,0,0.890129137487074,0,0,0,0,0,0.917247917912182,0.917204928444516,0.891649212503315,0.88987446415518,0.8896642612651,0,0,0,0,0,0,0,0,0,0,0,0.917187650646856,0,0.886853998039097
"Classical antibody-mediated complement activation",0.635001013484037,0.634020471375062,0,0,0.634950140767462,0,0,0,0,0,0,0,0,0,0.635886724760104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73242974042682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.637323716518717
"Phase 0 - rapid depolarisation",0.906925585012542,0.906645903696877,0.907152110656176,0.907662413881026,0.906911074520669,0.934014086962478,0.905955324445626,0.906562711740561,0.906539723978448,0.906645903696877,0.906440211187914,0.907481834053674,0.907605595228559,0.908584365327714,0.907178217604985,0.927913014078484,0.873856090407141,0.90681213205419,0.907550172635567,0.904260346713626,0.906302489481542,0.907331662441943,0.936348573475169,0.936307062332387,0.905499561900117,0.905464653353894,0.906620263075523,0.906356697228347,0.906346559072045,0.906336484921866,0.906316525359872,0.906306638347501,0.907069968840264,0.875497271696541,0.907014661443208,0.906926942836578,0.907284006214306,0.908117815589721,0.908113726815321,0.908944578123234,0.909028651983342,0.876637119187861,0.873771536697341,0.908375868491059,0.937056305402378,0.903994659275728,0.907124249846417,0.889754450083222,0.907144304227979,0.909602038650163,0.907649077353337,0.910089927255043,0.910059420050729,0.910059420050729,0.910059420050729,0.910059420050729,0.910059420050729,0.910059420050729,0.910059420050729,0.910059420050729,0.910059420050729,0.910059420050729,0.910059420050729,0.87456246830644,0.909028651983342,0.907866221447559,0.906494769358223,0.907806199518666,0.907230519359251,0.907915648468716,0,0.906115963547864,0.906206539986169,0.937756015039961,0.937675871121892,0.908825679068051,0.90772855503344,0.907569733589224,0,0.908115290921616,0.906645903696877,0.907996007359209,0.907917271072097,0.909252136428357,0.908503877135421,0.908456499407961,0.910469683818191,0.907156060054492,0,0.90712762120344,0.906940231285694,0.907803959087421,0.938382995169415,0,0.906799586163763,0.908600309467318,0.909473986072529,0.906387504221989,0.907195456260551,0.908358127681749,0.909228356276891,0.908849577366215,0.874869186829871,0.907292842108739,0.909983053661561,0.909263164721529,0.909702446121978,0.90824013187523,0.908207972024939,0.909059904566247,0.90824013187523,0,0.911371645446247,0.907633492918441,0.875955707719465,0.878262211087157,0.907398951204097,0,0.936659013559541,0.910089927255043,0,0.875256667962936,0,0.907422483515719,0,0,0,0,0,0.910419708799768,0.938941392547083,0,0,0.910175388757479,0.90576456090295,0.873578484321611,0.908625971571621,0.905410076710428,0.90847397042424,0.90700508320128,0.910059420050729,0.875564226268058,0,0,0,0.941347209450374,0.910045758238541,0.878545306264099,0.875433280148715,0,0,0,0.909199934203073,0,0,0.878545306264099,0.876497995504236,0.907938605130887,0.911124681819134,0,0,0.906068598282473,0.905768775924398,0,0,0,0,0,0,0,0.908322954240557,0.908928602518419,0,0,0,0,0,0,0,0,0.877399957132292,0,0,0,0,0,0,0,0.907588092654685
"Creation of C4 and C2 activators",0.712355588842575,0.711779140934877,0,0,0.712325681436498,0,0,0,0,0,0,0,0,0,0.712876286941351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.831717439808999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.713721075640428
"G beta:gamma signalling through BTK",0.826412882577221,0.825870853612363,0.826301925866832,0.825621160702891,0.826384760902841,0.824769148188848,0.823982526055237,0.825709625645242,0.825665074821841,0.825870853612363,0.825472216694315,0.881766940595493,0.883676537472502,0.82643821765607,0.826902490480579,0.816744818997085,0.827611386461101,0.882138787186846,0.827073379341033,0.881766940595493,0.881151087899737,0.827653804703948,0.881215612386552,0.881135162815946,0.879594995370709,0.879527341787453,0.825271192752188,0.881806112520629,0.881786464535376,0.881766940595493,0.881728258495115,0.881709097232703,0.826142733096503,0.830792034382907,0.819018347960854,0.821521995304726,0.826557542559256,0.828723453464246,0.826495815779585,0.830325738690765,0.828268962264418,0.832031378993154,0.827447519383714,0.827003852509922,0.826091465656428,0.81988505736244,0.826247930962533,0.882908630420527,0.826836765558664,0.83205384717033,0.828268962264418,0.830325738690765,0.888982076398658,0.888982076398658,0.888982076398658,0.888982076398658,0.888982076398658,0.888982076398658,0.888982076398658,0.888982076398658,0.888982076398658,0.888982076398658,0.888982076398658,0.82898036343636,0.822921508975049,0.825046437933302,0.751762746477288,0.827569565459481,0.827003852509922,0.82878558335291,0.824673008785063,0.880789596255186,0.880965135522005,0.88394326722702,0.821944745297004,0.830549244048563,0.827969057354947,0.828115192184255,0.830891124852866,0.826498847054358,0.882366601455669,0.823139932960524,0.827784824741239,0.83092179391656,0.828955877712907,0.828864058563273,0.82738400735912,0.82431108465273,0.824793472801758,0.821456980175533,0.821093814109545,0.884610940027561,0.823315168325062,0.82296533625919,0.882664441689454,0.82431108465273,0.826004290453115,0.824400362730357,0.825966192775438,0.829189183948153,0.823651949118519,0.822574458157147,0.829574791145493,0.822066450963078,0.824771161864709,0.755458216963737,0.829574791145493,0.826740791757379,0.82667846521146,0.825701256255979,0.823081933045995,0.823722797044483,0.891525200064611,0.826815118116344,0.831680494172823,0.885684931791459,0.823671418673557,0.830668017258827,0.823632910146991,0.824978285401396,0.827292198586373,0.829356032065869,0.827038414546923,0.822482364790694,0.827138875265983,0.826706393880961,0.825853473900768,0.835729490406958,0.829132030198737,0.82829105785371,0.82439735557049,0.826004290453115,0.823255580044278,0.830162614661283,0.823315168325062,0.821725926051664,0.825201790759194,0.825320563969458,0.829574791145493,0.827407924280965,0.759221092054843,0.829952087291664,0.821009444127237,0.829189183948153,0.831511235810026,0.82487283116133,0.82829105785371,0.835029452221304,0.829698310633931,0.827349476503429,0.836699197031852,0.823255580044278,0.758138186449795,0.823700856135781,0.83092179391656,0.835729490406957,0.832731460648489,0.827406432757026,0.835729490406958,0.754142687780456,0.754103611706029,0.824752022147226,0.824170959368678,0.832813794362678,0.829681998931936,0.829132030198737,0.828492869850735,0.823770435411292,0.82646450324748,0.830792034382907,0,0,0.832964610915025,0.829132030198737,0.828678095676766,0.831624665281478,0.829132030198737,0.828678095676766,0.826421906720608,0.825087825652812,0.761214246987598,0.831351743742483,0.82738400735912,0.82738400735912,0.823594785807752,0,0,0,0
"Initial triggering of complement",0.743496842655496,0.742991128843681,0.743393319883476,0.742758164996324,0.695843948175734,0.684538869978355,0.741229316489022,0.685416336811745,0.742799136933114,0.739577408349405,0.742619200019897,0.742431644389792,0.744213301050807,0.68700085190661,0.743953647540761,0.68204134087175,0,0.74277857779984,0.686688720991538,0.742431644389792,0.741857052929778,0.687230258698533,0.741917254369734,0.741842194803461,0.793115831168818,0.793052710277336,0.742431644389792,0.742468191852862,0.742449860254071,0.742431644389792,0.742395553933931,0.742377676448258,0.743244792797441,0.690158231549049,0,0.741247033675347,0.686207444524596,0.688228242546158,0,0.689723176990723,0,0.692219279561329,0,0.744048218461422,0,0.742395553933931,0.743342942559307,0.743496842655496,0,0,0,0,0.749163376578196,0.749163376578196,0.749163376578196,0.749163376578196,0.749163376578196,0.749163376578196,0.749163376578196,0.749163376578196,0.749163376578196,0.749163376578196,0.749163376578196,0,0,0,0.73971021178659,0,0.686623852357084,0,0.745957981878365,0.794230395529866,0.794394173920878,0.744462160299347,0,0,0.744948755984335,0.745085099992423,0,0,0.742991128843681,0.745432357596485,0,0,0,0,0.749392085177285,0,0,0,0,0.745085099992423,0.688171486341889,0.740280276931269,0.743269014214584,0.689100677722733,0.747200069609094,0.742523896404125,0,0,0.745005331725815,0,0,0,0,0.688228242546158,0,0,0,0,0,0.740986988944585,0.75153611465385,0,0.748411531928367,0,0,0.747466889496415,0,0,0.686892879665399,0.689723176990723,0,0.744818845538545,0,0,0.747964095236681,0.752189251298264,0,0.75023836460674,0,0.690680441194827,0,0,0.798306467275952,0,0,0,0,0,0,0,0,0.798797750698444,0,0,0,0,0,0.74935986783875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.751022993026637,0,0.743526099768916,0,0.747582597653387,0,0.745700797028626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.686349190793293,0.746446907944148,0.697068117979165
"Potassium Channels",0.930807614949139,0.930649780055258,0.929218165641211,0.930577071295349,0.930799426122011,0.930328971445603,0.930099912799235,0.9306028316434,0.930307487248362,0.930649780055258,0.930533699882912,0.946926314206261,0.947482374933601,0.931097363859068,0.930950185211025,0.927992345123835,0.931156610566703,0.947034593230246,0.930999946804785,0.946926314206261,0.94674698237866,0.930886590931469,0.946765771440111,0.946742345110039,0.946293859547387,0.946274159315801,0.930475163172459,0.946937720786071,0.946931999435611,0.946926314206261,0.94691505025986,0.946909470639552,0.930728949384408,0.93208279211743,0.928654380228963,0.929383424133358,0.930849738884193,0.929923296872469,0.931035610524934,0.931947010201964,0.929790952339343,0.93272605177675,0.931108893665123,0.930979701097043,0.930714020678585,0.928906759705511,0.930759582238181,0.947258765982941,0.9309310465916,0.932450222827434,0.931348091859889,0.930389870681418,0.949027309296307,0.949027309296307,0.949027309296307,0.949027309296307,0.949027309296307,0.949027309296307,0.949027309296307,0.949027309296307,0.949027309296307,0.949027309296307,0.949027309296307,0.931555246709094,0.929790952339343,0.930692087722383,0.930404342254352,0.93114443259508,0.930979701097043,0.929941388644348,0.930300976350179,0.947779966223357,0.946692834398184,0.947560044698925,0.930781293858998,0.930454953816669,0.931260761730634,0.929746175609946,0.911049992520999,0.930832647179898,0.94710093108906,0.929854555815917,0.93120711453294,0.931838205631086,0.931830488163603,0.931803751094778,0.931004825451201,0.930974179316019,0.928872140467885,0.93014308484231,0.930037333524202,0.947754466164294,0.931462722600611,0.928246575005304,0.947187659999766,0.930195586674122,0.930603061919059,0.930221583801254,0.930677542126407,0.931333682204792,0.929918077224532,0.929689893664316,0.931445968217197,0.929541965662741,0.930329557813375,0.910136410852983,0.910384314196325,0.93090309971842,0.930884950681377,0.930454953816669,0.929837666662479,0.930024281599598,0.94976784841869,0.93092474301378,0.932341505148929,0.931616053723952,0.929230773712869,0.93040396573788,0.929998107188549,0.930389870681418,0.931063665378158,0.931947010201964,0.930989765310943,0.929663076745546,0.931019018741959,0.930893083306888,0.930644719209597,0.933520543415097,0.931599410967644,0.932133118576748,0.931193421378297,0.930688635893166,0.929888231405923,0.932678102312428,0.929820009105958,0.929442807284239,0.929961904597625,0.929996490492943,0.931728339736356,0.930318816980419,0.911232132722473,0.932120577150245,0.929234172956849,0.931616053723952,0.932292218344233,0.931430085144565,0.932911665455396,0.933520543415098,0.932046679232533,0.930994770317071,0.933802914934258,0.929888231405923,0.910917320467494,0.9300178925665,0.932120577150245,0.933802914934258,0.932647538945855,0.931096929538142,0.933520543415097,0.909753338319037,0.909741959650256,0.930323984466794,0.930154783210151,0.93271543060841,0.931759557864342,0.931513836993536,0.93141329212116,0.929952579571563,0.930822646513023,0.93208279211743,0.931673983890234,0,0.93271543060841,0.931599410967644,0.931467228535063,0.932369164865228,0.931599410967644,0.931467228535063,0.930810242714085,0.930421768006246,0.911812524948158,0.932245775413712,0.931090399425309,0.931090399425309,0.91340623615893,0,0,0,0
"Presynaptic function of Kainate receptors",0.842148627486023,0.841668386779416,0.837312445574744,0.841447157459483,0.842123711524606,0.840692269587596,0.839995317959971,0.841525537895177,0.840626900100464,0.841668386779416,0.841315192231495,0.891192633728808,0.892884547285106,0.843030240023158,0.842582422837773,0.83358266886338,0.843210508657293,0.891522091896837,0.842733831327754,0.891192633728808,0.890646984782071,0.84176868818012,0.890704153839724,0.890632875068405,0.889268278063174,0.889208336608504,0.841137083889928,0.891227340274447,0.89120993204918,0.891192633728808,0.891158361170655,0.891141384184558,0.841909273529092,0.84602858057682,0.835597028292195,0.837815273898,0.842276797042438,0.839076994663912,0.842222106769026,0.845615439975116,0.839055250868823,0.847985812375999,0.843065321506539,0.842672230164964,0.841863850289295,0.836364937688973,0.84200247942913,0.892204177324903,0.837786316545079,0.847146553792138,0.843793124511624,0.840496628372179,0.89758528456673,0.89758528456673,0.89758528456673,0.89758528456673,0.89758528456673,0.89758528456673,0.89758528456673,0.89758528456673,0.89758528456673,0.89758528456673,0.89758528456673,0.84442342994481,0.839055250868823,0.8417971153733,0.781848560101237,0.843173455015013,0.842672230164964,0.836712768251658,0.84022615157584,0.890326701155056,0.890482229931191,0.89312087134542,0.838189832765096,0.840694655374274,0.843527407077727,0.838919009714308,0.787902502241805,0.842224792495496,0.891723936618296,0.839248775746505,0.843364175947432,0.845284382737289,0.84526090097134,0.845179548689158,0.842628111535963,0.840286422722357,0.836259602507819,0.837757670128446,0.837435902954635,0.89371243319599,0.844141908906314,0.834356208445882,0.891987824737941,0.839905484762221,0.841405674609494,0.840365523600474,0.841752857813275,0.843129042812349,0.83932148697756,0.83874776189531,0.843470692954554,0.838297664668673,0.840694053715716,0.77928239530927,0.785877057670243,0.842439156861005,0.842383935191328,0.84107559333441,0.839197387496538,0.839765196597944,0.899838506415578,0.842505010432425,0.846815760939797,0.844608446090883,0.83498180142999,0.84118082706567,0.839685556302009,0.840877566332315,0.842927706407897,0.845615439975116,0.84270285232383,0.838666166655486,0.842791861085049,0.842408680149337,0.841652988257347,0.850403194340224,0.844557807547955,0.843812701327812,0.840362859239943,0.841405674609494,0.838970301751987,0.84547091116898,0.839404035263513,0.837995957684953,0.84107559333441,0.84118082706567,0.844950096233088,0.838292366380357,0.788456696165004,0.846143548252296,0.837361150676534,0.844608446090883,0.846665797079895,0.840784133283443,0.898606124809494,0.849782956576697,0.845918700708471,0.842978454964049,0.851262359855231,0.839351239712123,0.781640036632688,0.839745756829625,0.846143548252296,0.851262359855231,0.847746923138899,0.843028918524574,0.850403194340224,0.778116829065579,0.778082207444207,0.840677095818551,0.840162270933821,0.84757255762416,0.845045082933897,0.844176869587819,0.843991507890447,0.839807404458448,0.842194363689747,0.84602858057682,0.787191073629735,0.786027694319899,0.847953495584295,0.844557807547955,0.844155619012436,0.84651898258071,0.844557807547955,0.8437746810523,0.842156622927739,0.840974619610189,0.784382270233176,0.84652448621243,0.843009049496098,0.843009049496098,0.780578739360513,0.787317823337302,0.783338364904506,0.785877057670243,0
"ADP signalling through P2Y purinoceptor 12",0.824566663511404,0.824037887893142,0.820870636347367,0.825423217590699,0.824539229450272,0.822963120668085,0.822195732517256,0.823880602169459,0.824520061972733,0.824037887893142,0.825277915466039,0.880196156677536,0.882059061309458,0.827166292365182,0.826673217109768,0.81676391453184,0.825735862342601,0.880558911113163,0.825211010229545,0.880196156677536,0.879595362419167,0.825240722153173,0.879658309194377,0.879579826725369,0.878077318472338,0.878011319111358,0.825081806833152,0.880234370795738,0.880215203230491,0.880196156677536,0.880158420407208,0.880139727663765,0.825932036828749,0.828838739089722,0.818562415648257,0.821277153488628,0.826336703635043,0.822946265909642,0.825739964910777,0.828383844962488,0.822789576025339,0.830993776012775,0.827204919313728,0.825143183424171,0.82425310567219,0.819407932824256,0.826034662463644,0.881309930631023,0.820972961513162,0.830069698835525,0.828006276796947,0.82450937307958,0.887234872581134,0.887234872581134,0.887234872581134,0.887234872581134,0.887234872581134,0.887234872581134,0.887234872581134,0.887234872581134,0.887234872581134,0.887234872581134,0.887234872581134,0.827071365965858,0.822789576025339,0.824179626277421,0.760154927645584,0.825695063921443,0.825143183424171,0.822747541321181,0.82407881231197,0.879242709737785,0.879413956830393,0.882319269158112,0.821550007163332,0.825014101813433,0.827713704971073,0.822220128866157,0.766820703691336,0.826279443315201,0.880781155012762,0.822715970860275,0.825905059820515,0.827985969373041,0.827993474928585,0.827903900882246,0.824378178926288,0.823858486298146,0.81971138904495,0.821074168563563,0.820719882402629,0.882970616449109,0.822886921481427,0.817328942514533,0.881071712647084,0.824145174684681,0.825129970856901,0.823549348493336,0.825076891860685,0.826738559283211,0.822835147472531,0.822164322686186,0.827114737859263,0.821955425346605,0.824307313995529,0.7637600388443,0.764590560159463,0.826515472140632,0.826454669563668,0.825014101813433,0.822946077509204,0.82357127150988,0.889715813408957,0.825905059820515,0.829705474827426,0.827275080531662,0.818017760251972,0.82446296241721,0.82319689408295,0.824796061466115,0.82542447904624,0.828383844962488,0.825176900372284,0.822074481128002,0.826617133578606,0.826195226952617,0.825363162027873,0.833655467587689,0.828428804577556,0.827741143732445,0.82394264777444,0.825649850414408,0.822828790215285,0.829566938426451,0.822506601428271,0.821336538346638,0.824727413426898,0.824843282470366,0.827651259107713,0.821662903207038,0.767430906513264,0.828965325826006,0.820924263767862,0.828903997806897,0.82954035506218,0.824406497339344,0.828027832118981,0.834064942316123,0.828717754353274,0.826442265275737,0.834601463564574,0.82311547860182,0.759577930579753,0.823549867086286,0.828965325826006,0.834601463564574,0.830730743741031,0.826481916012684,0.833118946339238,0.755692490706335,0.755654370095161,0.824575330656748,0.824008475654717,0.83230042205463,0.829098074406429,0.828181233104824,0.82822470953775,0.822950736614032,0.826245939261188,0.828838739089722,0.76603737545818,0.764756420709098,0.83230042205463,0.82856155315798,0.828118717953466,0.831140368799415,0.82856155315798,0.828118717953466,0.826204384277427,0.824616234922622,0.762591140657277,0.831013680068201,0.827142960244658,0.827142960244658,0.758756774098791,0.766176934962531,0,0,0
"Activation of Matrix Metalloproteinases",0.724065353661774,0.723763206317559,0.726035692791232,0.72308346712513,0.690804659592386,0.72515800521751,0.722170030502685,0.723132780813366,0.722567395540212,0.722682104382512,0.723000440129258,0.72543786375151,0,0.723148697790138,0.723797728565925,0.721116331912464,0.724587763464006,0.754047968194678,0.722962209850056,0.722888381818401,0.753497387440085,0.724757090357184,0.753533355817408,0.753488510199041,0.752629962901026,0.752592250247584,0.687342166222485,0.753862522815552,0.753851570289122,0.753840686910251,0.753819124051703,0.753808442842902,0.687827995610735,0.725965906719657,0.722383682520893,0.722073168271878,0.7236054416125,0.689266586268854,0.724501811380501,0.690159760355951,0.693272769854618,0.695727029210624,0.72464209915616,0.723854231575829,0.725895114739217,0.722866818959853,0.687886636860371,0,0.723761091020899,0.693964821633348,0.723322099497288,0,0,0,0,0,0,0,0,0,0,0,0,0.724956013152007,0.724559451365258,0.722372867393184,0.68926706510672,0.691465114242251,0.724394782543352,0.694307928196119,0.693611645042018,0.753295878392712,0.753393730586438,0,0,0.725830566249905,0.724392273081829,0.72627870654639,0.725630915846325,0.723572722529071,0,0.693394527604486,0,0,0,0,0.694829555801488,0,0.72397330816364,0,0,0.723542955537385,0.689232676306367,0.691063503421694,0,0.694794545937687,0.694353751546435,0,0.693276844748293,0.727621899497327,0.689420410595349,0.724365992178138,0.72783685146141,0,0.692886050475236,0.692108334842561,0.693123453473616,0.723707591612099,0.72367284844975,0.725830566249905,0.723707591612099,0.687019583148823,0,0,0.692191677339816,0,0,0.693192307885113,0,0.725705975951868,0.693475459323874,0.690159760355951,0.693333990549149,0,0,0,0,0.7287182305281,0,0,0,0.695738402574444,0.694206167945132,0,0.724778891902284,0.723892988448126,0,0,0,0,0,0,0,0.690066752935824,0.693662349639993,0,0,0,0,0.759820858956925,0.729258781495623,0,0.727293974146305,0.694454381596454,0.757531095626573,0,0,0,0,0,0,0.723287336706204,0.724314655869753,0,0,0.693015764999259,0,0.692508641531468,0.727197315015536,0,0.728123024315824,0.756484772229714,0,0,0,0,0,0,0,0,0,0,0,0,0.68694822486778,0.728202769924629,0.725308833673927,0.723966363299686,0.724240527747673
