"","CHST3","CHST2","CPEB2","NLGN3","OBSCN","PCNT","NEUROG3","SPTBN2","NOTCH3","PPAN-P2RY11","NLE1","FAT4","FBN2","UBXN11","MTX1","VAV3","NUMBL","TAF7L","DOCK3","AMH","EPHA7","PDHX","COL6A1","MUC16","L2HGDH","HNRNPL","F2RL3","NUDT11","GP6","ACSF3","NOV","ARHGAP21","POLDIP3","CYBA","HLA-C","HLA-A","CBR3","BRAF","PLXND1","POLG","GGH","ASCL1","LAS1L","NEFH","PRDX5","SEC16A","EYA4","RBP1","HOXB3","SDC4","GRP","SPHK1","CLCN7","ACAT1","GNAS","ACTR8","CHL1","CRNKL1","OR52B2","FTCD","CCT6B","FMN2","TGFB1","SIRT1","COL16A1","CACNA1H","CACNA1E","NCOR2","EP400","ATXN1","LAMC3","ELMO3","MED15","ANKRD27","RAI1","TNRC6A","CD6","HLX","PIGQ","PRLHR","DOT1L","GSPT1","PTPRU","CLDN5","IRF5","BCL9L","DGKB","GAS6","ARHGAP5","TARSL2","PI4K2B","AR","EXOC3L4","TACR2","MSH6","WDR90","LAMA4","LAMA5","ATP4A","MAGI3","DPP7"
"Extracellular matrix organization",0.68543672846665,0.670143789565217,0,0.684701941077363,0.6690373639237,0.668877148728822,0,0.683616454194751,0.765664788207073,0.653971518033223,0.653327160503007,0,0.779929685566948,0,0,0.669009437649092,0.765268396660165,0.653926649126133,0.670056993176997,0.653342600380522,0.669555210502712,0.652596586743056,0.685044062440372,0.668946708170172,0,0.651958816090683,0.683076751220963,0,0.684721285390168,0,0,0.63935346005156,0.653493256018334,0.668722145644216,0.683737546277914,0.683585968683083,0,0.66945836046508,0.65363011258887,0,0,0.653828459921938,0.668288990870805,0.653882465941728,0.670398309583398,0.668477253899025,0.653174997466538,0.684742316238013,0.668683641556721,0.778412682224941,0.668091771292859,0.669229196478147,0,0.669182501780001,0.668192893383649,0.668421770978754,0.685558189935888,0.75995903169031,0.670201894123919,0,0.683951675412062,0,0.698910360407158,0.668884652671015,0.68517581809249,0.684378086107722,0.669776179046057,0.763464440771339,0.66808223745074,0,0.684192500973215,0.655331705726672,0.669427143300057,0,0.653779816773571,0.763594889795849,0,0,0,0,0.669711695606574,0.668131781181819,0.655815158283401,0.653838909774665,0.683848612389534,0.66885900013538,0.669058085841706,0.684095800631334,0.669485930788211,0,0.669407895255537,0.669540731679657,0.671012473743615,0.668106910194766,0.652747337277663,0,0.685560173187168,0.685242354606191,0.654962658510011,0.669755644427326,0.654976376285594
"Post-translational modification: synthesis of GPI-anchored proteins",0,0,0,0,0,0,0,0.777588184788175,0,0,0,0,0.781834251618156,0,0,0.738606096390701,0,0,0,0,0.780345009598971,0,0.779148453458597,0,0,0.702760078387197,0.777887761849184,0,0.706319350861296,0,0,0.785188268521707,0.704076938369577,0.781403944777846,0.739290199121633,0.777471496572967,0,0.739997506335745,0,0,0,0,0.701485824964907,0,0,0.779427234091456,0,0.706370407118197,0.779965883205483,0.77854835847102,0.778005479897354,0.779898633856959,0,0.779775772812691,0.778250972398836,0,0.779045324722565,0.70256780395622,0,0,0,0,0.778054639549423,0,0.779710455538201,0,0,0.778237244428122,0,0,0.779651755927025,0,0.743979891497394,0,0,0,0,0,0.781986241447193,0,0,0.701827117913832,0,0,0.77854835847102,0,0,0.779148453458597,0.780521903683575,0,0.702099951292647,0.779262161597894,0.750476840691415,0.77804223237023,0,0,0.780345009598971,0.741167478282327,0,0,0
"Glycosaminoglycan metabolism",0.619241157573056,0.781250146179803,0.555767247023297,0.58825418545053,0.58836593144141,0.614776524432224,0,0.585792831123333,-0.0246750561726778,0,0,0,0.589298269684985,0,0,0.586123148690952,-0.0246750561726778,0.554596709190401,0.590002799208052,0,0.587640083025948,0,0.777226021532222,0.743690370763336,0,0.519420320376715,0.585527248744215,0,0.587916884838647,0,0,0.525726780470475,0,0.591809909300774,0.614333299839932,0.614540064616154,0.556366006610163,0.586537066617579,0,0,-0.0246750561726778,0,0.584582668214004,0.590606933771071,0,0.587374115067577,0,0.618441016317662,0.586790925821738,0.61623886551948,0.585628467161354,0.587256272329473,0,0,0.585839550872016,0.552238661920945,0.589663851456917,0.519254995570006,0.588334033405013,-0.0246750561726778,0.586555293776314,0,0.774570530922708,0.553598779310474,0.748716195869199,0.590837479790397,0.584028915290022,0.745992608694043,0.554105710068076,0,0.646517285004107,0,0.553140307826778,0,0,-0.0246750561726778,0,0,0,0,0,0.550526763619069,0,0,0.614565140843083,0.554853895923724,0.587534996497506,0.586611238932543,0.587792183230829,0,0.587874194639528,0.586709009478814,0,0.585660068323524,0.552200197156373,0.555648865596476,0.647113370654873,0.646374788787068,0.588388025372255,0.556725564149812,0
"Diseases of glycosylation",0.555092556120167,0.587405542805223,0,0.245496135157995,0.245605192398203,0.243004887222251,0.221760445226822,0.522449038948191,0.281883212089116,0,0,0,0.245635922757356,0,0,0.522771408654997,0.251257199200069,0.21058115969699,0.247202675044424,0,0.244896808818832,0,0.556527911103488,0.585363808696676,0,0.215066065985415,0.24283481201726,0,0.24516695042785,0,0.221436036130108,0,0,0.244616662169363,0.242652306449721,0.242854096202441,0,0.243820332388191,0,0,0,0.219971091919228,0.215849077011157,0,0,0.244637240387828,0,0.551903532987426,0.243699490673814,0.774538313458151,0.242933594990542,0.244522233095889,0,0,0.242629017861412,0.217258659567835,0.245703131843465,0.214904719103834,0.246232230935728,0,0.243838120978303,0,0.803739841853885,0.209607241279255,0.556341345476439,0.243957206873251,0.242030699438321,0.521603940108038,0.210101974638057,0,0.274061903995612,0,0.209031703143703,0,0,0.247466358996612,0,0,0,0,0,0.207604132069644,0,0.218806137956768,0.242878569063455,0.210321576293159,0.244794250805926,0.743598313264901,0.245045249299326,0,0.24512528740922,0.243988138085488,0,0.242964435788556,0.217221120314422,0,0.274643647067451,0.273922836418797,0,0.212148209801127,0
"Diseases associated with glycosaminoglycan metabolism",0.732586113549289,0.798833405133742,0,0.66171490032874,0.661951627203026,0.661904071609546,0,0.656500675533754,0.135172311659027,0,0,0,0.663926727306754,0,0,0.657200432587123,0.598292728676178,0.585926140308221,0.666219320761545,0,0.660413962851539,0,0.731200868714838,0.724830979357845,0,0,0.655938055917795,0,0.66100035013399,0,0,0,0,0.660434431526808,0.655541897235798,0.655979915448371,0,0.658077291758622,0,0,0,0,0,0,0,0.659850526410112,0,0.725663808557919,0.658615076563569,0.721568308908407,0.656152480787276,0.659600883959149,0,0,0.656599648391625,0,0.664701189365604,0,0.663312718614854,0,0.658115904851408,0,0.787291338096842,0.58418167169738,0.732224562400222,0.658374400588408,0.654192595854597,0.659956887077295,0.584885989457265,0,0.723721651605246,0,0.582562787210338,0,0,0.590124410434669,0,0,0,0,0,0.579464006812654,0,0,0.656033037862634,0.58647097427504,0.660191343630827,0.657605847594968,0.660736177597645,0,0.660909913624183,0.658441541927915,0,0.656219425867679,0,0,0.724984421676915,0.723419782305134,0,0.590435986042999,0
"Binding and Uptake of Ligands by Scavenger Receptors",0,0,0,0,0,0,0,-0.00771803859396944,-0.00505115689930985,0,0,0,0,0,0,-0.00704126240138806,0,0,0,0,-0.00393326832454668,-0.00206775108801008,0,0,0,0,-0.00719027619441095,0,-0.00336613870365175,0,0,0.364100664098462,0,-0.00206775108801008,0,-0.00822169629364924,0,0,0,0,0,0.000842529602748988,0,0.00214540913036125,0,0,0,0.0288988011358154,-0.00352926720431638,0.354273757197135,0,0,0,0,0,0,0,0,0,0,-0.005083950431472,0,-0.00689628914742207,-0.00512129542398582,0,0,0,0.416175557717329,0,0,0,0,0.418567252331402,0,0,-0.00520507073154311,0,0,0,0,0,0,0,0,-0.00709841357054193,0,0,-0.00604123125644371,0,0,0,-0.00476900766706426,0,0,0,0,0,0,0,0,0
"Defective B4GALT7 causes EDS, progeroid type",0.843315851152095,0.74708671289006,0,0.749103819045642,0.749436594936726,0.741502056428674,0,0.741773986690557,0.639953233005854,0,0,0,0.75221306760794,0,0,0.742757661559237,0,0.642648498149039,0.755435852651299,0,0.747275042192466,0,0.744211178269729,0.738263729198333,0,0,0.740983091087316,0,0.748099348900465,0,0,0,0,0.747303815780902,0.74042619589403,0.741041934607426,0,0.743990295551598,0,0,0,0,0,0,0,0.746482998346873,0,0.838999210027144,0.744746279924802,0.833402710652425,0.741284516209525,0.746132066542776,0,0,0.741913116567849,0,0.753301758118982,0,0.751349932443435,0,0.744044575431726,0,0.832179520949678,0.63967669573881,0.745650223073481,0.74440795263375,0.738529432077824,0.739195262719106,0.641186318887255,0,0.836269046785229,0,0.637836709835729,0,0,0.641112913900982,0,0,0,0,0,0.633480637415897,0,0,0.741116610787715,0.643414391794817,0.746962097961828,0.744211178269729,0.747727991607606,0,0.747972218889441,0.744502335745722,0,0.741378623432678,0,0,0.838044170277652,0.835844697730486,0,0.648988158306194,0
"Defective B3GAT3 causes JDSSDHD",0.843315851152095,0.74708671289006,0,0.749103819045642,0.749436594936726,0.741502056428674,0,0.741773986690557,0.639953233005854,0,0,0,0.75221306760794,0,0,0.742757661559237,0,0.642733809905373,0.755435852651299,0,0.747275042192466,0,0.744211178269729,0.738263729198333,0,0,0.740983091087316,0,0.748099348900465,0,0,0,0,0.747303815780902,0.74042619589403,0.741041934607426,0,0.743990295551598,0,0,0,0,0,0,0,0.746482998346873,0,0.838999210027144,0.744746279924802,0.833402710652425,0.741284516209525,0.746132066542776,0,0,0.741913116567849,0,0.753301758118982,0,0.751349932443435,0,0.744044575431726,0,0.832179520949678,0.639762007495143,0.745650223073481,0.74440795263375,0.738529432077824,0.739195262719106,0.641271630643588,0,0.836269046785229,0,0.637880277962401,0,0,0.641198225657315,0,0,0,0,0,0.63352459777523,0,0,0.741116610787715,0.64349970355115,0.746962097961828,0.744211178269729,0.747727991607606,0,0.747972218889441,0.744502335745722,0,0.741378623432678,0,0,0.838044170277652,0.835844697730486,0,0.649073470062527,0
"Defective B3GALT6 causes EDSP2 and SEMDJL1",0.843315851152095,0.74708671289006,0,0.749103819045642,0.749436594936726,0.741502056428674,0,0.741773986690557,0.640016848642256,0,0,0,0.75221306760794,0,0,0.742757661559237,0,0.642733809905373,0.755435852651299,0,0.747275042192466,0,0.744211178269729,0.738263729198333,0,0,0.740983091087316,0,0.748099348900465,0,0,0,0,0.747303815780902,0.74042619589403,0.741041934607426,0,0.743990295551598,0,0,0,0,0,0,0,0.746482998346873,0,0.838999210027144,0.744746279924802,0.833402710652425,0.741284516209525,0.746132066542776,0,0,0.741913116567849,0,0.753301758118982,0,0.751349932443435,0,0.744044575431726,0,0.832179520949678,0.639762007495143,0.745650223073481,0.74440795263375,0.738529432077824,0.739195262719106,0.641271630643588,0,0.836269046785229,0,0.637880277962401,0,0,0.641198225657315,0,0,0,0,0,0.63352459777523,0,0,0.741116610787715,0.64349970355115,0.746962097961828,0.744211178269729,0.747727991607606,0,0.747972218889441,0.744502335745722,0,0.741378623432678,0,0,0.838044170277652,0.835844697730486,0,0.649073470062527,0
"Chondroitin sulfate/dermatan sulfate metabolism",0.754499957291314,0.694354211712772,0,0.697382437788836,0.697588416410697,0.692677167276432,0,0.692845484219113,0.629821391781149,0,0,0,0.699306972441267,0,0,0.693454350423783,0,0.635342444042731,0.701301782881476,0,0.696250477974436,0,0.694354035097163,0.690672736673401,0,0,0.692355942786708,0,0.696760699911341,0,0,0,0,0.696268287990878,0.692011240819084,0.692392365218448,0,0.69421731510304,0,0,0,0,0.690614820851893,0,0,0.695760225813329,0,0.75302507670024,0.69468524749692,0.749412999311048,0.692542516192205,0.695543009208064,0,0,0.692931601576627,0,0.699980840281774,0,0.698772716816301,0,0.694250912774034,0,0.74880388701874,0.633502984570749,0.695244762080141,0.69447583271954,0.690837199047053,0.691249328896476,0.634437397501424,0,0.751335184862845,0,0.628458101373597,0,0,0.634391961944597,0,0,0,0,0,0.625734851520673,0,0,0.692438587607489,0.635816509988841,0.696056774575022,0.694354035097163,0.696530840521132,0,0.6966820101229,0.694534253127544,0,0.692600765833034,0,0,0.752433934803566,0.751072525109462,0,0.639266509749483,0
