"","EP300","MTOR","SMAD4","CCR5","TBP","APC","CIITA"
"Interaction between L1 and Ankyrins",0.897056766163309,0.897690484525275,0.860511797183553,0.86370020316693,0.898415109437255,0.89921007124498,0.899930362724474
"Phase I - Functionalization of compounds",0.93992290931632,0.939236314606799,0.940650902197518,0.923473720217223,0.940379533985084,0.926489860189021,0.925584814822823
"Activation of Matrix Metalloproteinases",0.929602287055504,0.885946453729162,0.909286418642286,0.908865247705549,0.909167774386659,0.909069017195392,0.91018191615841
"Cytosolic sulfonation of small molecules",0.796825031842748,0.857906164329633,0.799536407616689,0,0.799223409762569,0,0
"Synthesis of bile acids and bile salts via 24-hydroxycholesterol",0.702087818280529,0.705791100206655,0,0,0,0,0
"Arachidonic acid metabolism",0.861748688558797,0.862679696582481,0.837095136518839,0.834997592386658,0.836951160279633,0.836548354903967,0.838181833585701
"Bile acid and bile salt metabolism",0.741839024066776,0.744476065597425,0.742154676468625,0.701816527788857,0.703373853082038,0.704261617789333,0.704013449622496
"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)",0.833758832812617,0.835924906789743,0.776400124660829,0.767041312456304,0.776065150979469,0,0.778928423212151
"Complement cascade",0.731111897670867,0.73021853780576,0.732650109319857,0.761790638097758,0.730468883882153,0.730592829985351,0.731986701886651
"Transport of bile salts and organic acids, metal ions and amine compounds",0.411769191243755,0.350441774161314,0.415291575988961,0.347104192215273,0.347232720023121,0.345227099301967,0.350708404912488
"Synthesis of Leukotrienes (LT) and Eoxins (EX)",0.682487752754795,0.632492635206837,0.684997829375775,0,0.63085309922307,0.63215252540307,0.633329897191993
"Phase 4 - resting membrane potential",0,0,0,0.774632355377986,0,0,0
"Synthesis of bile acids and bile salts",0.781148419506863,0.784384631434446,0.781535792271363,0.732152761301191,0.73406393131135,0.735153407795222,0.734848852568377
"Synthesis of bile acids and bile salts via 27-hydroxycholesterol",0.74921930123498,0.75303226344386,0.749675710686786,0.691510005499357,0.693761779853617,0.695045420342381,0.694686587980205
"Dermatan sulfate biosynthesis",0.730890283271548,0.738377689338042,0.735759371673502,0.733764058880395,0.618717350377688,0.621237998906642,0.624087537541234
"Chondroitin sulfate/dermatan sulfate metabolism",0.778764944394333,0.781044921609352,0.780007041018367,0.779216114673197,0.737158156111678,0.781471373460202,0.738464959090583
"Phase II - Conjugation of compounds",0.798604798899703,0.802025617376858,0.777545224643068,0.773943388088205,0.777425739764315,0.756660154407697,0.775269385454156
"Synaptic adhesion-like molecules",0.802643596434857,0.808099432404802,0.728074307539711,0.584852745267131,0,0.808883358040209,0
"Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol",0.719482415195365,0.722986339245745,0.719901832951795,0.666450421123233,0.668519690600265,0.669699292844984,0.669369543617219
"Recycling of bile acids and salts",0.636632286619927,0.532438530231742,0.641547171890093,0.526040839697303,0.530504174646333,0.533048531475273,0.532337275029923
"Cytochrome P450 - arranged by substrate type",0.691056432839027,0.629308310106132,0.692302690845912,0.624756500970308,0.631472222011863,0.632474734816072,0.627237386107969
"Diseases associated with glycosaminoglycan metabolism",0.797735002351816,0.389165321215989,0.795486701888159,0.387474802319709,0.329041375701753,0.800236780635155,0.347399980106469
