"","TP53","APC","CENPE","KIF5A","DCTN4","INPPL1","OBSCN","OR52K1","OR1M1","OR51T1","TSHR","LNPEP","ITGAL","MADD","ARF5","NEFM","KIF1A","RNF111","HECW2","KLHL25","FBXW8","TBP","UPF1","MED13","CSTF3","CNGB3","COL9A3","SLC32A1","PPFIA2","GEMIN5","TOR1A"
"Potassium Channels",0.948393333150236,0.949865361707551,0.949634322619734,0.949881373415676,0.949846062954363,0.94945604472992,0.950549605356613,0.959862599879826,0.959862599879826,0.959862599879826,0.958847273565882,0.949622466843413,0.950357832382332,0.949708263845922,0.9405087481407,0.95036007765879,0.93844235167016,0.949456178626723,0.949516555670184,0.949516555670184,0.949516555670184,0,0,0,0.940765503416661,0.95044739739269,0,0,0,0,0
"GABA B receptor activation",0.9110387885493,0.912136775756301,0.911641170784397,0.91240954468157,0.912333799748743,0.913318425071278,0.913604555765621,0.934150671069613,0.934150671069613,0.934150671069613,0.931972681301517,0.913675419325632,0.913431603048465,0.912195241995717,0.912559589404559,0.91366659738533,0.888201816213732,0,0,0,0,0.910966288029723,0,0,0.910960945801545,0.914423906843451,0,0.914192418956702,0.913880285453697,0,0
"Activation of GABAB receptors",0.9110387885493,0.912136775756301,0.911641170784397,0.91240954468157,0.912333799748743,0.913318425071278,0.913604555765621,0.934150671069613,0.934150671069613,0.934150671069613,0.931972681301517,0.913675419325632,0.913431603048465,0.912195241995717,0.912559589404559,0.91366659738533,0.888201816213732,0,0,0,0,0.910966288029723,0,0,0.910960945801545,0.914423906843451,0,0.914192418956702,0.913880285453697,0,0
"GABA receptor activation",0.887175061913745,0.88791984048407,0.887667708181139,0.887242604245658,0.888234160931722,0.889039417065895,0.888066731854006,0.907350576279689,0.906076652951266,0.906076652951266,0.905569350892952,0.888277874514353,0.889131977411741,0.888120844243632,0.888418818487462,0.889324162831846,0.868498300674475,0,0,0,0,0.88711576881333,0,0,0.887111399778823,0.88994351323109,0,0.889754195491108,0.889498923346239,0,0
"Adrenaline,noradrenaline inhibits insulin secretion",0.900522968771438,0.901836987192525,0.901189728834147,0.901881844155966,0.901782921538849,0.903068838763276,0.903753902746549,0.930275679111209,0.930275679111209,0.930275679111209,0.927431232098402,0.902454796630595,0.903216648805288,0.901709959194576,0.900997526659776,0.903587182810487,0.870279827797911,0,0,0,0,0.901210555588954,0.901079070843427,0,0.901203578657655,0.905534745049976,0.901720316119932,0.90312999633895,0.902515783260891,0,0
"Glucagon-type ligand receptors",0.906224168833138,0.90967620752782,0.909134400191839,0.909713756416216,0.909630950224601,0.908716322586628,0.911280820115948,0.933120625667087,0.933120625667087,0.933120625667087,0.930739594602137,0.909106597335425,0.910831095330024,0.909417218552429,0.882598579536966,0.910836360704241,0.882900656998184,0,0,0,0,0,0,0.910239245067005,0,0.910984979018234,0,0,0,0,0
"Inwardly rectifying K+ channels",0.90197009874216,0.905861388620859,0.905250639556558,0.90590371537971,0.905810372597712,0.904779364087898,0.9076701785203,0.932288968114071,0.932288968114071,0.932288968114071,0.929604965151363,0.905219298953705,0.907163228957317,0.905446102303292,0.875324283258053,0.907169164318769,0.875664798261328,0,0,0,0,0,0,0,0,0.907399992990569,0,0,0,0,0
"G beta:gamma signalling through BTK",0.864309562993075,0.869898514806422,0.869571689239974,0.870619250488149,0.870469524717033,0.872415843502649,0.872799890324506,0.91294231208065,0.91294231208065,0.91294231208065,0.908637057783911,0.873121517638489,0.872639563549325,0.873683166475771,0.821591023395817,0.872649084120184,0.822137223866279,0.868816311209463,0.869072325972613,0.869072325972613,0.869072325972613,0,0,0,0,0.873019343074769,0,0,0,0,0
"Activation of G protein gated Potassium channels",0.89180205261537,0.896272020883041,0.895570446592244,0.896320642105009,0.896213418205851,0.895029087182919,0.898349798099702,0.926629677446389,0.926629677446389,0.926629677446389,0.923546533181216,0.895534445290719,0.897767459458664,0.895794976838678,0.861193705924946,0.897774277474842,0.861584859323112,0,0,0,0,0,0,0,0,0.898039432955512,0,0,0,0,0
"G protein gated Potassium channels",0.89180205261537,0.896272020883041,0.895570446592244,0.896320642105009,0.896213418205851,0.895029087182919,0.898349798099702,0.926629677446389,0.926629677446389,0.926629677446389,0.923546533181216,0.895534445290719,0.897767459458664,0.895794976838678,0.861193705924946,0.897774277474842,0.861584859323112,0,0,0,0,0,0,0,0,0.898039432955512,0,0,0,0,0
"Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits",0.89180205261537,0.896272020883041,0.895570446592244,0.896320642105009,0.896213418205851,0.895029087182919,0.898349798099702,0.926629677446389,0.926629677446389,0.926629677446389,0.923546533181216,0.895534445290719,0.897767459458664,0.895794976838678,0.861193705924946,0.897774277474842,0.861584859323112,0,0,0,0,0,0,0,0,0.898039432955512,0,0,0,0,0
"ADP signalling through P2Y purinoceptor 12",0.878111120517141,0.880015694323166,0.879156015593209,0.880488840591947,0.880357453072965,0.882065388817655,0.882561712474317,0.918201101325134,0.918201101325134,0.918201101325134,0.914423149964995,0.882684632740907,0.882261707872553,0.880187278869266,0.880749108878605,0.882669330161507,0.838517723089653,0,0,0,0,0,0,0,0,0.882837190224535,0,0.883581422747914,0.883039994496277,0,0
"Glucuronidation",0.878193015492333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.881490971860212,0,0,0,0,0,0.882072817461242,0
"MyD88 deficiency (TLR2/4)",0.87142355433993,0.874259392650097,0.87320772706886,0.874332276258194,0.829159332252595,0.876260905463922,0.877373997636201,0.877728738339313,0.877728738339313,0.877728738339313,0,0.877018441387264,0.87650106726598,0.877621367226452,0,0.880375968090689,0,0.872396834385181,0.872671664324585,0.872671664324585,0.872671664324585,0.873241566386525,0.873052644322417,0.916182547394539,0.830497619608844,0,0.874973223237532,0.835382895425057,0,0.876045394175544,0
