"","GRM1","IL22RA2","PCMT1","PNISR","IFNGR1","RAB32","PDE7B","TNFAIP3","RAET1E","HBS1L","HIVEP2","RAET1G","USP45","TFB1M","ULBP2","PERP","ULBP1","STXBP5","CLDN20","NOX3","RAET1L","ULBP3","BCLAF1","PPP1R14C","ARID1B","MYCT1","VIP","FBXO5","ADAT2","CCNC","MTRF1L","PEX3","SNX9","MTHFD1L","UST","MAP7","OPRM1","REPS1","FUCA2","SYNJ2","MAP3K5","SUMO4","IPCEF1","PHACTR2","PPIL4","CD109","ZBTB2","PEX7","HECA","SCAF8","MCHR2","SIM1","KATNA1","IL20RA","CITED2","ASCC3","NMBR","TMEM181","LTV1","VTA1","DYNLT1","LATS1","ESR1","EZR","NUP43","PLAGL1","TAGAP","SF3B5","STX11","COL12A1","UTRN","SOD2","WTAP","GRIK2","ACAT2","TCP1","MYB","MRPL18","HACE1","IGF2R","SYNE1","LIN28B","PREP","LPA","COX7A2","PLG","MAP3K4","PRDM1","EPM2A","AGPAT4","ATG5","PACRG","FBXO30","QKI","PDE10A","MPC1","RPS6KA2","QRSL1","RNASET2","BEND3","PDSS2","FGFR1OP","CCR6","SEC63","MYO6","KIF25","FRMD1","AHI1","OSTM1","THBS2","NR2E1","SNX3","PHF10","TCTE3","FOXO3","DLL1","HTR1B","PSMB1","TBP","SESN1","PHIP","ELOVL4","SMPD2","TTK","MICAL1","BCKDHB","ZBTB24","AK9","IBTK","FIG4","WASF1","TPBG","UBE3D","CDC40","DDO","SLC22A16","DOPEY1","CDK19","PGM3","AMD1","GTF3C6","RPF2","ME1","REV3L","SNAP91","FYN","CYB5R4","TUBE1","LAMA4","NT5E","KHDRBS2","PTP4A1","RFPL4B","HDAC2","HS3ST5","COL10A1","DSE","SYNCRIP","TRAPPC3L","RWDD1","HTR1E","CGA","KPNA5","GPRC6A","RARS2","COL9A1","ORC3","GOPC","NUS1","CNR1","PLN","RNGTT","MCM9","ASF1A","SRSF12","GABRR1","MAN1A1","SMAP1","GABRR2","UBE2J1","RRAGD","B3GAT2","GJA1","HSF2","FABP7","MDN1","CLVS2","RIMS1","RNF217","TPD52L1","MAP3K7","EPHA7","HEY2","NCOA7","FUT9","UFL1","KCNQ5","TRMT11","FHL5","NDUFAF4","KLHL32","CENPW","RSPO3","RNF146","FBXL4","ECHDC1","COQ3","EEF1A1","PTPRK","LAMA2","EPB41L2","AKAP7","ARG1","MED23","ENPP3","OR2A4","ENPP1","CTGF","STX7","TAAR8","TAAR6","TAAR5","TAAR2","TAAR1","VNN1","VNN2","SLC18B1","RPS12","EYA4","TBPL1","SGK1"
"Neuronal System",0.86465551345011,0.852987047522035,0.853633487570963,0.847866640840913,0.852914807237303,0,0.859116776597299,0.853530260669065,0.847334553429947,0,0.847171618190135,0.84739960860593,0.853430140535735,0.847762397753303,0.84739960860593,0.853727036747437,0.847334553429947,0.853663479825269,0.853300723050078,0.853546304798989,0.84739960860593,0.847334553429947,0,0.848255951753153,0.853342710683691,0.847520793276418,0.858392567064533,0.853183888303858,0,0.853099925205127,0.84668147459853,0.847643359820972,0.858418936555184,0.853430140535734,0.847991477151701,0,0.858214583546597,0.85839502146353,0,0.858365878435616,0.853133767688577,0.847537218156281,0.85396337150892,0.848417210600289,0.84811516113814,0.848417210600289,0,0,0,0.853774873582612,0.858529913648471,0.848462231722132,0.853779962173972,0.852991428833559,0.853265984896143,0.847645208547153,0.858308542567983,0.853401224266803,0.85298681889454,0.853054308982772,0.853407765859674,0.853531483058212,0.862868525652914,0.859004760249015,0.852959165152051,0.85387692193927,0.853181891314456,0.852642689835807,0.858984269951891,0.85324015054226,0.85319423086625,0.853189902238035,0.853225563491067,0.859790124034835,0.847536625299128,0.858860143532241,0.853532360263387,0.846662735177329,0.852830346057252,0.858545813080056,0.853281580528798,0.847430677570693,0.853715869346815,0.853636921041712,0,0.853388780956461,0.853568593613632,0.853636921041712,0.853358311449354,0.853304938924884,0.853138277720974,0,0.852831481486968,0.847378035099252,0.858575704387932,0,0.852912932744694,0,0,0,0.853802728537886,0.858339251026061,0.858621740071169,0,0.858605611934921,0.853251464712217,0.847251512994011,0.858871267150398,0,0.853050084381453,0,0.853019507611218,0.846742295127175,0.853090724621535,0.8589195683482,0.853426335532186,0.858229432755289,0.852922850558913,0.85286199851861,0.853358311449354,0.848776207829159,0,0.853228113460573,0.853543537123567,0.847777975440468,0.853317093983414,0,0.858358093330068,0.853189902238035,0.847904121183282,0.853165668819513,0.847780775397927,0.852831481486968,0.852541709716074,0.853546304798989,0,0,0.853152071804593,0,0,0.853172782429894,0,0.853154451899512,0.853034329351996,0.858399995107644,0.858134446452551,0,0,0.853242399906516,0.853121114685914,0.848636406106412,0.853080423213298,0,0.852828245880566,0.848040903255842,0.85324015054226,0.848072385500815,0.853568593613632,0.853774873582611,0,0.858654459029294,0.858362455211918,0.847550835119787,0.858724609306898,0,0.853127429629289,0.853081801737054,0.853050058683343,0.853834110107927,0.858230820919583,0.858722465344997,0.853293732321372,0,0.853374131925692,0.848110031813026,0,0.853446315162963,0.853781630272641,0.853594646210837,0.852828088239615,0.853193085332488,0.847916401481191,0.853736134835081,0.853743994402203,0.85336771755336,0,0.85338336793942,0.85883002110529,0.852831481486968,0.853096608672972,0.858373661862182,0.853041934839182,0.853239752361366,0.853774873582612,0,0.852829214986203,0.845284022178177,0,0.853684757876887,0.847066210517642,0,0,0.853224023030018,0.852852991232405,0.852831481486968,0.853467943743314,0,0.853020898469597,0.853336335983319,0.853139724532098,0.859647274776044,0.859408121231096,0.853387955993782,0.853139132173988,0.853258833731159,0.859402263501317,0.853210987760477,0.853330150899708,0.853351434137694,0.858817593338538,0.858817593338538,0.858392567064533,0.858392567064533,0.858817593338538,0,0,0.847936969137869,0.852736541888693,0,0.853321119960595,0.85314065111381
"Transport of small molecules",0.935843798974669,0.932624481374192,0.929386176633245,0,0.932578883422399,0,0.936123883042065,0.932635073152981,0,0.928604521033143,0.929136835568233,0,0.93236840493132,0.932907736751506,0,0.929265306292723,0,0.925671223081452,0,0.93277613657267,0,0,0,0,0.932845521417069,0.929433100999082,0.935935039049257,0.932487287063001,0,0.932594332001096,0.928945325631427,0.936420996066057,0.932234683235108,0.93293296697324,0,0,0.935822696138359,0.932276168786871,0,0.932513516303749,0.932689016018889,0.9288375636137,0.933139337922413,0.932940938251097,0.928646774543879,0.932940938251097,0,0.929751000881383,0.929282188377598,0.933020358333824,0.935753456090548,0.933084771092782,0.932982507521843,0.932627246850995,0.936143270314473,0.928904753640888,0.935882002921876,0.932845521417069,0.932473609864359,0.932073836817086,0.932747577805549,0.932866730625409,0.935924554948183,0.936039108580025,0.932407540869963,0.929359913585276,0.932749543101419,0.932468712851629,0.932896659233178,0.932435304922051,0.932776810064211,0.932866730625409,0.932633887347616,0.932744078313856,0.932687979202253,0.935947826740474,0.932696952025349,0.928933497338837,0.931992390366732,0.932214817982267,0.932304134983351,0.929376220110243,0,0.932741275870401,0.929198494401301,0.932606324997229,0.932963477444985,0.929208425403885,0.932805201520464,0.932723736332006,0.932495843363185,0.92888679146775,0.931993107048147,0.932552984207197,0.936050635033893,0,0.932564021627495,0,0,0.929168547740786,0.933037940336892,0.935901386051334,0.935811416781194,0.928603203098568,0.932604978284917,0.932633102605946,0.929170857668537,0.935968917873169,0.936228099145916,0.932662822064908,0.933084771092782,0.93241343539096,0.932872639092853,0.932707504196087,0.935999405511709,0.932700412163988,0.935832068935056,0.93201503169836,0.932528026747139,0.932805201520464,0.92957180741348,0.933237449311358,0.932748566918768,0.932519561947299,0.926021970510764,0.932829352196963,0,0.935913279283385,0.92934741572707,0,0.932719702953746,0.929248199125702,0.931993107048147,0.932404974362104,0.93293296697324,0.936344572138912,0.929282188377598,0.932627246850995,0,0.933057748333542,0.932640319364449,0.928485247070652,0.935881018891049,0.932118569547331,0.932279308143054,0.939682002703807,0.936721531942003,0,0.93272763059647,0.932447664456092,0.929149094106363,0.932796643096813,0,0.932520792058936,0.93282014650914,0.932435304922051,0,0.929074743019326,0.929418538368067,0,0.935832068935056,0.935916032496209,0,0.935876347677704,0,0.932611692749488,0.932522799697593,0.932432719178658,0.933057748333542,0.935832945142131,0.936182926518528,0.932615265156331,0.928740816794125,0.929346815790157,0,0,0.929268033709685,0.932975293530724,0.932922414722304,0.931990965235863,0.932809964924554,0.932741561188778,0.932686567873788,0.933023570244525,0.932934341418586,0.928660083987407,0.932559622754545,0.936159439534579,0.931993107048147,0.932375215759674,0.936021049727391,0.93272763059647,0.932695777568241,0.933080451133363,0,0.931991676436501,0.932637114859012,0,0.932981059448054,0.932673030499938,0,0.928601716765185,0.932238303892483,0.932004109217252,0.931993107048147,0.93281375386611,0,0.932443052866928,0.932981059448055,0.932760765676428,0.929237887460031,0.936576055209455,0.932716043773131,0.932619079376922,0.932593237222194,0.93630408191774,0.932563036922281,0.932690320475051,0.93242992595518,0.935935039049257,0.935935039049257,0.935935039049257,0.935935039049257,0.935935039049257,0,0,0.928650425052405,0.93233820431032,0.928740816794125,0.929413304234593,0.928358499215023
"Peptide hormone metabolism",0.815479267510109,0.797969720469141,0.778810477203562,0,0.796209025009781,0,0.796932252843558,0.778156910514449,0,0,0.77710272207856,0,0.778623462549145,0.779577723069155,0,0.78191686662355,0,0.797629303885908,0.777195720096624,0.797326781398515,0,0,0.777752905381024,0.779891732422169,0.797155326942126,0.778747682230201,0.814486173712194,0.794963065911452,0,0.798211903988506,0,0,0.795353435634057,0.776540101821931,0.797760891041501,0,0.813855978967813,0.797091062322406,0,0.795292923023184,0.778841336148642,0,0.798073124081669,0,0,0,0,0,0,0,0.8149724833231,0.780838814068354,0.799428670091013,0.796480322755921,0.799299920840285,0,0.815693574995571,0.777898035874884,0.776932094885211,0.777292737815778,0.777370164692622,0.777307207175917,0.796018691217828,0.815069958401551,0.793848300928473,0.782447572282417,0.77806077657518,0.776305491981467,0.777939981517494,0.77912577962867,0.777630829614207,0.777601474724853,0.779028745884949,0.77835392379237,0.779572617460121,0.795821803872682,0.796502881823273,0,0.778981594129177,0.79524200022762,0.797333697182123,0.778428605246037,0,0.7591751376648,0.778650672962759,0.814253810148254,0.778144182197403,0.781597789639386,0.778048284612234,0,0,0,0.778985614399415,0.797856033364153,0.796521363456611,0,0.798798018332812,0,0.781206512823007,0,0,0.795707759422193,0.813792706692343,0.777769199286588,0.778859865076513,0.794297318326744,0,0.796086583496261,0,0.796449540224491,0.799334215080868,0.797274301352898,0.796389449671279,0.776036310145077,0.797943481073764,0.796902000484513,0.813908556270391,0.79511928718774,0.795374320283498,0.780611303346307,0,0,0.796930531466649,0,0.780021918890814,0.797064624667723,0,0.795750857588564,0.777561395369044,0,0.776388475525941,0,0.778985614399415,0.77594794684762,0.79764585838268,0,0,0.798396541944321,0,0,0.778753142748908,0.776440847197758,0.777530657859388,0.777221994982644,0.795603761909488,0.81357223373071,0,0,0.796813087827583,0.795821290453457,0,0.797211470087991,0,0.796470191102828,0.797892734936278,0.77912577962867,0.798047367098268,0.778617428965529,0.779311089409139,0,0.815413467102622,0.878793918705608,0,0.815661851541672,0,0.7961627270593,0.776569939768422,0.797382474993422,0,0.813913471410021,0.79783915015962,0.778513972195153,0,0.779600173913391,0,0,0.778147746917173,0.778898491272898,0.780637060329708,0.778973599766412,0.796636793538932,0.797451905555217,0.777354954244282,0.78030610514838,0,0,0.778822634257468,0.777780909588144,0.778985614399415,0.79606485005247,0.776541178091458,0.796813087827583,0.797382474993422,0.799033853391347,0,0.778977589291881,0.796972743317647,0,0.779041949779138,0.778111070206195,0,0.778345153107814,0.777893652450245,0.795179437851992,0.778985614399415,0,0,0.776540833371738,0.797504327840078,0.796449540224491,0.779268247997422,0.800266884709896,0.778506801783543,0.798350725976102,0,0.797417286688597,0,0.797291820301811,0.796955870523097,0.815991084544425,0.815991084544425,0.815991084544425,0.814486173712194,0.815991084544425,0,0,0,0.795325442494204,0.778576022663783,0.79740920884716,0.796689604227917
"Potassium Channels",0.947677187042082,0,0,0,0.931418323751,0,0.93049149292939,0.932125666651804,0,0,0,0,0,0,0,0,0,0,0,0.932441296395513,0,0,0,0,0,0,0.948145602906556,0.914312590193392,0,0.914251319094544,0,0,0.930927306651443,0,0,0,0.947568847550277,0.93114028861885,0,0.930871925401831,0.931772920399404,0,0.933792800521671,0,0.91532887887557,0,0,0,0,0,0.947213377248457,0,0,0,0,0.914335286560176,0.947873321635765,0.932685286390108,0,0,0,0,0.94809177875867,0.948679883697538,0.930538671140203,0,0.932596788452658,0.913877162611925,0,0,0.931931624926816,0.931074941220023,0,0.933373929121401,0,0.948211253416634,0.931521643101637,0,0.913166937007269,0.930825320768326,0.930176634463992,0,0.933185946649024,0,0,0.929446029375898,0.933181973238858,0,0,0,0,0,0.913170616365775,0,0.930115446228155,0,0.932034047841331,0,0,0,0.933272237184871,0.930959564589428,0.947510940650693,0,0.931971163121374,0.931485867481294,0,0.930501116137432,0,0,0,0.932685286390108,0,0,0.929852439857012,0,0.947616966391557,0.930713013574928,0,0,0.917493699563687,0,0.932078647749731,0,0,0,0,0.929410277880747,0,0,0.931638443705328,0,0.913170616365775,0.91354993666646,0,0,0,0,0,0,0,0,0,0,0.931156405706077,0.930295895637765,0,0,0,0.929745143048177,0,0.932546574490441,0,0.930617258451301,0,0,0,0,0,0,0.947616966391557,0.948048025487679,0,0.947844288274064,0,0,0,0.932784287099232,0.933373929121401,0.94762146473613,0.931396221165412,0,0,0,0,0,0,0,0.933792800521671,0.91315962055218,0.93049149292939,0,0.931971163121374,0.934003611734063,0,0,0.933026958037261,0,0.913170616365775,0.931789205610936,0.948084340623149,0.931971163121374,0,0.934295631560193,0,0.913163271773019,0.905963421459419,0,0,0,0,0,0,0,0.913170616365775,0,0,0,0.933272237184871,0.931638443705328,0,0.932302995777509,0.932733316221643,0,0,0.950040225801694,0,0,0,0.948145602906556,0.948145602906556,0.948145602906556,0.948145602906556,0.948145602906556,0,0,0,0.929232370370609,0,0,0.931858150710282
"Cardiac conduction",0.909688235681165,0.911161987886026,0,0,0.910969643921625,0,0.895637355860867,0.911550832757394,0,0,0.896857620155919,0,0.91278455365665,0,0,0.912784553656651,0,0,0.895627731293228,0.912050108491482,0,0,0,0,0.911681240498911,0.913333786085029,0.909636628873414,0.911085153470932,0,0.925013774504438,0,0,0.910566199346003,0.897078827227097,0,0,0.909847618174789,0.910741196142516,0,0.910786731371184,0.911260998529156,0,0.897702079321711,0,0,0,0,0,0,0.88270139527838,0.90955554572926,0.898586580799812,0.896637198482131,0.911173653383067,0.911613034542851,0.911167519484156,0.909849389820166,0.896424583863061,0.910869738808708,0.91178388026351,0.895646204123605,0.909911813615248,0.910690436509974,0.911246897842559,0.90920447010975,0.913183631707205,0.896146962259855,0.910385995299756,0.896112889819554,0,0.911892363949116,0.912010644743644,0.911937930345612,0.911735595799145,0.911276735520324,0.910788602954123,0.911054536345145,0,0.910143826653795,0.91048240256709,0.911345264708117,0.913093847771409,0.897912060119077,0,0,0.909831375308647,0.896627779787274,0.912544615343031,0.912352033509278,0,0.895430089494689,0,0.910146849801527,0,0.895725506548069,0,0.910493801515903,0,0,0,0,0.909256066661799,0.90980003892643,0,0.925402849292141,0,0.896184645549441,0.909680395045314,0,0.894241303428587,0,0.895101442521676,0.911795629875197,0.895477163265216,0.924985140041921,0.911730683333222,0.909887155057552,0.910390125275687,0.924320930271491,0.9118028010809,0,0.913574432127254,0.896293644384819,0.896316997133971,0,0.896641753278466,0,0.910229721329361,0.91133562604685,0,0.911150505650555,0,0.910146849801527,0.910117129851241,0,0,0,0.911173653383067,0,0.897605187306439,0.911730683333222,0,0.911316071445139,0.911730683333222,0.91075443875957,0.9100474000034,0,0,0.911423884813376,0.908770891963214,0,0.911842379446136,0,0.924477232550987,0.897992590780334,0,0,0,0,0,0.909887155057552,0.909556454312518,0.897596890079137,0.909825534536305,0,0.895062342901957,0.911234954956634,0.897351592346501,0,0.909890851125813,0.92620627086425,0.911550832757394,0,0.911042455762917,0,0,0,0.896495023267256,0,0.910137815082871,0.910988058552009,0.897661097556017,0.911010733305763,0.912680696263795,0.912055906257742,0,0,0.895484025765779,0.910146849801527,0.895077164552542,0.923757963677116,0.896205329557673,0.926070953230826,0,0,0.910140815111268,0.925762844742275,0,0.898258019118083,0.910953629158505,0,0.911423884813376,0.912235753796166,0.911247860031117,0.910146849801527,0.911547236745441,0,0.910824396740869,0.91249291331335,0.911150505650555,0.912184368948614,0.911545544133826,0.911636956983868,0.911139200863152,0.896434634752808,0.911193347225144,0.896307242069961,0.91178388026351,0.895334039276005,0.909636628873414,0.909636628873414,0.909636628873414,0.909636628873414,0.909636628873414,0,0,0,0.91036754863097,0.912010644743644,0.911872153661489,0.911440922443422
"Interaction between L1 and Ankyrins",0.896275824167593,0,0.898673537719057,0,0.896453943281375,0,0,0,0,0,0,0,0,0,0,0.903801635365464,0,0,0.857459345801536,0.858328399659679,0,0,0,0,0,0,0.859367482477123,0,0,0.855961135485347,0,0,0.894345593948251,0,0,0,0.858172301917369,0.894786945561637,0,0,0.89718875573888,0,0,0,0,0,0,0,0,0,0.857435679032674,0,0.899657132155467,0,0,0,0.858803247957076,0.86156590564989,0,0,0.897157789494876,0,0.895224964612981,0.896685192210007,0.896016278872712,0.904808132312772,0.858045480162563,0.893149042805278,0,0,0.896992828883982,0,0,0.901891638648956,0,0.897382542538795,0.898053241280255,0,0,0.894134253830567,0,0,0.8671503591849,0,0,0.854441596461439,0,0.903196497649007,0,0,0,0,0,0,0,0,0.897446602518493,0,0,0,0,0.896888474792116,0.858052304417727,0,0.898984758574305,0.897979105296112,0,0.897606924403018,0,0.896385284467459,0,0,0,0.899207493459878,0.896262803872067,0,0.858272016125533,0.896377559763222,0.896256098879778,0.90132560099291,0,0,0,0,0,0,0,0,0,0,0.896385284467459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.930768910314843,0,0,0.898379620857848,0,0,0.858546562059136,0,0.896179131329035,0,0,0,0,0,0,0.858272016125533,0.859165277793901,0,0.858743083609903,0,0.897146194914504,0,0,0,0.858281337814402,0.897793335831068,0,0,0.899407967987571,0,0,0.897416652666121,0,0.902759644379963,0,0,0,0.89650872420175,0,0,0,0,0,0,0.896131662980196,0.895734353057726,0.898379620857848,0,0,0,0,0.898837840855521,0,0,0,0,0,0,0,0,0,0,0,0,0.897690143467509,0.858667011968875,0.902397596917983,0,0,0,0.899504159419937,0,0.857850332114063,0.896779515260337,0.859367482477123,0.859367482477123,0.859367482477123,0.859367482477123,0.859367482477123,0,0,0,0,0,0.900115317437594,0.897047929412337
"Blood group systems biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79346910979171,0,0,0,0.796770188151314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.795494408356099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.791363806935645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.796545966647155,0,0.880115290139925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Keratinization",0.901164507914076,0,0,0,0.901630866272831,0,0,0,0,0,0,0,0,0,0,0.92480446167097,0,0,0,0.902332836276192,0,0,0,0,0,0,0,0.901329651430849,0,0.912459862929655,0,0,0.900903886848565,0,0,0,0,0.901035548210968,0,0.900869651223529,0.901739138021164,0,0,0.903878074514748,0,0.903878074514748,0.902356209798563,0,0,0,0.900877789606099,0.903648286068714,0,0,0.912894898480152,0,0.90128575455356,0.903262694908621,0,0,0.901251028933973,0,0.923979022958453,0.901208655870213,0.900852999526363,0.904070162935438,0.901783670659893,0,0,0.901768948091039,0.912989555957978,0,0,0,0,0.901855005594593,0.913361320539218,0,0,0.900840841134036,0,0,0,0,0,0.900831416363033,0.902456261149797,0.90358938976255,0,0,0.901979709753836,0,0,0,0,0,0.902045148331257,0,0,0,0,0.900915798965738,0,0,0.890069873132493,0,0,0.901130122538419,0,0.901280711993951,0,0,0,0,0.913145151647967,0.902141916480997,0,0.889915098770795,0.901792220396163,0.903031275109323,0,0,0.901977537125393,0,0,0,0,0,0,0,0.901343498119461,0,0,0.889017168139168,0,0,0,0.912564323730992,0,0,0,0,0.924449728420335,0,0.901045511484798,0.889309224025089,0,0,0.901486392747809,0.90153049378972,0,0.901933150401617,0,0.901204513956591,0.902521913524289,0.901768948091039,0,0,0,0,0,0,0,0.901267806686878,0,0.901118444528752,0,0.902337786440836,0,0,0,0,0,0.902459218349103,0,0,0,0,0,0,0,0.902272509818561,0.91301399771061,0.914009009658303,0,0,0,0,0,0,0.901305269348942,0.901707761586101,0.913255246583486,0,0,0,0,0,0,0,0,0.901719601538251,0,0.889935220405359,0,0,0,0,0,0.901502080832243,0,0,0.913223737365744,0.912538402881007,0,0,0,0.913203957769717,0,0,0,0,0,0,0,0,0,0,0,0.902670230588461,0.912863247901159
"Signaling by GPCR",0.940004860749072,0.935931275272649,0.927533561637321,0,0.935876135812206,0,0.932702085793664,0.936042745868932,0.93624578086224,0.931578126465115,0.931412047166302,0.93629543608323,0.935885296791427,0.931964673215206,0.93629543608323,0.931953597934412,0.93624578086224,0.936024856076413,0.935869991149841,0.936067435197726,0.93629543608323,0.93624578086224,0,0.93192075265107,0.936080130002753,0.931562720902399,0.940104546188246,0.935646934031912,0,0.935894817052491,0.930877312714465,0,0.939767845359851,0.93106897039335,0.931299463823466,0.931207316968299,0.939966892887306,0.939818011888179,0,0.939754800663807,0.935841220157976,0.931705724311482,0.9361539883819,0.93132788539556,0.936207204575622,0.93132788539556,0,0,0,0.936291552070548,0.939898967933439,0.936427217313937,0.936206770391747,0.935934619433796,0.936060577324676,0.930850300719181,0.94004332345222,0.93552867664425,0.935566055786961,0.935598432625197,0.935922680925247,0.936056122080782,0.935192888992907,0.939941984891351,0.935406624282369,0.932068002087673,0.93560620202558,0.935446505573224,0.93578491641661,0.935833754217771,0.940004406050063,0.935912245655185,0.93589140053698,0.935926962354789,0.931452283456513,0.939831602052142,0.939907837476218,0.930863009316051,0.935639397847933,0.939743823243064,0.935915032059192,0.931493937516376,0,0.936141887994756,0,0.939766047913302,0.935976777920263,0.931884814548389,0.936114977911408,0.935932861022101,0.931380163182335,0.931411902268605,0.935640264497091,0.936025206364498,0.940221088289975,0,0.935611640248853,0,0,0,0.936312813160677,0.939775443509025,0.939967743160103,0,0.935673802080399,0.9357023976682,0.931909346584907,0.939857106567831,0,0.935927983647302,0.93666827125642,0.935774409154227,0.935915029934176,0.935874221792394,0.939893973836495,0.935975865228618,0.939991061340352,0.93971737000823,0.935577760010557,0.935929231266534,0,0,0.935790616927417,0.936031373046431,0,0.931094558166564,0,0.939789825435678,0.935925534537639,0.931762375914875,0.939935349104856,0,0.935640264497091,0.93536942961293,0.931754128994293,0.931953447671181,0,0.935934619433796,0,0.927213246054099,0.935831988803021,0.931356549435536,0.935975446579709,0.935583182601405,0.939821808164093,0.939619120569248,0,0,0.935789252496231,0.93986870076542,0.931478266262452,0.935669700512913,0,0.935687450049088,0.93612065434586,0.935833754217771,0.931361219431601,0.931702053648796,0,0,0.939991061340352,0.940061644272064,0.931950662266646,0.940039752431989,0,0.935747716761732,0.935711138882302,0.93573831639858,0.936336766040242,0.924943496098576,0.94006794278223,0.935924307261918,0,0.935985674556061,0,0,0.931258176700157,0.936172718270438,0.936366645110122,0.93563767450414,0.935659163846532,0.936025624810692,0.935887914952135,0.936141887994756,0.936095712097758,0.931259778733408,0.935899051802871,0.93575062530047,0.935640264497091,0.935633989939215,0.939801708562438,0.940013719016703,0.935956825723625,0.936144063417706,0,0.935638534525652,0.935847238826813,0,0.936244029774653,0.931689183665458,0,0.931360117623387,0.935727971718647,0.93569357730438,0.935640264497091,0,0,0.935716059032647,0.935807463658377,0.939935349104856,0.936007261337959,0.940591289219048,0.93584267808236,0.935924742891193,0.935897669916265,0.940262404697477,0.935861150112701,0.936109553859424,0.93587968412966,0.940087823605272,0.940087823605272,0.940087823605272,0.940087823605272,0.940087823605272,0,0,0.931932362246031,0.935587681442771,0.931528324752034,0.935945211659724,0.935786202568249
"G alpha (i) signalling events",0.944531225392214,0.937566714092126,0,0,0.937556902803424,0,0.945137145308927,0.937766134670149,0,0.92999082965167,0.929693714260961,0,0.929867391858582,0.930688977703757,0,0.930830126700365,0,0.937946016211779,0.937845470152456,0.938111023186436,0,0,0,0.931052269075365,0.938044901107957,0.929872401393967,0.944728609623702,0.937307950784205,0,0.937713376769803,0.928737075855588,0,0.937191372042751,0.928615101883818,0,0.929327452522119,0.944998308795028,0.93728111981849,0,0.937168035118827,0.937153192302614,0.930449789741352,0.938557475815811,0.929339493606471,0.929577460213868,0.929339493606471,0,0,0,0.938423134582726,0.944884207950405,0.938885197799804,0.938341250021936,0.937572696786856,0.938009921422783,0,0.944613873908156,0.93798834661136,0.937197474551604,0.929354192685425,0.937833014778663,0.938001951004198,0.938902181639903,0.944953748461486,0.93687803732939,0.931034795403434,0.937562569310586,0.936911348815248,0.929655764786148,0.92855342668619,0.937614578441144,0.93793216138403,0.937707264633323,0.9377708846237,0.928814009525852,0.944756273877758,0.937723493488117,0.928711487116723,0.937256432543165,0.937148396544505,0.936250785711266,0.929749348113044,0,0.929696711921659,0,0.944696600836149,0.937919639023061,0.930707073419441,0.938107243916903,0.937692604274285,0.929110852446958,0.929365573884572,0.937257982976031,0.93794664287616,0.944978684217498,0,0.937508169234229,0,0,0,0.938461170612173,0.944655806404696,0.944998896459309,0,0.937317981616678,0.937708418116288,0.929514941917789,0.944801901383401,0,0.937772711713086,0.939097084129099,0.937650707278665,0.937749537557341,0.937746321528548,0.944867856821627,0.937681864873647,0.945041546088423,0.937259694451565,0.937146162628344,0.937854317673472,0,0,0.937746321528548,0.938107243916903,0,0.929125727348226,0,0.944681535630357,0.937569794834271,0.929864691910632,0.937491035763623,0,0.937257982976031,0.936773460142665,0.93031231469455,0,0,0.937784583116151,0,0.922182071076835,0.937600977211146,0.928772215816216,0.937857622763451,0.929326910436466,0.937287911345245,0.944376145112408,0,0,0.937701028932002,0.937441591695106,0,0.937532463534374,0,0.937342397793638,0.938117399041906,0.92855342668619,0,0.929959528054015,0,0,0.9450406126171,0.944687491793807,0.93096818469066,0.944601639634679,0,0.937450214770239,0.937476742787584,0.93769242486419,0.938504022245226,0.918121494896282,0.945179086768119,0.937766134670149,0,0.93752969302152,0,0,0,0.938282791999918,0.938398853147271,0.937253349486048,0.937686304014129,0.937947391475209,0.937701028932002,0.938300081301802,0.93807277743137,0,0.930022679929007,0.929709767803828,0.937257982976031,0.936932171965498,0.944702794510153,0.937492094032734,0.938043668589723,0.938278439259989,0,0.937254888062074,0.937628259460105,0,0.93833811733125,0.930189510665539,0,0.92960081245717,0.929585937753217,0.929510537475013,0.937257982976031,0,0,0.937393579183425,0.937957675052508,0.937560825383791,0.938091046126503,0.946115352047185,0.937764795624055,0.937766914009672,0.93780731358331,0.945526978578472,0.937741979759155,0.938097540303409,0.937686304014129,0.944728609623702,0.944728609623702,0.944728609623702,0.944728609623702,0.944728609623702,0,0,0.929917807247314,0.936855720509272,0.929901734529366,0.930446188717822,0.937706670661897
