"","SYNE1","PDE10A"
"Extracellular matrix organization",0.935592644623247,0.932319649463171
"Collagen formation",0,0
"Collagen biosynthesis and modifying enzymes",0,0
"Assembly of collagen fibrils and other multimeric structures",0,0
"Collagen chain trimerization",0,0
"Signaling by GPCR",0.920709074777526,0.914494688543519
"Transport of small molecules",0.926337690890868,0.928997670660359
"Biological oxidations",0.915825765666746,0.916196893784414
"Diseases associated with O-glycosylation of proteins",0,0
"Integrin cell surface interactions",0.88945730641543,0
"Defective B3GALTL causes PpS",0,0
"O-glycosylation of TSR domain-containing proteins",0,0
"GPCR ligand binding",0.914247351166509,0.914759527287947
"GPCR downstream signalling",0.927170436827179,0.919965703429095
"Degradation of the extracellular matrix",0.893395471228729,0
"Diseases of glycosylation",0,0
"O-linked glycosylation",0,0
"Activation of Matrix Metalloproteinases",0.894278350516462,0
"Signaling Pathways",0.900007017550232,0.897381863520548
"ECM proteoglycans",0.899971695211404,0
"Drug ADME",0,0.872449503643986
"SLC-mediated transmembrane transport",0,0.937595658759732
"Phase II - Conjugation of compounds",0,0.755031878335508
"Adherens junctions interactions",0.800763499495651,0.800454641187486
"G alpha (i) signalling events",0.933996028296325,0.940633624271833
"Regulation of IGF Activity by IGFBP",0.79379243083246,0.795737261012319
"Phase I - Functionalization of compounds",0.949467578249497,0.949439270744516
"Ethanol oxidation",0,0
"Diseases of metabolism",0.829305719357032,0.808997369212736
"Peptide ligand-binding receptors",0.911494804122502,0.911703973783993
"Metabolism",0.932245838980905,0.933572853212644
"NCAM1 interactions",0.832984696001837,0
"Post-translational protein phosphorylation",0.760077898940446,0.762414093733414
"Class A/1 (Rhodopsin-like receptors)",0.912140272906665,0.912315569722838
"Chondroitin sulfate biosynthesis",0,0
"Fatty acid metabolism",0.871619733521019,0.871351109450948
"Elastic fibre formation",0,0
"Glucuronidation",0,0
"Ion channel transport",0.916882829307523,0.925830594401306
"Cell-cell junction organization",0.800763499495651,0.800454641187486
"Class B/2 (Secretin family receptors)",0.876101387586684,0.875986822808766
"G alpha (q) signalling events",0.921689224327616,0.92195941868011
"RA biosynthesis pathway",0,0
"Signaling by PDGF",0.882104089511247,0
"Transport of inorganic cations/anions and amino acids/oligopeptides",0,0.942372666060541
"APAP ADME",0,0
"Neuronal System",0.907947713749801,0.914353507539379
"Stimuli-sensing channels",0.888088532835962,0.888802766894065
"Cell junction organization",0.837171285633431,0.836938766691593
"Transmission across Chemical Synapses",0.896290927681085,0.905571637433825
"Scavenging by Class A Receptors",0,0
"RHO GTPases Activate NADPH Oxidases",0.885722902465102,0.841353625723505
"NCAM signaling for neurite out-growth",0.776122430791074,0
"Aspirin ADME",0,0
"Regulation of beta-cell development",0.822685009347171,0.849718709514092
"Aflatoxin activation and detoxification",0,0
"Glycosaminoglycan metabolism",0,0
"Digestion and absorption",0,0.517751328316002
"G alpha (s) signalling events",0.930713161871063,0.900264084836644
"Synthesis of bile acids and bile salts",0.745008808685199,0
"Metal ion SLC transporters",0,0
"Bile acid and bile salt metabolism",0.762280939274591,0
"Binding and Uptake of Ligands by Scavenger Receptors",0.697340867488428,0.665333340522795
"Collagen degradation",0,0
"Laminin interactions",0,0
"Dectin-2 family",0,0
"Carbohydrate metabolism",0.828484797899422,0.839855177098742
"Defective GALNT3 causes HFTC",0,0
"Defective GALNT12 causes CRCS1",0,0
"Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol",0.677753238046078,0
"Keratan sulfate biosynthesis",0,0
"Defective C1GALT1C1 causes TNPS",0,0
"Signaling by Receptor Tyrosine Kinases",0.858490980805823,0.858981461093739
"Blood group systems biosynthesis",0,0
"Neurotransmitter release cycle",0.617344559131575,0
"Degradation of cysteine and homocysteine",0,0
"Digestion",0,0.705513436851642
"Chondroitin sulfate/dermatan sulfate metabolism",0,0
"GABA receptor activation",0.560822899762708,0.592155922636462
"Regulation of gene expression in beta cells",0.678861677716258,0.728090888760222
"The canonical retinoid cycle in rods (twilight vision)",0,0
"Termination of O-glycan biosynthesis",0,0
"Metabolism of Angiotensinogen to Angiotensins",0.763212985761313,0.762778784352357
"Acetylcholine Neurotransmitter Release Cycle",0,0
