"","PNISR","USP45","CCNC","CD109","MCHR2","SIM1","ASCC3","COL12A1","GRIK2","HACE1","LIN28B","PREP","COX7A2","PRDM1","ATG5","QRSL1","BEND3","PDSS2","SEC63","MYO6","OSTM1","NR2E1","SNX3","FOXO3","HTR1B","SESN1","PHIP","ELOVL4","SMPD2","TTK","MICAL1","BCKDHB","ZBTB24","AK9","IBTK","FIG4","WASF1","TPBG","UBE3D","CDC40","DDO","SLC22A16","DOPEY1","CDK19","PGM3","AMD1","GTF3C6","RPF2","ME1","REV3L","SNAP91","FYN","CYB5R4","TUBE1","LAMA4","NT5E","RFPL4B","HDAC2","HS3ST5","COL10A1","DSE","SYNCRIP","TRAPPC3L","RWDD1","HTR1E","CGA","KPNA5","GPRC6A","RARS2","COL9A1","ORC3","GOPC","NUS1","CNR1","PLN","RNGTT","MCM9","ASF1A","SRSF12","GABRR1","MAN1A1","SMAP1","GABRR2","UBE2J1","RRAGD","B3GAT2","MDN1","RIMS1","MAP3K7","EPHA7","FUT9","UFL1","KCNQ5","FHL5","NDUFAF4","KLHL32","FBXL4","COQ3","EEF1A1"
"Interaction between L1 and Ankyrins",0,0,0.875875577709532,0,0.877052938003054,0,0,0,0.882766323762685,0,0,0.88480969682937,0,0.913591004942943,0,0,0,0,0,0.909122091500755,0,0,0,0.908054745430486,0.877720717592825,0.912097173553448,0,0,0,0,0,0,0,0,0,0,0.875954158685249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.906973032038735,0,0,0.90974493374146,0,0,0.907987936464414,0,0,0,0,0,0,0.877720717592825,0.878433949034494,0,0.878096844939266,0,0.908760095597257,0,0,0,0.87772816056483,0.909276810088912,0,0,0.910566025177308,0,0,0.908976044606297,0,0.881706007969874,0,0,0,0,0,0.907632799936225,0.90974493374146,0,0,0.91011080291632,0,0,0,0,0,0
"Neuronal System",0.909352099048742,0.914948056084065,0.91477518689296,0.91485479423429,0.919650075297778,0.909951164594666,0.909129374923626,0.90886813564373,0.920848967183248,0.914435403856038,0.915459191183215,0.91523545183103,0,0.915156042943176,0.915154333333151,0,0,0.915322817756804,0,0.914665407633497,0,0,0.914535027535681,0.925572747321853,0.91977534727374,0.920550427666528,0.910266972431715,0,0.914558544110275,0.915062114225211,0.90969042224458,0.914990426165905,0,0.919904758451613,0.914706416241176,0.909389798050642,0.919697038369285,0.909265732668564,0.914436545909828,0.914334677172516,0.915064898047193,0,0,0.914827637714593,0,0,0.915034870321066,0,0.914878242488112,0.914549935746184,0.91993280739967,0.919835882968281,0,0,0.914379741564822,0.914637227383919,0,0.914498726133481,0.915018187266036,0.90886813564373,0.909559044018673,0.915087316894314,0.909405978247079,0,0.91977534727374,0.919909145780591,0.909034450923664,0.919845906806592,0,0.914526737205412,0.914597685084138,0.91456575684212,0.915354382406266,0.919776743536556,0.920271256205232,0.914876286773556,0,0.91473244811215,0.90959690995868,0,0.913976041619826,0.91530159640472,0.915113521481824,0.914433132866341,0.920399634601551,0.914892959150644,0,0.922095059524602,0.925451161897219,0.91476289497285,0,0.914434266186345,0.908157711999213,0.915204158857443,0.90854699903176,0,0.914436545909828,0,0.914536426508299
"Phase 0 - rapid depolarisation",0,0,0.832828869382669,0,0.865315360806394,0,0,0,0.837161393660984,0,0,0,0,0.872909194892575,0.833102929072752,0,0,0,0,0.866858296917197,0,0,0,0.865667787076087,0.866027054209185,0.871317127747859,0,0,0,0,0,0,0,0.863468776074754,0.834058747667893,0,0.834157313716355,0,0,0,0,0,0,0.831961432615622,0,0,0,0,0.832267087452706,0,0.86700170377172,0.8654980059053,0,0,0,0.864059280885299,0,0.866937663368343,0,0,0,0,0,0,0.866027054209185,0.866495134230997,0,0.866135861853849,0,0.867388853668898,0,0,0,0.866034986638019,0.867065981780969,0,0,0.869685289616408,0,0,0,0,0,0,0,0,0,0.868990787393047,0.866851226917854,0.833476025488209,0,0,0.835516649823869,0,0,0,0,0,0.831211864895638
"Cardiac conduction",0,0.875183952180222,0.900889094426901,0,0.901452058476952,0.876605041064629,0.874974741930967,0,0.875257260775612,0.873640896740698,0.875460590225085,0.876001738016059,0,0.889089350341503,0.873781820247906,0,0,0,0,0.886903508762117,0,0,0.87348787266945,0.900476629709431,0.901663000602362,0.888425858741324,0,0.874920489150824,0.874554198786773,0.874575085892472,0,0.874865553446118,0,0.900071906551467,0.874587896712013,0,0.888102691678288,0,0.873643600696701,0.874397589268267,0,0,0,0.8737431349099,0,0.875727265625998,0.874241352202076,0,0.87521224361221,0.874241352202076,0.887688923845447,0.88767025572325,0,0,0.903345306541846,0.885714066403558,0,0.900530915102304,0.888813099192903,0,0,0,0,0,0.901663000602362,0.88658036014563,0.875719844441342,0.901915714207054,0,0.887279999450063,0.873797964105314,0.875500445875616,0,0.901666306430209,0.901308573057493,0.87408049071364,0,0.887745792641936,0,0,0,0.889114576071348,0,0.873635519886929,0.888575235436941,0.888516605877691,0,0.887639774859992,0.899579760417709,0.874475208466724,0,0.873638203164595,0.900911965008484,0.889580593394353,0.872576397315094,0,0.873643600696701,0,0.888425945577403
"Muscle contraction",0,0.899329130508607,0.918066497101453,0.897874681846104,0.921215095919547,0.900475234472274,0.899333030375802,0.897739985520402,0.899537263044796,0.898343975134342,0.899529111951682,0.900075445104878,0,0.90953647061402,0.898456315031909,0,0,0,0,0.907956327313065,0,0,0.899190243703333,0.91762903968334,0.918256842357987,0.909056833014869,0,0.899293811080173,0.899029020040229,0.899625198168152,0,0.899208442731437,0,0.917253223884263,0.899028560730475,0.898857244481872,0.909030249551554,0,0.898345929822186,0.898915807132272,0,0,0,0.898442702548709,0,0.899831373844665,0.898802863469827,0,0.899468382198632,0.898889512228415,0.91165670865181,0.910820298235851,0,0,0.933270720754682,0.907096480290086,0,0.917807569526081,0.919939282576097,0.897739985520402,0,0,0,0,0.918256842357987,0.907679587657673,0.899871664443061,0.921550272312373,0.888888440749658,0.908228492159797,0.898884067758016,0.899713061378164,0,0.918259232138553,0.918336735494762,0.898686576815876,0,0.908565213722196,0,0,0,0.909554706275928,0.900107616056219,0.898340088210631,0.908897684417553,0.919724947772409,0,0.908488573544104,0.917018002434093,0.908101876908174,0,0.89834202795012,0.918083030228383,0.909891589862559,0.897599268783063,0,0.898345929822186,0,0.908233980544718
"Extracellular matrix organization",0,0.81516342037643,0.822274307628724,0.822693233223239,0.822179485742724,0.823497997764186,0.822151593206686,0.830472183783805,0.8232319965448,0.821629104175706,0.815045388803488,0,0,0.823103018845741,0.822468588713991,0.814543146743083,0,0,0,0.822759587551243,0,0,0.814326237081624,0.822258915309617,0.821786368859258,0.822704260118068,0,0,0.822252811417151,0,0,0,0,0.813020776612281,0.822569218099922,0.81460475937631,0.822170239681472,0.814640956246671,0.821630729254388,0.813168582248019,0.822790891782267,0.815197373180813,0,0.82234894221499,0,0,0.813845414887938,0.813767570920096,0.822396313659943,0.814596917397511,0.822238546942968,0.830482365494851,0,0,0.831229031526441,0.822211525049499,0,0.821885467815709,0.821608602246965,0.789078302188018,0.822642823630191,0,0.814013416917722,0,0.821786368859258,0.81323803080969,0.806879226047693,0.822458143029363,0.814482770306886,0.830324644795775,0.814330440966939,0.822769857434749,0,0.821788355663169,0.82209847591071,0.806307069856804,0,0.822295540109478,0,0,0.814495852724419,0,0.822826759311034,0.821625872684354,0.814938452865038,0.823010442363447,0,0.822621793254435,0.82211300079424,0.822505354754235,0.814157453109556,0.821627485335347,0.81363411972645,0.81507640505491,0.814019733451906,0,0.821630729254388,0,0.82172983797416
"Phase II - Conjugation of compounds",0,0,0.884763306710764,0,0,0,0,0,0,0.835759154860422,0,0,0,0,0.855255713250975,0,0,0,0,0,0,0.887647552064343,0,0.853937068148464,0,0,0,0.886449705420021,0,0,0,0.868697164524354,0,0.869436622301902,0,0,0.869782870645674,0,0.835762386633932,-0.0120975224912481,0.86922767564618,0,0,0.884911731572581,0,0.87144172670878,0,0,0.885063977827498,0,0,0.86573113257968,0,0,0,0.884453285243984,0,0.885264154188792,0,0,0,0,0,0,0,0.868264910920404,0,0,0.854427432437051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.835752728434266,0,0,0,0.884811942381155,0.866412011380653,0,0,0.835755935492987,0,0.856168809478014,0.884933019922071,0,0.835762386633932,0,0.839782344486586
"Axon guidance",0.867407557348973,0.872718334055202,0.878442595457209,0.873161218546616,0.883190551457829,0.874593310822217,0.873084549841595,0.883683577975301,0.873594508610603,0.877388402614756,0.874058357172337,0.8689935177102,0.868154672078083,0.873678802538467,0.873722933121996,0,0.874006231025478,0,0.873354900058755,0.881554044961731,0,0,0.877457746266444,0.884909489006971,0.88111657171898,0.874011942393152,0.867766463094426,0,0.878127917148682,0.873913245419229,0,0.873481537732182,0,0.878450855404304,0.87865158323654,0.868004131635828,0.881447602825591,0.867392392099128,0.87783019854043,0.876094993670857,0.867704868073597,0,0.868148950189835,0.878496655113392,0,0,0.873470998957805,0.873455061717813,0.868103159893282,0.873732727959396,0.881293391343283,0.900820521669648,0.868903957071662,0,0.875046436579528,0.878397120499591,0,0.878321812770942,0.878446875476098,0.883683577975301,0.873974655103176,0.873052291689885,0,0,0.883319665926185,0.878361955604842,0.868341272523398,0.877856158047695,0.867795906654511,0.879150768119085,0.877813241238733,0.878422591549764,0,0.881118010809644,0.884271404813037,0.87837684936555,0.867715324613715,0.878659419961706,0.867659877392954,0,0.873666055165861,0.879952291368612,0.878794231825735,0.872979873552125,0.87373609814226,0.878206499915559,0.873360687123172,0.878855151294652,0.883909805081705,0.881958311756632,0.868959015594716,0.877827848890532,0.873790727855401,0.874344505221493,0.867018655224437,0,0.87738957969899,0,0.884833610816586
"Nervous system development",0.858675757857729,0.863846635149666,0.864700974913893,0.864277852933104,0.874042987615393,0.865672220242726,0.864203203877474,0.869803896574763,0.864699729030825,0.86839368218293,0.865146467674544,0.86021993997485,0.859403191677852,0.864777933961431,0.864824770512784,0,0.865100605626368,0.85940647937668,0.86446643237984,0.875023661776435,0,0,0.868474413503593,0.874858934497183,0.869878582714383,0.865069861494456,0.859025209109734,0,0.864386241724838,0.865010069498333,0,0.864589734093702,0,0.864709017272899,0.869636801760607,0.859256616855105,0.871487929066093,0.858660992099273,0.864104710095058,0.86717055325004,0.858965236658976,0,0.859397620518747,0.864753610500744,0,0.859421630103074,0.864567301191624,0.864563955525134,0.859243970399031,0.864834307329166,0.87476987443962,0.891221753768786,0.860132738592137,0,0.863999207603668,0.864656697882735,0,0.875462469128462,0.86470514218616,0.874523026555936,0.865069861494456,0.864171795487817,0,0,0.874168700879086,0.864622459321075,0.859584876591136,0.868849115743813,0.859053877051293,0.874828752462581,0.869665353106086,0.864681497960433,0.859438155216952,0.869879983895726,0.875095368534328,0.864636960742108,0.858975417747137,0.864860499361761,0.858921431147701,0,0.864769390867194,0.870890345730893,0.865030584054691,0.864101285028657,0.864837588732809,0.869190228712623,0.864472066998209,0.865102662977522,0.870024164281737,0.87541727915206,0.860186346733157,0.864102422340936,0.864890779359864,0.865429968816605,0.858297100407834,0,0.868394828259761,0,0.875655978954462
"Degradation of the extracellular matrix",0,0.743844294311017,0.760059339375925,0.760254693928993,0.75874564146734,0.763088307431251,0,0.778910125699032,0.742805258829189,0.758961441475705,0.744007789233532,0,0,0.761919769255973,0.760885817929436,0,0,0,0,0.760029671279899,0,0,0,0.76002405508526,0.758645162614105,0.761005682252272,0,0,0.759832409610105,0,0,0,0,0,0.761475862251113,0,0.760201903185342,0,0.758965166693989,0.721324575396015,0,0.743541003384141,0,0.760230426553704,0,0,0,0,0.760405918595685,0.742545681955596,0.758780666429896,0.776067943810724,0,0,0.777764091943514,0.759619761340282,0,0.759167989808047,0.760503030252775,0.776077973093152,0.760749273226014,0,0,0,0.758645162614105,0.740581480942746,0.724473056624383,0.75938441621138,0,0.778514946455873,0.741934829765853,0.760899643990324,0,0.758649717026354,0.759656274873205,0,0,0.760068760695255,0,0,0,0,0.761346962020042,0.758954033827816,0.723067103924165,0.760197513245643,0,0,0.759331801008125,0.760538769639083,0,0.758957730557723,0,0,0.740841463295034,0,0.758965166693989,0,0.75886687086782
