"","PACRG","KHDRBS2","PTP4A1","COL9A1","SMAP1","B3GAT2","RIMS1"
"TNFs bind their physiological receptors",0,0,0.216483126880172,0.21359151338105,0,0.215924068727741,0
"Peptide hormone metabolism",0,0,0.686643179691501,0.684280057358525,0.687391855805593,0.710274944556994,0.709309804992468
"Metabolism of Angiotensinogen to Angiotensins",0,0,0.676460905876719,0.613446519355581,0,0,0.676722004020888
"Glucagon-type ligand receptors",0,0,0.892591920042664,0,0,0,0
"Transport of small molecules",0.902168915465452,0.902549466274586,0.907841360122864,0.907698846174203,0.902266385500048,0.902691704062192,0.907388904427057
"Cardiac conduction",0,0,0.843961573491634,0.860884709503637,0.844477382352034,0.862535216275813,0.861364904121165
"ADP signalling through P2Y purinoceptor 1",0,0,0.841508868156048,0.779480391992886,0,0,0
"Class B/2 (Secretin family receptors)",0,0,0.901814748535013,0.880966254544706,0.862942401925922,0.900243714678943,0.878921648937842
"Neuronal System",0,0.856172030308934,0.854504669830299,0.854297920472385,0.846547235561501,0.85499034860254,0.880386516410636
"Integration of energy metabolism",0.819261166584338,0.847385184618736,0.844573957621804,0.845111292158369,0.820187777923464,0.821114456521098,0.841691837956151
"Signal amplification",0,0,0.852416245122593,0.800555268638656,0,0,0.852896767758273
"GPCR ligand binding",0,0,0.931645156330392,0.931238879228186,0.914926716433244,0.931794698950977,0.931499620466714
"Regulation of insulin secretion",0,0,0.845485016141806,0.845133680702272,0.81519516355987,0.816139379730199,0.841879754655642
"Signaling by Retinoic Acid",0,0,0,0.72415460377722,0,0,0.729908938506784
"RA biosynthesis pathway",0,0,0,0,0,0,0.802997634109626
"Adrenaline,noradrenaline inhibits insulin secretion",0,0,0.855217803852251,0.850202499704393,0,0,0.851907320813662
"Ethanol oxidation",0,0,0,0,0,0,0.747362459707256
