"","PACRG","QKI","PDE10A"
"Collagen biosynthesis and modifying enzymes",0,0,0
"Extracellular matrix organization",0.910891742156128,0.915024637588633,0.915086980607979
"Collagen formation",0,0,0
"Signaling by GPCR",0.920580914673613,0.920219555161517,0.92833407805223
"Collagen chain trimerization",0,0,0
"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",0,0,0.596030690029592
"Assembly of collagen fibrils and other multimeric structures",0,0,0
"Neuronal System",0,0.847398035348848,0.907381465001119
"G alpha (i) signalling events",0.949446668290124,0.9496103122911,0.963744085641551
"GPCR ligand binding",0,0.874961935863582,0.88200794128358
"SLC-mediated transmembrane transport",0,0.904416169536333,0.904879730171385
"GPCR downstream signalling",0.933383319428936,0.932967312109277,0.942321020541275
"Cardiac conduction",0,0,0.881571338419878
"Activation of Matrix Metalloproteinases",0,0,0
"Transport of small molecules",0.932865297050907,0.936828476767478,0.940609461510276
"Interaction between L1 and Ankyrins",0,0,0
"Regulation of insulin secretion",0,0.888717711769297,0.909402822599087
"Post-translational modification: synthesis of GPI-anchored proteins",0,0,0
"Transmission across Chemical Synapses",0,0.799759793738845,0.893062290955295
"Phase 0 - rapid depolarisation",0,0,0.805243704017168
"Class B/2 (Secretin family receptors)",0,0,0.867757625055979
"Phase II - Conjugation of compounds",0,0.781699049300701,0.781667951300257
"Biological oxidations",0,0.886370079697334,0.876563274815096
"Visual phototransduction",0,0.884295216292993,0.883997302156736
"Constitutive Signaling by Aberrant PI3K in Cancer",0,0.803023919435012,0
"Neurotransmitter receptors and postsynaptic signal transmission",0,0.774592615030715,0.896322341106351
"Metabolism of fat-soluble vitamins",0,0.901949933856991,0
"Retinoid metabolism and transport",0,0.901949933856991,0
"Interleukin-10 signaling",0,0,0.667447192405921
"Signaling Pathways",0.881821144807303,0.881648280290781,0.88337129721466
"ECM proteoglycans",0,0,0
"Cytosolic sulfonation of small molecules",0,0.745594212453741,0
"Metal ion SLC transporters",0,0,0
"Peptide ligand-binding receptors",0,0.855198168479307,0.865958918101854
"IL-6-type cytokine receptor ligand interactions",0,0,0
"Adrenaline,noradrenaline inhibits insulin secretion",0,0,0.915023555580413
"Gastrulation",0,0.718800761838149,0.721709580175768
"Integration of energy metabolism",0.867167787948057,0.890877431367926,0.910837877630702
"Class A/1 (Rhodopsin-like receptors)",0,0.84650778319225,0.856917543169658
"Drug ADME",0,0.893953349887847,0.893080695813347
"Interleukin-6 family signaling",0,0,0
"NCAM1 interactions",0,0,0
"Amino acid transport across the plasma membrane",0,0,0
"Phase 2 - plateau phase",0,0,0.74162844962766
"NCAM signaling for neurite out-growth",0,0,0
"Transport of inorganic cations/anions and amino acids/oligopeptides",0,0,0.908794086252612
"Post-translational protein phosphorylation",0,0.830453977731611,0.809432973945323
"Regulation of IGF Activity by IGFBP",0,0.863125280019435,0.844848974640421
"Muscle contraction",0,0,0.885037504459214
"Signal amplification",0,0,0.852372488494533
"Negative regulation of TCF-dependent signaling by WNT ligand antagonists",0,0.812600898248271,0.809839825541443
"WNT ligand biogenesis and trafficking",0,0,0.861315315100238
"Interleukin-4 and Interleukin-13 signaling",0.681336862327106,0.720274454128486,0.696295870826456
"L1CAM interactions",0,0.818738365548334,0
"Transport of bile salts and organic acids, metal ions and amine compounds",0,0,0
"Glucuronidation",0,0.810746019350766,0
"Negative regulation of NMDA receptor-mediated neuronal transmission",0,0,0.790368350753707
"Anti-inflammatory response favouring Leishmania parasite infection",0,0,0.836770233320034
"Leishmania parasite growth and survival",0,0,0.836770233320034
"Degradation of the extracellular matrix",0.859966573404057,0,0
"Ion channel transport",0.882641620453545,0,0.88249939930842
"Primitive streak formation",0,0.668965312359466,0.67245108390466
"Stimuli-sensing channels",0.852783565695627,0,0.853737681601468
"Neurexins and neuroligins",0,0,0
"Potassium Channels",0,0,0.847339825765262
"Keratinization",0,0,0
"Zinc transporters",0,0,0
"TNFs bind their physiological receptors",0,0.310641900165792,0
"Glycosaminoglycan metabolism",0,0,0
"Negative regulation of the PI3K/AKT network",0.780409440874093,0.801845185977237,0.801497782205311
"Presynaptic depolarization and calcium channel opening",0,0,0
"Heme degradation",0,0,0
"Collagen degradation",0,0,0
"APAP ADME",0,0.575071270038066,0
"ADP signalling through P2Y purinoceptor 1",0,0,0.81190373130066
"Assembly and cell surface presentation of NMDA receptors",0,0,0.781711451139269
"Long-term potentiation",0,0,0.785466253902426
"Recycling of bile acids and salts",0,0.797204347773452,0
"ERBB2 Activates PTK6 Signaling",0,0,0
