"","GRM1","IL22RA2","PCMT1","PNISR","IFNGR1","RAB32","PDE7B","TNFAIP3","RAET1E","HBS1L","HIVEP2","RAET1G","USP45","TFB1M","ULBP2","PERP","ULBP1","STXBP5","CLDN20","NOX3","RAET1L","ULBP3","BCLAF1","PPP1R14C","ARID1B","MYCT1","VIP","FBXO5","ADAT2","CCNC","MTRF1L","PEX3","SNX9","MTHFD1L","UST","MAP7","OPRM1","REPS1","FUCA2","SYNJ2","MAP3K5","SUMO4","IPCEF1","PHACTR2","PPIL4","CD109","ZBTB2","PEX7","HECA","SCAF8","MCHR2","SIM1","KATNA1","IL20RA","CITED2","ASCC3","NMBR","TMEM181","LTV1","VTA1","DYNLT1","LATS1","ESR1","EZR","NUP43","PLAGL1","TAGAP","SF3B5","STX11","COL12A1","UTRN","SOD2","WTAP","GRIK2","ACAT2","TCP1","MYB","MRPL18","HACE1","IGF2R","SYNE1","LIN28B","PREP","LPA","COX7A2","PLG","MAP3K4","PRDM1","EPM2A","AGPAT4","ATG5","PACRG","FBXO30","QKI","PDE10A","MPC1","RPS6KA2","QRSL1","RNASET2","BEND3","PDSS2","FGFR1OP","CCR6","SEC63","MYO6","KIF25","FRMD1","AHI1","OSTM1","THBS2","NR2E1","SNX3","PHF10","TCTE3","FOXO3","DLL1","HTR1B","PSMB1","TBP","SESN1","PHIP","ELOVL4","SMPD2","TTK","MICAL1","BCKDHB","ZBTB24","AK9","IBTK","FIG4","WASF1","TPBG","UBE3D","CDC40","DDO","SLC22A16","DOPEY1","CDK19","PGM3","AMD1","GTF3C6","RPF2","ME1","REV3L","SNAP91","FYN","CYB5R4","TUBE1","LAMA4","NT5E","KHDRBS2","PTP4A1","RFPL4B","HDAC2","HS3ST5","COL10A1","DSE","SYNCRIP","TRAPPC3L","RWDD1","HTR1E","CGA","KPNA5","GPRC6A","RARS2","COL9A1","ORC3","GOPC","NUS1","CNR1","PLN","RNGTT","MCM9","ASF1A","SRSF12","GABRR1","MAN1A1","SMAP1","GABRR2","UBE2J1","RRAGD","B3GAT2","GJA1","HSF2","FABP7","MDN1","CLVS2","RIMS1","RNF217","TPD52L1","MAP3K7","EPHA7","HEY2","NCOA7","FUT9","UFL1","KCNQ5","TRMT11","FHL5","NDUFAF4","KLHL32","CENPW","RSPO3","RNF146","FBXL4","ECHDC1","COQ3","EEF1A1","PTPRK","LAMA2","EPB41L2","AKAP7","ARG1","MED23","ENPP3","OR2A4","ENPP1","CTGF","STX7","TAAR8","TAAR6","TAAR5","TAAR2","TAAR1","VNN1","VNN2","SLC18B1","RPS12","EYA4","TBPL1","SGK1"
"Extracellular matrix organization",0.902869357498002,0.898223957388174,0.898511342334369,0,0.898358065453525,0,0.892774338442773,0.898216022286383,0,0.893092043396906,0.893245931017848,0,0.898574355906553,0,0,0.898685726269026,0,0.898104432760381,0.898323070339885,0.904924633998251,0,0,0.893410370903466,0.898816008588719,0.89363064008834,0.898716989962808,0.892767228726579,0.898019572705686,0,0.898182439127179,0.892903862372167,0,0.898376458922462,0,0.903105679116178,0,0.89779487055998,0.89835525822881,0,0.898226727035683,0.89825628022889,0.893112014047474,0.898719752258672,0.903138045321742,0,0.903138045321742,0,0,0,0,0.898181399432994,0.898847272282502,0,0.898227765685856,0.898292875447239,0.898029583215915,0.898358419395437,0.903484951285249,0.89805022042693,0.898348649441239,0.898258594968712,0.898202286647775,0.902768440469494,0.90868069589777,0.898060088506612,0.898816008588719,0.903029262671366,0.897970628210928,0.898369717468864,0.903082786508019,0.902862398484659,0.898321706961622,0.898477270201151,0.898685726269025,0.893433541386136,0.89788609394666,0.902752427146633,0.892887573803337,0.897813240419375,0.898349102773146,0.898104488163481,0.898638660122221,0,0.903418177174281,0,0.902606998261529,0.89819010416268,0.898607396428439,0.898433156138649,0.89273392414897,0.898222098726231,0.88885160343309,0.897814227350875,0.892616675131047,0.89267346968139,0,0.898326323661112,0.893408874341786,0.889040913151051,0,0,0.902658205079718,0.897914214637874,0,0.898443250857876,0.898100952844632,0,0.898187653964616,0,0.902783757117576,0,0.893277142272384,0.892710861478206,0.893179242408139,0.898173091170821,0.903134161669904,0.897763352962843,0.897971976475619,0.898091131131145,0.898365225046882,0,0,0.898091054356647,0,0,0,0,0.89805448800071,0.898422845399022,0.893446292498367,0.898141879077156,0.893468275330329,0.897814227350875,0.897882854868673,0.898417837587623,0.893806194599078,0,0.898227765685856,0,0,0.898544489421141,0.892937857018477,0.898178205142277,0.898230311251125,0.898258609776669,0.907001434693657,0,0,0.903172991200271,0.897965008992878,0,0.903094123386559,0,0.897867961791409,0.898216035428784,0.871923882280049,0.903176005792724,0,0.898555907206359,0,0.897763352962843,0.897923402694072,0.888754475242417,0.898350631641352,0.893372206943802,0.904470939447681,0.898068476635691,0.898193190157647,0,0.897764559574798,0.898371205287825,0.898350899002157,0,0.898117004049368,0,0,0.898426979281825,0,0.898439620406134,0.897811277892486,0.898165205904137,0.903029826625759,0.898231125958659,0.89877629913386,0,0,0.893148763437203,0.8983151418439,0.897814227350875,0.898260648487169,0.902799268748673,0.89821957022904,0.898449233997442,0.898753657360793,0.893669235659033,0.897812257276489,0.892856810366221,0,0.898854628974446,0.893090998616308,0,0.893546624203098,0.898395195667668,0.898072689603648,0.897814227350875,0,0,0.89793444652142,0.898479147512134,0.902728699798163,0.903252303077399,0.893643770661936,0.898435561841106,0.898216518376696,0.898000063433896,0.898376687743863,0.902842524464305,0.902990527481659,0.898344507358377,0.892767228726579,0.892767228726579,0.892767228726579,0.892767228726579,0.892767228726579,0,0,0.893089734999447,0.897967552844373,0.893738176819715,0.898377467019755,0.89827914195288
"Collagen formation",0.939303122636003,0,0.940776602929568,0,0.939592808003183,0,0,0.940218911746542,0,0.927936051953327,0,0,0.929763288720178,0,0,0.929023170497336,0,0,0,0.950395588513523,0,0,0.928679554423239,0,0,0.941159615356037,0,0.928467507891917,0,0.939825448000727,0.928359407202803,0,0.939468135615017,0,0.940482611768844,0,0.939052296323502,0.939418618159663,0,0.939250487799957,0.939814963866079,0,0.941080424815947,0.939603276820145,0,0.939603276820145,0,0,0,0,0.939012544410331,0,0,0,0.927615824294136,0,0.939426001546731,0,0.939699582345281,0.929000282214072,0.940318346742922,0.940386563893474,0.950221728829455,0.939931315095573,0.939224654302545,0.9293274647367,0.940199045814115,0.927517435937887,0,0.949551716329106,0.950756207264867,0.940569515189683,0,0,0,0.939454765523966,0.95049935242274,0.928321362764584,0.927749752737467,0.939404241153609,0,0.940976664059828,0,0.941212498672279,0,0.949344979528188,0.940565665836377,0.928840219201128,0.929433495114463,0,0,0,0.927752057866597,0,0,0,0.939978560991005,0.929538939725152,0,0,0,0.939488345309836,0.926985551788055,0,0.940122114821705,0.939818075648839,0,0.939705554193038,0,0.950572528350986,0,0.928368378624003,0,0.928139718551063,0.93980361442211,0.928959719924525,0.927051977232449,0.939333880360377,0.9392971590894,0.928274590982961,0,0,0.940189454263485,0,0,0,0,0,0.929081303057448,0,0.939730713814235,0,0.927752057866597,0.927312427902407,0.940375257028052,0,0,0,0,0,0.940356046560383,0.928438806887009,0.940039907877886,0.928959719924525,0.93942871556311,0.939072554722707,0,0,0.94991809731215,0.939095233006729,0,0.940350537912511,0,0.939273889488462,0.940322373368731,0.878494581299739,0.940646870454112,0,0.940880690988919,0,0.927051977232449,0,0,0.939407812058617,0.929453297421535,0.94937305865831,0.928581730483423,0.939482539638199,0,0.927054795458805,0,0,0,0.927694832963526,0,0,0.94039660884993,0,0.928985600096899,0.927745168956427,0.940021031790889,0.940305446702008,0.940122114821705,0.941212498672279,0,0,0,0,0.927752057866597,0.940008117896117,0.939558205574718,0.940122114821705,0.927981023549216,0.941395449968487,0,0.927747456457225,0,0,0,0,0,0,0.929344832641531,0.928591570513007,0.927752057866597,0,0,0.939246223425089,0.940754290325394,0.950572528350986,0.940519027392123,0,0.940416654726869,0,0.939643633039739,0,0.950709788457456,0.940213657553721,0.940203983087098,0,0,0,0,0,0,0,0,0.938328593688105,0,0.927908685934899,0.939656814163582
"Keratinization",0.930755940423095,0,0,0,0.931026170087427,0,0,0,0,0,0,0,0,0,0,0.933747449528783,0,0,0,0.931432924067106,0,0,0,0,0,0,0,0.930851632236625,0,0.9373009930357,0,0,-0.00493351433607663,0,0,0,0,-0.00493351433607663,0,-0.00493351433607663,0.93108890776042,0,0,0.937929152552892,0,0.937929152552892,0.93144646777011,0,0,0,0.930589802536493,0.932195156691881,0,0,0.937553072812071,0,0.930826196349839,0.931971727288708,0,0,0.937292728650701,0,0.937255464003976,0.937228806463654,0.93706209194999,0.938581825050081,0.931363197224373,0,0,0.931106181097597,0.937456449387019,0,0,0,0,0.937298260140344,0.937245288071051,0,0,-0.00493351433607663,0,0,0,0,0,0.925626287182019,0.931504442163733,0.938303242773832,0,0,0.937569726199098,0,0,0,0,0,0.931266224327875,0,0,0,0,0.93675404025602,0,0,0.931092479164031,0,0,0.93687822927508,0,0.93106936501395,0,0,0,0,0.943382706913822,0.931322296282268,0,0.930379724313578,0.936830037221582,0.937979845256516,0,0,0.931227047259163,0,0,0,0,0,0,0,0.931124517887024,0,0,0.937005528191793,0,0,0,0.937361522469237,0,0,0,0,0.937528212581494,0,-0.00493351433607663,0.930559833610349,0,0,0.931139096587059,0.9309680096151,0,0.931449812720102,0,0.936921335113293,0.931542484194692,0.931106181097597,0,0,0,0,0,0,0,0.930815796523401,0,0.930975339718102,0,0.931435792422106,0,0,0,0,0,0.937648369035727,0,0,0,0,0,0,0,0.931397968119411,0.937470612072185,0.938198640504916,0,0,0,0,0,0,0.930837504127445,0.931139096587059,0.9377618752173,0,0,0,0,0,0,0,0,0.931077587416053,0,0.930922564948897,0,0,0,0,0,0.931019915618108,0,0,0.937743617315036,0.93734650272646,0,0,0,0.937732156099653,0,0,0,0,0,0,0,0,0,0,0,0.937770639314669,0.937534732998541
"O-linked glycosylation",-0.00922318430359692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00922318430359692,0,-0.00922318430359692,0,0,0,0,0,0,0,0,0,0.913785528264905,-0.00922318430359692,0,-0.00922318430359692,-0.00922318430359692,-0.00922318430359692,0,-0.00922318430359692,-0.00922318430359692,0,-0.00922318430359692,-0.00922318430359692,0,-0.00922318430359692,0.913245670433046,0,0.913245670433046,0,0,0,0,-0.00922318430359692,0,-0.00922318430359692,0,0,-0.00922318430359692,-0.00922318430359692,0,0,0,-0.00922318430359692,0,0.925514619699447,0.912238870401438,-0.00922318430359692,0,-0.00922318430359692,-0.00922318430359692,0,0.912288832148682,0.912416335875019,0,0,0,0,-0.00922318430359692,0.912141788140824,-0.00922318430359692,0,-0.00922318430359692,0,0,0,0.914140584029712,0,0.925640967322227,-0.00922318430359692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00922318430359692,-0.00922318430359692,0,0,0,0,-0.00922318430359692,0,0.894123956793123,0,0,0,-0.00922318430359692,0,-0.00922318430359692,-0.00922318430359692,-0.00922318430359692,0,0,0,0,-0.00922318430359692,0,0,0,0,0,0,0,0.912220004635133,-0.00922318430359692,0,-0.00922318430359692,0,0,0,0.912380041880638,0,0,0,0,0,0,-0.00922318430359692,0.92513170630544,0,0,0.912583984434576,0,0,-0.00922318430359692,0,-0.00922318430359692,0.913245670433046,0.912288832148682,-0.00922318430359692,0,0,0,-0.00922318430359692,0,0,-0.00922318430359692,0,0.912185396219165,-0.00922318430359692,0,0,-0.00922318430359692,0,0,-0.00922318430359692,0,0,0,0,0,0,0,0,0.912975498238064,-0.00922318430359692,0,0,0,0,-0.00922318430359692,0,0,-0.00922318430359692,-0.00922318430359692,-0.00922318430359692,0,-0.00922318430359692,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00922318430359692,0.912361176114332,-0.00922318430359692,0,0,0.912351962534681,-0.00922318430359692,0,-0.00922318430359692,0.913072939894017,-0.00922318430359692,0,0,0,0,0,0,0,0,0,0,0,-0.00922318430359692
"O-linked glycosylation of mucins",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.917170404066326,0.916759623912362,0,0.93452233152114,0.91832518586426,0.919253804525751,0,0,0.934732614427703,0,0.934467652102598,0,0,0,0,0,0,0,0,0,0,0,0,0.919012135116223,0,0,0.917774695131103,0,0,0,0,0.917821318036989,0,0.93467161969363,0,0.9160977310985,0,0,0.916588061648696,0,0,0,0,0,0,0,0.917209294329478,0,0.916699668394361,0,0.934421638076566,0,0,0,0,0,0.934649763774388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.917221364408804,0,0,0,0,0,0.916855597514482,0,0,0,0,0,0.91761819201561,0,0.918006592297351,0,0,0,0,0,0,0.91807879604281,0,0,0,0,0,0,0,0,0.919556354690784,0,0.916264982546022,0,0,0,0,0,0,0,0,0,0,0.934748527267596,0.933898922202459,0,0,0,0,0,0,0,0.916301184336484,0,0,0,0,0,0,0,0,0,0,0,0,0.935325934080651,0,0,0,0,0,0.936258032874766,0,0,0,0,0,0,0,0,0,0.935056500688729,0,0,0,0,0.917821318036989,0,0,0,0,0.918440750837075,0,0.953010854554745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Assembly of collagen fibrils and other multimeric structures",0.919805451919203,0,0.922193617909586,0,0.920274963961429,0,0,0.921289731293487,0,0,0,0,0.902945091124876,0,0,0.904694494875522,0,0,0,0.937783737664783,0,0,0,0,0,0.922814391227549,0,0.900844934293082,0,0.920652018837943,0.900669728428159,0,0.920072899258793,0,0.921717127185836,0,0.919398921291258,0.919992643076663,0,0.919720143194069,0.920635026514454,0,0.922686041934092,0.920329853958673,0,0.920329853958673,0,0,0,0,0.919334492762757,0,0,0,0,0,0.920004609815523,0,0.920448020128896,0.901708436521293,0.921450892102794,0.921561456105328,0.936103424560806,0.920823604570387,0.91967827315332,0.905187684473437,0.921257533276049,0,0,0.938174879989692,0.938368216087206,0.921857977250136,0,0,0,0.920051229476798,0.937951914626568,0.900608067316114,0.899681621518036,0.91996934132159,0,0.922517870082739,0,0.922900102680807,0,0.937479474222111,0.921851738351193,0.904397973730713,0.902410573034302,0,0,0,0.89968535759175,0,0,0,0.920900179086618,0.902581474019011,0,0,0,0.92010565443445,0.899841558332235,0,0.921132846179462,0.920640069984521,0,0.920457699093573,0,0.938070515644793,0,0,0,0,0.920616631727488,0.901642694562741,0.899949218399282,0.919855302977009,0.919795786408748,0.90348122304207,0,0,0.921241987621918,0,0,0,0,0,0.901839752307131,0,0.920498476939016,0,0.89968535759175,0,0,0,0,0,0,0,0.921511994665412,0.900798416695181,0.920999608002977,0.901642694562741,0.920009008599575,0.919431755405301,0,0,0.93840836374043,0.919571771044714,0,0.92150306643912,0,0.919758071842892,0.921457418318892,0.938174879989692,0.921983351992165,0,0.922362320242717,0,0.899949218399282,0,0,0.919975128921149,0.902442667929965,0.937783198560653,0.901030062326051,0.92009624480229,0,0.899953786083265,0,0,0,0.902541571259338,0,0,0.921577736623965,0,0.90308316758291,0.899674192283974,0.920969014292838,0.921429984161834,0.921132846179462,0.922900102680807,0,0,0,0,0.89968535759175,0.920948083898021,0.920218881539963,0.921132846179462,0,0.923196623825617,0,0.899677899786295,0,0,0,0,0,0,0.902266871959097,0.90104601070629,0.89968535759175,0,0,0.919713231642503,0.922157454411047,0.938070515644793,0.92177614837086,0,0.921610226289259,0,0.920357339426031,0,0.938292982086686,0.921281215479157,0.921265535437646,0,0,0,0,0,0,0,0,0.919624496374673,0,0.902888176772426,0.920378702936498
"Assembly and cell surface presentation of NMDA receptors",0.902553344609436,0.839894539332447,0,0,0.873378486133498,0,0.84068674836361,0.839389609515217,0,0,0,0,0,0,0,0,0,0.839694620390578,0.838982075296874,0.876211226597884,0,0,0,0,0,0,0.838977769370015,0.837651150517292,0,0.838282554622364,0,0,0.871608440213833,0,0,0,0.871153629454109,0.871983871465024,0,0.872415329400675,0.87451830109075,0.83920117258336,0.841588919562644,0.840119603245177,0,0.840119603245177,0,0,0,0,0.871231094445652,0,0,0.839919566031433,0.840862197107285,0,0.872394403011446,0.847021234119217,0,0,0.842751468323294,0,0.87329423975356,0.872706195008198,0.870106305825737,0,0.844541374292707,0.834840185084428,0.875263767935965,0,0.838355908275307,0,0,0.907330379955525,0,0.837014942690719,0.871969151832994,0,0.835631664950816,0.871428665896933,0.836898163981107,0,0,0,0,0.87325521901126,0.841074698072219,0,0,0,0.873311221314024,0,0.835638150693175,0,0.840023876829132,0,0.87335388092599,0,0,0,0,0.87256981426272,0.871051554804183,0,0.904857672050102,0.841975130190349,0,0.872070991093163,0,0.842390420073995,0,0,0,0.873009967186171,0.873971613912105,0,0.871238450328888,0.872649963831476,0.839313597825308,0,0,0,0,0,0,0,0,0.8387808503035,0.843846213916848,0.842475278573356,0.840741845209471,0,0.835638150693175,0.834263371715558,0,0,0,0.839919566031433,0,0,0,0,0.840225104145851,0,0.872012281655317,0.9019046156242,0,0,0.838377851429799,0.839371129613619,0,0.844967614500457,0,0.872481172706532,0.844718668803563,0,0,0,0,0,0.871238450328888,0.838805766017322,0,0.872343224822783,0,0.841927715781896,0,0.874990055899311,0,0.871246379728507,0.87364882608405,0.843005815515882,0,0.839300356728201,0,0,0,0,0,0.835618767962767,0,0.844007496265284,0.87486775092472,0,0,0,0,0.905409792825721,0.835638150693175,0.8731277416303,0.873281128274879,0.874352996694437,0.841889726648452,0,0,0.835625204105811,0.875125316788061,0,0.876403172939389,0,0,0,0,0.838000214778378,0.835638150693175,0,0,0.8391702845544,0.840671303168923,0.840741845209471,0.875612904696485,0.877565393846003,0.87424813957193,0.839845652948931,0,0.875104120731348,0,0.841228722803443,0.873678830568788,0.838977769370015,0.838977769370015,0.838977769370015,0.838977769370015,0.838977769370015,0,0,0.876399926475215,0,0,0.842596402754166,0.838741146765928
"Developmental Biology",0.903184218740393,0.899454390542112,0.899496650370669,0.899543550054034,0.899428811892763,0,0.899535404920274,0.901547477888437,0.899619459126377,0.899497045604432,0.899551681228543,0.899604581438508,0.901561050716274,0.901561050716274,0.899604581438508,0.898353503151011,0.899619459126377,0.899687024369459,0.897472239479571,0.903347822773483,0.899604581438508,0.899619459126377,0.899471466542495,0.899622071096395,0.899443528172283,0.899540686027706,0.899397562970432,0.901485550043627,0,0.901428278286353,0.899307474679082,0.89946857204936,0.901416537503353,0.9014751391226,0.899560965063263,0.89754364053655,0.899293411900435,0.901289317077471,0,0.901259994016815,0.901358442422891,0.899541604774653,0.899503637911706,0.901465034608863,0.899625548256379,0.901465034608863,0.897619702531527,0,0.899689560322864,0.899609973609817,0.901173851791291,0.897578570510581,0.899586425964378,0.899455941865333,0.901555749724073,0.899430966359799,0.901396453665987,0.89929978403606,0.90130641118175,0.90142797727196,0.899454639675776,0.899559544478998,0.901421367377516,0.901342245295001,0.901298869834793,0.899500505006187,0.901598955633026,0.901392573267592,0.899585504414901,0.901354979047206,0.901685006373026,0.899349168667861,0.901448463451729,0.901533378751304,0.899540686027707,0.899298021006377,0.898313054690369,0.899300839474284,0.901209876556781,0.901254901700102,0.899364650729435,0.899508778096471,0.897842550250636,0.899562285658201,0.897561411324131,0.903014097349498,0.899514804025269,0.899415526121831,0.901503532502898,0.899430966359799,0.899512453439154,0.89958033115924,0.901360770768036,0.899416146176791,0.89949431568177,0,0.901503784991752,0,0.899704076756184,0.89955462901369,0.899487333631406,0.901269570028171,0.899287084626721,0.899514804025269,0.901530595856522,0.901327077207408,0.89762362376156,0.89937543651634,0,0.9033734342232,0.899425271206693,0.899561445378652,0.899448205664269,0.899477928499898,0.901320889191364,0.901420902937028,0.899298669669056,0.901515370902442,0.901386718052302,0.899571516307247,0.899633564973104,0,0.899600592477724,0.899556579715972,0.897642569407742,0.900586133259279,0,0.901276241661442,0.899482419688998,0.899702073587589,0.901343748649649,0.899535644877529,0.901210278586738,0.901446018541959,0.901463381338374,0,0.899689560322864,0.898510881936262,0,0.899674401622619,0.901420902937028,0.899502678444259,0.901365766233705,0.901420902937028,0.90144157031355,0.905210431494923,0.897811961055203,0,0.901410039553575,0.899453854016686,0.899652227119957,0.899466920300022,0,0.903254888867878,0.90148806917387,0.901505471228504,0.89958961287797,0.89945905373899,0,0,0.899298669669056,0.899386901045135,0.899586425964378,0.901242789116153,0.897433509412693,0.901311731834005,0.901505471228504,0.899473765335674,0.899498445134899,0.899299161186606,0.901405257542775,0.901547477888437,0.899498445134898,0.8995932228425,0.899633810036585,0,0.899430376858462,0.899466419107649,0.899521715837678,0.901209077114671,0.899480462424031,0.901594478095406,0.899098456839472,0.901602181852006,0.899603365724247,0.899402844978153,0.899524666834314,0.901414327836397,0.901210278586738,0.901360221847996,0.9014322463075,0.894294044086411,0.901468950738502,0.899555350707712,0.897830766145804,0.901209476070129,0.899481024485033,0.899773241111434,0.89965522906508,0.89945859011844,0,0.899420415514603,0.90148806917387,0.901356695214262,0.901360770768036,0.89957665833392,0,0.901300381417013,0.901522267247811,0.903584706534472,0.899622258688072,0.901648032769225,0.901463381338374,0.901435590092978,0.899437676119501,0.901495466498428,0.901367687731412,0.901578469453257,0.899748897345324,0.899397562970432,0.899397562970432,0.899397562970432,0.899397562970432,0.899397562970432,0,0,0.899648009029178,0.901331447093901,0.899477470822361,0.89961940872933,0.901399663156391
"APOBEC3G mediated resistance to HIV-1 infection",0,0,0,0,0,0,0,0,0,0.721551767687122,0,0,0,0,0,0.733808582921598,0,0,0,0,0,0,0,0,0.712091823496889,0.733808582921598,0,0,0,0,0,0,0,0,0,0,0,0,0,0.709924967403228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.717453730665231,0,0,0,0,0,0,0.71136609892341,0,0.588360169860527,0.737196822921376,0,0.708781341669514,0,0,0,0.713447327031827,0,0,0,0.712199548601334,0.714457367971473,0,0,0,0.714888584062071,0.731771466145676,0,0,0,0,0,0.731771466145676,0,0,0,0,0,0,0,0,0.71803187969256,0,0,0,0,0.710536334315016,0,0,0,0,0,0.712954900725969,0,0,0,0,0.71488852112671,0,0.714046776770756,0,0,0.708816405862162,0.708407523724173,0.725473337867598,0,0,0,0,0,0,0,0,0,0,0.715272163570695,0,0,0.706498628636434,0,0,0,0,0,0,0,0,0,0,0,0.705906610460278,0,0,0,0,0,0,0,0.708148422556693,0,0,0,0,0,0,0,0,0,0,0,0,0.715989152431429,0,0,0,0,0,0,0.837701645388308,0,0,0,0,0,0,0.718504781392217,0,0.717593198799999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726669431179805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.587990720396788,0,0.721399076972753,0
"Collagen biosynthesis and modifying enzymes",0.930028543908449,0,0.932227303448646,0,0,0,0,0,0,0.913066352274958,0,0,0,0,0,0.914705942000392,0,0,0,0.913245362320565,0,0,0.914175822931616,0,0,0.933423764471147,0,0,0,0.930807969248434,0.912831915733166,0,0.930274779886933,0,0.914102010450462,0,0.929654255395767,0.91159651613796,0,0.911345628335785,0,0,0,0.930626472014616,0,0.930626472014616,0,0,0,0,0.929594936720989,0,0,0,0.912588501553943,0,0.93021190650816,0,0.930620149762891,0,0.913227825727642,0,0.951471965172249,0.930692942516223,0.929911451744034,0.915160016523649,0,0.91244168429558,0,0.946609329239839,0.931213698445109,0.913040905944803,0,0,0,0.911810010201685,0.946735803018279,0.912775144989879,0,0.930179435173331,0,0.933150760543177,0,0.914273383896771,0,0.930395443071522,0,0.914432938072422,0,0,0,0,0,0,0,0,0,0,0,0,0,0.930304937235817,0,0,0.931250661971053,0.930796968063607,0,0.930629061084804,0,0.946844997739814,0,0.913711479594121,0,0.913370268029205,0.930775388704608,0.914344305232853,0,0.911356618787116,0.930019644973698,0.913588895266876,0,0,0,0,0,0,0,0,0,0,0.929391667109538,0,0,0.912135766818573,0.931628406311215,0,0,0,0,0,0.93159974003095,0,0.931127990970442,0,0.911611583704359,0.928322328284035,0,0,0.930780574544315,0.9298133963625,0,0,0,0.929984921565939,0.931704326228465,0.839288707771874,0.914347120855312,0,0.932382625928706,0,0,0,0,0.930184763755931,0,0.946342732353672,0,0.914388807752081,0,0,0,0,0,0.912723767662655,0,0,0.93166026796709,0,0.915408727875089,0.910575205370198,0,0.93132715031617,0.931250661971053,0.932877756615207,0,0,0,0,0,0.931080553263944,0.913081424305913,0.913995227172956,0.913133459874518,0.933150760543177,0,0,0,0,0,0,0,0,0,0,0,0,0,0.912587679827922,0,0.930469521323387,0,0,0.93169018086335,0,0.930819292375446,0,0.947049820274535,0,0.931372827588305,0,0,0,0,0,0,0,0,0.929861940024344,0,0.913042883746567,0
