"","GRM1","PCMT1","PNISR","RAB32","RAET1E","HIVEP2","RAET1G","USP45","TFB1M","ULBP2","ULBP1","STXBP5","CLDN20","NOX3","RAET1L","ULBP3","PPP1R14C","ARID1B","MYCT1","VIP","FBXO5","ADAT2","CCNC","MTRF1L","PEX3","SNX9","MTHFD1L","UST","OPRM1","FUCA2","SYNJ2","SUMO4","IPCEF1","PHACTR2","PPIL4","CD109","ZBTB2","SCAF8","MCHR2","SIM1","KATNA1","ASCC3","NMBR","TMEM181","LTV1","VTA1","DYNLT1","LATS1","ESR1","EZR","NUP43","PLAGL1","TAGAP","SF3B5","STX11","COL12A1","UTRN","SOD2","WTAP","GRIK2","ACAT2","TCP1","MRPL18","HACE1","IGF2R","SYNE1","LIN28B","PREP","LPA","COX7A2","PLG","MAP3K4","PRDM1","EPM2A","AGPAT4","ATG5","PACRG","FBXO30","QKI","QRSL1","BEND3","PDSS2","SEC63","MYO6","OSTM1","NR2E1","SNX3","FOXO3","HTR1B","SESN1","PHIP","ELOVL4","SMPD2","TTK","MICAL1","BCKDHB","ZBTB24","AK9","IBTK","FIG4","WASF1","TPBG","UBE3D","CDC40","DDO","SLC22A16","DOPEY1","CDK19","PGM3","AMD1","GTF3C6","RPF2","ME1","REV3L","SNAP91","FYN","CYB5R4","TUBE1","LAMA4","NT5E","KHDRBS2","PTP4A1","RFPL4B","HDAC2","HS3ST5","COL10A1","DSE","SYNCRIP","TRAPPC3L","RWDD1","HTR1E","CGA","KPNA5","GPRC6A","RARS2","COL9A1","ORC3","GOPC","NUS1","CNR1","PLN","RNGTT","MCM9","ASF1A","SRSF12","GABRR1","MAN1A1","SMAP1","GABRR2","UBE2J1","RRAGD","B3GAT2","GJA1","HSF2","FABP7","MDN1","CLVS2","RIMS1","RNF217","TPD52L1","MAP3K7","EPHA7","HEY2","NCOA7","FUT9","UFL1","TRMT11","FHL5","NDUFAF4","KLHL32","CENPW","RSPO3","RNF146","FBXL4","ECHDC1","COQ3","EEF1A1","PTPRK","LAMA2","EPB41L2","AKAP7","ARG1","MED23","ENPP3","OR2A4","ENPP1","CTGF","STX7","TAAR8","TAAR6","TAAR5","TAAR2","TAAR1","VNN1","VNN2","SLC18B1","RPS12"
"Biological oxidations",0.879084712984802,0,0,0,0,0,0,0,0.880435658942212,0,0,0,0,0.870668999902795,0,0,0,0.88933719355472,0,0.879175352217501,0,0,0.888991907982836,0,0,0.879187060812198,0.879659837610177,0,0.878932750450784,0,0.879191594724718,0,0,0.880092453535093,0,0.880092453535093,0,0.880998531567758,0.878846389243481,0.889942490147361,0,0.880345653640291,0.879185494664731,0,0,0.880502450180492,0,0.880117300752139,0.889031437180175,0.879499020788801,0.879224896950655,0.881924520588975,0.880616494451897,0.880786047458848,0,0,0.88938469919265,0.889112896572429,0.880071827025965,0,0.89824629586532,0.880083254892304,0,0.879021999054007,0.879134656448253,0.879701189082977,0,0,0.880800778518592,0.881261906103932,0.888934961071075,0.870899537550732,0.881524896086103,0.890178880582986,0,0.880471155276768,0,0.879023889653337,0.889175655914167,0,0,0.880093594975885,0,0.879843105816105,0,0.890578505085859,0,0.889487266708707,0.878903717953229,0.881060984405046,0,0.890278400493296,0,0.869909485372449,0,0.880541569766748,0,0.879771152701892,0.870668037822281,0,0.889234051132711,0,0.879023889653337,0.880246502417782,0.880814904643962,0,0,0.889078737070143,0,0.889833519260771,0.879942220041009,0,0.88943146762767,0,0.879337771910651,0.878680486138468,0.881666146194989,0,0,0.889282082092676,0,0.880052095390472,0,0.88890418285551,0.880143778570125,0,0,0,0,0,0.878903717953229,0.888923853496071,0,0.879170576179872,0.871306812413922,0,0.879704362808736,0,0.880145848298495,0.878906029379859,0,0.879829746087311,0,0.880585483875255,0,0,0,0,0,0.879018239571189,0.879889660663684,0.879936471179579,0.889490117004451,0.890449367629276,0.890136664362303,0,0,0.889295472096643,0.879023889653337,0.879629938447579,0.879442919257302,0.888887090358135,0.889907932133033,0.880887457970967,0,0.879020115712277,0.891181361447299,0.881005319910958,0.889454405530162,0,0.87975642636373,0,0.879694046723463,0.879023889653337,0.898144855346318,0,0.880270138792838,0,0.870106411277147,0,0,0.889796639758359,0.889057191344689,0.898511859025761,0.88017856547244,0.898432190897672,0.889447763011281,0,0.879175352217501,0.879175352217501,0.879175352217501,0.879175352217501,0.879175352217501,0,0,0,0.880228537006356
"Extracellular matrix organization",0.819626692658998,0.812396154904273,0,0,0,0.796023842393483,0,0.812504552225477,0,0,0,0.811696180180371,0.812072285313136,0.812265795646985,0,0,0.804597187839113,0.802399397744193,0.804278221770737,0.80293584757993,0.811693405988078,0,0.811695623733705,0.802958049420215,0,0.812164125517295,0,0.81175174881335,0.819211800434249,0,0.811767056998247,0.812472816369034,0.812217100226342,0.812272777279064,0,0.812272777279064,0,0,0.811562364950844,0.812974028927713,0,0.811567422361507,0.811866878551058,0.820951865496375,0.811602922941993,0.812116287041167,0.811961373373433,0.811864510571666,0.81150223025096,0.827518366598084,0.811253135659579,0.804597187839113,0.812317664859478,0.802333742172212,0.812152528721785,0.819624536153928,0.819880936590875,0.812378378272277,0.812172308930032,0.812696133951998,0.811659894881383,0.811320588991024,0.802930029468858,0.81102157119244,0.812117066872603,0.811696275485993,0.804143477070579,0,0.820836999214337,0,0.819042844465078,0.811843553995107,0.804238328651152,0.812261657305152,0.802457714135816,0.811898591741131,0.7956397649049,0.811023268933532,0.802256019817975,0.795086454559163,0,0,0,0.812511040329481,0,0,0.803392169799342,0.811814287875457,0.819234003580268,0.803821740158821,0,0,0.811673166358483,0,0,0,0,0.80202833806105,0.812003720585369,0.803683145707259,0.811895340851352,0.803720961054246,0.811023268933532,0.802182752554521,0.80310500843711,0.813015074562475,0,0.811773595468517,0,0,0.80288984852373,0.794276200286681,0.811563024570451,0.81191271910557,0.811898322788671,0.834962651187726,0,0,0.819779708232913,0.811456340374671,0,0.81242923967637,0,0.811115704090091,0.811832484471898,0.800293511626891,0.811872726296175,0,0.812472816369034,0,0.819234003580268,0.811384768312028,0.795380161466531,0.81185348188663,0.795023378501432,0.81947040023083,0.802470687887583,0.812424059488663,0,0.819236079220469,0.811511930023128,0.795014440229803,0,0.803394744985178,0,0,0.812251031741325,0,0.812272777279064,0.811018195210883,0.81159529403928,0.81164632431081,0.811914120583237,0.812851939369487,0,0,0.812536033470755,0.812058646541422,0.811023268933532,0.811964905880671,0.819609437373009,0.811866084796115,0.8121156212165,0.80416495900384,0.804066657394643,0.811019879968606,0,0.812986684069645,0.811784778834436,0,0.795454090156799,0.812196356875049,0.81164157490984,0.811023268933532,0,0,0.811126809117813,0.811976900265744,0.802279729747947,0.820551658975155,0.804022851951245,0.812265795646985,0.811754247601995,0.811516641788651,0.812164519140861,0.819846748867607,0.820101346886017,0.812109161739891,0.80293584757993,0.80293584757993,0.80293584757993,0.80293584757993,0.80293584757993,0,0,0.803069787721071,0.811228698495347
"Molecules associated with elastic fibres",0.657940997442073,0,0,0,0,0,0,0.670769779117779,0,0,0,0.663382119081816,0,0.613164805068144,0,0,0.618843648203714,0.611027202537194,0.617302939842566,0.610761893911764,0.665291497780211,0,0.716210155438258,0,0,0.658199958604524,0,0.663701101167349,0.659786650020239,0,0.658053269220365,0,0.665789847494235,0.666868023761138,0,0.666868023761138,0,0,0.658845108974753,0,0,0.659971738231086,0.658460502923817,0.671208457173065,0.664597075045758,0.667543952487472,0,0,0.659039134519313,0.660288141866125,0.657609250284375,0,0.6128031813328,0.662089153385256,0,0.659685001833316,0.661298793849182,0.663295031505201,0,0,0,0.658246116592576,0,0.662256984086374,0.657929826628594,0,0.616529461296007,0,0.66567743251639,0,0.706176485276942,0.614353171564275,0,0.669375483017671,0,0,0,0.662266729674225,0,0,0,0,0,0.61535837040329,0,0,0,0.660056968562833,0.659914103323354,0,0,0,0,0,0,0,0,0,0.6146253111936,0,0.659412766334372,0.670052242422383,0.662266729674225,0.661222423711284,0,0,0,0.665576791039034,0,0,0,0,0.661055966233376,0.667372463892344,0.658806777689872,0.656966206127906,0,0,0.70779874821434,0,0,0.662591628409387,0,0.713878285234269,0.664821460826178,0.659685001833316,0.664395551394127,0,0,0,0.659914103323354,0.658923244386435,0,0.658383601698624,0,0.126071224147205,0.665774406214822,0.666567228606573,0,0.659926018175397,0.666993204681892,0,0,0.613524654101108,0,0,0,0,0,0.662237604850644,0.665956093840015,0.663752840756833,0.661403519427804,0.666786905274352,0,0,0,0,0.662266729674225,0.61169181769998,0.705414661772812,0.660294046669842,0.664115636318022,0,0,0.662247275909714,0,0.671766836897896,0.609630133060128,0,0,0.669000637241125,0.665816007733578,0.662266729674225,0,0,0.664450907823854,0.664411021342337,0.70691746787887,0.662745585795588,0.61764093106032,0.66342224904649,0.66546572797192,0.660403742570453,0.613942579809548,0.659993072404093,0.66212534280864,0.661749640763032,0.610761893911764,0.610761893911764,0.610761893911764,0.610761893911764,0.610761893911764,0,0,0,0.662448904611292
"Neuronal System",0.907734416462364,0.908713848632947,0.908815826244457,0,0.90819795533495,0.908008751563655,0.908273498751172,0.91527627718849,0.90869477701453,0.908273498751172,0.90819795533495,0.915547235598851,0.91512599492674,0.915411169534202,0.908273498751172,0.90819795533495,0.909267902129865,0.915174751835536,0.908414220897624,0.921038749537056,0.914990324002336,0,0.914892824315051,0.907439586684929,0.908556547704835,0.920850826524246,0.915276277188489,0.908960788751174,0.920832071393882,0,0.920929157563555,0.908433293807923,0.91523181443238,0.909455159239304,0.909104413155017,0.909455159239304,0,0.915676588334406,0.920704689929395,0.90950743869739,0.915682497311966,0.908084278136434,0.921434727855727,0.915242699018783,0.914761482927238,0.914839853813938,0.915250295251758,0.915393958222177,0.920032363248512,0.921230207077262,0.914624726607544,0.915795088997347,0.91463392489092,0.914361873144852,0.921725847171083,0.908257097537812,0.91494000852302,0.914997307507119,0.915038718091906,0.921595243858052,0.908432605369932,0.921062275153894,0.907417826081347,0.914579783431449,0.920814280261219,0.915103766235007,0.90830957667581,0.915608071395111,0.915516394989933,0,0.914392764031843,0.915437051766879,0.915516394989933,0.915192867767375,0.915130890487783,0.91497283658689,0,0.914581101915926,0.908248447148901,0,0,0.907792721490152,0,0.921779690950425,0,0,0.914799441741314,0.921157165027949,0.920849314602219,0.915192867767375,0.909378484946077,0,0.908405375329587,0.915407955652244,0.908712866147139,0.915145005193213,0,0.920998717923398,0.914997307507119,0.908859349193414,0.914892797874834,0.908716117515666,0.914581101915926,0.914244612940727,0.915411169534202,0,0,0.914953378025166,0,0,0.914977427631729,0,0.914956141840625,0.914816653053339,0.921031100025659,0.921105744121792,0,0,0.914954176888423,0.914917429978511,0.909709693595758,0.914870178198679,0,0.920854173714929,0.909018183365836,0.908257097537812,0.909054741200008,0.915437051766879,0.908878028994687,0,0.920849314602219,0.921003783030842,0.908942655410025,0.92093077455585,0,0.914740885112856,0.914871778968983,0.91483491827831,0.90782916241851,0.920850926567315,0.921421834245309,0.91511787714794,0,0.915211238831794,0.909098456876579,0,0.91476532771264,0.915684434342651,0.9090240835155,0.914577161606899,0.91500100378225,0.908873609329403,0.915121779688239,0.915640730791283,0.915203790329942,0,0.915000738613801,0.921552789754167,0.914581101915926,0.914624694062524,0.914815510789098,0.91501202664377,0.915055194501638,0.915676588334406,0,0.914578470008347,0,0.915571944112592,0.907886349993668,0,0,0.915036929276666,0.914606079477323,0.914581101915926,0.915094530625978,0,0.914801056834838,0.915167349401584,0.914834948119487,0.922002192786848,0.922218032045186,0.915227291625655,0.914938352258411,0.915077352182999,0.921717680625808,0.915021792452,0.915160167154537,0.915049989345085,0.921038749537056,0.921038749537056,0.92153229883943,0.921038749537056,0.921038749537056,0,0,0.908897492917843,0.914470856090286
"Interaction between L1 and Ankyrins",0.902832769428835,0.906237390457257,0,0,0,0,0,0,0,0,0,0,0.869144577553752,0.869926726873279,0,0,0,0,0,0.870861902421929,0,0,0.867796186808647,0,0,0.902342236844427,0,0,0.869786238753027,0,0,0,0,0,0,0,0,0,0.869123277438703,0,0.907122626408885,0,0.870354090803842,0.872840485420558,0,0,0.904873215577864,0,0.903133671299939,0.904447877560769,0.868299064235026,0.91175853157192,0.86967209905007,0.901265339649291,0,0,0.904724750867246,0,0,0.87556326080591,0,0.90507549353649,0,0,0.902152030532486,0,0,0.877866499046082,0,0,0.866428600205804,0,0.910308058803427,0,0,0,0,0,0,0,0,0,0,0.905270813035686,0,0,0,0.904067727644857,0.869875981637581,0.908624249989093,0,0,0,0,0,0,0,0,0,0,0.904177960300109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.935123257081699,0,0,0.905972864995642,0,0,0.870123073245467,0,0.903992422274558,0,0,0,0,0,0,0.869875981637581,0.87067991800991,0,0.870299942832735,0,0.904862780444225,0,0,0,0.86988437116665,0.9054452079,0,0,0.906898378414879,0,0,0.905106192684338,0,0.874368099765335,0,0,0,0.904289056181308,0,0,0,0,0,0,0.903949700714331,0.903592121396788,0.905972864995642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.905352334672199,0.870231478281652,0.909589047366697,0,0,0,0.906984950797783,0,0.869496465616178,0.904532768398017,0.870861902421929,0.870861902421929,0.870861902421929,0.870861902421929,0.870861902421929,0,0,0,0
"TNFs bind their physiological receptors",0,0,0,0,0,0,0,0.29395539762358,0,0,0,0,0,0,0,0,0,0,0,0,0.326222301629566,0,0.289314720941075,0,0,0.363821955494645,0,0,0,0,0.363701269491231,0,0,0,0.331405773327586,0,0,0,0,0,0,0,0,0,0.288876918434491,0.291301407861802,0,0,0.369795567629962,0.401933592199343,0.368619156571662,0,0,0.368988127499626,0,0,0.366010551087161,0.367652919046856,0,0,0,0.324517650954413,0,0.286951651468968,0.363599709360365,0,0,0,0,0,0.369747328207988,0.368098926407894,0,0.292808266051224,0,0.29109359877549,0,0.28695966947283,0.370744702707103,0,0,0,0,0.366096712138362,0,0,0,0.401489406891314,0,0,0,0,0.365694575753499,0,0,0,0,0,0.368113671040988,0,0.365371654887728,0,0.28695966947283,0.368275041539165,0,0,0,0.289682961819208,0,0,0,0,0.365810769114946,0.291160318761894,0.364321204779971,0.365954877775452,0,0,0,0,0,0.367987005422046,0,0.363146303023772,0.373894063986882,0,0,0,0,0,0,0,0,0,0,0.370443746217799,0.289845546084706,0,0,0,0,0,0,0,0,0,0,0,0,0.286935707557806,0,0.373014876402334,0.366096712138362,0.370525794218038,0,0,0.368397484867656,0,0.28695966947283,0,0.329112393717284,0.366096712138362,0,0,0,0.286943664244478,0,0.376169904076715,0,0,0,0.29249986855588,0.326653832584486,0.28695966947283,0,0,0.288756662030505,0.368931993573271,0.365371654887728,0,0,0.36775758494828,0.289591586715456,0,0,0,0,0,0,0,0,0,0,0,0,0,0.287109550564791
"G alpha (i) signalling events",0.939246928972609,0,0,0,0,0.922132030405622,0,0.922136772683387,0.923710338459011,0,0,0.931855665589269,0.92222702764473,0.931489856353902,0,0,0.924118098051589,0.931650500228242,0.922757387790806,0.939468473771366,0.93113949856985,0,0.93127839607268,0.921519516533244,0,0.930840773502845,0.921299248787998,0,0.939771185128731,0,0.930814580052258,0.923441872996513,0.932244151638148,0.922195672467184,0.922462767076255,0.922195672467184,0,0.932391185031108,0.9396441656462,0.932909806512006,0.932299277494195,0,0.939339693975638,0.931903177387887,0.931015499633691,0.921560756014367,0.931728832358619,0.931918447009227,0.940094431530969,0.939721170443906,0.930656962102213,0.924098485536939,0.931425283354996,0.930694351038376,0.92255065642069,0.921313388019486,0.931315781945301,0.931840114878849,0.931587689925747,0.932101165544717,0.921605867172138,0.94814626169599,0.921490795637155,0.930943558841484,0.930792537643079,0.939819954906948,0.922619272328629,0,0.932463638002581,0,0.939432546988647,0.931826059734121,0.923730649157892,0.93203662816777,0.922417163606098,0.931496603534202,0.922224945068747,0.930945299053124,0.921774107266417,0,0,0.922617774244225,0,0.939865210923007,0,0.923065366826219,0.931524209739608,0.939624765346478,0.939168300074406,0.931752742807333,0,0,0.92347126418232,0.93203662816777,0,0.921955740420401,0,0.939415637745388,0.931397247861784,0.923436571759609,0.931188816653625,0,0.930945299053124,0.930539584277183,0.923287570490442,0,0,0.931358318341813,0,0.915512638977783,0.931468392526057,0.931425980120354,0.931320518495683,0.921530134316222,0.93094912957659,0.939072866287249,0,0,0.931502358820914,0.939541997820376,0,0.931391492519313,0,0.939224859986123,0.931905040224577,0.921313388019486,0,0.922891601447261,0,0,0.939168300074406,0.939422322965495,0.924023721424096,0.939325962181386,0,0.931220844068828,0.931328951344969,0.931571033713438,0.922665871077237,0.912838996451722,0.939974091001027,0.931653765874991,0,0.931388382885337,0,0,0,0.932233663991911,0.922901621105373,0.930940098406658,0.931121363975686,0.931714223096648,0.931580690951292,0.932090662998179,0.931997942855658,0,0.922311068593713,0.921959854855521,0.930945299053124,0.930717723020003,0.93115497881977,0.931346181639871,0.931965270983057,0.932228778460356,0,0.930941825310137,0,0.932295761350468,0.923149734789542,0,0.921837562967428,0.921820867544146,0.921736237990231,0.930945299053124,0,0,0.931235608205002,0.931719062200566,0.931344993834668,0.922602369580687,0.941024958647696,0.931464170884111,0.931338486470699,0.93152194656524,0.940364566068527,0.931448615636953,0.931709582657852,0.931564163648465,0.939468473771366,0.939468473771366,0.939468473771366,0.939468473771366,0.939468473771366,0,0,0.922986102367974,0.930631913619947
"Aspirin ADME",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.696061812778101,0,0,0,0,0.694543592585573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693734789710476,0.659622894136082,0,0,0,-0.026578338843171,0,0.659766868299856,0.660134294248509,0.660785704295228,0,0,-0.026578338843171,0,0,0,0,0,0,0,0,0,0.660161202501727,0,0,0,0,0,0,0,0.695611837876025,0,0,0,0,0,0,0.700880299160801,0,0.659229552209122,0,0,0,0.697772741604,0,0,0,0,0,0,0,0,0.69425179359616,0,0,-0.026578338843171,0,0,0,0.694869683012186,0,0,0,0,0.695204169065318,0,0,0.656977751783268,0,0,0.660210592931279,0.693705761305442,0,0,0,0.692844689344405,0.662117365483604,0.659766868299856,0,0,0,0,0,0.655374520987813,0,0,0,0.659061986083648,0,0,0,0,0.658528566852967,0,0,0,0,0,0,0,0,0,0,0.661338813531493,0.660210592931279,0.661103655888665,0.661257720916761,0,0,0,0,0,0,0,0.697026504756269,0,0,0,0,0,0,0,0,0,0,0,0.693159789436953,0,0,0,0.659568528885113,0,0,0.658652307884323,0.694788767099983,0.692522429489772,0,0.692223232358007,0.696302874685948,0,0,0,0,0,0,0,0,0,0
"Elastic fibre formation",0.661589070794227,0,0,0,0,0,0,0.674417852469931,0,0,0,0.667030192433967,0,0.61680274176734,0,0,0.621933341831036,0.614665139236389,0.620940876541762,0.614409967263916,0.668939571132363,0,0.719299849065583,0,0,0.661848031956677,0,0.667349174519503,0.663434723372392,0,0.661701342572519,0,0.669437920846388,0.670516097113289,0,0.670516097113289,0,0,0.662493182326906,0.580763916451188,0,0.663619811583239,0.662108576275971,0.674856530525217,0.66824514839791,0.671192025839623,0.574150187928061,0,0.662687207871466,0.663666861824342,0.661257323636529,0,0.616441118031996,0.66573722673741,0,0.663063721791533,0.664946867201336,0.666943104857354,0,0,0,0.661624836550794,0,0.665905057438525,0.661577899980748,0,0.620167397995202,0,0.669056152474607,0,0.709824558629095,0.617991108263471,0,0.673023556369823,0,0,0,0.665914803026376,0,0,0,0,0,0.619006443755444,0,0,0,0.663705041914987,0.663562176675508,0,0,0,0.573605258377283,0,0,0,0,0,0.618273384545751,0,0.66279148629259,0.673700315774537,0.665914803026376,0.664870497063437,0,0,0,0.669224864391186,0,0,0,0,0.66470403958553,0.671020537244495,0.662454851042026,0.660614279480059,0,0,0.711446821566493,0.571689811776468,0,0.665970348367604,0,0.716967978861594,0.668030856123044,0.663063721791533,0.668043624746281,0,0,0,0.663562176675508,0.662571317738588,0,0.662031675050777,0,0.126071224147205,0.669422479566973,0.670215301958726,0,0.663574091527551,0.670641278034043,0,0,0.617172727453259,0,0,0,0,0,0.665885678202795,0.669604167192166,0.667400914108987,0.665051592779958,0.670434978626506,0,0,0,0,0.665914803026376,0.615339891052131,0.709062735124965,0.663672766628059,0.667205329945346,0,0,0.665895349261865,0,0.675414910250048,0.613268069759324,0,0,0.672648710593276,0.669464081085729,0.665914803026376,0,0,0.668098981176006,0.66805909469449,0.710565541231024,0.666124305753806,0.621278867759516,0.667070322398643,0.669113801324072,0.663782462528671,0.617580516508743,0.66337179236231,0.665773416160794,0.665397714115186,0.614409967263916,0.614409967263916,0.614409967263916,0.614409967263916,0.614409967263916,0,0,0,0.666096977963443
"Transport of small molecules",0.891939639445557,0.883288659349855,0,0,0,0.883275415125864,0,0.887464391503785,0.88815888645547,0,0,0.888187575145916,0,0.888157088068904,0,0,0,0.888165800346649,0.883684614961219,0.892057128844145,0.887617475444336,0,0.892340845168129,0.883056509001745,0.88821675794458,0.88728283129283,0.888191375288817,0,0.891912465426271,0,0.887522546211313,0.882917744377644,0.888001562610451,0.888032106190754,0.88267206622392,0.888032106190754,0,0.888303908717171,0.891823305354753,0.8883868527124,0.888255168411381,0.883004264647611,0.891988834481853,0.888078772073068,0.88759986338242,0.887085077581252,0.887952650562703,0.888106083067099,0.887966934902769,0.892319707955244,0.887514786660904,0.883590371885784,0.888122843785811,0.887332497400425,0.888144621989201,0.883391361801182,0.887875371331917,0.887977378568823,0.887806251915091,0.888150105896135,0.883805038120149,0.892433348801731,0.883041277767126,0.886952499098271,0.887257250903734,0.88738163140557,0.883611369718371,0,0.88794453559158,0.879003774748531,0.892131698490061,0.888230663474322,0.883395301294214,0.888026852339063,0.883591927637716,0.887918523388135,0.882981134844958,0.88695342196543,0.887904527852071,0,0.883343951022134,0.88329931582548,0.882615959486522,0.892435188583459,0.892434500899812,0.8883868527124,0.887522377006814,0.892307675744801,0.891924534730817,0.888026852339063,0.883863226533836,0.883663311533375,0.887661711258779,0.887659035655271,0.879344995153026,0.88805795104728,0,0.892029108899869,0.888030410831115,0,0.888084418773342,0.883446517721611,0.88695342196543,0.887250421658652,0.883951304378495,0.892584482604239,0.883462585228829,0.892383229459645,0,0.888352055637259,0.887814534391764,0.882464068085269,0.887774995349051,0.88714267969959,0.887340294568921,0.892772563036857,0.883792441487492,0,0.887990350929509,0.887566453606868,0.883318900672067,0.888183494219924,0,0.892120026633288,0.888046096928016,0.883391361801182,0,0.883223159140292,0.879053088982611,0,0.891924534730817,0.892032654198581,0,0.891981552251544,0,0.888008720851203,0.887663204890517,0.888078038438851,0.882818364613775,0.891925663018389,0.89237633232807,0.887782272210292,0.882793163970422,0.888051434711143,0,0,0.882948009244667,0.888245878990238,0.882771029679254,0.886950663964209,0.887793921275139,0.887944902994661,0.887874088371442,0.883874552039496,0.888438112211722,0.882689204729371,0.883379706498615,0.892346088253508,0.88695342196543,0.887465196456423,0.887868863962008,0.887768312694094,0.887885947650024,0.883947797282345,0,0.886951579773798,0,0.888253303733834,0.887856656361229,0,0.882614045542281,0.887296861031266,0.886995289691374,0.88695342196543,0.883386294749409,0,0.887615256231082,0.887870993434627,0.887872610079918,0.883778697009383,0.892882562224013,0.887912044343116,0.892372712243158,0.88775390694705,0.892532343544119,0.887715018168299,0.888208069185591,0.888032986151254,0.892057128844145,0.892057128844145,0.892057128844145,0.892057128844145,0.892057128844145,0,0,0.882676766965926,0.887335683343553
