"","PNISR","USP45","CCNC","CD109","MCHR2","SIM1","ASCC3","COL12A1","GRIK2","HACE1","LIN28B","PREP","COX7A2","PRDM1","ATG5","RPS6KA2","QRSL1","BEND3","PDSS2","SEC63","MYO6","OSTM1","NR2E1","SNX3","FOXO3","HTR1B","SESN1","PHIP","ELOVL4","SMPD2","TTK","MICAL1","BCKDHB","ZBTB24","AK9","IBTK","FIG4","WASF1","TPBG","UBE3D","CDC40","DDO","SLC22A16","DOPEY1","CDK19","PGM3","AMD1","GTF3C6","RPF2","ME1","REV3L","SNAP91","FYN","CYB5R4","TUBE1","LAMA4","NT5E","KHDRBS2","PTP4A1","RFPL4B","HDAC2","HS3ST5","COL10A1","DSE","SYNCRIP","TRAPPC3L","RWDD1","HTR1E","CGA","KPNA5","GPRC6A","RARS2","COL9A1","ORC3","GOPC","NUS1","CNR1","PLN","RNGTT","MCM9","ASF1A","SRSF12","GABRR1","MAN1A1","SMAP1","GABRR2","UBE2J1","RRAGD","B3GAT2","GJA1","HSF2","FABP7","MDN1","CLVS2","RIMS1","RNF217","TPD52L1","MAP3K7","EPHA7","HEY2","NCOA7","FUT9","UFL1","KCNQ5","TRMT11","FHL5","NDUFAF4","KLHL32","CENPW","RSPO3","RNF146","FBXL4","ECHDC1","COQ3","EEF1A1","PTPRK"
"Azathioprine ADME",0,0,0,0,-0.0320224639407358,0,0.634896823735368,0,0,-0.0320224639407358,-0.0320224639407358,0,0,0,0,0.634465787480623,0,0,0,0,-0.0320224639407358,0,0,0,0.633761316811412,-0.0320224639407358,0.637569686294636,0,0,-0.0320224639407358,0,0,0,0,0.867272536430134,-0.0320224639407358,0,-0.0320224639407358,0,-0.0320224639407358,0.672092233753166,0,0,0,0,0,0,-0.0320224639407358,0,-0.0320224639407358,-0.0320224639407358,-0.0320224639407358,-0.0320224639407358,0,0,-0.0320224639407358,0.908776425247559,0,-0.0320224639407358,0,-0.0320224639407358,-0.0320224639407358,0,0,0,0,0,-0.0320224639407358,-0.0320224639407358,0,-0.0320224639407358,0,-0.0320224639407358,-0.0320224639407358,-0.0320224639407358,0,-0.0320224639407358,0,-0.0320224639407358,0,0,0,0,0,0,-0.0320224639407358,-0.0320224639407358,0.635247129438024,-0.0320224639407358,-0.0320224639407358,0.639045067398413,-0.0320224639407358,0,0,0,-0.0320224639407358,0.675751167963388,-0.0320224639407358,-0.0320224639407358,0,0,0,-0.0320224639407358,0,0,0,0,0,-0.0320224639407358,0,-0.0320224639407358,-0.0320224639407358,0.678188439879826,0,0,-0.0320224639407358
"Signal amplification",0,0,0.859675871830517,0.899797211471563,0.925292430779709,0,0,0,0.89765860340317,0.857736323071926,0.864158114967351,0,0,0.864158114967351,0,0.89724298660194,0,0,0.860892169220274,0,0.898029883901365,0,0,0.859842336602513,0.89659827523582,0.926014298865384,0.862543286928318,0,0,0.898222133183185,0,0,0.896249155131738,0,0.89329114105936,0.899685353696855,0,0.897434774909871,0,0.857742904050445,0.857037707481996,0,0,0,0.859978114801566,0,0,0,0,0.860288139415056,0,0.896572591539255,0.895033465013343,0,0,0.898029883901365,0.894048377271704,0,0.89958138970135,0,0.895608261345157,0,0,0,0.861407514344937,0,0,0.926014298865384,0.926785300290595,0,0.926420891597034,0,0.896965276302173,0.86011155993047,0.860019411366783,0.861074057570858,0.92602234469972,0.895403050205654,0,0,0.860888119318976,0,0,0,0,0.900388728880288,0.857723236705457,0.895151730700023,0,0.898029883901365,0.899528023636329,0,0,0,0.898067799134288,0.857742904050445,0.897182118002677,0.926850254310719,0.896834280135613,0.861977205111352,0.900050336479653,0,0.85772976735635,0.898813544686114,0,0,0,0,0.860522834350029,0,0,0.857742904050445,0,0,0.831284216902443,0.900357012516179
"G beta:gamma signalling through CDC42",0,0.879598708027837,0,0,0.915382457739425,0,0,0,0.874690305911373,0.871133761381485,0,0,0,0,0,0.875402662217039,0,0,0.820546995531011,0,0.875237034462485,0,0,0.819001066055015,0.873898052237901,0.91644544352644,0,0,0,0.875520130859451,0.878212248932665,0,0,0,0.872733472108916,0.876731626287976,0,0.919170787679324,0,0.871143452191717,0.871048183807961,0,0,0,0,0,0,0,0,0,0.876220488298822,0.873091100739705,0.91563474232577,0,0,0.875237034462485,0.869374072735509,0,0.87675257103591,0,0.871671077731819,0.87707037906596,0,0,0,0,0,0.91644544352644,0.91758078054027,0,0.917044171054953,0,0.873669348109332,0.874631412921334,0.876609534977705,0.820814834953935,0.91645729140795,0.875843360813693,0,0,0,0,0,0,0,0.880034920378684,0.871114491071805,0.875581210332462,0.876007765454467,0.875237034462485,0.880590161584616,0,0,0,0,0.871143452191717,0.874757789044855,0.872866348400696,0.875237034462485,0,0.881359292593241,0,0.871124107772164,0.872706514477414,0,0.880590161584616,0,0,0.875237034462485,0.877839510074584,0.874672780607901,0.871143452191717,0,0,0.873315353598309,0.878663844278842
"ADP signalling through P2Y purinoceptor 1",0,0,0.833371440609072,0.836710250034072,0.917172846703189,0,0,0,0.88188063347224,0.830894369032004,0.83909588400168,0,0,0.83909588400168,0,0.88249845851974,0,0,0.834927383274353,0,0.834453128694835,0,0,0.83358660206088,0.877514976042782,0.918094771923938,0.837033525620834,0,0,0.882600338813352,0,0,0.8800805734134,0,0.876504938274066,0.884469073450386,0,0.881594773580122,0,0.830902773850273,0.830002140459017,0,0,0,0.833757446616726,0,0,0,0,0.834153390856264,0,0.880493646365808,0.87852796927006,0,0,0.834453128694835,0.877269876203348,0,0.883187671981885,0,0.879262063553502,0,0,0,0.835582987204695,0,0,0.918094771923938,0.919079447203593,0,0.918614046984465,0,0.83309347778995,0.833927874472402,0.833812750985286,0.835159679813141,0.918105047565352,0.879202137865704,0,0,0.834919648038626,0,0,0,0,0.886516005772399,0.830877655935062,0.878871027937414,0,0.878474115090224,0.884892105422175,0,0,0,0,0.830902773850273,0.831539670213804,0.879631653537813,0.881687744313004,0.836310560976151,0.88555917104391,0,0.830885996478003,0.883355652964527,0,0,0,0,0.834453128694835,0,0,0.830902773850273,0,0,0,0.885326874505124
"Drug ADME",0,0,0.92275165227768,0.923841168846807,0.92144477831663,0.925315269380826,0.908021501146178,0.909287664913769,0,0.905361300242241,0.92470809353718,0,0,0.924936076349769,0,0.909288292808162,0,0,0,0,0.923349323295,0,0.911470849469119,0.909223369673387,0.922724444595826,0.921759864416071,0.924231224759591,0,0.924250581822079,0.908396855327754,0,0,0.909084064209429,0,0.935889656210225,0.906778302023508,0,0.92269700065918,0,0.905364172754399,0.921699078052491,0.922781789001652,0,0,0.922883577432319,0,0,0.923118969236491,0,0.923246881986004,0.923640834843938,0.922713233993874,0.9220414251368,0.911641979357467,0,0.90946718088799,0.936151088811294,0,0.920537217788881,0,0.922292316314507,0.910238596554617,0.909287664913769,0,0,0,0,0.921759864416071,0.922096396583865,0,0.905687455645216,0,0.90900249341597,0.923169807320779,0.90663174487582,0,0.92176337631888,0.908786690041348,0.922948080146272,0,0.923508765467793,0,0,0,0,0.895219893894004,0.905355588212235,0.908139128914868,0.909923620773993,0.923349323295,0.910374317738537,0.909999492829927,0,0,0.908927763968831,0.905364172754399,0.923207267238221,0.921786398044573,0.922827457687553,0.923756154542514,0,0,0.905358438757033,0,0,0,0.908457515277364,0,0.923349323295,0,0.909148212555145,0.905364172754399,0.923518116223904,0,0,0.90759333803388
"Regulation of insulin secretion",0,0.856679106467842,0.890437993986771,0.891665949057765,0.889164179005304,0.876959314447981,0,0,0.875577627622377,0.854023992259528,0.876195803657528,0.87595152596593,0,0.875909120089214,0.853504654795705,0.873605995845193,0,0,0.855168724503782,0,0.890902869090695,0,0.876959314447981,0.87372854933748,0.890403780901886,0.889560393115866,0.875022784111918,0,0,0.874306015723551,0.875022784111918,0.857812168661484,0.83775253381747,0,0.872362465356984,0.874452903408228,0.855450134640705,0.873587172229975,0,0.854027604382854,0.872145513193243,0,0,0,0.890603887080432,0,0.838903665959754,0.854521588817397,0,0.874071677446969,0.855419919052955,0.873113942807441,0.906247272230891,0,0,0.873993536298388,0.873596070930799,0,0.874047382058839,0,0.873158014858546,0.875170534124459,0,0,0,0,0,0.889560393115866,0.889983575204109,0,0.889783561005857,0,0.8734092016237,0.873481115186642,0.873825740945781,0.855268558161037,0.889564809259423,0.891128869342898,0.873858532922504,0,0.874114306821982,0,0,0.874136983202626,0.875410674411242,0.875495202230211,0.85401680950252,0.873423922698312,0.874774458737477,0.874200495227889,0.875191110396808,0.875577627622377,0,0.856089851167678,0.891210363317614,0.854027604382854,0.873545881126453,0.890305910299096,0.874200495227889,0.874998760491391,0.875477793965121,0,0.854020394002357,0.874630625700441,0,0.875290944054063,0,0,0,0.856023388337963,0.854843031164464,0.854027604382854,0,0,0.872990571210902,0.874821558993619
"RA biosynthesis pathway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.860186164985179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.860212634001933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.896757664489375,0,0,0
"G beta:gamma signalling through BTK",0,0,0,0,0.915121578029375,0,0,0,0.872475735966475,0.868748436487397,0,0,0,0,0,0.872416235426279,0,0,0.815739115931469,0,0,0,0,0.814118964100908,0.871645445025475,0.916235599332051,0,0,0,0.873345402034397,0,0,0,0,0.86597993909198,0.875603513807295,0,0.872130313146668,0,0.868758592567723,0,0,0,0,0,0,0,0,0,0,0,0.870799750595505,0.915385975170859,0,0,0,0.866904262593786,0,0.874637013481719,0,0.869311550188314,0,0,0,0,0,0,0.916235599332051,0.917425445550666,0,0.916863072652399,0,0,0,0.814392234333348,0.816019814720182,0.916248016047828,0.869239138140915,0,0,0,0,0,0,0,0.87807695325828,0.868728240981723,0.868964401428378,0,0.868603701167185,0.878658852413553,0,0,0,0,0.868758592567723,0.81164552522382,0.870564207565164,0.873048713761814,0,0.879464910536459,0,0.868738319394053,0.870396699779452,0,0,0,0,0,0,0,0.868758592567723,0,0,0,0.875833991649486
"Transport of inorganic cations/anions and amino acids/oligopeptides",0,0,0,0,0.925747705013638,0,0,0,0.927678588020122,0,0,0,0,0,0,0.926961738244785,0,0,0,0,0.926740815203271,0,0,0,0.92657983938321,0.925832607782076,0,0,0,0,0,0,0.939256474338045,0,0.926111328816966,0.927107811407105,0,0.926449420052479,0,0,0.926060195313648,0,0,0,0,0,0.940040349901469,0,0,0,0,0.938362677763348,0.925799754073496,0,0,0.926620010325741,0.926077472182386,0,0,0,0.938197468893958,0,0,0,0,0,0,0.925832607782076,0.926120778084744,0,0.926169479714233,0,0.926222101471037,0,0,0,0.92583561500157,0.937410967946197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.950685626017771,0,0.938785715211698,0.926070123037142,0.926736464153325,0,0,0,0,0.926854031434094,0,0,0.938719964569684,0,0,0,0,0,0,0,0.926204530833561,0.927752423227234
"Integration of energy metabolism",0,0.881883508516125,0.9080631336088,0.90796935194317,0.906079902374715,0.897883426959549,0,0.879330165769683,0.896839914757533,0.894379229922644,0.897090272818138,0.897122299648652,0,0.896366138755497,0.89555837317586,0.895846467768112,0,0,0.881426190721554,0,0.908414228252223,0,0.897666910599901,0.895292109724847,0.907016105630586,0.906379141139477,0.909251774260677,0,0,0.89587953610438,0.896141770030379,0.883422638963506,0.895597706773275,0,0.907709455982135,0.895889117684335,0.881638724347993,0.895336633079624,0,0.89438195796108,0.894620648235779,0.89614841978141,0,0,0.908188423554581,0,0.86914208498741,0.895190774907816,0.879369468760842,0.908533455614293,0.896076692169503,0.894979228878024,0.918981824792099,0,0,0.895643537550298,0.895343353779801,0.883206098076122,0.895684204296928,0,0.895012514078579,0.896532459388801,0.879330165769683,0,0.89648107385283,0,0,0.906379141139477,0.906698747337186,0,0.906547687594424,0,0.895202221651646,0.89562935509418,0.895365513210584,0.881501589601811,0.90638247641025,0.90756372512128,0.895541576912448,0,0.895010614833585,0,0,0.895751875121549,0.896612469539371,0.896777663384149,0.894373805180625,0.907489927722347,0.896233325394343,0.895799842267293,0.896481073852829,0.896623398397886,0,0.882121867119101,0.908646461759769,0.89438195796108,0.895305448176097,0.906942189337587,0.895799842267293,0.89640272819446,0.896697590212476,0,0.894376512356555,0.89612469619819,0,0.896623398397885,0,0,0.879670208648826,0.88138828061286,0.895375491354093,0.89438195796108,0.882544998174488,0,0.894886053084504,0.895878598615589
