"","GRM1","IL22RA2","PCMT1","IFNGR1","RAB32","PDE7B","TNFAIP3","RAET1E","HIVEP2","RAET1G","TFB1M","ULBP2","PERP","ULBP1","STXBP5","CLDN20","NOX3","RAET1L","ULBP3","BCLAF1","PPP1R14C","ARID1B","MYCT1","VIP","FBXO5","ADAT2","MTRF1L","PEX3","SNX9","MTHFD1L","UST","MAP7","OPRM1","REPS1","FUCA2","SYNJ2","MAP3K5","SUMO4","IPCEF1","PHACTR2","PPIL4","ZBTB2","PEX7","HECA","SCAF8","KATNA1","IL20RA","CITED2","NMBR","TMEM181","LTV1","VTA1","DYNLT1","LATS1","ESR1","EZR","NUP43","PLAGL1","TAGAP","SF3B5","STX11","UTRN","SOD2","WTAP","ACAT2","TCP1","MRPL18","IGF2R","SYNE1","LPA","PLG","MAP3K4","EPM2A","AGPAT4","PACRG","FBXO30","QKI","PDE10A","MPC1","RPS6KA2","RNASET2","FGFR1OP","CCR6","KIF25","FRMD1","AHI1","THBS2","PHF10","TCTE3","DLL1","PSMB1","TBP"
"Neuronal System",0.939898123029561,0.936331069727208,0.936835578990819,0.940811664176606,0,0.940984681074497,0.935705006810011,0.931668800978471,0.931535151348922,0.931722163284749,0.93201974553403,0.931722163284749,0.936912313850602,0.931668800978471,0.9368601805054,0.936562624809795,0.936066800220433,0.931722163284749,0.931668800978471,0,0.932424589257943,0.931757937045319,0.93182156649756,0.940739272335745,0.936466789675732,0,0.931481738070218,0.931922103209531,0.940675216085875,0.93666878109026,0.932207650721198,0,0.940593279171434,0.940031861839903,0,0.940661197518407,0.940901422661188,0.93183503920679,0.937106170338358,0.932208230789828,0.936978243476313,0,0,0,0.936951552601574,0.93695572658107,0.936334663551741,0.936703334088273,0.939973084179525,0.936645062165886,0.936305141074847,0.93636050064777,0.936650427987699,0.936751908537716,0.940725647914956,0.940874513981023,0.936508720470019,0.937035259018181,0.936465151620673,0.936251397928678,0.941224623888849,0.936431247862135,0.93645700953521,0.936729507195826,0.936690374027618,0.940755890344751,0.931466366830059,0.94064940056179,0.936546922921849,0.936838395337329,0.936286222371904,0.93678234892612,0.936727193644609,0.936566082932829,0,0.936177723660412,0.931704467351204,0.940889492972221,0,0.940946542805729,0,0.940695539201041,0.940578621290214,0.936522220053802,0.931600686042051,0.940086032906452,0.936357035366706,0.931531626855062,0.936262596016077,0.936665659989413,0.936252670262704,0.93631175214015
"Transmission across Chemical Synapses",0.932202728899507,0.925521137403336,0.926306967942046,0.932500172683507,0,0.932769666173287,0.925667633282364,0.918259123746315,0.918050949252877,0.918342241605419,0.918805759792556,0.918342241605419,0.926426491210597,0.918259123746315,0.926345287598095,0.925827913617697,0.925652543160744,0.918342241605419,0.918259123746315,0,0.919436349921625,0.918397963304835,0.918497073411109,0.932387414160712,0.925732536653964,0,0.917967751998424,0.918653670770617,0.932285164244328,0.926047161247686,0.919098443485622,0,0.932160013208473,0.932369137980629,0,0.932263328731644,0.932639981728417,0.918518058687528,0.926728444730965,0.917926755460386,0.918917224732903,0,0,0,0.926487610026523,0.926494111474152,0.925526735193649,0.926100981470627,0.932280060116089,0.926010216326232,0.9254807505793,0.925608488063172,0.926018574203777,0.926176641698352,0.932366192576292,0.932598068399654,0.925756339978542,0.926617992287464,0.92572998519697,0.925397039518768,0.933143404387155,0.925467727001143,0.925717302973139,0.926141749061416,0.926080794702651,0.932413298599138,0.917943809544229,0.932244953630446,0.925857353295614,0.926372473537868,0.92545128254849,0.926224056064237,0.926138145442354,0.925887197191129,0,0.925282283469481,0.918314678176968,0.932621399881494,0,0.932710261483515,0,0.932319294831131,0.93213718189193,0.925818875770014,0.918153026988451,0.932455990600086,0.925561581839039,0.918045459452969,0.925613505912691,0.926042299778263,0.925399021323673,0.925491048065161
"Neurotransmitter receptors and postsynaptic signal transmission",0.922040860646443,0.913620987354715,0.914611259443109,0.922415687358631,0,0.922755292232438,0.913805595578653,0.904469689363819,0.904207356226824,0.90457443115211,0.905158538158105,0.90457443115211,0.904837025537207,0.904469689363819,0.914882178597544,0.914007574420882,0.91378657961336,0.90457443115211,0.904469689363819,0,0.905953182516237,0.904644649400107,0.904769543976081,0.922273593596232,0.913887384201226,0,0.904102514387705,0,0.913787303573887,0,0.905527366394848,0,0.921987032047929,0.913529739635818,0,0.92235793896606,0.922591869102733,0.904823674442561,0.91514238756732,0.904050852196759,0,0,0,0,0.914838897343947,0.914847090207172,0.913628041465278,0.913951644415158,0.922138310340199,0.914247471253712,0.913570093500874,0.905314070999055,0.91424783723513,0.914447027544299,0.922246851007739,0.922719145053818,0.914037521710796,0.905078347504192,0.913884168957581,0.913609694563447,0.904569575308059,0.913587318508343,0.913868187328387,0.914548147623894,0.903856240641706,0.922306212126099,0.904072343068382,0.913736631773005,0.914044673120788,0.90546138071216,0.91353295907179,0.914506777224175,0.914398516108379,0.914082281199479,0,0.913319993218895,0.90349533908871,0.922568453005429,0,0.922663712022331,0,0.922187752352553,0.921958260939656,0.913996185288164,0.904335990490072,0.922360010871317,0.913671953808467,0.904200438201434,0.913737386440974,0.914277735251352,0.913467101574923,0.91358306997904
"Cardiac conduction",0.934671312459163,0.923214568177218,0,0.934562501866566,0,0.923751700959923,0.923433459898746,0,0.912326317306102,0,0,0,0.924933714017187,0,0,0.911352765378997,0.924352344002715,0,0,0,0,0.912209432294017,0.912871991054105,0.923311065948086,0.910861691944564,0,0,0,0.91045089971469,0.912501419770209,0,0,0.923208378226993,0.910589423181037,0,0.923025242240872,0.934793131517942,0,0.912994771890217,0,0,0,0,0,0.92517854417266,0.912151836544626,0.923223802318179,0.923406891006405,0.922699214373098,0.911983535669315,0.910364133324008,0.912033950399066,0.911367388049514,0.922659718627674,0.923875533967084,0.923658562161361,0.922099801667861,0.925249615085136,0.924263546345135,0.922845140328818,0.911736805785071,0.923830924004334,0.911824622595204,0.924073616657425,0.910385257061842,0.922919005195039,0,0.910384568098826,0.922252625346728,0,0.922596045501766,0.924644150515644,0.912094858143112,0,0,0.910118952195252,0,0.934762478816747,0,0.923373871026674,0,0.922763936141692,0.922571240337478,0,0.911793605981604,0.922476532974432,0.910255300754056,0.91165442173732,0.911233579167724,0.91202416556105,0.922603579367943,0.926803009088099
"Interaction between L1 and Ankyrins",0.918790479131971,0,0.921493071082078,0.919907344489737,0,0,0,0,0,0,0,0,0.925156695692034,0,0,0.892048755041346,0.892669626039054,0,0,0,0,0,0,0.893411969427235,0,0,0,0,0.918401093822177,0,0,0,0.892558106413311,0.918716405024096,0,0,0.920432310508062,0,0,0,0,0,0,0,0,0.922195772362731,0,0,0.893008868001333,0.894982570806971,0,0,0.920410187549136,0,0.919029335371131,0.920072553759214,0.919594667507153,0.925875759025117,0.892467502190458,0.917546251633762,0,0.920292336097111,0,0,0,0.92057075601714,0,0.918250107840707,0,0,0.889892809208914,0,0,0,0,0,0,0,0,0.920616521861381,0,0.920217783261836,0.892472377586924,0.920996953439613,0,0.920731059306289,0.919858293138202,0,0.921874540688855,0,0.919852774441311,0.919766000141674
"Activation of kainate receptors upon glutamate binding",0.927304454376969,0,0,0.897701859211459,0,0.896014373616195,0.89898972203193,0,0,0,0,0,0,0,0,0,0.899180565665514,0,0,0,0,0,0,0.928157301526052,0,0,0,0,0.896807861878601,0,0,0,0.9271072001127,0.897195639230918,0,0.927683172186196,0.898347475134406,0,0.902025081155925,0,0,0,0,0,0,0,0,0,0.92766155763018,0.900008624538398,0,0,0,0,0.928059303625985,0.929130069282137,0.896100271224801,0,0.899847495893155,0.858401258477067,0,0.898636429275406,0.897076660889197,0,0,0.928276831743968,0,0.896622175662015,0.895602237850592,0,0.896127349419579,0.900912944812477,0.86659588398503,0.897756508828842,0,0,0,0.895329703472859,0,0.897907404165608,0,0.896866594070509,0.927001768725832,0.89782483642506,0,0.897497833380481,0,0,0,0,0.896417697383255,0
"Muscle contraction",0.93118162543274,0.921556952070096,0,0.930944641748961,0,0.921817465179301,0.92173803239813,0,0.912549539520653,0,0,0,0.922979132363015,0,0.911314619929624,0.911744159120299,0.921714229747588,0,0,0.912558607456413,0.912752696723728,0.912406606186469,0.913009199534747,0.921729034527808,0.911337913795098,0,0,0,0.921093255073021,0.912648155695978,0,0,0.921609689196867,0.921207849972049,0,0.921400330328444,0.931135432394829,0.911164002202771,0.912877151483876,0.911614096179526,0.912816525395507,0,0,0,0.922905581522593,0.91240519859582,0.921564591103964,0.921716053020806,0.921057069730007,0.912762433410081,0.910926303535938,0.912253475108513,0.911756255868205,0.921097947326837,0.922093590366829,0.921205215013361,0.921046811892848,0.923240464626342,0.92199151937572,0.921425466958184,0.912036723494323,0.931158111736263,0.912519592288204,0.92199151937572,0.91168483273737,0.921312444688116,0,0.92103838159185,0.920761175409018,0.911944811096564,0.92109998843089,0.922582466909455,0.912296526742357,0,0,0.910723475037384,0,0.931202328374815,0,0.921688736918033,0,0.921184162289623,0.92093564156399,0,0.912775964542297,0.920946405194733,0.921190056952626,0.911948529359152,0.911645561155589,0.912244472894016,0.921140616800122,0.921432187614941
"Protein-protein interactions at synapses",0.919446929984838,0,0.905562638483004,0.903734034076745,0,0,0.904349863351022,0,0,0,0,0,0,0,0.905720743844934,0.904369585972022,0.889612538265525,0,0,0,0,0,0,0.903485045704547,0.903856428309985,0,0,0,0.918148772027533,0,0,0,0.903166446173402,0.918741895508963,0,0.918508252215177,0.903375993832828,0,0.905801309092592,0.889392850112629,0,0,0,0,0,0,0,0,0.902984786241262,0.8899968246114,0.904065950810246,0.904596801123619,0.889402810510301,0.904837081384763,0.903621722314853,0.904133740230478,0.903405964402019,0,0.888517772065832,0.902971406691915,0.905493810904179,0.904618702550003,0,0,0,0.903398010859696,0,0.91846767713116,0,0.905984846265001,0.903856689096237,0,0.905198817851204,0,0,0.902862199184755,0,0,0,0.904321733267933,0,0.903772404083663,0.903116031072174,0.904230615691611,0,0.904074249621849,0.888692250849163,0,0.903521188052407,0.90454043351131,0.903119974540165,0.902924752906274
"Phase 0 - rapid depolarisation",0.934199765661437,0.905706323340939,0,0.935487449044652,0,0.906240102571436,0.907655073659121,0,0,0,0,0,0.911358959112342,0,0,0,0.908692262967429,0,0,0,0,0,0,0.904585270326587,0,0,0,0,0.870909569042051,0,0,0,0.903600813957762,0.871273105248478,0,0.904140780258929,0.936092705545671,0,0,0,0,0,0,0,0,0,0.905730557101927,0.906643322153553,0.904353846595609,0,0,0,0,0,0.905867697009697,0.906871525836431,0.902459252935196,0.912187998977401,0.908459225458135,0,0.87435080553606,0.907323866311149,0,0,0,0.906071626781073,0,0.870735490637625,0.869841728651422,0,0.904455614152898,0.909458069913487,0.877328851853792,0,0,0,0,0.905598233248549,0,0.906357721944393,0,0.904523700172397,0.903735303109516,0,0,0.905115478786398,0,0,0,0,0.905243834121715,0.905143788200374
"Presynaptic function of Kainate receptors",0.920530187323939,0,0,0.879723117124956,0,0.877396924344876,0.881498431357636,0,0,0,0,0,0,0,0,0,0.881761508615193,0,0,0,0,0,0,0.921705834029475,0,0,0,0,0.878490745040155,0,0,0,0.920258273035207,0.879025294715584,0,0.921052248452037,0.880613096335968,0,0.885682662914345,0,0,0,0,0,0,0,0,0,0.92102245286487,0.882902984771787,0,0,0,0,0.921570744279235,0.923046790857345,0.87751533388717,0,0.882680869518013,0,0,0.881011418572587,0.878861283502528,0,0,0.921870606001869,0,0.878234777263248,0.876828796684971,0,0.87755266108058,0.884149586993664,0,0.879798451424548,0,0,0,0.876453109032534,0,0.880535561537364,0,0.878571707153941,0.920112936250339,0.879892640768415,0,0.879441868256046,0,0,0,0,0.877952904696709,0
