"","PNISR","USP45","CCNC","CD109","MCHR2","SIM1","ASCC3","LATS1","COL12A1","GRIK2","HACE1","LIN28B","PREP","COX7A2","PRDM1","ATG5","QRSL1","BEND3","PDSS2","SEC63","MYO6","OSTM1","NR2E1","SNX3","FOXO3","HTR1B","SESN1","PHIP","ELOVL4","SMPD2","TTK","MICAL1","BCKDHB","ZBTB24","AK9","IBTK","FIG4","WASF1","TPBG","UBE3D","CDC40","DDO","SLC22A16","DOPEY1","CDK19","PGM3","AMD1","GTF3C6","RPF2","ME1","REV3L","SNAP91","FYN","CYB5R4","TUBE1","LAMA4","NT5E","KHDRBS2","PTP4A1","RFPL4B","HDAC2","HS3ST5","COL10A1","DSE","SYNCRIP","TRAPPC3L","RWDD1","HTR1E","CGA","KPNA5","GPRC6A","RARS2","COL9A1","ORC3","GOPC","NUS1","CNR1","PLN","RNGTT","MCM9","ASF1A","SRSF12","GABRR1","MAN1A1","SMAP1","GABRR2","UBE2J1","RRAGD","B3GAT2","GJA1","HSF2","FABP7","MDN1","CLVS2","RIMS1","RNF217","MAP3K7","EPHA7","FUT9","UFL1","KCNQ5","FHL5","NDUFAF4","KLHL32","FBXL4","COQ3","EEF1A1"
"Drug ADME",0,0,0.874091616909043,0.858614000941911,0.857058718288837,0.86045087029248,0.840241079824481,0.837796651129581,0.840478952007956,0,0.836701759472925,0.841436974090885,0,0,0.859978359740708,0,0,0,0,0,0.858001114643806,0,0.860245784941995,0.824025153009949,0.857222456401814,0.837763200432951,0.859100047676626,0,0.859124168416004,0.857368741365071,0,0,0.858225068937754,0,0.873627561175999,0.85825123779749,0,0.894077866767876,0,0.83670533889605,0.856279724296183,0.875293735736743,0,0,0.874256008188696,0,0,0.839456774196225,0,0.857873463037701,0.858364365736404,0.857574692816785,0.892976869117112,0.842072763341855,0,0.861041085190397,0.888908133699459,0,0.85819469132364,0,0.856683983497728,0.841663903200395,0.840478952007956,0,0,0,0,0.837763200432951,0.856600969434778,0,0.856241645405697,0,0.860462040440565,0.857777420680353,0.858141859149414,0,0.837767576597591,0.839854689708797,0.839243830150059,0,0.858199794743048,0,0,0,0,0.83998951494415,0.836694641740717,0.840387655202548,0.841271413445287,0.877340888791649,0.841833024693271,0.859365779992951,0,0,0.857522544954655,0.83670533889605,0.875902826874087,0.874552283543961,0,0.836698193790425,0,0,0.857444329426858,0,0.83670533889605,0,0
"Extracellular matrix organization",0,0.870126258514702,0.869485361561148,0.869998397564748,0.868658960022522,0.870572555491831,0.869235398066299,0.870006314215789,0.877498842669951,0.870308381173851,0.869009707083732,0.862177999209354,0,0,0.870180289296069,0.869550216442463,0.86228334557027,0,0,0,0.869307724939254,0,0,0.861463786635118,0.86947007495678,0.868872682086597,0.86978426925088,0,0,0.869335921108179,0,0,0,0,0.860167292092972,0.869650154703869,0.861740396033416,0.869253916476743,0.861776344302987,0.869011321001343,0.860314082596807,0.86987030592717,0.862328939755101,0,0.869559483555664,0,0,0.869856855872824,0.861513096416705,0.869478437774854,0.869563646288958,0.869005783525476,0.875615132097559,0,0,0.876438075327925,0.869069838820307,0,0.877517381735647,0,0.868971100429541,0.869540301202628,0.82445032027426,0.877651283082622,0,0.870096089569727,0,0.868872682086597,0.869061762293203,0.853939829936046,0.868935703485645,0.862223383800579,0.877352316982482,0.869299000023551,0.869502942596299,0,0.868874655245101,0.86979404866938,0.853279132877019,0,0.869378356339039,0,0,0.869885255233434,0,0.869905927117072,0.869006497786324,0.869457180271832,0.876808098976764,0.869564978570716,0.869998397564749,0,0,0.870156185419567,0.869702368771226,0.869011321001343,0.877035209373789,0.869035057178553,0.862104972392495,0.8690080993616,0.860776422755031,0.870584585804652,0.861159388078127,0,0.869011321001343,0,0.869215955576084
"Activation of Matrix Metalloproteinases",0,0,0.915691595656126,0.918062496832117,0.913586877577888,0.920544403735354,0,0,0.914591626477469,0,0.913932617778829,0.890105851696931,0,0,0.889543551715178,0,0,0,0,0,0.91645970644897,0,0,0,0.915635065548286,0.914241540157215,0.888079063243973,0,0,0.915818414419611,0,0,0,0,0,0,0,0,0,0.913938586072008,0,0,0,0,0.915965699979252,0,0,0,0,0.916246861478353,0,0.914664401357147,0.941339500658543,0,0,0.91645970644897,0.914987333411079,0,0.886014629983652,0,0.914263535569189,0.917588811016092,0.914591626477469,0.917207762308324,0,0,0,0.914241540157215,0,0,0.914610279337849,0,0.915020527392991,0,0.917037874965542,0,0.914248836928972,0,0,0,0.886577990793407,0,0,0,0,0.888521486425081,0.913920749745602,0,0.916934377649037,0.91645970644897,0.91867225077953,0,0,0,0,0.913938586072008,0.914525982812174,0.91645970644897,0,0.913926672396628,0,0,0,0,0.913938586072008,0,0
"Glucuronidation",0,0,0.77808287488329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.788033599986074,0,0,0,0,0,0.843395845729592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.778594944703054,0,0,0,0,0.77947498124421,0,0,0,0,0,0,0.837894260879438,0,0,0,0.775415034905472,0,0,0,0,0,0,0,0.777034982399033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.779872608995929,0.786031619026963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peptide hormone metabolism",0,0.71671322384196,0.736262366652987,0,0.756965970225271,0.718933513152103,0,0.714974193085068,0.692569947673455,0.716147677629144,0.71328460968703,0.716231403759244,0,0.716480366113727,0.719784408311247,0,0,0,0,0.715492137094779,0.734096276880189,0,0.718317551785867,0.715221980549032,0.736219675963668,0.733803089793203,0.71687485354795,0,0,0.714816290383734,0,0.718017683738579,0.717526488390687,0,0.733964384681594,0.715259166029256,0,0.734785221583859,0,0.713289116852497,0.711328393944941,0.718178115364288,0,0,0.736469366125425,0,0,0.716595246023334,0.714002908185227,0.735695398300068,0.715142024433774,0.735362073653234,0.733309818407729,0,0,0.738529603095333,0.737775409488683,0,0.715464493266338,0,0.73456795573428,0.739740006346024,0.692569947673455,0.715813070772836,0.715224907478611,0.694334846720624,0,0.733803089793203,0.805404926963809,0,0.756286800599946,0,0.713700181837945,0.714402950456072,0.717133910835914,0,0.73380860020576,0.738811603580974,0.716327109505946,0,0.715223872477683,0,0,0.736560301836257,0.716758197717922,0.73994224243429,0.713275647126393,0.71629791984476,0.739245788085687,0.733583164959442,0.739332155046887,0,0,0.715977957933215,0.759774765604466,0.713289116852497,0.734518393556059,0.738171882673777,0,0.713280119823591,0.715221334936714,0.716919030494573,0.715875412027003,0,0.713289116852497,0,0.71411500369221
"Common Pathway of Fibrin Clot Formation",0,0,0.836040038101623,0.832788057141523,0.914964637543978,0,0,0.832120164182479,0.876534461822136,0,0,0,0,0,0,0,0,0,0,0,0.877095012007292,0,0,0.832085027284837,0.835955080363643,0.915948514171942,0,0,0,0,0,0,0,0,0.87548965990951,0.832635599577081,0,0.829568152890013,0,0,0.826467015701955,0,0.835987669520127,0,0.836451982889158,0,0,0,0,0.833098948093988,0,0.875108782218717,0.873722906825214,0,0,0.832287908745959,0,0,0.832458764012665,0,0.830579066054849,0.837583190209924,0.876534461822136,0,0.833295859117795,0.880046745957176,0,0.915948514171942,0.875524117659599,0,0.875027443539027,0,0.875643995463435,0,0.832326372934305,0,0.915959480314528,0.830905327709995,0,0,0,0,0,0.878163109552629,0,0,0,0.830697823798472,0.836599658059566,0.877095012007292,0.842149151872815,0,0,0,0,0,0.875612647328052,0.830344125167911,0,0,0.831412222713248,0,0.829487699838657,0,0,0,0
"Phase II - Conjugation of compounds",0,0,0.866882748999454,0,0,0,0,0,0,0,0.821326078523135,0,0,0,0,0.847726341183348,0,0,0,0,0,0,0.870788301630112,0,0.845940765679994,0,0,0,0.889966082689853,0,0,0,0.865927391699198,0,0.86692869044959,0,0,0.867397544851384,0,0.821330454663159,-0.0163812384170092,0.866645756073042,0,0,0.867083730898864,0,0.869643799544351,0,0,0.867289887341366,0,0,0.885290035113505,0,0,0,0.887262732900023,0,0,0,0.886638749338604,0,0,0,0,0,0,0,0.86370395385225,0,0,0.846604767282664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.821317376508395,0,0,0.888167144617913,0.867235037013159,0.889491554566721,0,0,0.887748390031738,0.821330454663159,0.886212012153011,0,0,0.821321719182159,0,0.848962763517228,0.887912340961866,0,0.821330454663159,0,0.826773874012722
"Stimuli-sensing channels",0,-0.0166497467910719,-0.0166497467910719,0.749670706113795,-0.0166497467910719,0.751198098671059,-0.0166497467910719,-0.0166497467910719,0,0.749374502638652,-0.0166497467910719,0,0,0,-0.0166497467910719,-0.0166497467910719,0,-0.0166497467910719,0,-0.0166497467910719,-0.0166497467910719,0.792455637712594,0,-0.0166497467910719,-0.0166497467910719,-0.0166497467910719,-0.0166497467910719,-0.0166497467910719,0,-0.0166497467910719,-0.0166497467910719,0,0,0,-0.0166497467910719,0.904879577772683,0,-0.0166497467910719,0,-0.0166497467910719,-0.0166497467910719,0,0,-0.0166497467910719,-0.0166497467910719,0,0,-0.0166497467910719,-0.0166497467910719,-0.0166497467910719,-0.0166497467910719,-0.0166497467910719,0.923708579757364,0,0,-0.0166497467910719,-0.0166497467910719,-0.0166497467910719,0.905152613120509,0,-0.0166497467910719,0,0,0,-0.0166497467910719,0,0,-0.0166497467910719,-0.0166497467910719,0,-0.0166497467910719,0,-0.0166497467910719,-0.0166497467910719,-0.0166497467910719,0,-0.0166497467910719,0.74946378257235,-0.0166497467910719,-0.0166497467910719,-0.0166497467910719,0,0,0,-0.0166497467910719,0,-0.0166497467910719,0.746718032237765,0,-0.0166497467910719,-0.0166497467910719,0.748642140177335,-0.0166497467910719,-0.0166497467910719,-0.0166497467910719,-0.0166497467910719,0.924645669119241,0.904711858517659,0,-0.0166497467910719,-0.0166497467910719,-0.0166497467910719,-0.0166497467910719,0,-0.0166497467910719,0,-0.0166497467910719
"Post-translational modification: synthesis of GPI-anchored proteins",0,0,0.84003686017187,0.879266318815246,0.818494296798347,0,0,0,0.820181951911797,0,0,0,0,0,0,0,0,0,0,0,0.858750626820125,0,0,0.840327403432637,0.818848514838628,0.817933323458384,0,0,0,0,0,0,0,0,0.857202339347118,0.821367016322519,0,0.820026565358632,0,0,0.838253858690423,0,0,0,0.840216876923212,0,0,0,0.856685228988285,0.819250308996992,0,0.857882659449796,0.874865738225878,0,0,0.819390093950811,0.819459933887074,0,0.820314175105888,0,0,0.841382235113068,0.820181951911797,0,0,0,0,0.817933323458384,0,0,0.819166411189117,0,0.81979282485904,0,0,0,0.817938115579617,0.840674401087479,0,0,0,0,0,0,0,0,0,0.858508352125473,0.840952439014403,0.858750626820125,0.821555277163091,0,0,0.859875373302381,0,0,0,0.819390093950811,0,0,0.859217377355744,0,0.85814091889546,0,0,0,0.856792105476321
"Transport of small molecules",0,0.895480579869765,0.889813896371215,0.890589446347877,0.894481336309279,0.890486569858104,0.889836378246957,0.890160184112018,0.884189022729299,0.889976585320944,0.89454348327845,0.890394958035948,0,0.884267601589347,0.889889499958282,0.889942151975076,0,0.884624357691822,0.890416468691174,0.884567469294222,0.889768365868504,0.895191831611443,0.885502700956899,0.895205948147674,0.894849499092509,0.894599012226121,0.890366475646063,0.890609673867173,0.884995604087133,0.889983304333614,0.890067161637684,0.885021463239137,0.88462816497201,0,0.889565055251523,0.89022183242331,0,0.889940097735903,0.884743588204423,0.89454455608205,0.889378488461656,0.885330386572328,0.895366180553067,0.890486569858104,0.889863166756529,0,0.88492812661878,0.889738095654214,0.884003105269291,0.88973010688158,0.895106600171484,0.894760166988019,0.895254764212193,0.895930453360121,0,0.889890497687234,0.889487683766221,0.890661579167093,0.89005526977851,0,0.89449320103078,0.8845621213281,0.884189022729299,0,0.884483940986755,0.87933797287751,0,0.894599012226121,0.894724697654524,0,0.894665293273071,0,0.88971694980806,0.894930684459099,0.895234814135309,0.890446119369522,0.894600323824391,0.895124212504447,0.889887256730721,0.890050427041205,0.890096657143456,0,0,0.884164088020197,0.890322692408183,0.890243537884504,0.894541349993709,0.890075211281753,0.884444486612275,0.889890497687234,0.890434815834111,0.890097731599315,0.884264819428161,0.889837665914383,0.889588438282511,0.89454455608205,0.89473528618728,0.890037109915253,0,0.894542414593109,0.889816471249306,0.890331323435502,0.889870233532063,0,0.89454455608205,0,0.889525978989606
