"","PNISR","USP45","CCNC","MCHR2","SIM1","ASCC3","GRIK2","HACE1","LIN28B","PREP","EPHA7","FUT9","UFL1","FHL5","NDUFAF4","KLHL32","FBXL4","COQ3"
"Neuronal System",0.886035279655118,0.890398271353307,0.890139310838328,0.894064287847834,0.886502352219658,0.885861628659812,0.894665713263981,0.889927902255834,0.885693389795672,0.890622344778139,0.890304924441158,0,0.889927015250556,0.890597946630847,0.885407568493624,0,0.889928792679255,0
"Interaction between L1 and Ankyrins",0,0,0.900350096408748,0.901187665707193,0,0,0.905252144973887,0,0,0.906705792217932,0.924444617794061,0,0,0,0,0,0,0
"Phase 0 - rapid depolarisation",0,0,0.916901300265157,0.915356980059268,0,0,0.918976958565911,0,0,0,0.91845936170685,0,0,0,0,0,0,0
"Extracellular matrix organization",0,0.789162513377273,0.801307635166939,0.794795527948421,0.789499618543933,0.795194911856163,0.796059671819463,0.794776709154156,0.789507072100272,0,0.795470423000536,0.788796364153517,0.794775413426644,0.789531897655224,0.788686132685421,0,0.794778009874851,0
"Biological oxidations",0,0,0.909560664298962,0.900888375102945,0.910217092045051,0.902148837070656,0,0.901036013830176,0,0,0.909612499775071,0,0.901034430466609,0.9027034318755,0.909806749414151,0,0.901037603295353,0
"Transmission across Chemical Synapses",0.910936191279754,0.918093960453815,0.917630030141835,0.924031824491372,0.911698005297327,0.910130387970608,0.925012773378828,0.917285214295634,0.910378555256648,0,0.91790015254618,0,0.917283767554579,0.918378083447099,0.909912369291229,0,0.917286666611815,0
"Cardiac conduction",0,0.913612879188773,0.924035986439294,0.924129329905912,0.914859941472503,0.912847048442145,0.925180432797624,0.923606796581713,0.913855640127782,0.914330518938989,0.924935774887906,0,0.923604432861045,0.914602057670086,0.911324645594983,0,0.923609169411157,0
"Neurotransmitter receptors and postsynaptic signal transmission",0,0.906604514054203,0.905846722874393,0.913670306690131,0.897924475815678,0.89552634505433,0.915706411164248,0.905386219691254,0.896162344085302,0,0.906207472614897,0,0.905384287561775,0.906845751579217,0,0,0.905388159266339,0
"Signaling by GPCR",0,0.924762342043169,0.924770630196388,0.928256565696318,0.925234127458786,0.920378972866506,0.925052272011179,0.924488385757234,0.921221738485221,0,0.924593695475917,0,0.92448763416573,0.925074647967297,0.921109287964428,0,0.924489140245053,0
"L1CAM interactions",0.884109459735058,0.884929766784652,0.898209150638297,0.897720428291482,0,0.882523473522316,0.884597964403363,0.897886017209514,0.884464897792954,0.887161567617936,0.898301277161137,0,0.897883169726337,0,0.882441271547327,0,0.897888875665682,0
"Peptide hormone metabolism",0,0.746425433268578,0.762685621614522,0.777245573140956,0.748303817946754,0,0.764153382874941,0.744031556840352,0.746260214805765,0,0.762727135570874,0,0.744028161160276,0.746780266347669,0.74599097854757,0,0.744034965605937,0
"Muscle contraction",0,0.916901038517204,0.925353003624768,0.9251301511131,0.918002337617742,0.916432748493107,0.926265400628255,0.92501083683195,0.917244716517319,0.917615428682733,0.92538326453383,0,0.925008952382199,0.917831909885873,0.915927155781678,0,0.92501272854357,0
