"","EPM2A","PACRG","QKI","PDE10A","MPC1","RPS6KA2","RNASET2","FGFR1OP","CCR6","KIF25","FRMD1","THBS2","PHF10","TCTE3","DLL1","PSMB1","TBP"
"Interaction between L1 and Ankyrins",0,0,0,0,0,0.926171332135479,0,0.925809781756807,0.900652041975354,0.926516282891001,0,0.92548381935819,0,0.927312022261714,0,0.925478815360701,0.925400134036826
"Transport of small molecules",0.89675450068208,0.893084620601179,0.893327949595859,0.899794088587525,0,0.896559897254486,0,0.899654305905054,0.899570043046411,0.896593317352658,0.893099409380792,0.896674424967,0.893293612377311,0.896662999930533,0.896656357719283,0.896014448351756,0.896494906059293
"FGFR2c ligand binding and activation",0.877450896958337,0,0,0,0,0.877813494838788,0,0.922921131406583,0.873465469238044,0,0,0.876693913381526,0,0,0.878692249916338,0.874074895227527,0.872485977497813
"The canonical retinoid cycle in rods (twilight vision)",0,0,0,0,0,0.728713778136147,0,0,0.724729749605431,0,0,0.677943200168111,0,0,0,0,0.725136165537917
"RA biosynthesis pathway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Constitutive Signaling by Aberrant PI3K in Cancer",0.904367958803812,0,0.866894630756003,0,0,0.904881050080734,0,0.921764330960148,0.903282913022253,0.904310832930803,0,0.904469542702182,0.884941256640139,0,0.905507799592753,0.903810669373677,0.903226655262468
"Activated point mutants of FGFR2",0.891360434246633,0,0,0,0,0.892303930882464,0,0.930833025516589,0.888590025597472,0,0,0.891347630282396,0,0,0.893054527458108,0.889110572303261,0.887753383892782
"Ion channel transport",0.916002457457713,0.906080363519843,0,0.905963094868367,0,0.916900476685821,0,0.915905440061897,0.905781965965093,0,0.905834132100163,0.9069345997105,0.906711697718942,0,0.917427435760052,0.914636772425545,0.916543529674112
"L1CAM interactions",0.879955148773137,0,0.862610710013836,0,0,0.895548697787205,0,0.878953143922721,0.878987702619781,0.894183530274412,0.84992979342518,0.879172627893339,0.877178415930287,0.879897811333379,0.880546738018055,0.879169481184583,0.878256111009381
"FGFR4 ligand binding and activation",0.829598794669256,0,0,0,0,0.826954564927197,0,0.869931567772103,0,0,0,0.82944158308044,0,0,0.827724258219544,0.823679960754692,0.826278454421518
"Phospholipase C-mediated cascade; FGFR2",0.891360434246633,0,0,0,0,0.892303930882464,0,0.930833025516589,0.887884121109765,0,0,0.891347630282396,0,0,0.893054527458108,0.889110572303261,0.887753383892782
"Molecules associated with elastic fibres",0.688310511757455,0,0,0,0,0.685294466285509,0,0.681126548885186,0.689498851094258,0,0,0.793632802000999,0.637056320251098,0,0.749506239385102,0.681559406910824,0.73272673149078
"PI-3K cascade:FGFR2",0.893061269163091,0,0,0,0,0.894056984636641,0,0.929751932231385,0.88996228997243,0.8446787608051,0,0.893171028189224,0,0,0.894098389236254,0.891098525108373,0.889841169604737
