"","GRM1","IL22RA2","PCMT1","PNISR","IFNGR1","RAB32","PDE7B","TNFAIP3","RAET1E","HBS1L","HIVEP2","RAET1G","USP45","TFB1M","ULBP2","PERP","ULBP1","STXBP5","CLDN20","NOX3","RAET1L","ULBP3","BCLAF1","PPP1R14C","ARID1B","MYCT1","VIP","FBXO5","ADAT2","CCNC","MTRF1L","PEX3","SNX9","MTHFD1L","UST","MAP7","OPRM1","REPS1","FUCA2","SYNJ2","MAP3K5","SUMO4","IPCEF1","PHACTR2","PPIL4","ZBTB2","PEX7","HECA","SCAF8","MCHR2","SIM1","KATNA1","IL20RA","CITED2","ASCC3","NMBR","TMEM181","LTV1","VTA1","DYNLT1","LATS1","ESR1","EZR","NUP43","PLAGL1","TAGAP","SF3B5","STX11","UTRN","SOD2","WTAP","GRIK2","ACAT2","TCP1","MYB","MRPL18","HACE1","IGF2R","SYNE1","LIN28B","PREP","LPA","PLG","MAP3K4","PRDM1","EPM2A","AGPAT4","ATG5","PACRG","FBXO30","QKI","PDE10A","MPC1","QRSL1","RNASET2","BEND3","PDSS2","FGFR1OP","CCR6","SEC63","KIF25","FRMD1","AHI1","OSTM1","THBS2","NR2E1","SNX3","PHF10","TCTE3","FOXO3","DLL1","PSMB1","TBP","SESN1","SMPD2","MICAL1","ZBTB24","AK9","FIG4","WASF1","CDC40","DDO","SLC22A16","CDK19","AMD1","GTF3C6","RPF2","ME1","REV3L","SNAP91","FYN","CYB5R4","TUBE1","LAMA4","NT5E","RFPL4B","HDAC2","HS3ST5","COL10A1","DSE","SYNCRIP","TRAPPC3L","RWDD1","HTR1E","CGA","KPNA5","GPRC6A","RARS2","ORC3","GOPC","NUS1","CNR1","PLN","RNGTT","MCM9","ASF1A","SRSF12","GABRR1","MAN1A1","GABRR2","UBE2J1","RRAGD","GJA1","HSF2","FABP7","MDN1","CLVS2","RNF217","TPD52L1","MAP3K7","EPHA7","HEY2","NCOA7","FUT9","UFL1","TRMT11","FHL5","NDUFAF4","KLHL32","CENPW","RSPO3","RNF146","FBXL4","ECHDC1","COQ3","PTPRK","LAMA2","EPB41L2","AKAP7","ARG1","MED23","ENPP3","OR2A4","ENPP1","CTGF","STX7","TAAR8","TAAR6","TAAR5","TAAR2","TAAR1","VNN1","VNN2","SLC18B1","RPS12","EYA4","TBPL1","SGK1"
"G alpha (i) signalling events",0.938685953186848,0.929933799347987,0,0,0.930508758927907,0,0.939409136679086,0.929835625108897,0,0.919946168124713,0.91979379864389,0,0.919798841437114,0.921472123185533,0,0.921640588722772,0,0.919562127780931,0.919894815804286,0.929744624727359,0,0,0,0.921905722272761,0.929915448513116,0.921151479111013,0.93892153715414,0.929372064968783,0,0.929519764327772,0.919835164652311,0,0.929164173715771,0.918908244126392,0,0.919847102273578,0.939243431158932,0.929963984901152,0,0.929829014939339,0.929880050643609,0.921186645218591,0.930546719276949,0.920479366595147,0.920145493910195,0,0,0,0.930703070092821,0.9391072483978,0.931254556323498,0.930605338427299,0.929940939872582,0.92995699520874,0,0.938784596655628,0.930184137681388,0.929240208290204,0.919186322917718,0.92999874450627,0.930200374929992,0.938894466964471,0.938497552533534,0.929365325132304,0.921884866924156,0.92967595977405,0.928898708690128,0.920238952752654,0.929559519321984,0.930117078936838,0.929848657957294,0.929924590313283,0.919234292744033,0.938261860728149,0.930413854356952,0.919804623729288,0.929163708650702,0.929112881176866,0.92934496085965,0.92100461135015,0,0.92098051891844,0.929634026512281,0.920437407769868,0.92149372096191,0.93032604516168,0.930084053035086,0.919588583623751,0.919892601256643,0.929165559138569,0.919413194117885,0.938527314102046,0,0,0,0,0.920310323794687,0.93883464434089,0.938551438015478,0,0.919943287998724,0.920070876459209,0.939009013055277,0,0.929590582352253,0.920786280065329,0.929781155067679,0.919177943041185,0.92989527352662,0.939087732837929,0.92981834258657,0.930007164134823,0.929178965979409,0.930024170146588,0.92989527352662,0,0,0.938865352939094,0.921181008045304,0.929424508311619,0.928734134446853,0.921022564650021,0,0.929604751225876,0.911318876406698,0.92972180074889,0.919877105243376,0.929564556024886,0.919153760739889,0.929279396252596,0.93850086024761,0,0,0.929757919468632,0.9390337692346,0,0.929160285848376,0.930186118564985,0.918923279352977,0,0.920601503272635,0,0,0.938601227493992,0.938179767259519,0.921805365051787,0.938077300147048,0,0.929573523259058,0.929830946250235,0.920361468496792,0.905021291324529,0.939459195061541,0.929918921102051,0,0.920574239572462,0,0,0,0.930674089475409,0.92916002893008,0.929352781195649,0.929841215461786,0.930556202331958,0.930284908383228,0,0.919984182380651,0.929165559138569,0.928923561741004,0.930081220731677,0.930284539966296,0.930250166112548,0.930530371909577,0,0.929161865266455,0,0.930601599467533,0.920875994378749,0,0.919480670970763,0.919462917567955,0.919372925087096,0.929165559138569,0,0,0.930147530261115,0.929590582352253,0.920293942946336,0.939883961058044,0.929917322910602,0.929583662620311,0.929778748477233,0.939181719774819,0.929700770609515,0.929850904764398,0.93000050973603,0.93892153715414,0.93892153715414,0.938228842615843,0.938228842615843,0.93892153715414,0,0,0.920701992663219,0.929525009186119,0.919839830438969,0.921182347289607,0.929847949034682
"GPCR ligand binding",0.922461905616228,0.914515123666163,0.895626520022075,0,0.914399034731754,0,0.913916890890885,0.913951230320384,0,0.904685070333369,0,0,0.914695840867426,0,0,0.906401643499531,0,0.90430308075694,0,0.914276385791604,0,0,0,0,0.904381407851529,0.90625007000738,0.900340325907989,0.913670170229363,0,0.914438365643967,0.894640872140218,0,0.922592521044225,0,0,0,0.922401876583629,0.922698140119383,0,0.92256505713995,0.914243392928679,0,0.915431738012772,0,0.89706696508328,0,0,0,0,0.922230443039188,0.915735284005929,0.895861902269592,0.914522164360811,0.914455863779173,0,0.923236367056365,0.915027329342004,0.913540157007106,0.914091885821252,0.904655047396826,0.914108905188178,0.922667504213176,0.922959149090418,0.913631321085892,0.906642506506485,0.914651954192791,0.913539266809559,0.914481997049254,0.914404226937608,0.914164541190306,0,0.914570251400893,0,0.922726752435138,0.914200914414327,0.89461075820245,0.913755799420595,0.922541945613895,0.913417426065865,0.906105255569148,0,0.915128824984605,0.914219541881943,0.90459884277914,0.906256829061299,0.914434793929066,0,0,0,0.913757624037239,0.90415959163282,0.913730407005492,0,0,0,0,0.905060655650389,0.914026718787384,0.922377477325359,0,0.904721145722314,0,0.913791194082479,0,0.914176705104205,0.905513480797848,0.914304775559561,0.903927629544502,0.905015109124411,0.91427626891538,0.914350851417394,0.913904452614112,0.904595934488808,0.905809108086594,0.914726493487533,0,0,0.913380709659794,0,0.914258836556233,0.913376993438961,0,0.905483220380554,0.914522164360811,0,0,0.904616320642222,0.914208842254818,0.914059778887353,0.92270613268264,0.913842415686984,0,0,0.904320576333741,0.914036385727787,0,0.914001781494189,0.914831705125578,0.914309805818434,0,0.904949260467859,0,0,0.922432041823103,0.92262509229236,0.905397975113243,0.922544772150867,0,0.913760582709434,0.914353870623641,0.905111085310788,0.922434272580004,0.913966249419206,0,0,0.905350202718689,0,0,0.895325737079758,0.915576552451003,0.913752171145257,0.913875205573731,0.914216113254314,0.915349606560744,0,0.904030786943961,0.914604231012494,0.913757624037239,0.914075449738888,0.913769752925043,0.914423834172875,0.914744935931507,0.915494420998976,0,0.913753981808257,0,0,0.904160982218259,0,0.904226081182502,0.914364613468605,0.913768371549338,0.913757624037239,0,0,0.914766131821329,0.914258836556233,0,0.914937387756276,0.914906333194347,0.914501370589938,0,0.923633751155037,0,0.914491187621885,0.914580901392412,0.922694195941073,0.922694195941073,0.922694195941073,0.922694195941073,0.922694195941073,0,0,0.906095934426265,0.913791731720366,0.904580219329081,0.905519477266372,0.914362683748977
"Chemokine receptors bind chemokines",0.889014664130051,0.891749195189449,0,0,0.891362859330081,0,0.888758506550751,0.85776296451415,0,0.859035464795804,0,0,0.860240976368158,0,0,0.865230032636556,0,0.858385468330504,0,0.893051113154603,0,0,0,0,0.858024897281544,0,0.889562110191036,0.856827616176679,0,0.856726497962505,0,0,0.890070581289586,0,0,0,0.918016732938926,0.890422074189183,0,0.889979183335821,0.891466132433324,0,0.860514304099708,0,0,0,0,0,0,0.917430085681278,0.896431041658691,0,0.89177262612911,0.892173220572546,0,0.889112753212407,0,0.856394941260627,0.858231056189544,0,0,0.918879747817443,0.919850321583603,0.889429200122929,0.866031607887932,0.892825795762805,0,0,0.891728049041563,0.858686527982377,0,0,0,0.890517293976085,0.89070352876183,0,0.889222217175196,0.889902269792555,0.888384934462505,0,0,0,0.890283587343802,0.858984925525478,0.864748100308312,0.85937223040387,0,0,0,0.889228289371851,0,0.888137901214954,0,0,0,0,0,0.890123817891234,0.917914558606995,0,0,0,0.890695991934087,0,0.891244200014798,0,0.892971847548415,0,0,0.890954303274231,0.891053542325621,0.889716924612707,0.859220759263735,0.863258116199149,0,0,0,0.886974132891502,0,0.891244200014798,0,0,0,0.857005374234829,0,0,0,0.891576750109268,0.858124206557728,0.890448672881041,0.889028537727224,0,0,0,0.890777226938078,0,0.859159462223541,0.893423994302945,0,0,0,0,0,0.918096145441556,0.889401074163836,0,0.889064838261608,0,0.857128502590731,0.893135232490043,0,0.918103569244597,0.892173220572546,0,0,0.861730911211182,0,0,0,0,0.889210142528477,0,0.891793300550032,0.895629466407315,0,0,0,0.889228289371851,0.888918489527661,0.890307844573766,0.891793300550032,0.893135232490043,0.896111398735558,0,0.889216168288383,0,0,0,0,0.857507980983994,0.859138674736907,0.85715442330551,0.889228289371851,0,0,0.859655197017057,0.891244200014798,0,0.89584005905429,0.892703202741278,0.856936174018799,0,0.893535722318802,0,0.892516375755582,0.891968098864691,0.889562110191036,0.889562110191036,0.889562110191036,0.889562110191036,0.889562110191036,0,0,0,0.854906098756509,0.858686527982377,0.862294245073972,0.892088723848668
"Signaling by GPCR",0.928951923443302,0.924423343464945,0.914139108790821,0,0.924356756215813,0,0.928504425963001,0.924328935688033,0.924803145187323,0.919166414909175,0.918965855027796,0.919603327644743,0.924367819153331,0.919633214630142,0.919603327644743,0.919619839952995,0.924803145187323,0.91894921357492,0.924349335828301,0.924540662620472,0.919603327644743,0.924803145187323,0,0.924855294815427,0.924412964800609,0.91953957751319,0.917037364719572,0.924016618241431,0,0.924379315965056,0.918711868184881,0,0.929448210314668,0.918943316906167,0.918829897674618,0.918718619734059,0.93008034972454,0.929117025580196,0,0.928257157555818,0.923445065249885,0.919320504004647,0.924692295195183,0.918864219996357,0.918799626556606,0,0,0,0.92485841919302,0.928824045672299,0.925022250599555,0.924756035551201,0.924427381924691,0.924350469224568,0.91828748149417,0.928214838396623,0.923545392656834,0.923982298872095,0.924021397633241,0.924412964800609,0.924574110364903,0.928315919993619,0.92848320406938,0.922926532254113,0.919757996144471,0.923247246888398,0.923837928219899,0.924246598289507,0.928558584807836,0.924400363010134,0.924375190129081,0.924418135119891,0.91901444498241,0.929133437268418,0.923459583538326,0.918694595183913,0.923987803997135,0.928243901055954,0.924403727913895,0.919456513652492,0,0.924712004905789,0.923470268034944,0.924375190129081,0.919536776092297,0.924645185559061,0.923374815399936,0.924155068830923,0.918965680047141,0.923988850575809,0.918469859068857,0.929603786759387,0,0,0,0,0.918964912077618,0.928282086168942,0.929297843336231,0,0.919021757739994,0.919566401351852,0.928380703717932,0,0.924157193910301,0.919246433990373,0.924233909560012,0.918336808339755,0.924354444816445,0.928425225191004,0.924477190972392,0.924013105324424,0.923996433070111,0.924420875092143,0.924253482312857,0,0,0.929082987192448,0.92485841919302,0.923221386895499,0.923744850120678,0.919378958234115,0.919227891897517,0.924427381924691,0.913895319091019,0.924303443617624,0.918507068530667,0.924333657146569,0.924002981473103,0.929121610020596,0.928093308214783,0,0,0.92346830141441,0.929178238237518,0,0.923985868166058,0.924478293152672,0.924219582457846,0.918904474684098,0.918924304661367,0,0,0.929326002724535,0.929411239743914,0.919616294796055,0.928994059169048,0,0.924157503419555,0.924190323400611,0.918993837938447,0.910725366443611,0.928635312729723,0.924414928789452,0,0.924489036865061,0,0,0.91878003871801,0.924715390933973,0.92398572286102,0.924094737577678,0.923587447693289,0.924677682584052,0.924027627763485,0.918390206762353,0.924384429913873,0.923988850575809,0.924064337185206,0.92411495384226,0.929353364478312,0.924454198577252,0.924680309657817,0,0.923986761436049,0,0.924801030547381,0.919300529269519,0,0.918903144123782,0.924177831008151,0.923835833647052,0.923988850575809,0,0,0.924273826680801,0.92925872378356,0.924515105390444,0.93005084701886,0.924316352153555,0.924415454861974,0.924382761126638,0.929653681080034,0.924338659257694,0.924298764038972,0.92437800893536,0.929442854303948,0.929442854303948,0.928659321113306,0.929442854303948,0.929442854303948,0,0,0.919594195413473,0.92322488115156,0.919106273604754,0.92444017325745,0.924248151465741
"ADP signalling through P2Y purinoceptor 1",0.879654280416695,0.764343703291924,0,0,0.827016383279007,0,0.824015778342576,0.765875839805823,0,0,0,0,0,0.770736978467774,0,0.772901078138616,0,0,0,0.829645747285448,0,0,0,0,0.766389675726482,0.772901078138616,0.881170771800529,0,0,0.763842593831688,0,0,0.825426720636755,0,0,0,0.879303532463196,0.826116247493081,0,0.825247424429617,0.827218975076177,0,0.832539626921949,0.768574583212022,0,0,0,0,0,0.878152701138292,0,0.833724975658827,0.764389667981919,0.766120928872814,0,0.880289264079613,0.831118161360332,0,0,0.829820234324772,0.763456861807751,0.880996516693685,0.827820226580209,0.824168517298768,0.774473535687043,0.829886239144139,0.760126781428936,0,0.828678190381357,0.825757648068794,0,0.828134159508784,0,0.881383314629301,0.826405467494737,0,0.760331918346814,0.825096542423868,0.823282938538658,0.771955667054532,0,0.771955667054532,0.820631101197273,0.769295621157063,0.771955667054532,0,0.828741468718815,0,0,0.760343830230881,0,0.822798331143212,0,0,0,0,0.761588797666638,0.825531155368205,0.879116059491113,0,0.75580544473333,0,0.826653594454434,0,0.764298460693852,0,0.75968855070555,0.764120415025014,0,0.821946850811352,0,0.757071649526039,0.761112631253021,0.769032751513581,0.829154175208276,0,0,0.82051535611162,0,0.827729019292142,0.759067390907604,0,0,0.764389667981919,0,0,0,0.76495082727501,0,0.826168426391716,0.823382534189365,0,0,0.765375636267815,0.821599478532887,0,0.824422942883375,0,0,0,0.766976949127994,0,0,0.879459316700528,0.880854865943776,0,0.880195268879616,0,0.764631210010982,0.760009064449357,0.761918024230575,0.879473880043283,0.824338012094531,0,0,0.766036819432093,0,0,0,0.83470372659279,0.760308231401207,0.823868740427612,0.823306208357422,0.832402223801275,0,0,0,0.760343830230881,0.756787498704767,0.824946751121051,0.827860783782022,0.76800811650585,0.833347634885358,0,0.760320052189877,0,0,0,0,0.765375636267815,0,0,0.760343830230881,0,0,0.833018408321421,0.827729019292142,0,0.831531282894225,0.831273657429563,0.764253917281207,0,0.887304593291218,0,0.76679409955382,0,0.881170771800529,0.881170771800529,0.881170771800529,0.881170771800529,0.881170771800529,0,0,0,0.819939382437999,0.767687602762043,0.767141916655725,0.827757819326037
"Phase II - Conjugation of compounds",0,0,0,0,0,0,0,0.807795562367457,0,0.812327624608433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.811524329173442,0,0,0,0,0.810589179720183,0,0,0,0.7904458470487,0,0,0,0,0,0,0.808472892334698,0,0,0,0,0,0,0,0.813682276971444,0,0,0,0,0.81142565999685,0,0,0,0,0.789491206599389,0,0,0.830877726859437,0.810213561592163,0.789193339179113,0,0.792412426178729,-0.0163709580204893,0,0.831891763159121,0.830892541459772,0,0,-0.0163709580204893,0.81000032398215,0.833472449468134,0,0.745860542520567,0,0,0,0,0,0,0,0,0.833281452534144,0,0.792076223038973,0,0.745864915914251,0.811247166621048,0.831994206726054,0,0,0,0,0,0,0,0,0,0,0,0,0,0.814492281337757,0,0.810691180499024,0,0.790291768111716,0,0.806116441391809,0.809933989811336,0,0,0,0,0.830808919548146,0,0.811103652500965,-0.0163709580204893,0.81035233552375,0,0.810790035489103,0.813979926630224,0,0,0.83178279274321,0,0,0.805620642749472,0,0,0,0.830956373725981,0,0.809542738337741,0,0,0,0,0,0,0,0.830825720435301,0,0,0.77112336709832,0,0,0,0,0,0,0,0,0,0,0,0,0.745851845966962,0,0.831938759419497,0.834354587589452,0.809802914836603,0,0,0.745864915914251,0,0.806542041182568,0,0.812118532293904,0,0,0.745856185915388,0.835600422721131,0.793311869429575,0.831605574112391,0,0,0,0.810664701702935,0.745864915914251,0.830870658137383,0,0,0,0,0,0.832844676999874,0.810740195241009,0.852557559705426,0,0.852373268892035,0.811672811529581,0,0,0,0,0,0,0,0,0,0.810264005592281,0,0,0.811364802705892
"Nitric oxide stimulates guanylate cyclase",0.764308265513429,0.701224409486131,0.77468996441901,0,0.701476154657511,0,0.768014182692957,0.699493452693944,0,0,0,0,0,0,0,0,0,0,0,0.77260058086686,0,0,0,0,0,0.710836846775213,0.764488441310122,0,0,0.768106842527462,0,0,0.699690498105917,0,0,0,0.76239098486403,0.700465038637834,0,0.765064710653025,0.769107958932403,0,0,0,0,0,0,0,0.777515526190675,0.697398371596546,0.711541203534596,0,0.701276041290044,0.703220754130478,0,0.765021538070579,0,0,0,0,0,0.765815989818002,0.766061614877386,0.764619428333404,0,0,0.764468524826652,0.707409069493003,0.702239785824154,0.704980587582026,0.771337431114478,0.705656319378049,0,0.700674862462101,0.768194151748439,0,0.697821065200809,0.699319611306816,0,0.70977487334049,0,0,0.69874089736429,0,0,0,0,0,0,0.697834445734049,0,0.76670767957577,0,0,0,0,0,0.763490317736635,0.762180397830058,0,0,0,0.764751145446123,0,0,0,0,0,0,0.767980105625582,0,0.69780812479583,0.766102268737235,0,0,0,0,0.764082183711589,0,0.702276653538176,0.763278519114225,0,0,0.768721366964663,0,0.770420150258984,0,0.701906387466372,0,0.700523650817379,0.763736539189855,0,0,0,0.830523151359373,0,0.697459897078287,0,0,0,0,0,0,0.762565976171389,0.700433693783878,0,0.764915953942078,0,0,0,0,0.762582335069001,0.833599326307526,0.769624126769165,0,0,0,0,0,0,0.697794457826083,0.702542880727867,0.702143892110561,0.709458962781459,0.774930264746549,0,0,0.697834445734049,0.702824921581638,0.766555586193485,0.702383572336304,0.705024707793861,0.710520936216183,0,0.697807736032523,0,0,0,0,0,0,0,0.697834445734049,0,0,0.708218185988534,0.701173588802855,0,0.7760864767944,0.771833934607702,0.768568879184131,0.704756327923144,0.771008700819788,0.704192484479718,0.703976921888925,0.703961856022219,0.764488441310122,0.764488441310122,0.764488441310122,0.764488441310122,0.764488441310122,0,0,0,0,0,0,0.770479885041182
"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)",0,0.761259474907237,0.834808874238286,0,0.760350673315283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.759017891837256,0,0,0,0,0,0,0,0,0,0.763175189538085,0,0,0.757695875512992,0,0,0,0,0,0,0,0.761727288027221,0,0,0,0,0,0,0,0,0,0,0,0.761314592947018,0.765907229315647,0,0,0,0,0,0,0,0.76154806700129,0,0,0,0,0,0,0.755905566788897,0.834915835618743,0,0,0,0,0.830398340945385,0,0.756448788221031,0.757299946031591,0,0,0,0,0,0,0,0,0,0,0,0.75646307222251,0,0,0,0,0,0,0,0.758569679011193,0,0,0,0,0.759915639186546,0,0,0,0,0,0,0.763039895221983,0,0.757612518938385,0.759901585690739,0,0,0,0,0,0,0.761205222755846,0,0,0,0.763831207337367,0,0,0,0.764504115176907,0,0,0.755993184149138,0,0,0,0,0,0.75975739289486,0,0,0,0,0,0,0,0,0,0,0,0.761604235347912,0,0,0,0,0,0,0,0,0,0,0,0.756420384287265,0.763004211954654,0.756059061923601,0.772903889822711,0,0,0,0.75646307222251,0.761041938689795,0.752564732512353,0,0.768170229088773,0,0,0.756434559052725,0,0,0,0,0,0,0,0.75646307222251,0,0,0.761110090198096,0,0,0,0.76797235000479,0.763668423415124,0,0,0,0.766714454348136,0,0,0,0,0,0,0,0,0,0.756730084034455,0,0,0.765708462477638
"Signal amplification",0.888918445011648,0.789827367540006,0,0,0.843684555170206,0,0.840859802392726,0.79114399487621,0,0,0,0,0,0.795321369404746,0,0.797181068432249,0,0,0,0.844495812137289,0,0,0,0,0.791585555020052,0.797181068432249,0.890221627850097,0,0,0.789396743762169,0,0,0.842318493287897,0.742411414624483,0,0,0.888617033003316,0.842911031811619,0,0.842164416751339,0.842431070745876,0,0.848430903487631,0.7959988293171,0,0,0,0,0,0.887628076753019,0,0.849449521956515,0.789866866871038,0.791354609898095,0,0.889464112346809,0.846849163787071,0,0,0.846094018622065,0.789055110431255,0.890071883336431,0.842976400953922,0.841237267891682,0.79853234527638,0.844723159442213,0.786203594756655,0.792667297513117,0.843713684207612,0.842369011963032,0,0.844645105830366,0,0.890404274563322,0.84315957034386,0,0.786379877268881,0.842034757695826,0.839903420839626,0.796368638165127,0,0.796368638165127,0.837624588958029,0.794082752336812,0.796368638165127,0,0.845166991380513,0,0,0.786390113636232,0,0.839813600407115,0,0,0,0,0.787456843419975,0.842408238308024,0.888455929839463,0,0.791087269421157,0,0.843372795950731,0,0.792324182998509,0,0.785823883777143,0.789635486833946,0,0.839201743681361,0.788785274213223,0.783568037339986,0.787050775680814,0.793856857741045,0.845521646883416,0,0,0.837851746938318,0,0.842898022814872,0.785293217314798,0,0,0.789866866871038,0,0,0,0.790349093917091,0,0.842955871265344,0.840561840579399,0,0,0.793249843860778,0.839029588199799,0,0.841455906163588,0,0,0,0.79209022298354,0,0,0.88875090474618,0.889950157075205,0,0.889383338441438,0,0.7900744337787,0.786099314297138,0.787739761221328,0.88876341962002,0.841136710985807,0,0,0.791282331228484,0,0,0,0.848891672996005,0.786359522111352,0.840745796659837,0.840169628233325,0.847552891075935,0,0,0,0.786390113636232,0.789160335483387,0.841906035925784,0.843362914168767,0.792976347128204,0.848365321343057,0,0.786369680196716,0,0,0,0,0.790714149594257,0,0,0.786390113636232,0,0,0.848842339853054,0.842898022814872,0,0.847318181687456,0.845483305290992,0.789750210762495,0,0.895492670591244,0,0.7919330928939,0.790030112373335,0.890221627850097,0.890221627850097,0.890221627850097,0.890221627850097,0.890221627850097,0,0,0,0.837602999981696,0.79270091660821,0.792231986302035,0.842873438714559
"Blood group systems biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.792105904730003,0,0,0,0.751943160621514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.794173747793288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789956376762336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.795247395677129,0,0.837484750976734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
