"","GRM1","IL22RA2","PCMT1","PNISR","IFNGR1","RAB32","PDE7B","TNFAIP3","RAET1E","HBS1L","HIVEP2","RAET1G","USP45","TFB1M","ULBP2","PERP","ULBP1","STXBP5","CLDN20","NOX3","RAET1L","ULBP3","BCLAF1","PPP1R14C","ARID1B","MYCT1","VIP","FBXO5","ADAT2","CCNC","MTRF1L","PEX3","SNX9","MTHFD1L","UST","MAP7","OPRM1","REPS1","FUCA2","SYNJ2","MAP3K5","SUMO4","IPCEF1","PHACTR2","PPIL4","CD109","ZBTB2","PEX7","HECA","SCAF8","MCHR2","SIM1","KATNA1","IL20RA","CITED2","ASCC3","NMBR","TMEM181","LTV1","VTA1","DYNLT1","LATS1","ESR1","EZR","NUP43","PLAGL1","TAGAP","SF3B5","STX11","COL12A1","UTRN","SOD2","WTAP","GRIK2","ACAT2","TCP1","MYB","MRPL18","HACE1","IGF2R","SYNE1","LIN28B","PREP","LPA","COX7A2","PLG","MAP3K4","PRDM1","EPM2A","AGPAT4","ATG5","FBXO30","QKI","PDE10A","MPC1","RPS6KA2","QRSL1","RNASET2","BEND3","PDSS2","FGFR1OP","CCR6","SEC63","MYO6","KIF25","FRMD1","AHI1","OSTM1","THBS2","NR2E1","SNX3","PHF10","TCTE3","FOXO3","DLL1","HTR1B","PSMB1","TBP","SESN1","PHIP","ELOVL4","SMPD2","TTK","MICAL1","BCKDHB","ZBTB24","AK9","IBTK","FIG4","WASF1","TPBG","UBE3D","CDC40","DDO","SLC22A16","DOPEY1","CDK19","PGM3","AMD1","GTF3C6","RPF2","ME1","REV3L","SNAP91","FYN","CYB5R4","TUBE1","LAMA4","NT5E","KHDRBS2","PTP4A1","RFPL4B","HDAC2","HS3ST5","COL10A1","DSE","SYNCRIP","TRAPPC3L","RWDD1","HTR1E","CGA","KPNA5","GPRC6A","RARS2","COL9A1","ORC3","GOPC","NUS1","CNR1","PLN","RNGTT","MCM9","ASF1A","SRSF12","GABRR1","MAN1A1","SMAP1","GABRR2","UBE2J1","RRAGD","B3GAT2","GJA1","HSF2","FABP7","MDN1","CLVS2","RIMS1","RNF217","TPD52L1","MAP3K7","EPHA7","HEY2","NCOA7","FUT9","UFL1","KCNQ5","TRMT11","FHL5","NDUFAF4","KLHL32","CENPW","RSPO3","RNF146","FBXL4","ECHDC1","COQ3","EEF1A1","PTPRK","LAMA2","EPB41L2","AKAP7","ARG1","MED23","ENPP3","OR2A4","ENPP1","CTGF","STX7","TAAR8","TAAR6","TAAR5","TAAR2","TAAR1","VNN1","VNN2","SLC18B1","RPS12","EYA4","TBPL1","SGK1"
"Extracellular matrix organization",0.931734262917459,0.93221460339518,0.932432134308802,0,0.932143409407337,0,0.928369251584126,0.932208597061287,0,0.92833009255376,0.928446575046046,0,0.928758784885793,0,0,0.932564131120498,0,0.932124131358184,0.928753789588876,0.936447640743445,0,0,0.928571044887033,0.932662746000668,0.932210917409216,0.932587795616367,0.932109008077178,0.928338851628519,0,0.932123886510463,0.928467292414275,0,0.932067380025216,0,0.935909735661523,0,0.931991906293613,0.932110622914908,0,0.932056135668254,0.932239069593445,0.932465866894478,0.932353346650846,0.932377845673359,0,0.932377845673359,0,0,0,0,0.931919733220759,0.932686410496537,0,0.932217486018244,0.932266769691821,0.93206747532937,0.932053725326712,0.932406344014752,0.932083096298479,0.928511511735549,0.932342914220912,0.932424312233347,0.936052366241743,0.939507811646863,0.931929182862188,0.932662746000668,0.932061418639161,0.928004470414682,0.924941947311934,0.923756239636757,0.935445948589249,0.932288593192837,0.928333781326088,0.932564131120498,0.932108165097158,0.931986618417553,0.935642347878371,0.928454963072372,0.931827289841338,0.932046673275498,0.928219750503697,0.932528505239427,0,0.932169741191182,0,0.934972987808086,0.93218897879943,0.932504840743558,0.928651906237757,0.928338660704643,0.932213196514145,0.93182803688155,0.928249911149984,0.928292900772749,0,0.932232797344302,0.928849552225015,0.928820050718789,0,0,0.932073929530186,0.931980149140171,0,0.932279319893799,0.932121497297971,0,0.93208503163926,0,0.935386422407879,0,0.928470199848962,0.932141309749467,0.928396096291367,0.932176101118426,0.935529788229613,0.932001676124228,0.932023870933896,0.932011970400568,0.93232153343195,0,0,0.932114004813889,0,0,0,0,0.928013763873736,0.932407950280137,0.92887787523182,0.932211766057287,0.928614874611049,0.93182803688155,0.927938031947444,0.932361357557074,0.928870656579573,0,0.932158195641303,0,0,0.932355131879021,0.928493024055991,0.932179972047985,0.928498366414982,0.932113895254973,0.935113837556224,0,0,0.936243077487081,0.932095025685571,0,0.932110513801664,0,0.932004429249238,0.935934234684037,0.905662309426471,0.935962968186064,0,0.932186226760803,0,0.932001676124228,0.932089196401982,0.928501144121962,0.932047830525041,0.928821797491549,0.935265304337518,0.932232634050874,0.932351688177001,0,0.932002589447644,0.932162586294785,0.928238126899032,0,0.932261494864258,0,0,0.932368277199588,0,0.932377845673359,0.931825804341583,0.932170132506331,0.936411600737993,0.932220029516859,0.932632688636463,0,0,0.932493683690135,0.928070058699589,0.93182803688155,0.932242376068704,0.935550866146138,0.932279319893799,0.932385122509979,0.932615550349833,0.932355800541415,0.931826545668851,0.928431677236873,0,0.92853540802805,0.932163116547136,0,0.924823216555352,0.928623172735729,0.928379057517851,0.93182803688155,0,0,0.931873596644177,0.93238001027838,0.935625828301305,0.931804608332647,0.932569392497771,0.932374773614888,0.932149682191069,0.935742025029251,0.932330209916158,0.935430905303711,0.932088637065914,0.932305851546841,0.932109008077178,0.932109008077178,0.932109008077178,0.932109008077178,0.932109008077178,0,0,0.932515089181612,0.932537000662939,0.928302246375971,0.932390090152097,0.932256374368006
"Collagen formation",0.9581114617229,0,0.959086754902978,0,0.958303203793841,0,0,0.951235018326855,0,0.950587624069488,0,0,0.951797067836657,0,0,0.959617463356606,0,0,0,0.958761086646187,0,0,0.951079746625482,0,0,0.959340269937453,0,0.950939393519465,0,0.958457187667266,0.950867841924702,0,0.958220683430011,0,0.958892162837302,0,0.957945440369893,0.958187907941453,0,0.958076622847311,0.958450248242921,0,0.959287853903106,0.958310133079446,0,0.958310133079446,0,0,0,0,0.957919128670999,0,0,0,0.950946804888547,0,0.958192794988185,0,0.958373877482597,0.951292035604457,0.958783436198605,0.958828588971932,0.960769351677185,0.958527260851175,0.958059523715444,0.959818875006077,0.958704471191234,0.950310543102261,0,0.941821412999217,0.965692231807289,0.958828588971932,0,0,0,0.958332928835383,0.965522220184541,0.950842660399509,0.950464313051705,0.958178391834576,0,0.959219174899903,0,0.958918362271855,0,0.960760172115414,0.95894713613148,0.959496368319056,0.951578778215891,0,0,0.950465838811316,0,0,0,0.958558532799502,0.95164857175852,0,0,0,0.958234060180018,0.950529628982322,0,0.958653550746242,0.958452307924694,0,0.958377830234742,0,0.965570655161293,0,0.950873780087534,0,0.95072243051695,0.958442736072348,0.951265187519324,0.950573595829509,0.958131820189143,0.95810751446527,0.959121980316687,0,0,0.958698122566175,0,0,0,0,0,0.951345663112293,0,0.958394483329509,0,0.950465838811316,0.950174848760275,0.958821104984001,0,0,0,0,0,0.95880838962012,0.950920396391053,0.958599138161282,0.951265187519324,0.958194591389316,0.957958849357221,0,0,0.961139517443968,0.95839824213758,0,0.958804743458903,0,0.958092112370517,0.959063294832018,0.904861940469482,0.959000885279137,0,0.95915565054743,0,0.950573595829509,0,0,0.958180755408298,0.951591885316897,0.965347867722859,0.951014997187184,0.958801356181525,0,0.950575461206981,0,0,0,0.958738239831714,0,0,0.958835237705253,0,0.959075069079879,0.950461279057693,0.95858664412319,0.95889599272907,0.958653550746242,0.959375273281506,0,0,0,0,0.950465838811316,0.958578096446269,0.9582803005269,0.958445036330292,0.9511885294263,0.959496368319056,0,0.950462793149152,0,0,0,0,0,0,0.951520092731222,0.951021510279885,0.950465838811316,0,0,0.958073800267502,0.959071986242158,0.965570655161293,0.958916266253675,0,0.958969601062138,0,0.965725801422367,0,0.9656615073066,0.958257231658052,0.95870773916074,0,0,0,0,0,0,0,0,0.953468451943879,0,0.958879788616201,0.958345569322578
"Collagen biosynthesis and modifying enzymes",0.942789579953492,0,0.944103695754451,0,0,0,0,0,0,0.932651916586047,0,0,0,0,0,0.944818775464696,0,0,0,0.943945841976185,0,0,0.933315005429535,0,0,0.944818775464696,0,0,0,0.943255413136347,0.932511802690799,0,0.94293674592784,0,0.94372371186624,0,0.942565881800219,0.931773450861562,0,0.93162350466732,0,0,0,0.943146939072481,0,0.943146939072481,0,0,0,0,0.942530429261462,0,0,0,0.932366323199639,0,0.942899168876328,0,0.943143160500637,0,0.932748423189761,0,0.960222840049282,0.943186665988891,0.942719598374965,0.945090158712803,0,0.932278576051511,0,0.920840271926479,0.943497902202802,0.932636708272487,0,0,0,0.943087986051116,0.952774879748932,0.932477872954772,0,0.942879761981942,0,0.944655611294667,0,0.933373313945552,0,0.943008861770689,0,0.944655611294667,0,0,0,0,0,0,0,0,0,0,0,0,0.942954769839942,0,0,0.943519993910701,0.943248838142335,0,0.943148486462262,0,0.959766143046429,0,0.933037484897746,0,0.932833555590911,0.943235940971855,0.933415700958168,0,0.942817011071355,0.942784261395208,0.944151158685286,0,0,0,0,0,0,0,0,0,0,0.942408942667144,0,0,0.932095740692312,0.943745757481957,0,0,0,0,0,0.943728624725437,0,0.943446678071804,0,0.931782456178754,0.942583949149076,0,0,0.943519993910701,0.942660994364892,0,0,0,0.942763508521615,0.943146939072481,0.871040859976802,0.943870205127602,0,0.944196526153392,0,0,0,0,0.942882946675158,0,0.960235513680836,0,0.943780375221124,0,0,0,0,0,0.943634104485511,0,0,0.943764799994186,0,0.944537821907013,0.931163051864732,0,0.943565708115038,0.943519993910701,0.944492447124638,0,0,0,0,0,0.943418326340507,0.943017074356901,0.933207070143433,0.93269202427192,0.944655611294667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93236583208493,0,0.943334089110705,0,0,0.943945841976185,0,0.943262180543083,0,0.959888557764523,0,0.94359300770099,0,0,0,0,0,0,0,0,0.942690007084062,0,0.943824828155173,0
"Assembly of collagen fibrils and other multimeric structures",0.942132501274632,0,0.943537295437244,0,0.942408682988489,0,0,0.932227800063127,0,0,0,0,0.933037365726661,0,0,0.944301718026198,0,0,0,0.94224555128194,0,0,0,0,0,0.943902453779206,0,0.931801987587221,0,0.942630478496691,0.93169892600051,0,0.942289822190756,0,0.943257008643965,0,0.941893367204657,0.942242612986445,0,0.942082320006007,0.942620483078893,0,0.943826954697924,0.942440971007002,0,0.942440971007002,0,0,0,0,0.941855468322791,0,0,0,0,0,0.94224965219769,0,0.94251048005571,0.932309926689645,0.943100400815176,0.943165438030337,0.952542137773612,0.942731410607899,0.942057690734394,0.944591827621177,0.942986661086785,0,0,0.952937975193884,0.95305170155223,0.943165438030337,0,0,0,0.942451498385635,0.95280681997191,0.93166265499983,0.9311176905148,0.942228906163034,0,0.943728030738681,0,0.94329474582236,0,0.952528915703515,0.943336191154761,0.944127294985674,0.932722945415647,0,0,0.931119888190576,0,0,0,0.94277645414082,0.932823474736753,0,0,0,0.942309089812748,0.931211770366817,0,0.9429133162246,0.942623449806221,0,0.942516173526404,0,0.952053927158366,0,0,0,0,0.942609662688075,0.932271255207016,0.931275099396015,0.942161825230876,0.942126815718134,0.943588033468191,0,0,0.942977516645291,0,0,0,0,0,0.932387170754816,0,0.942540160334471,0,0.931119888190576,0,0,0,0,0,0,0,0.943136343259559,0.931774624476678,0.942834941348935,0.932271255207016,0.942252239700479,0.941912681260684,0,0,0.953075317661461,0.942545574451726,0,0.943131091396738,0,0.942104630827229,0.943503503987233,0.952937975193884,0.943413610427668,0,0.943636531442511,0,0.931275099396015,0,0,0.942232310610676,0.932741824640231,0.952707575888588,0.931910885704479,0.943126212425382,0,0.931277786251041,0,0,0,0.943035300808659,0,0,0.943175014742189,0,0.943520463394932,0.931113320406238,0.942816945168776,0.943262525148855,0.9429133162246,0.943952871945151,0,0,0,0,0.931119888190576,0.942804633253867,0.942201270508111,0.94261297593685,0,0.944127294985675,0,0.931115501275424,0,0,0,0,0,0,0.932638415934689,0.931920267042105,0.931119888190576,0,0,0.942078254414529,0.943516022932799,0.952876584811855,0.943291726756745,0,0.943194126182657,0,0.953100054601617,0,0.953007446552709,0.942342465578875,0.942991368209298,0,0,0,0,0,0,0,0,0.942026057545984,0,0.943239185045967,0.942469705508362
"Collagen chain trimerization",0.922871160261709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92668383872688,0,0,0,0.923746419513381,0,0,0,0,0.924626311309353,0,0.922450851263896,0,0,0,0,0,0,0.923542606364254,0,0.923542606364254,0,0,0,0,0.922384239086651,0,0,0,0,0,0.923077068132001,0,0,0,0,0,0.941167440189139,0.923923820728159,0.922320352243295,0,0,0,0,0.940417248531014,0.924202034971137,0,0,0,0,0,0.941632653320486,0,0,0,0,0.92637726771688,0,0,0,0.92297660034557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.922762218576623,0,0,0,0,0,0.923126194935819,0,0.923048975654116,0,0,0,0,0.923709833042625,0,0,0.922503382063591,0.922861167162215,0,0,0,0,0,0,0,0,0,0,0,0.922155976546444,0,0,0,0,0,0,0,0,0,0.924635542136228,0,0.924105789370319,0,0,0.922484798210618,0,0,0.922505275184059,0.922629559340613,0,0,0,0.9228221743526,0.923542606364254,0.940417248531014,0.924901559159943,0,0,0,0,0,0,0.923046588054198,0,0.940012292009698,0,0,0,0,0,0,0,0,0,0,0,0,0.926155951900215,0,0,0.924329436268826,0.924243543331716,0.92637726771688,0,0,0,0,0,0,0,0,0,0.92668383872688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.922155976546444,0,0,0.92504367409277,0,0.923319391343857,0,0.940539353412209,0,0,0,0,0,0,0,0,0,0,0.922684071667784,0,0,0
"ECM proteoglycans",0.918050805014538,0.919090793982112,0,0,0.919151736531421,0,0,0.919366901216409,0,0,0,0,0.901416910003975,0,0,0.921871689634747,0,0.919816016908908,0,0.920227994819585,0,0,0,0.92238269218386,0.919686155647443,0.922178920487758,0.918850851055866,0.899240900008791,0,0.918531910095642,0,0,0.918635142831812,0,0.938545459828188,0,0.917540784204409,0.91885921882141,0,0.918576876827121,0.919524803772121,0,0.921342666619657,0.9204657057731,0,0.9204657057731,0,0,0,0,0.917562835822793,0.922689923036871,0,0.919105731157223,0.91997557098452,0,0.918257156067208,0.921649897472667,0.918054099247166,0.900135590086696,0,0.920484694014152,0.918794223260805,0.937312434237992,0.918226263677232,0.92238269218386,0.919862563290682,0.897795712448333,0,0.937390928307796,0.937591247290765,0.919955670999061,0,0,0.919153713755331,0.918919921236747,0.919260437685893,0,0.896825986666459,0.918527844603879,0.899476014830899,0.921871689634748,0,0.921564458781736,0,0.936670405974389,0.919672495309822,0.921564458781736,0.900863086265629,0,0.898825677719,0.896829857679148,0,0,0,0.919492302233865,0,0,0,0,0.918669081054208,0.917479860991111,0,0.919733372763416,0,0,0.919033840811863,0,0.937282794546449,0,0,0.919325462702242,0,0.919198513751867,0.919818984427019,0.917591409509027,0.918409687438715,0.918348021259574,0.920614597023139,0,0,0,0,0,0,0,0,0.920399909651143,0,0.919383322318692,0.900958704684328,0.896829857679148,0.897451441623695,0,0,0,0.918709693136972,0,0,0,0,0.919595322309573,0.900067473669509,0.918876175431933,0.935870314464286,0,0,0.937551448548319,0.919085627957294,0,0.920116964585339,0,0.918308944524435,0.938672408853869,0.937390928307796,0.938821300103908,0,0,0,0.917591409509027,0.918748190924759,0,0.918226610386117,0,0.936974515281689,0.919491456080038,0.899747628827242,0,0.917596142167965,0.919668340131508,0,0,0.919948237885031,0,0,0,0,0.900381571658907,0.896818289104386,0.919563623620195,0.938247945813608,0.919733372763416,0.921168420761485,0,0,0,0,0.896829857679148,0.91954193726438,0.936685869907844,0.919733372763416,0.920588851573303,0,0.920129680154574,0.896822130513745,0,0,0.901812948024226,0.919131230305217,0,0,0.90071419501559,0.899449238871067,0.896829857679148,0,0,0.917996040648815,0.92110221850124,0.938675226471937,0.919450047892547,0.922005942007488,0.920535225672596,0.918665578143739,0.937676416936726,0.920536932149928,0.937513295999399,0.920194331697218,0.919167585599944,0.918850851055866,0.918850851055866,0.918850851055866,0.918850851055866,0.918850851055866,0,0,0,0.918170544596603,0,0.920307362046353,0.919921704499471
"Biological oxidations",0.942691724761665,0.94380224770961,0,0,0.943698027845754,0,0.943331892186389,0.943715241733878,0,0.944455698117623,0,0,0,0.943862220361384,0,0.936605263516886,0,0,0,0.94400025741829,0,0,0,0,0.943800389582114,0,0.950370351139848,0,0,0.951422693315626,0,0,0.943393580023514,0.943451440092366,0,0,0.950113577262547,0.943291034920808,0,0.943171558503278,0.951011786355146,0,0,0.943564858045277,0,0.943564858045277,0,0.952477505636896,0,0.952806543337473,0.949955320409499,0.95209919241186,0,0.943808568555274,0.951735999119871,0.943784237367858,0.942779044696443,0,0,0.943920090071181,0,0.943586386336662,0.951236097593564,0.951507327214968,0.943023192323487,0.936821500403892,0.944018901068853,0.943552560873545,0,0,0.943699540293628,0.952249037364727,0.943546986687773,0,0.959585178955457,0.951427458528564,0.951433381846125,0,0.943250566114938,0.943348175485259,0.943593816957486,0,0,0.944178569698068,0.944578102933717,0.951226242354968,0.94420000138362,0.93647525507884,0.943938036607398,0,0.943892975332133,0.943252204180609,0.951434786785017,0.951821866213856,0,0.943745139400074,0,0.952546526461383,0,0.943565847020016,0.951183142160691,0.950087796870624,0,0.943348816532827,0,0,0.951337494648047,0,0.94297682600415,0.952650252713558,0,0.943461687682319,0,0.951704774686334,0.943667753363948,0.950134999970308,0.943714225041754,0.951121016074149,0.936073309628427,0,0.952390234092442,0,0.943342193777169,0,0.951809733354682,0,0.951377913902135,0.943999423846079,0,0.951485381959439,0,0.943252204180609,0.950919477533155,0.952046557980622,0,0,0.951497924352118,0,0.952004777130072,0.943434691740111,0,0.951742680571623,0,0.943298210314903,0.950730277712459,0.944801996418356,0,0,0.951657005701917,0,0.944047127662901,0,0.951104480282741,0.94360932742418,0,0,0,0,0,0.950134999970308,0.950326909268162,0,0.942766118923368,0.936214156333586,0,0.943841784266883,0,0.943611120692031,0.950137002651973,0,0.943337241307571,0,0.942936285381672,0,0,0,0,0,0.94324730879878,0.944002331269274,0.943429710773276,0.951771680345389,0.944621997415909,0.944098045054995,0,0,0.951538598720345,0.943252204180609,0.943777301015892,0.95107538982707,0.951476113746055,0.951210098700979,0.944253671086865,0,0.943248934337445,0,0.953172583539936,0.944355789814396,0.951676302885017,0,0.94327371514403,0,0.951676302885017,0.943252204180609,0.959731747634866,0,0.943718809290463,0,0.943512815631918,0,0,0.944613672161354,0.95147925656108,0.959523922105533,0.94363946772392,0.959454895515051,0.951594213162555,0,0.950370351139848,0.950370351139848,0.950370351139848,0.950370351139848,0.950370351139848,0,0,0,0.943682764393367,0.943586386336662,0.943516605626539,0.951713204867551
"Ethanol oxidation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.812552483690506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.816781124688084,0,0,0,0,0,0,0.813598423297916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.815692211136554,0,0,0.850657346200075,0,0.811514613678458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.817110088138495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81309817477225,0,0,0,0.811382856540998,0,0,0,0,0,0,0.814045745458443,0,0,0,0,0,0,0,0.809802654638048,0.815174486627075,0,0,0.812911045929168,0,0,0,0,0.813278839823818,0,0,0.808453578169371,0,0,0,0,0,0,0,0.811304044515248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.774840030044619,0,0,0.773287957945128,0,0,0.810098433513315,0.812008342936028,0,0,0,0,0,0,0,0,0,0,0,0,0,0.851355914188197,0,0,0,0,0,0,0.774240557591731,0.812822072478079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metabolism",0.924401709594328,0.92286782129776,0.924736858208981,0.923088112642851,0.922888939582503,0,0.924530937109485,0.923013837654769,0.921453803369606,0.92296217418654,0.921513767934545,0.921472749229922,0.922781282648668,0.925039359683254,0.921472749229922,0.923055080016242,0.921453803369606,0.92317923622357,0.921278129462345,0.923122390682989,0.921472749229922,0.921453803369606,0.923082065341927,0.921462989155382,0.922990625859304,0.923142118737926,0.923006002482828,0.922966742304275,0,0.924439643380927,0.922894969925715,0.92322670555366,0.923043850353142,0.926487022561757,0.924692003687806,0.923135231019283,0.924391972992298,0.92291357583847,0,0.922922222227968,0.923050963116079,0.921178180561529,0.923217607826934,0.924979332584517,0.9233822863726,0.924855553218827,0,0.923126733197544,0.921419709626081,0.923218329928155,0.924607585174874,0.923050260870602,0.923039812986531,0.922869097256435,0.92491122026745,0.92284793843866,0.924543115814741,0.923100627514986,0.923073181138565,0.923043168238734,0.923142118737926,0.923037741414506,0.924560263825355,0.92448933816653,0.922672081690323,0.923098730715284,0.923044473251796,0.924744825488559,0.923390960723135,0.923093304537632,0.924884492944506,0.924707151683389,0.92295773902441,0.923083677897154,0.924613040099404,0.924449706789625,0.924478794278652,0.92288951248976,0.922901598462609,0.922772767157307,0.922912554897352,0.923115874560623,0.923229797992118,0.92309619835135,0.92324506192677,0.924560226928433,0.923150426734038,0.923172471766215,0.923478308566394,0.924598314563588,0.922929022092476,0.922901929131037,0.922863556179314,0.924868479431683,0.924549731702084,0.92299389906793,0.923262797864554,0.923130365890925,0.921384786852008,0.924985416861678,0.922922970047612,0.924386768828732,0.922958552186166,0.922999952234384,0.923010280945948,0.921446337916683,0.922843514693409,0,0.926168317921419,0.923153037101078,0.923222975056061,0.922927632224894,0.92139175700243,0.922899311506895,0.923121282561081,0.924767635588217,0.922971497295322,0.92312917190529,0.923066683921392,0.921415054724888,0.92480612781056,0.924918805759747,0.921310883616548,0.921587471367876,0.924583217357431,0,0.924441621938079,0.92292456559853,0.924658336132058,0.923023993156961,0.923232262829609,0.923149487862415,0.922815076110059,0.924959026914205,0.92338461498232,0.921407424324759,0.924944063166309,0.923132447363273,0.92470306997843,0.922972181199697,0.922907142574286,0.924602246201235,0.922984298657595,0.923135627860607,0.926354762171601,0.923431794759259,0,0.926445778551799,0.922322484718567,0.921503048641322,0.924718444656401,0,0.922796153327898,0.924558569079182,0.923093304537632,0.924583372317701,0.923248919891802,0.921420664201719,0.923091154352721,0.924396297491148,0.923058797665977,0.923033648162768,0.924416727185489,0.923415236774283,0.9260661381248,0.922957478170891,0.922935586548102,0.925006124768948,0.92476803985992,0.922879933372059,0.923162957465964,0.921358122009438,0.922864531348493,0.91973163440074,0,0.92303890065938,0.921489137965168,0.923128876853491,0.922900940923882,0.923273186290034,0.925141812007587,0.922958007467708,0.923118530979336,0.922993680777417,0.922987810284234,0.921408374259034,0.924918680556625,0.922901929131037,0.922997530896287,0.924809639079429,0.92309249268881,0.92299883208201,0.923144775156639,0.924571736139115,0.923148827794923,0.92302239964655,0.923488359780599,0.921426203336238,0.923234148114034,0,0.92127763050368,0.922721255549932,0.923227257655834,0.923149487862415,0.924564867917913,0.924958075019466,0.924453621872929,0.923378371480777,0.92616583292443,0.923170906172877,0.922902787482401,0.92468195844513,0.924446703852957,0.91732517200292,0.923052495183391,0.924653228757948,0.92492990717625,0.923316941938701,0.924691365429734,0.924691365429734,0.923006002482828,0.924815144795424,0.924691365429734,0.923151426662036,0.923151426662036,0.923126072880559,0.924854092911562,0.921278342978368,0.922895208339658,0.923275044987997
"Integrin cell surface interactions",0.864510608473437,0.866252785339242,0,0,0.865843157072836,0,0,0.866805635680382,0,0,0.845160120336053,0,0,0,0,0.868999457535047,0,0.842710953598768,0.846340329206679,0.866574916263598,0,0,0,0.869127110188299,0.866231577311902,0.868999457535047,0.842084182556967,0.842188323089806,0,0.865730828340544,0,0,0.865405707437867,0,0.867638480211639,0,0.84256153696252,0.865654513699115,0,0.865341010873049,0.866393556304378,0.824531450475234,0.867676451222379,0.867192031101989,0,0.867192031101989,0,0,0,0,0.863968784289506,0.846134586484892,0,0.866269371064022,0.86655293413418,0,0.8647397335752,0.867858527353049,0,0.843181756137492,0.843035825374221,0.844468566141108,0.885457302337175,0.906360424561565,0.864610563549624,0.869566857165687,0.866279265841279,0.842321249331376,0,0.886231485645632,0.886453912944957,0.867459385368692,0.823429505190862,0.824755693992381,0.842026289815673,0.865721915570399,0.866100013307499,0,0.86421777910728,0.865286567181124,0.843488200529106,0.868658318977476,0,0.868218572000088,0,0.864969076057385,0.867452207705232,0.868658318977476,0,0,0.866438167178875,0.864222077346445,0,0,0,0.865740734791467,0,0,0,0,0.865443391271119,0.864562669249436,0,0.864996835048608,0.841297477273496,0,0.865507269385432,0,0.886111417641365,0,0,0,0,0.866031255103934,0.86672020437144,0.842617749557136,0.865496508092054,0.865086897533064,0.867603625195768,0,0,0.842795487123397,0,0,0,0,0,0.867365243732142,0,0.86589532161381,0.845833326970783,0.864222077346445,0.841938982865036,0,0,0,0.865328793345798,0,0,0,0,0.866812996217144,0,0.865673341735422,0.884543048406619,0,0,0.886500101598787,0.864965332887417,0,0.866442947409465,0,0.865384646629814,0.887654397507375,0.886231485645632,0.867603625195768,0,0,0,0.842617749557136,0.841970192283196,0,0.864705816702968,0,0.885723365412987,0.866356528175647,0.867510679808858,0,0.842623004538619,0.865606902169126,0,0,0.866522584401911,0,0,0,0,0.868165778221814,0.864209231999473,0.866436660526653,0.88718308836678,0.865324164676818,0.868658318977476,0,0,0.824350361187649,0,0.864222077346445,0.866412580744073,0.865914794169458,0.866625144128801,0.844142767654196,0.868999457535047,0.867406328763938,0.864213497368119,0,0,0,0.865956545882143,0,0,0,0,0.864222077346445,0,0,0,0.867803924732873,0.886111417641365,0.865721787973209,0.868412929368567,0.843560273066718,0.865279809576716,0.865732947198219,0.867077641818091,0.886367358515814,0.867136977052596,0.841990957806497,0.842084182556967,0.842084182556967,0.842084182556967,0.842084182556967,0.842084182556967,0,0,0,0.844204586651536,0,0.867262482059297,0.866493122644445
