"","KIF25","FRMD1","THBS2","RNGTT","TRMT11","CENPW","RSPO3","RNF146","ECHDC1","PTPRK"
"Signaling by GPCR",0.943908586639912,0.941527547266056,0.943800279284875,0.943927874314439,0,0.941199193083253,0.943810495950617,0.943641185675098,0,0.943858019866395
"GPCR ligand binding",0.917515312629842,0,0.917392987103477,0,0,0.912634986915146,0.917482837553081,0.917197737926516,0,0.917674827966235
"GPCR downstream signalling",0.948791237798779,0.949051325965687,0.951514833349336,0.951653138831392,0,0.948695409409274,0.951569201159171,0.951385678812314,0,0.951616974026841
"Neuronal System",0.94896653557299,0.945655709334397,0.948969557163973,0.949119814057669,0,0,0.949076824563959,0.948848010458696,0.952520605333748,0.949146087597707
"Transport of inorganic cations/anions and amino acids/oligopeptides",0,0,0,0,0,0,0,0,0,0.937162191249792
"Class A/1 (Rhodopsin-like receptors)",0,0,0.918048672619222,0,0,0.911092042821186,0.918358812258709,0.917945383031353,0,0.918506510166663
"G alpha (i) signalling events",0.949310654938905,0.94937694367118,0.953963027634083,0.954133616411455,0,0.949070301726745,0.949061077925774,0.949145551957669,0,0.954252390564565
"Peptide ligand-binding receptors",0,0,0.915435353888332,0,0,0.908087023542955,0.915805290669937,0.915368582863823,0,0.915968622063116
"Biological oxidations",0,0,0.903231990012701,0.903564693330739,0.904449855248702,0.903512773094064,0,0.903320443985565,0.905703284377641,0
"Binding and Uptake of Ligands by Scavenger Receptors",0,0,0.798145090439969,0,0,0,0.7811505249986,0.779872219325824,0.759715218858223,0.781483281901472
"Drug ADME",0.878988618753519,0,0.891266639266966,0.891163792842756,0,0.891455457699103,0,0.891130659954682,0.891743875183641,0.892028096474754
"Transport of small molecules",0.921437350037762,0.921499362327755,0.924087191605585,0.924082321619133,0,0.921177207979238,0.923799638573531,0.926663051990262,0.92152228931923,0.924133989126987
"Signaling Pathways",0.92321644909903,0.922365851680724,0.923223128453025,0.922158344745861,0,0.921927162969911,0.92111058306272,0.923123323238992,0.922335458064217,0.92326223473952
"Interaction between L1 and Ankyrins",0.925888221384885,0,0.926413484100648,0,0,0,0,0,0,0
"Extracellular matrix organization",0.856203102874375,0,0.861332331031462,0.856476877047759,0,0.845460281350471,0.856525396629351,0.856172145225281,0,0.856617351821021
"Transmission across Chemical Synapses",0.943805094441375,0.938481209286441,0.943809953229551,0.944051569789323,0,0,0.944014659061935,0.943646720689316,0.949520120804986,0.944128225004729
"Post-translational modification: synthesis of GPI-anchored proteins",0.922705808032023,0,0.912099905358352,0,0,0,0,0,0,0.911526749194145
"Protein-protein interactions at synapses",0.913776432854701,0,0.902176128023836,0,0,0,0.914610724379795,0.913816245939611,0,0.914817535779278
"Phase 0 - rapid depolarisation",0,0,0,0,0,0,0,0,0,0
"Antigen activates B Cell Receptor (BCR) leading to generation of second messengers",0,0,0.889540676335265,0,0,0,0.858056135112599,0.854234156226615,0,0.892713033235341
"Developmental Biology",0.908751763111848,0.906969452978964,0.912819735224292,0.908955490027041,0.909215417145776,0.908631229674997,0.908476353786175,0.910869842374035,0.909010023439711,0.908916695163835
"Metabolism of fat-soluble vitamins",0,0,0.909794742909508,0.910337346282075,0,0,0.911380443944149,0.909662851693354,0.91141324397276,0.911827551932436
"Retinoid metabolism and transport",0,0,0.909794742909508,0.910337346282075,0,0,0.911380443944149,0.909662851693354,0.91141324397276,0.911827551932436
"Amino acid transport across the plasma membrane",0,0,0,0,0,0,0,0,0,0.836843987542946
"Muscle contraction",0,0.929061641590242,0.93601893977522,0.928677841118913,0,0.92132577014667,0.928573064208903,0.928982021151881,0.92836706526765,0.937046266773698
"Synthesis of bile acids and bile salts via 27-hydroxycholesterol",0,0,0.812946623159217,0.815811704000127,0,0.8153645919117,0,0,0.815380198989856,0
"Cardiac conduction",0,0.922466819461428,0.921116458411098,0.921394631835462,0,0.911586480443039,0.912150620045925,0.922326249835839,0.921418499081457,0.933871293416816
"NCAM1 interactions",0,0,0.912207121990445,0,0,0,0,0,0,0
"Ion channel transport",0,0.926497797443526,0.927368157474353,0.926173804512586,0,0.926030500070273,0.934475910477096,0.933932029613478,0.927418805346937,0.934617488595354
"Stimuli-sensing channels",0,0.90721703164149,0.908794996102883,0.906749862436785,0,0.906543230081714,0.918720766337546,0.917936538145365,0,0.918924909485724
"Phase I - Functionalization of compounds",0,0,0.928610743591181,0.929265178611775,0,0.929163050321146,0,0,0.928889737307533,0
"Regulation of Complement cascade",0.864801275078198,0,0.864719009371964,0,0,0,0,0.865090847504506,0,0.867737313829305
"Complement cascade",0.905082451193861,0,0.905011644230897,0,0,0,0,0.905331689242176,0,0.907609530782995
"Regulation of signaling by NODAL",0,0,0.827711843412888,0.828483728301472,0,0,0,0,0,0.834172295969633
"SLC-mediated transmembrane transport",0,0,0.923379569684051,0.91632571047505,0,0,0.915832080833321,0.915334164101636,0,0.924038239528326
"Constitutive Signaling by Aberrant PI3K in Cancer",0.938969440495038,0,0.93891204170563,0.939392268594786,0,0,0.938884082547228,0.939236610845255,0,0.957786959779606
"Interleukin-4 and Interleukin-13 signaling",0.634183345569346,0,0.647631864631528,0.632695540264203,0,0.63300106440395,0.632589746941351,0.632004715516346,0.633446836726172,0.633244622107215
"Synthesis of bile acids and bile salts",0,0,0.845268990428731,0.847568580588259,0,0.84720971652269,0,0,0.847222243179123,0
"Ethanol oxidation",0,0,0,0,0,0,0,0,0.815422475090741,0
"Neurotransmitter receptors and postsynaptic signal transmission",0.924908433080034,0.917497177816457,0.924915196884732,0.925251545612828,0,0,0.925311854625124,0.924799656273472,0,0.92544518544011
"Collagen chain trimerization",0,0,0.887429153296027,0,0,0,0,0,0,0
"G alpha (s) signalling events",0.938076263213775,0.939296620834598,0.948724124430467,0.949217996080219,0,0,0.949507569616865,0.948852234174909,0,0.949678160576956
"Scavenging by Class A Receptors",0,0,0.533330548720456,0,0,0,0.536819502854492,0.534218573746331,0.492684108659684,0.537496553057001
"Other semaphorin interactions",0,0,0.60520762635946,0,0,0,0,0,0,0.525043195845168
"Negative regulation of TCF-dependent signaling by WNT ligand antagonists",0,0,0,0,0,0,0.738540671757023,0.732416631337687,0,0.736553026437759
"CD22 mediated BCR regulation",0,0,0.618356707693471,0,0,0,0,0,0,0.748474232326237
"Phase II - Conjugation of compounds",0,0,0,0,0.796193634130777,0,0,0.805883089518981,0.805429124491814,0
"Arachidonic acid metabolism",0,0,0,0.885449999055111,0,0.885331191243232,0,0,0.886852537478408,0.886596711386701
"Bile acid and bile salt metabolism",0,0,0.847469989878016,0.849256172688196,0,0.848977428746605,0,0,0.848987158697091,0
"Glucagon-type ligand receptors",0.890593215441578,0,0,0,0,0,0,0,0,0.891896839294786
"L1CAM interactions",0.915802241380178,0.893788069418779,0.927755697392513,0.905341709070669,0,0.904272667956534,0.916676177747735,0.915899407313359,0,0.916878379560252
"Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol",0,0,0.782979850620292,0.785590039766399,0,0.785182704970242,0,0,0.7851969235659,0
"Synthesis of Leukotrienes (LT) and Eoxins (EX)",0,0,0,0.756431913812362,0,0.756184006903296,0,0,0.752734201321245,0
"Receptor-type tyrosine-protein phosphatases",0,0,0,0,0,0,0,0,0,0
"PI3K events in ERBB2 signaling",0.860315717718486,0,0.861726676608,0,0,0,0.863363179589535,0.861175955038774,0,0.920904523140348
