"","GRM1","IL22RA2","PCMT1","IFNGR1","RAB32","PDE7B","TNFAIP3","RAET1E","HBS1L","HIVEP2","RAET1G","TFB1M","ULBP2","PERP","ULBP1","STXBP5","CLDN20","NOX3","RAET1L","ULBP3","BCLAF1","PPP1R14C","ARID1B","MYCT1","VIP","FBXO5","ADAT2","MTRF1L","PEX3","SNX9","MTHFD1L","UST","MAP7","OPRM1","REPS1","FUCA2","SYNJ2","MAP3K5","SUMO4","IPCEF1","PHACTR2","PPIL4","ZBTB2","PEX7","HECA","SCAF8","KATNA1","IL20RA","CITED2","NMBR","TMEM181","LTV1","VTA1","DYNLT1","LATS1","ESR1","EZR","NUP43","PLAGL1","TAGAP","SF3B5","STX11","UTRN","SOD2","WTAP","ACAT2","TCP1","MYB","MRPL18","IGF2R","SYNE1","LPA","PLG","MAP3K4","EPM2A","AGPAT4","PACRG","FBXO30","QKI","PDE10A","MPC1","RPS6KA2","RNASET2","FGFR1OP","CCR6","KIF25","FRMD1","AHI1","THBS2","PHF10","TCTE3","DLL1","PSMB1","TBP","HSF2","FABP7","CLVS2","RNF217","TPD52L1","HEY2","NCOA7","TRMT11","CENPW","RSPO3","RNF146","ECHDC1","PTPRK","LAMA2","EPB41L2","AKAP7","ARG1","MED23","ENPP3","OR2A4","ENPP1","CTGF","STX7","TAAR8","TAAR6","TAAR5","TAAR2","TAAR1","VNN1","VNN2","SLC18B1","RPS12","EYA4","TBPL1","SGK1"
"Extracellular matrix organization",0.83451367866241,0.821621340564542,0.822173168295562,0.82186929756457,0,0.820572439515834,0.834231977079841,0,0.821369932144948,0.810837000243225,0,0,0,0.835411012720144,0,0.833951868685826,0.834155188652989,0.831290898002677,0,0,0.822168987484892,0.823592937484872,0.82014316650571,0.835489489826109,0.820305981666004,0.821718212905904,0,0.820897566265172,0,0.845197555554513,0,0.847433187714512,0,0.833174815731944,0.845340959278615,0,0.84516026658805,0.834333031256037,0.835085145136875,0.847126932474934,0.834935187922608,0,0,0,0,0,0,0.821630900029357,0.822556383755626,0.833718385512423,0.834887753087389,0.82144964685316,0.822290794954156,0.834338841640552,0.834947339980872,0.829802526987139,0.834653960210798,0.833163430905407,0.835738043156111,0.808647431707904,0.820290091557819,0.809546329578488,0.821448299616427,0.834326744895544,0.834646641228664,0.82198791423844,0.833403801706301,0.846546466124977,0.820856679230166,0.845128887039414,0.820282255361538,0.834712022068177,0.846181415273796,0.82174714820723,0.822756376570088,0.820470992871708,0.810725717846892,0.82094930602754,0.820176678205387,0.82031924203602,0,0.820845339786849,0.822994750144415,0.833243269485089,0.832456780080864,0.822397607479326,0,0.821022093152037,0.84662510959771,0.820413101706643,0.821588816263124,0.857944077801797,0.833280818094158,0.833579916229927,0.83563836577575,0,0.835177392258152,0.82094930602754,0.821984790342044,0.834324932854659,0.835581531134377,0,0.80932387097806,0.822661089432095,0.821851545213301,0,0.846776429932223,0.832010260682673,0.834746960817777,0.821792153781886,0.834783058120325,0.834036601334729,0.8336898842015,0.820998967360058,0.846772625477583,0.835238791091223,0.833536886854456,0.820305981666004,0.820305981666004,0.820305981666004,0.820305981666004,0.820305981666004,0,0,0.821364137680828,0.831746416712173,0.821277587585525,0.834213256321288,0.832856729863796
"Biological oxidations",0.898110108768647,0.899077603068884,0,0.898870411403751,0,0.899382777430692,0.900144885805558,0,0.885652087211221,0,0,0.900437082949606,0,0.870501489251278,0,0,0,0.883821343106319,0,0,0,0,0.900261192990029,0,0.8982662328187,0,0,0,0,0.898343226835898,0.899620441622391,0,0,0.897848356704331,0.898531732244815,0,0.898294210173916,0.916156486762602,0,0,0.899845919315894,0,0,0.901507067733835,0,0.918218618084398,0,0.899090169066283,0.914621517037609,0.898283702957092,0,0,0.916549069632706,0,0.899888718091239,0.913684407165479,0.915635744322822,0.898351572512876,0.870931373526927,0.900748568068407,0.899821472234569,0,0.900113670954281,0.915383430593493,0.899810390615489,0.915637297956797,0.915476963400302,0.915488739102006,0,0.898252961491677,0.899171975052612,0.901065993249486,0.898977057774126,0.884218439046054,0.917219564197711,0,0,0.881609636496768,0.899982948018973,0.90017507398854,0,0.900204323104875,0.901644282838762,0.898464374289906,0.897704507948173,0,0,0.898407952058387,0.898676897084962,0.899640814084484,0,0.883160316828473,0.900142864596487,0.914721162746079,0.90194753851184,0.917146847702274,0,0.881609636496768,0.899106073652383,0.91504484669103,0.901215296666541,0.902981470868005,0.89926712003264,0,0.915971672131102,0.915462568932792,0,0.882852296787921,0,0,0.901930987700024,0.914167813202556,0.931572933094857,0.883297022899742,0.93143570652699,0.914862257651865,0,0.8982662328187,0.8982662328187,0.8982662328187,0.8982662328187,0.8982662328187,0,0,0,0.884115475864398,0.899888718091239,0.899749992314889,0.900070542163702
"Metabolism",0.84552963818112,0.841642081644184,0.842017232804861,0.841691608173402,0,0.845832702108067,0.842017190588834,0.838325931631072,0.841863357716532,0.838466560323859,0.838370363397944,0.846154192154379,0.838370363397944,0.846293026327482,0.838325931631072,0.834751499334086,0.838462494768726,0.841959933813268,0.838370363397944,0.838325931631072,0.84221733254693,0.838449084611402,0.842450076321622,0.842285363063531,0.845628364165631,0.841293496959764,0,0.841705750513694,0.842483735774741,0.841632643774135,0.853847616420337,0.845920147951717,0.838013373252039,0.845506803935311,0.841749385036709,0,0.845722169943663,0.842339431797921,0.838106851269607,0.842308443490735,0.842321624470282,0.841776096124838,0,0.84200118641419,0.838245975100259,0.842464093286427,0.838162701578514,0.841645074018108,0.845853680034315,0.845570976620585,0.842188057989282,0.841543116950218,0.841472730800092,0.842091099829518,0.838268387638717,0.845887329333655,0.845964387036025,0.841849156093004,0.846395395797712,0.841830000179882,0.841454861910816,0.83823649700979,0.841875763077632,0.842102467335958,0.841852956389463,0.849492865037317,0.84564014890567,0.842176269036833,0.841692951753541,0.841611148650933,0.841746990729085,0.838240023214022,0.845746777562257,0.838413119410792,0.842493220409554,0.841756557912893,0.837708641300315,0.841504244585397,0.841632079102978,0.84575344437233,0.845876779122411,0.84189319595115,0.846210307750762,0.841239691317378,0.8454945991487,0.837992588276886,0.838308423676391,0.841312763874877,0.841830682130529,0.842226869259658,0.837834054629796,0.841931351279339,0.841885222239388,0.841672374171165,0.842230045132692,0.842126733373859,0.838219391436201,0.841504244585397,0.841769777337892,0.841949327687719,0.842291592887621,0.838807046322978,0.837846373740974,0.841588643098662,0.841904456672002,0.842050951074018,0.841654608349074,0.84192535552809,0.837989014840836,0.842014371166358,0.845896589882919,0.845925445508139,0.83613447685254,0.846027685633554,0.846017721153947,0.845897504508977,0.838258169891917,0.845628364165631,0.845628364165631,0.845628364165631,0.845628364165631,0.845628364165631,0.841987344887753,0.842277631833189,0.842247732373667,0.845719705154502,0.838281830097658,0.845918095817873,0.842507442220747
"Collagen biosynthesis and modifying enzymes",0.884306091834291,0,0.850904367769582,0,0,0,0,0,0.850693169555601,0,0,0,0,0.891034189674413,0,0,0,0.888139849584366,0,0,0.852891738688563,0,0,0.891034189674413,0,0,0,0.850228601212738,0,0.847385916849488,0,0.852745469076366,0,0.883564387521642,0.847780486518947,0,0.847283317734549,0,0,0,0.885490968847542,0,0,0,0,0,0,0,0.849746242443035,0.88466945011641,0,0.847719571070167,0,0.851013151473765,0,0.924247612813006,0.885622689314604,0.849141629553364,0.891934000971723,0,0.849455303795417,0,0.886654639014384,0.850642744142645,0,0,0.885295501385917,0.917413830155081,0.850116102154653,0.847196978148804,0,0.853085069197379,0.884492158193408,0,0,0,0,0,0,0,0,0,0,0.849346109609889,0,0.848069960921187,0,0.849988405722329,0.884619876321636,0,0.851295420541059,0.887419633662574,0.884397043762691,0.884288457367673,0.889952199798233,0,0,0,0.848631924109924,0.850826152520129,0.890493194736323,0,0,0,0,0,0,0.886111492479198,0,0,0.887598854646276,0,0.885873068987806,0,0.918036098660045,0,0.849211105996385,0,0,0,0,0,0,0,0,0.883975943258638,0,0.887738610362575,0
"Collagen formation",0.901377176183129,0,0.873855135682682,0.86886040358753,0,0,0.873981038968582,0,0.871401783838396,0,0,0,0,0.907377171387927,0,0,0,0.902956163367925,0,0,0.873362427777983,0,0,0.906272817216922,0,0.870527804161915,0,0.870242738584389,0,0.868452436065925,0,0.904487533328804,0,0.900715737775866,0.868804306116119,0,0.86836094004249,0.872100908673346,0,0.872783304998637,0.902168694040697,0,0,0,0,0,0,0,0.870557331473152,0.901701212486129,0,0.87009466498726,0.871932750060784,0.904054360285547,0.870953567684212,0.930169950825163,0.902551293854458,0.871359144743809,0.908179606726618,0.870951756970127,0.870297877682187,0,0.903471567815599,0.872265450101009,0,0,0.902259513614361,0.930902054668377,0.870142413971832,0.868283943971273,0,0.87396102169549,0.930133378934815,0.871918547739317,0.873075148750872,0,0,0.868641135572381,0,0,0,0.871312791594522,0,0.870200500294828,0.871170728149534,0.871327463240493,0,0.870773288278338,0.901657003478175,0,0.871938860306471,0.904153776120221,0.901458285457582,0.901361450086739,0.906412272508186,0,0,0.868641135572381,0.871828611784675,0.87152037562592,0.906894721948056,0,0,0.872841342479532,0.8708549619536,0,0.873358418986201,0.901882845449593,0.871302878905565,0,0.904313602131728,0,0.901914548988787,0,0.931456982396035,0.871327040148735,0.872345115650114,0,0,0,0,0,0,0,0,0.896862588070531,0,0.904438233736018,0.871504639284937
"Keratinization",-0.0202476132793816,0,0,-0.0202476132793816,0,0,0,0,0,0,0,0,0,-0.0202476132793816,0,0,0,0.81443691931426,0,0,0,0,0,0,0,-0.0202476132793816,0,0,0,-0.0202476132793816,0,0,0,0,-0.0202476132793816,0,-0.0202476132793816,0.813025043587327,0,0,-0.0202476132793816,0,0.443505654626848,0,0,0,0,0,0.789321812826688,-0.0202476132793816,-0.0202476132793816,0,0,-0.0202476132793816,0,0.533402121324707,-0.0202476132793816,-0.0202476132793816,-0.0202476132793816,-0.0202476132793816,0,0,0.813997565527155,0,0,0,-0.0202476132793816,0.814881660071716,0,-0.0202476132793816,0,0,-0.0202476132793816,-0.0202476132793816,0,0,0,0,0,0,0,-0.0202476132793816,0,-0.0202476132793816,0,0,0,-0.0202476132793816,-0.0202476132793816,0,0,-0.0202476132793816,-0.0202476132793816,-0.0202476132793816,0.510815945838111,0,0,0,0,0.790178757808478,0,0,0.761641642077097,0,-0.0202476132793816,0,0,-0.0202476132793816,0,0,0.50894848727729,0.788474029497482,0,0,0,0.762967483208959,0,0,0,0,0,0,0,0,0,0,0,-0.0202476132793816,0.78904359944727
"Collagen chain trimerization",0.822379436616377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.835266874035446,0,0,0,0,0,0,0,0.757578370130702,0,0.820958727800919,0,0,0,0,0,0,0.824649027326918,0,0,0,0,0,0,0,0,0.823075436768691,0,0,0,0,0,0.884223666262406,0.825937590289401,0.749469286770426,0,0,0,0,0.826877997060709,0,0,0,0,0.885796157929754,0,0,0,0,0.82273584025614,0,0,0,0,0,0,0,0,0,0,0.750962862683101,0,0,0,0.752193158548333,0.822980479888905,0,0,0,0.750087955608208,0.822345658408871,0.834230617046569,0,0,0,0,0,0.835266874035446,0,0,0,0,0,0,0.819962006073046,0,0,0.829722866253998,0,0.823894526355322,0,0.886988091609399,0,0,0,0,0,0,0,0,0,0,0.749281352237973,0,0,0
"Stimuli-sensing channels",0.593932185990902,-0.024553724983171,-0.024553724983171,0.595799737449838,0,0.593971863726974,-0.024553724983171,0,-0.024553724983171,-0.024553724983171,0,-0.024553724983171,0,-0.024553724983171,0,0,0,0,0,0,0,0,-0.024553724983171,0,0.592243485058525,-0.024553724983171,0,-0.024553724983171,0,-0.024553724983171,-0.024553724983171,0,0,0.591215276070459,-0.024553724983171,0,-0.024553724983171,0.595909254619308,-0.024553724983171,-0.024553724983171,0.597467251229376,-0.024553724983171,0,0,-0.024553724983171,0,0,-0.024553724983171,0.595120304546689,0.594281844385749,-0.024553724983171,-0.024553724983171,-0.024553724983171,-0.024553724983171,-0.024553724983171,0.596282887833353,0.596242379638639,0.5941979249476,-0.024553724983171,-0.024553724983171,-0.024553724983171,-0.024553724983171,0.595941955766505,-0.024553724983171,-0.024553724983171,0,0.592502894315496,0.593908523176713,-0.024553724983171,-0.024553724983171,0.591525975127472,-0.024553724983171,0.596243424142534,-0.024553724983171,-0.024553724983171,0,-0.024553724983171,-0.024553724983171,0,0.593301467528772,0,0.811573427566048,0,0.593280985112495,0.591112042708211,0,-0.024553724983171,0.59389906439882,0.595112573112144,-0.024553724983171,0,-0.024553724983171,-0.024553724983171,0.590719286430025,0.598333245770401,0.595950403829363,-0.024553724983171,-0.024553724983171,-0.024553724983171,0.596159498209578,0,0,-0.024553724983171,-0.024553724983171,-0.024553724983171,0,-0.024553724983171,0.595419287769087,0,0.600088613648692,0.59622162963563,0.595088044956419,0.59568347708148,0.597599401104513,0.5954070713914,-0.024553724983171,-0.024553724983171,0.592243485058525,0.592243485058525,0.592243485058525,0.592243485058525,0.592243485058525,0,0,-0.024553724983171,-0.024553724983171,-0.024553724983171,-0.024553724983171,-0.024553724983171
"RA biosynthesis pathway",0,0,0.582929578460816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.659405924756709,0,0.654555864376944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.660527030461066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cytosolic sulfonation of small molecules",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.754867885621217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.834348033596231,0,0,0.754523197754132,0,0,0,0,0,0,0.749860725933499,0.822230529965378,0,0,0,0,0,0,0,0,0,0.821485612256364,0.751700752858431,0,0,0,0,0,0,0,0,0,0,0.753899654484406,0,0,0,0,0,0,0,0,0,0,0.751957389664245,0,0,0,0.74809968283392,0,0,0,0,0,0.756943656528414,0,0,0,0,0.823806528954215,0,0,0,0,0,0,0.752128616256518,0.896999551078081,0,0.89635575521817,0.755386589317804,0,0,0,0,0,0,0,0,0,0,0,0,0.754310600765477
