"","PNISR","USP45","CCNC","MCHR2","SIM1","ASCC3","GRIK2","HACE1","LIN28B","PREP","PRDM1","ATG5","QRSL1","BEND3","PDSS2","SEC63","OSTM1","NR2E1","SNX3","FOXO3","SESN1","SMPD2","MICAL1","ZBTB24","AK9","FIG4","WASF1","CDC40","DDO","SLC22A16","CDK19","AMD1","GTF3C6","RPF2","REV3L","FYN","TUBE1","LAMA4","RFPL4B","HDAC2","HS3ST5","COL10A1","DSE","TRAPPC3L","RWDD1","KPNA5","GPRC6A","GOPC","NUS1","EPHA7","FUT9","UFL1","FHL5","NDUFAF4","KLHL32","FBXL4","COQ3"
"Metabolism",0.89458929986153,0.896913388722066,0.899563235225687,0.89943601763112,0.897540964677097,0.896822112617661,0.897198793859388,0.897303421328189,0.894729254558412,0.895046425680365,0.897340675006773,0.897149457293279,0.894800610759809,0.89448418514462,0.897474116823826,0.896998859115801,0,0.897309620919167,0.897025805833497,0.899617341136169,0.897171639678526,0.900131091432404,0.894808048852478,0,0.899566396704763,0.900110461485748,0.897067057628552,0.8967258862035,0.900195359648264,0.897679652497335,0.900171449509611,0.899984156943609,0.897020636521135,0.896916713188415,0.897435565570555,0.899449772772912,0,0.89969034555797,0,0.896937150148996,0.899753263148793,0.897148457868542,0.899792895524059,0.894541512520893,0.894511101863779,0.89731663625571,0.899526618101815,0.896962162988993,0.89752394277751,0.897075611750378,0.899774302411873,0.89730289499098,0.89740670193334,0.899769965405512,0,0.896908382778694,0.899798271728292
"Drug ADME",0,0,0.882497272010194,0.838302904484721,0.866839565571195,0.843900208181888,0,0.838542649504864,0.826888263578638,0,0.885881598143192,0,0,0,0,0,0,0.886190797908358,0.844312131149935,0.88269519438954,0.884866084711218,0.841038460798481,0,0,0.862381918886491,0,0.882892776385294,0.841767917370015,0.861763523446372,0,0.88268734289663,0,0.842134043895409,0,0.884015481693784,0.881711135554169,0,0.883595487048604,0,0.881744140732571,0.884706902532391,0.883336849789902,0,0,0,0,0.839012557209191,0.840373039913222,0,0.859431628376109,0,0.838538526826126,0,0.841125856492085,0,0.838546788070656,0
"Extracellular matrix organization",0,0.766817038582866,0.785227631795507,0.765745402139737,0.779253154826461,0.774238115643052,0.778880759382313,0.776636747805646,0.767419701297971,0,0.789717923741623,0.7778120063936,0.75528276390954,0,0,0,0,0,0.766412905819767,0.778164338468254,0.789159670911646,0.777509923258495,0,0,0.764585291899727,0.766802830474529,0.777364626302286,0.761662111805708,0.766028092878272,0.767632475847755,0.778320072486502,0,0.765739766069558,0.754196976018273,0.766023947750678,0.788589365356935,0,0.789209639084332,0,0.783702868356181,0.777798029296316,0.727305645002428,0.789231739896092,0.766826594356739,0,0.755806699970065,0.766135515780052,0.778233775509294,0,0.778081776239742,0.766176612232889,0.776634481467259,0.767463123319685,0.765983807954788,0,0.776639022877538,0
"Transport of small molecules",0,0.92201289700965,0.922461575155938,0.927701498304962,0.923216755173774,0.916192207663918,0.922644218661817,0.921344851734926,0.916871967890617,0,0.916702530109012,0.916271576581666,0,0.916635515427315,0.916577264255995,0.923012920380883,0.928499139159584,0.917312324907045,0.922088571000675,0.928114817965431,0.922746936622617,0.916628382690617,0.911512266077341,0,0.921963576842945,0,0.922603255704811,0.916063337869698,0.917428142032895,0.928694872809583,0.922516888783107,0.923171343244682,0.915499060974574,0.922260517628201,0.921593046962451,0.92773285259923,0,0.922712166879044,0,0.927838046344137,0.922700612096769,0.922541310638418,0,0.910671184260319,0,0,0.927908018445723,0.922120977535913,0.915949598791746,0.922616578161858,0,0.921343651970359,0.923042467055579,0.922524822331519,0,0.921346056122875,0
"SLC-mediated transmembrane transport",0,0.841552409920333,0.87074893049559,0.869447210583631,0.873026255792267,0.840569762054392,0.857142452639909,0.838920440225353,0.843742720818359,0,0.853519058989427,0.840748316421103,0,0,0.841944873059185,0,0,0.843116947796397,0.840781067481866,0.870720390992076,0.852779704767987,0.841431081436181,0.843116947796397,0,0.855049938383165,0,0.870864242444989,0.854502760445309,0.841264394069832,0.886744846824014,0.870648170795395,0.87228547651737,0,0.850866468621646,0.840502034493149,0.869764794970664,0,0.871136715014477,0,0.883960574077405,0.87194589163769,0.870948411696154,0,0,0,0,0.869963880005298,0.841481513963971,0,0.870897572396013,0,0.838917438669851,0,0.870668018844378,0,0.838923453347575,0
"RA biosynthesis pathway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cytosolic sulfonation of small molecules",0,0,0.818235943263939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.827774035916808,0,0,0,0,0,0,0,0,0.818644947510962,0,0,0,0.818726778789511,0,0,0,0,0,0,0,0,0.815678732143281,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86874593053717,0,0,0
"APAP ADME",0,0,0.67009027656673,0,0.682575041370881,0,0,0,0,0,0,0,0,0,0,0,0,0.681131559452589,0,0,0,0,0,0,0,0,0.670563739318379,0,0,0,0.670658467093443,0,0,0,0,0.659319271578812,0,0,0,0.66713005250416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phase II - Conjugation of compounds",0,0,0.837293052422643,0,0,0,0,0.762002027721937,0,0,0,0.79195695610933,0,0,0,0,0,0.841724468536576,0,0.789930961632621,0,0,0,0,0.813744807410024,0,0.814276790754682,-0.0185868917288399,0.813423777309042,0,0.837521095547875,0.816825492611691,0,0,0,0.808051613921928,0,0,0,0.8361049672384,0,0,0,0,0,0,0,0,0,0,0,0.761997081417105,0.793359856638944,0.83755380342235,0,0.762006993087726,0
"Biological oxidations",0,0,0.934376328282866,0.918400803718401,0.935975311535206,0.920775406661313,0,0.918678942500172,0,0,0.907414440194249,0.920974181844631,0,0,0.920376184717835,0,0,0.936982660837909,0,0.91990094866838,0.906679675835519,0,0,0,0.919865486021611,0,0.934853253696283,0.919497341470892,0.921541509853614,0,0.934513852129019,0.935802718503225,0.920136430231164,0,0,0.918583432249752,0,0,0,0.933659840803014,0.905102308429778,0,0,0,0,0,0.918914265690049,0,0.92045894589986,0.920071264535467,0,0.918675959578131,0.921820216016487,0.935202260983981,0,0.918681936917129,0
