"","ARID1B","SNX9","SYNJ2","TMEM181","DYNLT1","EZR","TAGAP","SOD2","WTAP","ACAT2","TCP1","MRPL18","IGF2R","LPA","PLG","MAP3K4","AGPAT4","PACRG","QKI","PDE10A","MPC1","RPS6KA2","RNASET2","FGFR1OP","CCR6","KIF25","FRMD1","THBS2","PHF10","TCTE3","DLL1","PSMB1","TBP"
"Neuronal System",0.908408518918632,0.90846493015123,0.909370848762982,0.909441257591348,0.9084824651002,0.914335942050609,0.909191948692049,0.909272631880988,0.909241589487764,0.902775151573921,0.914171560756812,0.901781828035242,0.909575374839302,0.903245582498871,0.907977771497694,0.903020590367479,0.908365584943085,0,0.902594887059411,0.914356699009594,0,0.914918869195652,0,0.914087929876854,0.913925912271815,0.908202370778859,0.902451073343976,0.908123849611411,0.901872261339096,0.909088322366768,0.909142048370316,0.908033708762272,0.908013149070547
"Transport of small molecules",0.918682672887501,0.917986061604624,0.918201287157303,0.918682672887501,0.918573521013172,0.922241720989375,0.918313897105632,0.918594921868653,0.918446820288294,0.914550103276681,0.922139993232714,0.914322972913872,0.917963923054207,0.918566497910564,0.91817435682009,0.914686042255765,0.918546951219761,0.914270922215595,0.914441108490547,0.922254566483068,0,0.919359777906894,0,0.922088238062712,0.92198797308049,0.914094881708381,0.91428851949094,0.918433304404005,0.91451960303483,0.918528861545177,0.918520957930184,0.917756967423493,0.918328845437455
"Extracellular matrix organization",0.825815878292419,0.832638266180205,0.832615892870022,0.833115367394789,0.832786021552627,0.83924287425044,0.832457187469929,0.83277876352823,0.832970700730203,0.832522069846873,0.832177913222805,0.824696749305172,0.83259706519949,0.831897108614897,0.845769835974086,0.832682867839509,0.824465338210962,0.818618191410434,0.824288749961256,0.824374287993179,0,0.832770055208206,0.818988474984932,0.832183904919954,0.8320642145429,0.825621303374601,0,0.839044938866515,0.824430603620123,0.825136030156549,0.839330199109513,0.832716351808541,0.832330667724718
"Biological oxidations",0.951680587467333,0.940942116689517,0.940946769526652,0,0,0.951278632587691,0.942409044401004,0.951128307312112,0.941850090338042,0.951279558222834,0.951184032955726,0,0.940888337758101,0.942598162242302,0.950945704559145,0.932437211533954,0,0,0.951192712832591,0.942067364002452,0,0.942084790249864,0.942942699743695,0.940708319739302,0.940595432523197,0,0,0.9411747694675,0.950988873833726,0,0.931806795922507,0.942048174060828,0.950733736644346
"Drug ADME",0.900034036637251,0.867664816929834,0.865277935678651,0.851639132044909,0.865244992361501,0.899170988321323,0.866102824318001,0.899588861596251,0.866481142772184,0.900174002366791,0.899270875981852,0,0.867574362690329,0.834233462998358,0.884072426702211,0.851244263836449,0.850152629099845,0,0.900122871859329,0.899351632752187,0,0.899625034337583,0.901500266318315,0.865047226068269,0.864619376257171,0.849739938416782,0,0.883949269168815,0.899412359485404,0.866039773400449,0.866584054467311,0.883197648217724,0.898588359648126
"Activation of Matrix Metalloproteinases",0.864659259001769,0.858889643140757,0.858806998707873,0,0.890720755758277,0.890234652095972,0,0.891754795516421,0,0,0.859729348379587,0,0.858737451459794,0.892971742856257,0.914648812604338,0,0,0,0,0,0,0.890782964058799,0,0.859373556958153,0.888054483736712,0,0,0.889756835309711,0,0,0.864570984896806,0.888811608617543,0.888724141381197
"Transmission across Chemical Synapses",0.917228720388815,0.916639199833853,0.916548944723224,0.917328255577022,0.917339383227099,0.925376303967879,0.916955156793275,0.917075901779703,0.917029445840148,0.907352213588849,0.925130302076415,0.905865672975215,0.916855024572498,0.908056228593649,0.91730708874411,0.907719520634923,0.917164468313968,0,0.907082441946899,0.926130363144799,0,0.925525677462693,0,0.925728141496008,0.924762681220362,0.916920213069433,0.906867220097757,0.916802703617683,0.906001009322103,0.916800076665628,0.917652529019874,0.916667804938677,0.916637036698962
"Degradation of the extracellular matrix",0.816110633014745,0.81453636439145,0.814486425604954,0.833209469531557,0.83166847820032,0.848167604843531,0.815912156318343,0.832483402066081,0.832080694986471,0.799523000827644,0.83053950273137,0,0.814444400933092,0.833218755570963,0.843802658988036,0.815386043332219,0,0.800234988850566,0,0,0,0.832554840068713,0.800871393344625,0.8139971636566,0.830057354685068,0.79827707299641,0,0.830616612723785,0.797998753140256,0,0.831418987660207,0.83070494976106,0.830652096743757
"Phase 0 - rapid depolarisation",0,0.884304030090869,0.884191973355549,0,0,0.885464817691659,0.847565478632624,0,0,0,0.884516605440809,0,0.884097674958207,0,0.883953481335768,0.848749523722957,0,0,0,0.885307959025539,0,0.886208268234507,0,0.884034191517095,0.883434722203337,0,0,0,0,0,0,0.882634506662652,0.883416731771578
"Blood group systems biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.853449492342006,0,0
"RA biosynthesis pathway",0,0,0,0,0,0,0,0,0,0.864903947301411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neurotransmitter receptors and postsynaptic signal transmission",0.922076733596949,0.922750538556348,0.922285843958532,0.922219232044275,0.922219731698224,0.933539262633024,0.92172323575298,0.921879261967973,0.921874308572162,0.908032666474953,0.93322137991887,0.907393446686421,0.922681359182646,0.910224074375295,0.921243748552727,0.909530035643963,0.921993707308732,0,0.907539947783895,0.935447907387432,0,0.936535039508329,0,0.933059653420105,0.932746341638448,0.921678081605136,0.908687642091882,0.921526236335821,0.907568327802241,0.921522841798306,0.923711891414628,0.921351920772785,0.921312162169743
"O2/CO2 exchange in erythrocytes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218683756348977,0,0,0,0,0
"Cardiac conduction",0.877475040219716,0.891306401272585,0.891902674920687,0.877173707818595,0.876351804251128,0.892747485296108,0.876880562744907,0.875776581796912,0.87619989921247,0.876236635929377,0.891374700988079,0,0.891217918918743,0,0.891330152493139,0.877388265632139,0,0,0,0.891999161954202,0,0.892367724583404,0,0.891554108427505,0.891034774686284,0,0.876920353130723,0.874868347225414,0.860779143623248,0.87617331131572,0.892755718823576,0.890819451779733,0.891615938431759
"Transport of inorganic cations/anions and amino acids/oligopeptides",0.930864815444263,0.929427094950063,0.929378812226006,0,0,0.930071642812187,0,0,0,0,0,0.900117363859659,0.929338181169917,0,0.91342086401899,0,0,0,0,0.914264417831563,0,0.914758668384634,0,0.913821907680986,0.913193714161304,0,0,0,0,0,0,0,0
"Phase I - Functionalization of compounds",0.920302256845952,0.918946452395295,0.918892268999371,0,0,0.919669770987744,0.902847248072893,0.921074042320479,0.920483599213333,0.93802366620066,0.918942907833643,0,0.918846672388123,0.921956219373067,0.937283608886945,0.903419775763774,0,0,0.93790965243857,0.919727666533236,0,0.920029255627355,0.922555679445884,0.91900609522068,0.918240407614237,0,0,0.919247401528538,0.920438464620693,0,0.902250119309578,0.918451090649995,0.937052365943876
"Interaction between L1 and Ankyrins",0,0.885393559018421,0,0.849836467243936,0.888444030219641,0.887931390048157,0.846017758200739,0,0,0,0.848141921346594,0,0.885164312178374,0,0.842108519578971,0,0,0,0,0,0,0.888757314198822,0,0.888151896642436,0.846025160670979,0.889334935619796,0,0.887606071301113,0,0.890667404381431,0,0.847051786978702,0.846920034786908
"Signaling by GPCR",0.935601133588429,0.934963692231833,0.935002667608128,0.940955673426773,0.935601133588429,0.940240841173953,0.935347009382047,0.935672971618535,0.935565024885045,0.930440703518717,0.940113420082961,0.930134959986501,0.934935962157567,0.931239377458254,0.935146184642393,0.935450239471767,0.94006307347188,0.930394089252808,0.930294623957727,0.940563025852359,0,0.940692700452308,0,0.940048593132651,0.940270575385628,0.930447693763338,0.930968317076128,0.93538833393628,0.930167441136069,0.935545194498432,0.935662527207289,0.93518945926455,0.935339692381249
"Ion channel transport",0.886446088262848,0.897227337813585,0.898025952183354,0.887466277309348,0.884693635546596,0.898656687355384,0.886734802469151,0.887782840340066,0.885335328394482,0.886657163195416,0.885926688103456,0.885439933642203,0.89715827316917,0.88617812268502,0.898150860789959,0.887257355335623,0,0.885792858971268,0,0.898604188598219,0,0.89890551153882,0,0.898177873541726,0.897772509097707,0,0.885501317685722,0.886804286016229,0.886540367084786,0,0.899227943869799,0.895923761255234,0.897564746762007
"Ethanol oxidation",0,0,0,0,0,0,0,0.801369069354528,0,0.855148501539513,0,0,0,0,0,0,0,0,0,0,0,0,0.804752087782463,0,0,0,0,0,0,0,0,0,0.796148346375636
"O-linked glycosylation",0,0.664525946071706,0.664472843504197,0,0.665898628739152,-0.0132062768257761,-0.0132062768257761,0,0,0,0.663983626955459,0.663488697668618,0.664428156435664,-0.0132062768257761,0.872373726523515,-0.0132062768257761,0,0,0,0,0,0,0,0.663995348956523,0.872964953469189,0,0,0.890331553649738,0,0.665701360488121,0.666078560040194,-0.0132062768257761,0
"G alpha (i) signalling events",0.940346243263599,0.939608287939874,0.939580928441112,0.940610168797711,0.940428062488483,0.948776193759779,0.940111000459515,0.940544298948599,0.940280636848453,0.92985445545013,0.948544680572917,0.930414674944172,0.93955790477477,0.932751274927576,0.939443059312495,0.931036240253121,0.940461620619129,0.930501092703572,0.93071059869596,0.948805427680581,0,0.939806165891451,0,0.94842689556775,0.94883021827056,0.931231294455783,0.930676207235948,0.940027136707975,0.930479518424032,0.940326425962736,0.940250858943889,0.939651774040359,0.939871227027434
"Erythrocytes take up carbon dioxide and release oxygen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.300976820573682,0,0,0,0,0
"Signaling by Retinoic Acid",0.757732839229772,0,0.756104700531108,0,0,0.786715564816152,0,0.788013611093009,0.758234807080766,0.789938310577835,0.785138100534165,0.756808912186759,0,0,0.756951653026851,0,0,0,0.786994782647097,0,0,0.787775153939206,0.761111812720767,0.755870272272211,0.78530654841963,0,0,0.787139507965885,0.787051143524056,0,0,0,0.78475043883373
"Aspirin ADME",0.874349288507496,0,0,0,0,0.840119586103901,0,0.841211897489166,0,-0.0249669491545932,0,0,0,0,0.840625257947197,0,0,0,0.873926594652652,0,0,0.840785648196323,0,0,0,0,0,0.840068516905607,0.873078673766053,0,0,0,0.87086518297732
