"","GRM1","IL22RA2","PCMT1","PNISR","IFNGR1","RAB32","PDE7B","TNFAIP3","RAET1E","HBS1L","HIVEP2","RAET1G","USP45","TFB1M","ULBP2","PERP","ULBP1","STXBP5","CLDN20","NOX3","RAET1L","ULBP3","BCLAF1","PPP1R14C","ARID1B","MYCT1","VIP","FBXO5","ADAT2","CCNC","MTRF1L","PEX3","SNX9","MTHFD1L","UST","MAP7","OPRM1","REPS1","FUCA2","SYNJ2","MAP3K5","SUMO4","IPCEF1","PHACTR2","PPIL4","CD109","ZBTB2","PEX7","HECA","SCAF8","MCHR2","SIM1","KATNA1","IL20RA","CITED2","ASCC3","NMBR","TMEM181","LTV1","VTA1","DYNLT1","LATS1","ESR1","EZR","NUP43","PLAGL1","TAGAP","SF3B5","STX11","COL12A1","UTRN","SOD2","WTAP","ACAT2","TCP1","MYB","MRPL18","HACE1","IGF2R","SYNE1","LIN28B","PREP","LPA","COX7A2","PLG","MAP3K4","PRDM1","EPM2A","AGPAT4","ATG5","PACRG","FBXO30","QKI","PDE10A","MPC1","RPS6KA2","QRSL1","RNASET2","BEND3","PDSS2","FGFR1OP","CCR6","SEC63","MYO6","KIF25","FRMD1","AHI1","OSTM1","THBS2","NR2E1","SNX3","PHF10","TCTE3","FOXO3","DLL1","HTR1B","PSMB1","TBP","SESN1","PHIP","ELOVL4","SMPD2","TTK","MICAL1","BCKDHB","ZBTB24","AK9","IBTK","FIG4","WASF1","TPBG","UBE3D","CDC40","DDO","SLC22A16","DOPEY1","CDK19","PGM3","AMD1","GTF3C6","RPF2","ME1","REV3L","SNAP91","FYN","CYB5R4","TUBE1","LAMA4","NT5E","KHDRBS2","PTP4A1","RFPL4B","HDAC2","HS3ST5","COL10A1","DSE","SYNCRIP","TRAPPC3L","RWDD1","HTR1E","CGA","KPNA5","GPRC6A","RARS2","COL9A1","ORC3","GOPC","NUS1","CNR1","PLN","RNGTT","MCM9","ASF1A","SRSF12","GABRR1","MAN1A1","SMAP1","GABRR2","UBE2J1","RRAGD","B3GAT2","GJA1","HSF2","FABP7","MDN1","CLVS2","RIMS1","RNF217","TPD52L1","MAP3K7","EPHA7","HEY2","NCOA7","FUT9","UFL1","TRMT11","FHL5","NDUFAF4","KLHL32","CENPW","RSPO3","RNF146","FBXL4","ECHDC1","COQ3","EEF1A1","PTPRK","LAMA2","EPB41L2","AKAP7","ARG1","MED23","ENPP3","OR2A4","ENPP1","CTGF","STX7","TAAR8","TAAR6","TAAR5","TAAR2","TAAR1","VNN1","VNN2","SLC18B1","RPS12","EYA4","TBPL1","SGK1"
"Extracellular matrix organization",0.816573074882607,0.803224265136357,0.810586819149324,0,0.810022999858082,0,0.80270635725362,0.803102808446972,0,0.803142763055748,0.79751331210918,0,0.80363783294059,0,0,0.804180282925613,0,0.810027880118884,0.810139141352053,0.808845224606306,0,0,0.803580024008192,0.804359241294027,0.802471449462029,0.810869300794884,0.802560545559013,0.810025664889822,0,0.810027435788896,0.803050367691405,0,0.810389839778568,0,0.816897690926512,0,0.809602659364165,0.810171654421071,0,0.810072775339703,0.809595419398764,0.810648034337991,0.817237569677209,0.810565974396635,0,0.810565974396635,0,0,0,0,0.810133603061074,0.811048259163298,0,0.803229496289296,0.810286728716752,0.809925065305749,0.810376761179,0.808510143125863,0.809953412986542,0.803327798080385,0.810239640374143,0.810162294151978,0.813711841601601,0.883300892578549,0.809154974423229,0.804359241294027,0.809906899424903,0.80255185013644,0.810392280435883,0.801452205370533,0.810228036101518,0.809900438526624,0.810408075192524,0.809998905830037,0.809329601209124,0.816412457041686,0.803027993391434,0.802255093755532,0.810352262831372,0.802942523160789,0.810761705378233,0,0.80993638458309,0,0.822148714385674,0.810145560049757,0.804072687508962,0.80344387814961,0.802650843381157,0.803243040995421,0.797318010939959,0.802256449424141,0.802489787813565,0.802567801930046,0,0.809891576640833,0.796764795585125,0.797655724413878,0,0,0.809829182454637,0.809581323425882,0,0.810493287351884,0.810023100037855,0,0.809956925087636,0,0.816455492508783,0,0.803397018528241,0.802619164040929,0.803262541340435,0.810014595251349,0.817045766847044,0.80962038886851,0.8098459355491,0.809824339416508,0.810593771264813,0,0,0.810009503279187,0,0,0,0,0.802307980933802,0.810273455180271,0.803629366620676,0.809862807426902,0.803659562672987,0.802256449424141,0.802431282939315,0.803675184867762,0.804123735257064,0,0.810089697245446,0,0,0.810447081320981,0.79611779688359,0.810153561705006,0.80316524640435,0.81017759280114,0.888689870749674,0,0,0.816482683668135,0.809785997814809,0,0.809906875344991,0,0.809703058923773,0.810181179749217,0.773372899194903,0.816994293038911,0,0.810648034337991,0,0.80962038886851,0.802524592921212,0.796999324416569,0.810366063766121,0.796714428522789,0.801987799169814,0.802677296635589,0.81044083196699,0,0.809622046294531,0.803497078411303,0.796296961072529,0,0.803399074848027,0,0,0.81047093639353,0,0.803564281430361,0.802252397989822,0.80994732120731,0.816793498446999,0.810201908399209,0.81081207244057,0,0,0.81069851402581,0.81031731427914,0.802256449424141,0.810242461127671,0.81007144675135,0.810844012114303,0.810501505910602,0.81091966785722,0.80325621603346,0.802253743291039,0,0.80402282156421,0.803141327924479,0,0.796550888981811,0.803391734896657,0.802948734195129,0.802256449424141,0,0,0.802954110233934,0.817045766847043,0.816519628534831,0.816919107304753,0.803393158060856,0.810405051661531,0.810074247719362,0.809884516349925,0.810401854943338,0.816536216497359,0.809348956515915,0.810357651330024,0.802560545559013,0.802560545559013,0.802560545559013,0.802560545559013,0.802560545559013,0,0,0.803139592195391,0.809762185256824,0.803092230047596,0.810402925372098,0.810267864117558
"Activation of Matrix Metalloproteinases",0.920479605434268,0,0,0,0,0,0,0.896503424115193,0,0,0,0,0,0,0,0.9000340406593,0,0.897096044485809,0,0.92157520939452,0,0,0,0,0.871771215790921,0.900506721648372,0,0,0,0.921616436864317,0,0,0.894654079290662,0,0.92253345192601,0,0.919933686635771,0.894944495560596,0,0.894578562963469,0.896022429164763,0,0.898561386803331,0.923609465406421,0,0.923609465406421,0,0,0,0,0.919847167336979,0.925695807657666,0,0,0.92257603047294,0,0.920747049095326,0,0,0,0.922291031708943,0,0.917288843364975,0.921846854624887,0.8943394413025,0.900696331404983,0,0,0,0.92126294139071,0.922208213496673,0.898310899892674,0,0,0.895810177103477,0.921649173715704,0,0.894351319967104,0.894515014185191,0.896345168798887,0.900108531558928,0,0.899422885180539,0,0.946033330774761,0,0.899635850569857,0,0,0,0,0.894356337037733,0,0,0,0.899119583629979,0,0,0,0,0.893647537664056,0.919854726402727,0,0.922262126675912,0,0,0,0,0.921122793382526,0,0,0,0,0.921568916487022,0.898396685974207,0.919999300145536,0.894577169783462,0.920466625886132,0.898404771285637,0,0,0.921723043338624,0,0,0,0,0,0,0,0,0,0.894356337037733,0,0,0,0,0.921846854624887,0,0,0,0,0.922083204793475,0,0.894966472371176,0.94317659602769,0,0,0.922262126675912,0.921024419461938,0,0.89783429992651,0,0.920415980032997,0.922923819028032,0.92126294139071,0.92289095789582,0,0,0,0.919999300145536,0,0,0.920707460013155,0,0.94464933046208,0,0.922748147083402,0,0.92000543396272,0,0,0,0.897142938752067,0,0,0,0,0.898776681357875,0.894341343453026,0,0.922373688810606,0.922262126675912,0.92412203718004,0,0,0,0,0.894356337037733,0,0.895065409435294,0.922262126675912,0.923370879851212,0.898309472967832,0,0.894346322155917,0,0,0,0,0.871344120668446,0,0,0.894356337037733,0,0,0,0.897851561157625,0.921808439760915,0,0,0.922389897652345,0.921789678879258,0.922318598598334,0,0.922107183826712,0.897248926085518,0.896255637611356,0,0,0,0,0,0,0,0,0.867609579268132,0.897449401515467,0.92300605210421,0.922506216193907
"Collagen formation",0.918325381319796,0,0.920379522413515,0,0.901135334600461,0,0,0.902605318463693,0,0.902478839559803,0,0,0.886489790801842,0,0,0.905197283573097,0,0,0,0.920363035487685,0,0,0.903515337287933,0,0,0.920913470215906,0,0.884683375976065,0,0.919053541717093,0.902259822552459,0,0.918555421682514,0,0.919969676874983,0,0.917975710789322,0.90110567857751,0,0.900871292354306,0.902297232792462,0,0.903209183053102,0.918743818571242,0,0.918743818571242,0,0,0,0,0.917920293666503,0,0,0,0.902032418391523,0,0.918496683658334,0,0.91887807563433,0.88542610299698,0.91974067921449,0.902241889333327,0.934749650162455,0.918946080608596,0.918215990628236,0.905621492369366,0.902240932096269,0.901895257706984,0,0.89848057642418,0.919432584991528,0.902455066904586,0,0,0.902491825152754,0.933933758167526,0.902206785776688,0.883682771920194,0.91846634805227,0,0.920658422505168,0,0.903606481400785,0,0.933527396443493,0.902752027668295,0.904942235862359,0.886030033992806,0,0,0,0.883685985441606,0,0,0,0.901673102949159,0.886177031620719,0,0,0,0.918583595499836,0.901153771652478,0,0.919467117324975,0.91904326411037,0,0.918886400834156,0,0.934035770852689,0,0.903081535085506,0,0.902762765941208,0.919023104085007,0.90246981811865,0.901246373661202,0.90206825453524,0.918317067692395,0.904153708067466,0,0,0.919560993514017,0,0,0,0,0,0.885539052077165,0,0.917558990996585,0,0.883685985441606,0.901609461261616,0.903740909716022,0,0,0,0,0,0.9197932355633,0.884643364641085,0.919352514732579,0.885369556149236,0.901119755108735,0.918003952504179,0,0,0.91888329862838,0.918035567718409,0,0.902452123346025,0,0.918284628138415,0.919286535821242,0.831911376157986,0.920198665696133,0,0.92052462890799,0,0.901246373661202,0,0,0.918471326159376,0.886057639881319,0.899792855326541,0.884842610761944,0.918575501961877,0,0.901250302478298,0,0,0,0.903345482278945,0,0,0.919849782411044,0,0.903941987713845,0.900151542220549,0.901987358112963,0.919722695598241,0.919467117324975,0.920987193491026,0,0,0,0,0.883685985441606,0.919308197134165,0.902492920261938,0.902311708806769,0.902541533308454,0.921242241201764,0,0.883679570734792,0,0,0,0,0,0.885906431912809,0.884856328494865,0.883685985441606,0,0,0.902031650712677,0.902754527322686,0.918592704231057,0.902426553300115,0,0.919877727854062,0,0.918609464360565,0,0.934227121647443,0.902439326182099,0.919581247774462,0,0,0,0,0,0,0,0,0.918169735430167,0,0.903643609222637,0.901663045090694
"Degradation of the extracellular matrix",0.71090982465212,0.69539835936187,0,0,0.69570492052439,0,0,0.694992472404251,0,0,0.681484101535139,0,0.681377368608756,0,0,0.697885891842377,0,0.695795700075874,0.712348777784614,0.711540115595285,0,0,0,0.698892408093768,0.679758023006279,0.698065612413151,0.694944804010892,0.711378036541032,0,0.711636893386541,0,0,0.693718598618637,0,0.712002519964503,0,0.710376833608675,0.693904336437152,0,0.693670301607322,0.694684848617093,0.713105775113806,0.696217545298978,0.712911549154731,0,0.712911549154731,0,0,0,0,0.710505344308913,0.71424588437813,0,0.695410740868362,0.712250608394886,0,0.711080870173061,0.706205562910986,0.693445408929355,0.680315275491676,0.711884490639998,0.712672623270506,0.708869149774354,0.88232078649773,0.69360848160021,0.698309464662017,0.696128359361365,0.677975265080253,0,0.691390783460992,0.712015368396796,0.696661258783643,0.712283155489144,0.680795820022841,0.695184489463165,0.711657830475785,0,0.694249774425483,0.693629658528168,0.695462331121617,0.697810947071626,0,0.697448793700879,0,0.727223100610013,0.695000809934638,0.697631226500851,0.680918301070165,0,0.695907329322234,0.68115612281357,0.694252983129162,0,0,0,0.697248868761968,0,0.682099883121269,0,0,0.694794133858147,0.710326334022551,0,0.711611338876274,0.679369995992694,0,0.67921336788694,0,0.710717679252516,0,0,0.678738739693297,0,0.711606501386754,0.696328826570095,0.710418797201732,0.693760522563558,0.710901523488564,0.696843880872036,0,0,0.711441428230114,0,0,0,0,0,0.697248868761968,0,0.710489033732919,0,0.694252983129162,0.677689897102803,0,0.697408882720398,0,0.711784258725972,0,0,0,0,0.711935418179707,0.68025881341934,0.693918391864748,0.725425848567119,0,0,0.71094346114882,0.711258264390083,0,0.696339233991805,0,0.710869132568178,0.71186953818439,0.726686293733974,0.7122311654841,0,0,0,0.710418797201732,0.694859708464358,0.680401830346058,0.711055550690233,0,0.692609397415736,0.679732658032053,0.712360686813579,0,0.71042272012872,0.695952362231689,0,0,0.696036866780955,0,0,0,0,0.696357666712715,0.694243393874002,0.679190817927813,0.711755908963722,0.711611338876274,0.713120155380223,0,0,0.712970589089694,0,0.694252983129162,0.71189116702253,0.695402089143896,0.711611338876274,0.712758960043371,0.697622410049568,0,0.694246578039318,0,0,0.695083643350002,0,0.679484871242555,0.680794884295223,0.679746355199258,0.694252983129162,0,0,0.693397283838295,0.695763571191435,0.710653302412537,0.712857010387855,0.681931624233782,0.712012353061469,0.71174769156578,0.709666819559899,0.680713953894314,0.710785326397953,0.695982065781456,0.695258211802365,0.694944804010892,0.694944804010892,0.694944804010892,0.694944804010892,0.694944804010892,0,0,0,0.6940955308221,0.696168551113895,0.712525631828401,0.712205958169567
"Collagen biosynthesis and modifying enzymes",0.921836993622683,0,0.924598009773408,0,0,0,0,0,0,0.900537308870637,0,0,0,0,0,0.904213037979428,0,0,0,0.902378965625585,0,0,0.901930488227354,0,0,0.926100424269603,0,0,0,0.922815730002283,0.900242923301696,0,0.922146195925643,0,0.923799646606633,0,0.921366993784296,0.898691613041247,0,0.898376569371778,0,0,0,0.922587821136069,0,0.922587821136069,0,0,0,0,0.921292506412618,0,0,0,0.899937264375439,0,0.922067244857521,0,0.922579882187402,0,0.900740073567103,0,0.943913214032786,0.922671289166624,0.92168995919206,0.904783226337647,0,0.899752903687455,0,0.895163155592634,0.923325210390821,0.900505355522737,0,0,0.900576571907785,0.942816555686323,0.900171635406754,0,0.922026470103274,0,0.925757609041036,0,0.902052997030861,0,0.922297714541189,0,0.903870222750861,0,0,0,0,0,0,0,0,0,0,0,0,0,0.922184064972172,0,0,0.923371626058498,0.922801915645402,0,0.9225910722713,0,0.938103059908937,0,0.901347405161257,0,0.900918940554592,0.922774818112621,0.90052518295348,0,0.900007241339645,0.921825819093535,0.902810345226551,0,0,0,0,0,0,0,0,0,0,0.921037257637157,0,0,0.899368758409464,0.902233685081271,0,0,0,0,0,0.923809968743825,0,0.923217586197513,0,0.898710533615971,0.919694472437669,0,0,0.922781330051252,0.921566829542305,0,0,0,0.921782216376695,0.922587821136069,0.80568603172921,0.92410743550948,0,0.924793050599008,0,0,0,0,0.922033161286349,0,0.896927018481482,0,0.9021979365401,0,0,0,0,0,0.90172399119646,0,0,0.923885974603583,0,0.903478665915277,0.897409137412082,0,0.92346767364913,0.923371626058498,0.925414793812468,0,0,0,0,0,0.92315801794032,0.900556235051572,0.900086840268153,0.900621576914883,0.925757609041035,0,0,0,0,0,0,0,0,0,0,0,0,0.899936232521446,0,0.922390735740679,0,0,0.923923536687193,0,0.922829948626916,0,0.938360258714017,0,0.923525031301831,0,0,0,0,0,0,0,0,0.921627786564623,0,0.902124710168013,0
"Neuronal System",0.831255375933782,0.817921200047871,0.818730848946563,0.810667999644149,0.817820198138748,0,0.825208754335058,0.817398032433926,0.802366611110118,0,0.809696261854453,0.802457567243487,0.818446541667754,0.81864011821917,0.802457567243487,0.818861643633435,0.802366611110118,0.810661692603837,0.818265598123944,0.817326831664393,0.802457567243487,0.802366611110118,0,0.811212310142436,0.818324302642762,0.810184456917132,0.825384700274868,0.817830565540867,0,0.818115292362173,0.809010973324922,0.810355821897777,0.824912760949985,0.818446541667754,0.810842538071902,0,0.825135854701089,0.824793886350534,0,0.825272344471779,0.817628232599784,0.810207421170799,0.818393007414512,0.811437772313361,0.811015465390846,0.811437772313361,0,0,0,0.818928526144999,0.824388238767527,0.811500718068264,0.810028203864246,0.817927325727331,0.818217029380342,0.810358406672661,0.824672976894245,0.818406112724572,0.817826716700528,0.817921077177977,0.817518477549469,0.818062145455177,0.825361477428616,0.823949086954548,0.817788052943927,0.819071203861231,0.817673133683715,0.817345576682245,0.817975415849342,0.818180909380638,0.818041665913995,0.818198697787444,0.818160514665635,0.818041795418568,0.823152647269948,0.817995213470753,0.808984773022359,0.817059867177647,0.825090151879196,0.817285860592499,0.810058462697231,0.818251784549289,0.818735649413534,0,0.817200224228597,0.810508489724344,0.818735649413534,0.818346114670797,0.80997825915501,0.8190966624289,0,0.817061454665425,0.817693361707057,0.825640751581472,0,0.817955935275669,0,0,0,0.810030401839852,0.816147653626513,0.825110870319937,0,0.824504851477265,0.818070733935125,0.809807965839985,0.8172365838569,0,0.817915170601055,0,0.817872420047402,0.809096008835647,0.816049120588999,0.833215169582393,0.817990627260902,0.824562370434953,0.817646323986923,0.815954902004944,0.826234000097291,0.811939700089813,0,0.810173806635393,0.818338120026997,0.810544033151612,0.818288486952901,0,0.825336501226255,0.818110655301827,0.810720402346436,0.816115928913341,0.810547947879384,0.817061454665425,0.817204392508976,0.818608955373682,0,0,0.818188200520271,0,0,0.818086719442319,0,0.818061090825672,0.817893142890903,0.824800840192877,0.825023811960391,0,0,0.817675246783163,0.818014480790417,0.811744237946376,0.817957588483933,0,0.817605009695826,0.810911642601283,0.818180909380638,0.810955659133853,0.818640118219169,0.818928526144998,0,0.824562370434953,0.824748354226762,0.810226459569049,0.824660450225056,0,0.818023309954633,0.817959515850799,0.817915134671546,0.810074277614943,0.824564311280623,0.82584594369697,0.818255824118371,0,0.817946849068946,0.811008293884933,0,0.818469156033623,0.818937972932131,0.81091874652677,0.817056710436327,0.825208754335058,0.810737571901318,0.815700302592452,0.818802531925098,0.818359265705092,0,0.818381147109303,0.833300737474043,0.817061454665425,0.817396748517435,0.824894460070216,0.817610666078242,0.818180352668678,0.818928526144999,0,0.81705828578389,0,0.818802531925098,0.809548887350081,0,0,0.818158360888036,0.817639607120059,0.817061454665425,0.818499395780258,0,0.817874364659775,0.818315389930001,0.817531692409385,0.826544709672165,0.826804585454193,0.818387561843843,0.818170109127093,0.81787660238024,0.82560790451065,0.817809707095972,0.818306742327695,0.818336499237941,0.824790454761285,0.824790454761285,0.824790454761285,0.825384700274868,0.824790454761285,0,0,0.810766328329927,0.817476794832224,0,0.81809412453985,0.818002850338662
"Collagen chain trimerization",0.8840094371154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.891407423435997,0,0,0,0.885707759182157,0,0,0,0,0.887415070073877,0,0.88319388441547,0,0,0,0,0,0,0.885312287362812,0,0.885312287362812,0,0,0,0,0.88306463250489,0,0,0,0,0,0.884408973457539,0,0,0,0,0,0.919510890977143,0.886051982219105,0.842155632231357,0,0,0,0,0.920860871249166,0.886591819287073,0,0,0,0,0.920413574068126,0,0,0,0,0.890812563901162,0,0,0,0.884214029321426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.843013014021968,0,0,0,0,0,0.843719260864168,0,0.884354463807958,0,0,0,0,0.885636768089505,0,0,0.842510776815192,0.88399004685891,0,0,0,0,0,0,0,0,0,0,0,0.882621719952632,0,0,0,0,0,0,0,0,0,0.887432981243562,0,0.886405067730451,0,0,0.880291693417664,0,0,0.883299486663485,0.88354064324106,0,0,0,0.883914386591524,0.885312287362812,0.920860871249166,0.88794915125907,0,0,0,0,0,0,0.884349830993601,0,0.841303184080999,0,0,0,0,0,0,0,0,0,0,0,0,0.849598094020987,0,0,0.886839024254957,0.886672360640497,0.890812563901162,0,0,0,0,0,0,0,0,0,0.891407423435997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.882621719952632,0,0,0.888224906043692,0,0.884879168839305,0,0.921097799237982,0,0,0,0,0,0,0,0,0,0,0.883646417030901,0,0,0
"Assembly of collagen fibrils and other multimeric structures",0.892228819756597,0,0.895203622890192,0,0.867334227557625,0,0,0.869463055327076,0,0,0,0,0.847866645833035,0,0,0.873405956293114,0,0,0,0.893437680258891,0,0,0,0,0,0.895976885058296,0,0.845250599398483,0,0.893283340226617,0.845032355374369,0,0.892561963762117,0,0.89461008537904,0,0.891722427574988,0.867093106257722,0,0.866753668585506,0.86901688625768,0,0.87033757085005,0.892882037680541,0,0.892882037680541,0,0,0,0,0.891642172605591,0,0,0,0,0,0.892476899469832,0,0.8930292305871,0.846326215224474,0.894278451412854,0.868936737967883,0.914272347627729,0.893497074856709,0.892070400370006,0.87402029464616,0.868935351699041,0,0,0.915110576052618,0.893832269958858,0.869941105104356,0,0,0.869487916674876,0.914832840726192,0.844955547618932,0.843801526552421,0.892432967504178,0,0.895607525460049,0,0.871239221738307,0,0.914244348468419,0.869675519311615,0.873036596694867,0.847200826917094,0,0,0,0.843806180367875,0,0,0,0.868113022633458,0.84741370859571,0,0,0,0.892602765029525,0.867360928060472,0,0.893882279616938,0.893268456216566,0,0.893041287125284,0,0.892615956276346,0,0,0,0,0.893239260507078,0.846244324189639,0.867495034109258,0.868874502531061,0.892216779977577,0.871894652277151,0,0,0.894018230931182,0,0,0,0,0,0.846489787862545,0,0.891164175295339,0,0.843806180367875,0,0,0,0,0,0,0,0.8943545634149,0.845192655061045,0.893716312365701,0.846244324189639,0.867113491862843,0.891763327171473,0,0,0.893036794516915,0.891937736724475,0,0.86924119845586,0,0.892169801078646,0.89362076183473,0.915110576052618,0.894941706544108,0,0.895413765833043,0,0.867495034109258,0,0,0.892440176789199,0.847240805711104,0.865711695057941,0.845481202905447,0.892591043983605,0,0.867500723814529,0,0,0,0.870724181263405,0,0,0.894436454449736,0,0.871398817133353,0.843792272376264,0.868568126349991,0.894252407574805,0.893882279616938,0.896083650961824,0,0,0,0,0.843806180367875,0.893652131705942,0.868129158430788,0.869037850393422,0,0.896453010560071,0,0.843796890601952,0,0,0,0,0,0.84702182662543,0.845501068899562,0.843806180367875,0,0,0.867011702607149,0.869679139306236,0.892615956276346,0.869204167965142,0,0.894476924985918,0,0.89276885272457,0,0.915257689146783,0.869222665627971,0.894047563111734,0,0,0,0,0,0,0,0,0.892003413682197,0,0.871155928122963,0.868098456862409
"Biological oxidations",0.860079357184739,0.862665436348164,0,0,0.862488277651843,0,0.861167549226018,0.863559853332328,0,0.864818522100197,0,0,0,0.8638096957431,0,0.851473918605586,0,0,0,0.849425360043425,0,0,0,0,0.863570433548978,0,0.860212850649132,0,0,0.875203904915432,0,0,0.861970760383154,0.862994103272776,0,0,0.861596212075926,0.860439865245372,0,0.860236772614203,0.862364271365862,0,0,0.863304222810134,0,0.863304222810134,0,0.878454434772431,0,0.864638694561359,0.85972835397202,0.876070691685942,0,0.862676180871674,0.875791443939048,0.863677135931975,0.860227788445688,0,0,0.863908065880662,0,0.863340817792076,0.875136785982592,0.862430215045207,0.862026485448908,0.851841490041407,0.864076030286696,0.86432574795996,0,0,0.863533163154639,0.876589531561586,0.863273844086927,0.877702299341679,0.862294449828896,0.876679575328877,0,0.861727657421188,0.861893579234506,0.862727968514384,0,0,0.862606778549716,0.865026592585421,0.862561305000554,0.849764895897596,0.851252923062676,0.878159512841416,0,0.863861974745601,0,0.861730441895932,0.862915800372028,0.863585665659953,0,0.863610675041074,0,0.878571760192295,0,0.863305903924163,0.861635225319647,0.859732549254334,0,0.862936983482804,0,0,0.861897602225758,0,0.862304653381171,0.864981916670363,0,0.863230892896856,0,0.877140903908512,0.848860151237644,0.859812787697303,0.863558125102751,0.876023261154964,0.850569673926161,0,0.878306085768035,0,0.848306747022414,0,0.876981045974722,0,0.86283101093423,0.849423943091218,0,0.876767968001275,0,0.861730441895932,0.863531106008758,0.87738361358934,0,0,0.875331786797587,0,0.877650864676636,0.863082958915949,0,0.875851288372337,0,0.860452062377632,0.861224677189868,0.865407179129923,0,0,0.876838708000423,0,0.8615041180182,0,0.874651116250083,0.863379814323126,0,0,0,0,0,0.859812787697303,0.862854429600148,0,0.86020581650078,0.850691767535874,0,0.862732642777767,0,0.863382862619129,0.859816191966507,0,0.862917307273875,0,0.862235740185927,0,0,0,0,0,0.861722120454791,0.863005549463589,0.863074491992675,0.863688422510739,0.865101206857145,0.863211076920747,0,0,0.876858428798628,0.861730441895932,0.862623030576623,0.862347588708085,0.87675221337889,0.874559360957814,0.864475105364975,0,0.861724883635436,0.879635966685719,0.864648692433409,0.877092505963854,0,0.861068656667547,0,0.862717449247097,0.861730441895932,0.889891800690153,0,0.863565917662587,0,0.848596779500224,0,0,0.865087055128396,0.875300054252549,0.890432323719245,0.863431048473806,0.890314988498022,0.876143903988501,0,0.860212850649132,0.860212850649132,0.861953515964567,0.860212850649132,0.860212850649132,0,0,0,0.863504646550322,0.863340817792076,0.86148153536109,0.863042126614129
"Transmission across Chemical Synapses",0.866928140148425,0.857660765545998,0.858896305456766,0.8465922411596,0.857506634675213,0,0.86968854479483,0.85782866274508,0.833924161371989,0,0.845109350459804,0.83406296219428,0.846515360492463,0.85875784860836,0.83406296219428,0.85909590068379,0.833924161371989,0.846598464863736,0.846012085533772,0.855846917703206,0.83406296219428,0.833924161371989,0,0.847422869528972,0.858275907918114,0.845854345586894,0.869050211538417,0.857522455531773,0,0.85795695417922,0.844063586882538,0.846115851868489,0.857183342681375,0.858462447039299,0.846858590182985,0,0.868670468370091,0.854798047775028,0,0.856435014311262,0.857213691542375,0.845889389483048,0.846412489242433,0.844640975642456,0.846555967952779,0.844640975642456,0,0,0,0.859197964692651,0.866622761795862,0.847862985613262,0.845615900399934,0.857670113451573,0.858112206840656,0.845248120334544,0.86705727769559,0.858400751688472,0.857516582126822,0.846575937224598,0.85704620320849,0.845085748800641,0.867201112684016,0.869401988904912,0.857457580484927,0.85941569365278,0.857282211466657,0.856782353134209,0.857904479379473,0.858057087021086,0.857494833691806,0.858084232474617,0.858025964290731,0.857844796418875,0.869093436681327,0.85777371146373,0.844023604713053,0.845261714073454,0.85745404467727,0.856691225223934,0.8456620759655,0,0.846771147843437,0,0.857467372643425,0.846348825930605,0.858903631062396,0.85830919349562,0.845539683805689,0.858547713749965,0,0.845264136610569,0.857313079822304,0.869440950794686,0,0.857713772176802,0,0,0,0.845622860655809,0.857294586078305,0.868632341720244,0,0.869504761122643,0.857888957155983,0.8452798129066,0.855709197799929,0,0.857651564493304,0,0.857628954583357,0.844193352719931,0.857738273946568,0.880999659459754,0.846258579301388,0.868702150436057,0.857241299349769,0.857202707740885,0.870346259527251,0,0,0.845021855702513,0.858296993514244,0.846403065889461,0.858221252481261,0,0.868976658856114,0.857949877935262,0.846672208698879,0.857448437923873,0.84640903983991,0.845264136610569,0.856566903349587,0.858710293502197,0,0,0.858068213441472,0,0,0.857913351349766,0,0.85787424158407,0.845670863233868,0.856622319814167,0.868499488976346,0,0,0.857870631249838,0.857803113766947,0.848234601666787,0.857716295004654,0,0.857178252940865,0.846883235554696,0.858057087021086,0.847031215115859,0.85875784860836,0.85919796469265,0,0.868702150436057,0.868985965306808,0.845371094505807,0.868851822096586,0,0.857816587242653,0.857719236203845,0.85769413792763,0.845689815938931,0.868705112204164,0.869754077939651,0.858171408362749,0,0.857699906449247,0.847111536766093,0,0.858496956999892,0.8592123806729,0.84691746337979,0.845256896825021,0.86968854479483,0.846672401503098,0.856020245059509,0.859005695071256,0.858329262228829,0,0.845404944544404,0.882048201467996,0.845264136610569,0.857750828077206,0.869208925655517,0.857186884690053,0.858056237467845,0.859197964692651,0,0.845259300835932,0,0.859005695071256,0.844884454109947,0,0,0.846075591037537,0.858223424651063,0.845264136610569,0.858543103439316,0,0.857589293836073,0.8462816605154,0.857651564493304,0.858132027741121,0.871216983840088,0.858372442684955,0.858040605624862,0.857592708640869,0.870297655698496,0.857490625140615,0.858249110536994,0.858294520158732,0.867236551197466,0.867236551197466,0.867236551197466,0.869050211538417,0.867236551197466,0,0,0.846762618940427,0.856982594574146,0,0.857924651672112,0.857785365472163
