"","GRM1","IL22RA2","PCMT1","PNISR","IFNGR1","RAB32","PDE7B","TNFAIP3","RAET1E","HBS1L","HIVEP2","RAET1G","USP45","TFB1M","ULBP2","PERP","ULBP1","STXBP5","CLDN20","NOX3","RAET1L","ULBP3","BCLAF1","PPP1R14C","ARID1B","MYCT1","VIP","FBXO5","ADAT2","CCNC","MTRF1L","PEX3","SNX9","MTHFD1L","UST","MAP7","REPS1","FUCA2","SYNJ2","MAP3K5","SUMO4","PHACTR2","PPIL4","CD109","ZBTB2","PEX7","HECA","SCAF8","MCHR2","SIM1","KATNA1","IL20RA","CITED2","ASCC3","NMBR","TMEM181","LTV1","VTA1","DYNLT1","LATS1","ESR1","EZR","NUP43","PLAGL1","TAGAP","SF3B5","STX11","COL12A1","UTRN","SOD2","WTAP","GRIK2","ACAT2","TCP1","MYB","MRPL18","HACE1","IGF2R","SYNE1","LIN28B","PREP","LPA","COX7A2","PLG","MAP3K4","PRDM1","EPM2A","AGPAT4","ATG5","PACRG","FBXO30","QKI","PDE10A","MPC1","RPS6KA2","QRSL1","RNASET2","BEND3","PDSS2","FGFR1OP","CCR6","SEC63","MYO6","KIF25","FRMD1","AHI1","OSTM1","THBS2","NR2E1","SNX3","PHF10","TCTE3","FOXO3","DLL1","HTR1B","PSMB1","TBP","SESN1","PHIP","ELOVL4","SMPD2","TTK","MICAL1","BCKDHB","ZBTB24","AK9","IBTK","FIG4","WASF1","TPBG","UBE3D","CDC40","DDO","SLC22A16","DOPEY1","CDK19","PGM3","AMD1","GTF3C6","RPF2","ME1","REV3L","SNAP91","FYN","CYB5R4","TUBE1","LAMA4","NT5E","RFPL4B","HDAC2","HS3ST5","COL10A1","DSE","SYNCRIP","TRAPPC3L","RWDD1","HTR1E","CGA","KPNA5","GPRC6A","RARS2","COL9A1","ORC3","GOPC","NUS1","CNR1","PLN","RNGTT","MCM9","ASF1A","SRSF12","GABRR1","MAN1A1","SMAP1","GABRR2","UBE2J1","RRAGD","B3GAT2","GJA1","HSF2","FABP7","MDN1","CLVS2","RIMS1","RNF217","TPD52L1","MAP3K7","EPHA7","HEY2","NCOA7","FUT9","UFL1","TRMT11","FHL5","NDUFAF4","KLHL32","CENPW","RSPO3","RNF146","FBXL4","ECHDC1","COQ3","EEF1A1","PTPRK","LAMA2","EPB41L2","AKAP7","ARG1","MED23","ENPP3","OR2A4","ENPP1","CTGF","STX7","TAAR8","TAAR6","TAAR5","TAAR2","TAAR1","VNN1","VNN2","SLC18B1","RPS12","EYA4","TBPL1","SGK1"
"Activation of Matrix Metalloproteinases",0.898350864065429,0,0,0,0,0,0,0.87437849592615,0,0,0,0,0,0,0,0.877908550959834,0,0.874971022046226,0,0.899446293780466,0,0,0,0,0.849650221020456,0.878381156773565,0,0,0,0.899487514693432,0,0,0.872529445222031,0,0.900404383912749,0,0.872819815304065,0,0.87245394090498,0.873897577473316,0,0.90148022626362,0,0.90148022626362,0,0,0,0,0.897718526551304,0.903566236702305,0,0,0.900446955687971,0,0.89861826519216,0,0,0,0.900162002250274,0,0.893282864255909,0.899717895808286,0.872214857273998,0.878570736374578,0,0,0,0.899134075439863,0.899167862439533,0.876185684242084,0,0,0,0.873685359168666,0.922715374154051,0,0.872226734049413,0.87239040223352,0.87422026577882,0.877983030012405,0,0.877297492679442,0,0.923900525333007,0,0.877510424198674,0,0,0,0,0.872231750322126,0,0,0,0.900218836026995,0,0,0,0,0.871523063676135,0.897726084414858,0,0.900133101814307,0,0,0,0,0.898993949720863,0,0,0,0,0.899440001873794,0.87627145668017,0.897870635164611,0.872452547946544,0.898337886581565,0.87627954070571,0,0,0.89959410421301,0,0,0,0,0,0,0,0,0,0.872231750322126,0,0,0,0,0.899717895808286,0,0,0,0,0.899954208387664,0,0.872841788619446,0.921044244921974,0,0,0.899447564481344,0.874923005974632,0,0.898287248783163,0.900794688930657,0.899134075439863,0.900761833024692,0,0,0,0.897870635164611,0,0,0.898578682406248,0,0.922516745132192,0,0.900619044924952,0,0.897876768006272,0,0,0,0.875017908854403,0,0,0,0,0.87665139162925,0.872216759122004,0,0.900244646206122,0.900133101814307,0.902904051287561,0,0,0,0,0.872231750322126,0,0.87294070994858,0.900133101814307,0.901241678653135,0.876184257544181,0,0.87222173703308,0,0,0,0,0.84922319382333,0,0,0.872231750322126,0,0,0,0.875726418560422,0.898993949720863,0,0,0.901172187239908,0.899660729155906,0.898932956902544,0,0.898721575754397,0.875123879331594,0.874130748830361,0,0,0,0,0,0,0,0,0.845489246365714,0.875324322877864,0.900876908928459,0.900377152512224
"Drug ADME",0.797392434482947,0.7781488465527,0.838545478692769,0,0.798167916095814,0,0.856123184793014,0.83645786427805,0.800091853323589,0,0,0.800308554343759,0,0.858208024042567,0.800308554343759,0.840697093467789,0.800091853323589,0,0,0.817008245534726,0.800308554343759,0.800091853323589,0,0.801624885080173,0.85652752870918,0.819773430915407,0.833998823881675,0.798312426087212,0,0.873290877129638,0,0,0.835107078897598,0.85646154136715,0,0,0.816521537222733,0,0.816245676265223,0.83780372233516,0,0.857153337527735,0,0.857153337527735,0,0,0,0.858527047645824,0.833040552977359,0.859094243893053,0.800297968571699,0.778163440851501,0.857042555609624,0.837739806818429,0.797594048837609,0.800438486726305,0,0,0.816207495404773,0.799470276123521,0.855588146701954,0.855527267346269,0.815086092481161,0.841196366177266,0.81720171107743,0.834711738614856,0,0.837991151659525,0.838267039376601,0.856011576838321,0.835504192228944,0,0.856689747102756,0.855643035798178,0.85604365937917,0,0.797134764750432,0.835002243653478,0,0.819473252412024,0,0.780265550957223,0,0.838028237982145,0.799980839796146,0.840396914964406,0,0.79871564985338,0,0,0.797138546905721,0.856630487533926,0.85573663180627,0,0.856053500557859,0,0.858226869142441,0,0,0.815978286937119,0.833346429937594,0,0.817375625343983,0.798237346915431,0,0.816334673794344,0,0.837885500061295,0.858877542872883,0.820605438735002,0.855807013271376,0.817128635914012,0.855682978378538,0.817759450332739,0.833455417908152,0.837014381512019,0.85485200856879,0.839468856866326,0,0.857692399980676,0.855837548662071,0,0,0.85674237710624,0,0.855011761916566,0.799000490807411,0,0.837634989697609,0,0.797138546905721,0.854686851602267,0.87477778285099,0,0,0.873464579239144,0,0,0.835244912678834,0,0.856370856873033,0.838691507208778,0.81653810460169,0.836505442840586,0.839675233634174,0,0.838227515251424,0.873361460016148,0,0.855114007326368,0.839243216381103,0.837991151659525,0,0,0,0,0.833455417908152,0.855026291494462,0,0.797564204319245,0,0.837615674436288,0.838071318628122,0.798807523167641,0,0.833460041930978,0.837331532253449,0.835019907860428,0,0.838517615206905,0,0,0,0,0.780349028440435,0.797127243882525,0.837894683965353,0.838828496703966,0.856137636398057,0.839421916614702,0.857947696007844,0,0,0.856000063413566,0.797138546905721,0.83599305826125,0.836835120402799,0.816699124693168,0.857041401604414,0,0,0.797130997114014,0,0,0.85591741789731,0,0.817386250337559,0,0.85591741789731,0.797138546905721,0.857028161804826,0,0,0.800073625606556,0.837885500061295,0.799687616451802,0,0.838806402045266,0.873421476886253,0.855244191498287,0.79982149365916,0.85508481493061,0.856439236739069,0,0.833998823881675,0.833998823881675,0.833998823881675,0.833998823881675,0.833998823881675,0,0,0,0,0.818120325338152,0.838868495830443,0.856389568599374
"GPCR ligand binding",0.899758094959415,0.89040642803685,0.869543041258521,0,0.890280628361005,0,0.889758153594561,0.880054195024153,0,0.879754099034939,0,0,0.879982078455948,0,0,0.881614262098431,0,0.890619930938118,0,0.890147719940472,0,0,0,0,0.879425035442649,0.880709866245613,0.899261234217733,0.878870611334218,0,0.890323249270846,0.868474944762792,0,0.889418294532091,0,0,0,0.889532748553791,0,0.890128676661299,0.890111967252395,0,0,0.871498745706953,0,0,0,0,0,0.899507270733057,0.891728653759768,0.869798113032486,0.890414057679667,0.890342211110302,0,0.899857196079814,0.890961479285402,0.878729722615592,0.879327603079629,0.87972156470508,0.880410696010919,0.899240748339656,0.90029693243077,0.889448696116274,0.881875273092735,0.890913921527454,0.878710897216242,0.879263466662532,0.87923468063049,0.890399542373806,0.890026519632622,0,0.890466167160087,0,0.900045095991316,0.888813812333458,0.868442311819533,0.889583586958669,0.890103631875586,0.888476765592344,0.880552938201781,0,0.891513003883647,0,0.899968995836823,0.89107146495289,0.881457334054599,0.879699195161401,0,0,0,0.889585564202956,0.879184664484355,0.889556070489464,0,0.89053009552537,0,0,0,0.8801611017469,0.889877168501955,0.899666604313236,0,0.890577717781595,0.879044199488791,0,0.889621942354164,0,0.890039701047658,0.880651805335962,0.890781722376051,0.878933298963022,0.870326913406858,0.890147593287649,0.889843415084529,0.898985589719279,0.889901602910259,0.879657507052172,0.880972161598036,0,0,0.879051492566876,0,0,0,0,0.889909980605963,0.879711277370466,0,0.890128702726366,0,0.889585564202956,0.878535049815079,0,0.880619013660288,0,0.890414057679667,0,0,0,0.890486987217394,0.89007452644381,0.879292810427793,0.889541409688222,0.889677448602678,0,0,0.879359115419713,0.890089933235785,0,0.889693217181389,0.891491928322238,0.87923468063049,0,0.880040388451321,0,0,0.899725733085188,0.899194788697441,0.880526637698277,0.899847893209775,0,0.889898640954977,0.878968586741979,0.891014681110178,0.880215749805851,0.898988007077113,0.88981164092214,0,0,0.880474869183218,0,0,0.869217098076805,0.872030954351404,0.87997265824557,0.889579655181159,0.889712981335791,0.89127512016663,0.890577717781595,0.891310714721632,0,0.890266206621043,0.879714257029124,0.879089013467349,0.889585564202956,0.889220049908609,0.889734802581461,0.890577717781595,0.890655463904331,0.891467642765464,0,0.889581617304592,0,0,0.879186171391095,0,0.879256715828784,0.880055847224045,0.879327283116374,0.889585564202956,0,0,0.878700067318353,0.890493904990213,0.890241990209673,0,0.890864014161901,0.890830361912059,0.890391524527401,0,0.901027964389032,0,0.890656239345312,0.890288723782723,0.900009816173984,0.900009816173984,0.899269672808076,0.899269672808076,0.900009816173984,0,0,0.89120174506969,0.889622524965005,0.87964047733259,0.880658303404022,0.890241236649183
"Blood group systems biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.827047193703818,0,0,0,0.833909164958612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.829172941747729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.824837473365882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.830276654563003,0,0.921920332087336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Class A/1 (Rhodopsin-like receptors)",0.90755119262128,0.89438651833842,0,0,0.895257593146945,0,0.893587071607668,0.880790749372356,0,0.88092477064039,0,0,0.881906038698127,0,0,0.883495880782103,0,0.895943481178577,0,0.895954734759314,0,0,0,0,0.880469940224707,0,0.907899120703696,0.879931074829838,0,0.880084326984332,0,0,0.894425164249015,0,0,0,0.894583362152052,0,0.894384028383556,0.895364393524185,0,0,0,0,0,0,0,0,0.907204504352475,0.897598971318281,0,0.894397064001006,0.895682635687869,0,0.908711193081705,0,0.880175037333048,0.881001425381918,0,0.881292994667647,0.907859141416097,0.908295971675614,0.894447622743033,0.883856649161889,0.896349833826175,0.879482861149471,0.881236340253389,0.880206832544704,0.895855766294326,0.880908059653756,0,0,0,0.895093931285738,0.894102029409433,0,0.894511050566363,0.894349411578284,0.892981206384485,0,0,0.897177883125704,0,0.907842698992652,0.896784495066247,0.883278975451096,0.88151503851013,0,0,0,0.894513783505716,0.880137700422312,0.893307753126842,0,0.895819311020954,0,0,0,0,0.894916837832101,0.907424734606453,0,0.895885134318038,0,0,0.89470664547555,0,0.895264507457448,0.882165576793434,0.895473227674433,0.879790263977703,0,0.895290617917683,0.894932620910133,0.90750646216476,0.894950610976093,0.880791261578,0.882608371971201,0,0,0.880035460952048,0,0,0,0,0.892783970971919,0.880865582702531,0,0.895421092975664,0,0.894513783505716,0.879239805556445,0,0.882120252267028,0,0.880209842013339,0,0,0,0.895759726885558,0.895189625210695,0.880953335114055,0.894595333538331,0.894640785765153,0,0,0.879954993189201,0.895054334900345,0,0.894662581033238,0.896402162254254,0.880206832544704,0,0.881320478756722,0,0,0.90750646216476,0.907795616177623,0,0.907675311413197,0,0.895069534746721,0.880066496056866,0.896489103328995,0,0.907509803427343,0.895371508046539,0,0,0.881921016332208,0,0,0,0,0,0.894505616078801,0.88047468824099,0.896102490865961,0.895885134318038,0.897177883125704,0,0.895454564805141,0.881546780181815,0.880995211726436,0.894513783505716,0.894086481633121,0.894720060211255,0.895885134318038,0.896115612479773,0.897394788456711,0,0.894508328118169,0,0,0.880139783262937,0,0.880237289509966,0.881409921118574,0.88007816230312,0.894513783505716,0,0,0.880134047896702,0.895858914760459,0.89563799830667,0,0.89702185762473,0.896451243382218,0.880178696778035,0,0.89607130815795,0,0.895993666517597,0.895485687938322,0.907899120703696,0.907899120703696,0.907899120703696,0.907899120703696,0.907899120703696,0,0,0,0.880089272596573,0.880767723165918,0.882174558397796,0.895420051407287
"Ethanol oxidation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.742568084600035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.750659996427822,0,0,0,0,0,0,0.744569590777836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.746980146522672,0,0,0.815485409058173,0,0.813748140353321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.751289499674094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.742016208096581,0,0,0,0.740329890397544,0,0,0,0,0,0,0.745425584815559,0,0,0,0,0,0,0,0.737306021860085,0.747585539755737,0,0,0.743254227978412,0,0,0,0,0.743958037019665,0,0,0.734724434101814,0,0,0,0,0,0.740179075995541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.743567792280314,0,0,0.740597752831082,0,0,0.737872023225666,0.741526818857764,0,0,0,0,0,0,0,0,0,0,0,0,0.816750857947392,0,0,0,0,0,0,0.742420644003898,0.743083968710332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Biological oxidations",0.815040135208762,0.8158678021216,0,0,0.815690554890475,0,0.816128871072452,0.815153194626541,0,0.78980466555766,0,0,0,0.817030802788035,0,0.79188251202603,0,0,0,0.802816457445336,0,0,0,0,0.830147535002016,0,0.81517369538632,0,0,0.82955184169886,0,0,0.815239561821406,0.816332186779622,0,0,0.815400823432781,0,0.815197629306361,0.815584656062041,0,0.816525077245696,0,0.816525077245696,0,0.82352422772861,0,0.832242456527993,0.814688956582691,0.831039461356436,0,0.815878552014671,0.830153026737031,0.816898176730336,0.815188640648021,0,0,0.817129222085934,0,0.816561690515928,0.830077715945214,0.830032873327371,0.81494530222026,0.792250267155148,0.802880411179824,0.816504163385715,0,0,0.81675413200281,0.829817025311138,0.816494683340765,0,0.848618702635646,0.829897040262588,0.829907114077672,0,0.800921612492825,0.81516234210159,0.815948534967689,0,0,0.81756881964894,0.818248307772809,0.815781788164006,0.803156162982063,0.791661406040914,0.83138779118686,0,0.80266624866478,0,0.800924398359107,0.829909503464102,0.815907490018758,0,0.816831682625698,0,0.823641611781685,0,0.816526759199861,0.815343200405355,0.814693153961589,0,0.816157654391041,0,0,0.815294932612805,0,0.815525008283345,0.831976652301093,0,0.829616816533267,0,0.822705537145482,0.802250966177265,0.814773432503605,0.81677910642562,0.829250471911693,0.790977815451623,0,0.831534437363089,0,0.801697285399073,0,0.830230023891994,0,0.815373564140532,0.802815039785009,0,0.829995550924181,0,0.800924398359107,0.815709124313338,0.830632792689199,0,0,0.829679787489802,0,0.81879384755128,0.816303702775197,0,0.829879371740994,0,0.81541302666054,0.820552708669831,0.818629084514891,0,0,0.828445544741594,0,0.828885255067715,0.80893757047532,0,0,0,0,0,0.814773432503605,0.816075059252198,0,0.815166657722665,0.804023702968083,0,0.815634722016789,0,0.816603756354825,0.814776838474088,0,0.816137968348952,0,0.81545606064883,0,0,0,0,0,0.800916072759337,0.815748147086712,0.808632095560472,0.830482459986504,0.818322959332906,0.816431884806784,0,0,0.830086056929189,0.800924398359107,0.815892157985969,0.821139642527538,0.821821155652368,0.830464566287602,0.817696544947414,0,0.800918837320878,0.804629515139857,0.803453359513624,0.830320251074142,0,0.816029929092567,0,0.830320251074142,0.800924398359107,0.835462806169493,0,0.801327659867556,0,0.801987462820197,0,0,0.818308800531851,0.829648039086471,0.832038307568479,0.808988830230192,0.831920913709148,0.830310463083061,0,0.81517369538632,0.81517369538632,0.81517369538632,0.81517369538632,0.81517369538632,0,0,0,0.800976474747137,0.816561690515928,0.816443014121645,0.829984438040289
"Peptide ligand-binding receptors",0.904849164922071,0.890834470026522,0,0,0.891761788652896,0,0.890044479915367,0.875496214533446,0,0.876503520190993,0,0,0.876649659365254,0,0,0.879240642538627,0,0.892491963307378,0,0.892503943512669,0,0,0,0,0.876019322149472,0,0.90521955812861,0.875445663133184,0,0.875608810518462,0,0,0.890967774279751,0,0,0,0.891136186752141,0,0.890923982341472,0.891875484948726,0,0,0,0,0,0,0,0,0.9044800915818,0.894254345627824,0,0.890845696604593,0.892214275467283,0,0.906084064637951,0,0.874806890188129,0.875686636706834,0,0.876012961842826,0.905176997446454,0.90564203309236,0.890899519838543,0.879624705118683,0.892924553453836,0.874968509058316,0.875952649349463,0.87573922605437,0.892398584822339,0.876485730204392,0,0,0,0.891587559423857,0.890839018791117,0,0.890967043088472,0.890887130388,0.889338419471506,0,0,0.893806068487326,0,0.90515949336371,0.893387280030404,0.87900973199956,0.876233412960585,0,0,0,0.890969952489068,0.875665630188494,0.889747126315622,0,0.892359775694011,0,0,0,0,0.891399031347325,0.904714541728453,0,0.892429849089359,0,0,0.891267430270014,0,0.891769149408661,0.877824443085533,0.892049718199383,0.875295760363979,0,0.891796945776874,0.89145174657102,0.904801546296104,0.891434985165747,0.87636139067567,0.87829582879431,0,0,0.875556789289642,0,0,0,0,0.889189524438413,0.87644051058872,0,0.891935845387286,0,0.890969952489068,0.874709759779319,0,0.8777761920316,0,0.87574242983927,0,0,0,0.892296344312404,0.891689432142683,0.875635441332223,0.891148931110457,0.891105155068246,0,0,0.875471125860302,0.891545406367252,0,0.891128357619694,0.892980260639453,0.87573922605437,0,0.876924778506916,0,0,0.904801546296104,0.90514240016748,0,0.904981297853137,0,0.891561587641839,0.87558982827836,0.893072815351422,0,0.904805103298325,0.891975221885642,0,0,0.877564091771559,0,0,0,0,0,0.890961257705297,0.876024376737086,0.892661239979646,0.892429849089359,0.893806068487326,0,0.891971478435828,0.876283133855712,0.875695951563916,0.890969952489068,0.89057009976764,0.89118954813041,0.892429849089359,0.892675208833731,0.894036979026392,0,0.890964144856432,0,0,0.875667847514596,0,0.875771649574042,0.876121508317962,0.875602247794279,0.890969952489068,0,0,0.87476325413364,0.892455469357637,0.892166755926353,0,0.893732131727268,0.893032510852317,0.875709273609131,0,0.892628043857253,0,0.892545389028324,0.892004611136745,0.90521955812861,0.90521955812861,0.90521955812861,0.90521955812861,0.90521955812861,0,0,0,0.875614075460471,0.876336332428383,0.877834004616803,0.891934736566612
"Lewis blood group biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.814279799194309,0,0,0,0.821955151457811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.816657521929459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.811808150542964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.817892062900328,0,0.920398686959788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neuronal System",0.868180422075485,0.849140587627018,0.839863623303631,0.830324627541777,0.849017256765956,0,0.84857433531905,0.84880675737803,0.839105155000636,0,0.838826986891276,0.839216219220556,0.839896568662508,0.839185273987503,0.839216219220556,0.85001860135259,0.839105155000636,0.840005849812296,0.849290785348363,0.848984432073666,0.839216219220556,0.839105155000636,0,0.840345798895962,0.838720247697176,0.85053314362829,0.857983739826982,0.849091321435576,0,0.849059041241748,0.837990198506221,0.829943435239585,0.848064019009877,0.849511730905287,0.840226675611423,0,0.848395125193623,0,0.848034841836535,0.849204073205624,0.839451150525133,0.849353434870275,0.84043783276015,0.849353434870275,0,0,0,0.838883471047522,0.857492604112086,0.840304744381422,0.850108957286966,0.849148067538328,0.849429798534875,0.848884380518193,0.857840290592968,0.849462364151552,0.848754878410326,0.840000505263056,0.849473532162372,0.849684746011825,0.857229764925338,0.858549427394278,0.848553818745225,0.85027449001413,0.848567342096681,0.848643021539409,0.849065262059814,0.839192106093844,0.848955942126428,0.849209095049856,0.840356395050017,0.840552386771758,0.838454677241047,0.858302533237231,0.849071689748675,0.837958205983474,0.848641591451343,0.848010288553974,0.848094452779834,0.85037929529251,0.849999536018895,0.84015670689604,0,0.848715502470068,0.839818777674658,0.84986475301681,0.839526771913582,0.849099663577552,0.850119125980744,0,0.848643529892272,0.838029213702419,0.848376218088699,0,0.859140754793692,0,0,0,0.839234996724678,0.857892717027755,0.859100609187156,0,0.858347456656274,0.848854522402641,0.83896338578551,0.858075373428065,0,0.848934905979532,0,0.848810685604192,0.838094033204492,0.848932269499343,0.85960907088538,0.849505234884877,0.857705231860098,0.848799518013847,0.849052844133887,0.849389102054841,0.841566392232308,0,0.848850600966413,0.849705325087131,0.839862178849231,0.849318734314955,0,0.848224573896768,0.849101588611062,0.840077538785012,0.858534585078891,0.830178035386747,0.848643529892272,0.848470625138106,0.849598985928776,0,0,0.849148067538328,0,0,0.840377356697255,0,0.849239385933894,0.839220827498284,0.848184718034841,0.848347564943674,0,0,0.849110196572362,0.848400994961743,0,0.848749070184302,0.849630766588835,0.839192106093844,0.84036480486161,0.84974810230633,0.840105001900402,0,0.857705231860098,0.857932331935597,0.839474397828773,0.857824994595984,0,0.848796614186847,0.848917036073417,0.849890752088201,0.839288572317147,0.857707601777358,0.848954147572905,0.84010818825539,0,0.848971262729691,0.830740152179823,0,0.858656498629685,0.850111805116901,0.840319731816406,0.848637736834846,0.849377360894461,0.849418213286638,0.858619543606472,0.850108957286965,0.849405160448168,0,0.839938661234659,0.858827192729431,0.848643529892272,0.848494175932632,0.848988158715581,0.849197451595851,0.84973690375242,0.85010026988552,0,0.848639660451667,0,0.84994642154974,0.82895810799724,0,0,0.839544678445652,0.849320472419535,0.848643529892272,0.8495762697171,0,0.848538805444075,0.839709569009196,0.848934905979532,0.849425535923755,0.84823122508868,0.849439712143152,0.849125976598485,0.839480022663573,0.858981906914508,0.83939833853422,0.840411466544364,0.847413813015779,0.857983739826982,0.857983739826982,0.857983739826982,0.857983739826982,0.857983739826982,0,0,0.849920296587459,0.848327597721308,0,0.849595945593966,0.848927173494626
