"","PNISR","USP45","CCNC","MCHR2","SIM1","ASCC3","GRIK2","HACE1","LIN28B","PREP","PRDM1","ATG5","QRSL1","BEND3","PDSS2","SEC63","OSTM1","NR2E1","SNX3","FOXO3","SESN1","PHIP","ELOVL4","SMPD2","TTK","MICAL1","BCKDHB","ZBTB24","AK9","IBTK","FIG4","WASF1","TPBG","UBE3D","CDC40","DDO","SLC22A16","DOPEY1","CDK19","PGM3","AMD1","GTF3C6","RPF2","ME1","REV3L","SNAP91","FYN","CYB5R4","TUBE1","LAMA4","NT5E","RFPL4B","SYNCRIP","HTR1E","CGA","RARS2","ORC3","CNR1","RNGTT","SRSF12","GABRR1","GABRR2","UBE2J1","RRAGD","MDN1","MAP3K7","EPHA7","FUT9","UFL1","FHL5","NDUFAF4","KLHL32","FBXL4","COQ3"
"Transmission across Chemical Synapses",0.868230467213026,0.868161233370921,0.868243480242882,0.88871858174412,0.869374818896447,0.867020037433505,0.888558837566384,0.867032279090718,0.867392819562737,0,0.8776840551957,0.878359243069583,0,0,0.867357504747449,0,0,0,0.866653982441915,0.876648293823063,0.87714874250693,0,0,0.866816277887818,0.877504629943729,0.868060107989171,0.877367689417095,0,0.887571817372301,0.876853643830963,0.868302480895974,0.876637575828543,0.868065487749226,0.867034460673661,0.875579746745529,0.877509947677978,0,0,0.868343673262562,0,0,0.876792272231044,0,0.877153393032653,0.86740073281809,0.877201564562041,0.887142108508637,0,0,0.87675380122444,0.876692999270919,0,0.877552772783875,0.887324612537607,0.887580198170255,0,0.867696184759765,0.887327279717708,0.876614344483492,0.868698111828567,0,0.86852334167263,0.867027940982974,0.877476311750467,0,0.877117801188382,0.876304858470553,0,0.867030105882397,0.877747657692976,0.866692542747126,0,0.867034460673661,0
"Neuronal System",0.777566663622675,0.77746368295651,0.777576842362325,0.794231151988359,0.778461770909895,0.777233875351363,0.794744968262981,0.776926961644166,0.776911458997419,0.786357407781707,0.786238757202192,0.785489351386572,0,0,0.77688129576673,0,0,0,0.776333543571157,0.784151053762848,0.785820037768647,0.778933642307318,0,0.777035444724883,0.786098411491274,0.777433409322509,0.785991297161753,0,0.793334157505971,0.794181984479169,0.777622992436029,0.785242910870469,0.777437617349201,0.776928668069576,0.784592775590422,0.78610257100163,0,0,0.777655212939608,0,0,0.785541208151627,0,0.785823675391175,0.776868822480804,0.7850773714879,0.793083849356134,0,0,0.785645835526909,0.785463557241231,0,0.786136068627333,0.792502027349499,0.793340712932445,0,0.777148750035203,0.79314288113543,0.785402033782646,0.777932453361324,0,0.777836196943162,0.776923568393726,0.785437493585948,0,0.785093669359707,0.785651326301535,0,0.776925261769353,0.786288506819923,0.776363705286906,0,0.776928668069576,0
"Neurotransmitter receptors and postsynaptic signal transmission",0,0.849272118544318,0.848002741994009,0.878408080754101,0.850783235639087,0.846931141561498,0.881678655533639,0.847437852436314,0.847952740608574,0,0.847188260076435,0.863613899878765,0,0,0.846736072294645,0,0,0,0.846643004353448,0.863533248603296,0.847538280224442,0,0,0.847129380924243,0.865892131688729,0,0,0,0.879102855912562,0.864962457835775,0.849299011953287,0.864653890927251,0,0.847440967956877,0.863211957095988,0.849049063089524,0,0,0.848145827735498,0,0,0.864874812998753,0,0.864447532568847,0.848186047021044,0.864878474958264,0.878489188298006,0,0,0.864819872519631,0.864037313496302,0,0,0.87874982246587,0.879114824537656,0,0.84838597671921,0.87875363146817,0.864689467055795,0,0,0.849013205233241,0.847431657180746,0.864685455257008,0,0.864173466000952,0.864178736969153,0,0.847434748875557,0.866239199835939,0,0,0.847440967956877,0
"Keratinization",0,0,0.848418485378246,0.834593007997946,0.837900139208915,0,0,0,0,0,0.837829834909684,0.835908365935322,0,0,0,0,0,0,0,0.84923651194476,0.837163615546513,0,0,0.835905772476918,0,0,0,0,0,0,0,0.835148922499382,0,0,0.820435028746173,0,0,0,0.848543179844052,0,0,0,0,0.862730742735235,0,0.834793216973949,0.848487924674647,0,0,0.83531949527999,0.835372138527909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.849376105155422,0.835583742429962,0,0,0,0,0,0,0
"Signaling by Retinoic Acid",0,0,0.217341296529816,0.605685393246844,0,0.653651855631234,0,0.604813525165256,0,0,0,0,0,0,0.657824294182174,0,0,0.223774413462528,0,0.218430847393804,0,0,0,0,0,0,0.694941296751683,0,0.609900260280228,0,0,0.218839814885439,0,0.604822091425883,0.690285705997656,0.611048802782445,0,0,0.217734717060678,0,0,0.609116885885835,0,0.219308954958256,0,0,0.215714102446286,0,0,0.219614450254266,0.613002920086253,0,0,0.651611418557205,0,0,0,0.651621891576329,0.608607269074875,0,0,0,0.60479649103796,0.258848997125339,0,0.213782885298478,0.607502359786767,0,0.604804991788639,0,0.607869369599454,0,0.604822091425883,0
"Protein-protein interactions at synapses",0,0.473481747508234,0,0.496765600985662,0,0,0.501141081655479,0.468906175448958,0,0,0,0,0,0,0,0,0,0,0.47214080011195,0.498540011104861,0,0,0,0.473384489867904,0,0,0,0,0,0.501893659393132,0,0.52699875570151,0,0.468911413639154,0.471162094285329,0,0,0,0,0,0,0,0,0,0.471655712631944,0.49826976191259,0.548299516183702,0,0,0.500575973029887,0,0,0,0.47343212245865,0.469790992919843,0,0.470796767005813,0.473438526614265,0,0,0,0.477155451834074,0.468895759235575,0,0,0.499449186087496,0.526047534502024,0,0.468900957367035,0,0,0,0.468911413639154,0
"Interaction between L1 and Ankyrins",0,0,0.820089702547829,0.821968698296025,0,0,0.878618472561817,0,0,0.834348015769727,0.880281241028398,0,0,0,0,0,0,0,0,0.82500455397084,0.87789717657096,0,0,0,0,0,0,0,0,0,0,0.871601781794105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.915416484243586,0,0,0.874143144241363,0,0,0,0.823034434092294,0.824172708292427,0,0,0.823046312624998,0,0,0,0.879724563379502,0,0,0,0.824331154507607,0.874143144241363,0,0,0,0,0,0,0
"GABA receptor activation",0,0,0,0.46430113065237,0,0,0.429863937772329,0,0,0,0,0.368883684927449,0,0,0.384025809533178,0,0,0,0.382717511270437,0.425406786986288,0,0,0,0.385567565482809,0,0,0,0,0.466130034341724,0.384754394223914,0,0.425706986305045,0,0,0.424299345493875,0,0,0,0,0,0,0.428676593670348,0,0.427551834465694,0,0.82810756021093,0.424110182350095,0,0,0,0.426471987027158,0,0,0.465200720497874,0.466161540163894,0,0,0.465210747192517,0.428188694995855,0,0,0.38637160265866,0,0.426200755781045,0,0.425838032487677,0.426448609347176,0,0,0,0,0,0,0
"L1CAM interactions",0.819052516078341,0.847835325997142,0.845854983806934,0.842952389141662,0,0.816037673797277,0.848275456889975,0.844809473304982,0.821762183578082,0.824854347026015,0.849031649909587,0.81979623179738,0,0,0,0,0,0,0.846530165659854,0.852904268771669,0.847698335614947,0,0,0.846957617008034,0.848222521059293,0,0.82705938940645,0,0.817740691120628,0.820026999163756,0,0.845176515449899,0.818641598343677,0.844814907018368,0.838843841502001,0,0,0,0.819210692297962,0,0,0.816618629501158,0,0.819186736429076,0.845941131670268,0.871463590387464,0.870192780524956,0.825546935087957,0,0.848214295255322,0.819958769758297,0,0.81785533568678,0.843548413618702,0.844647216657461,0,0.845050124629144,0.84355505681889,0.820939605977292,0.820217288114936,0,0.848079913687277,0.844798668291039,0.846373271281084,0,0.84470084721219,0.846030109500984,0,0.844804060450438,0,0.81791542002026,0,0.844814907018368,0
"Developmental Biology",0.770676861845555,0.769568632958158,0.775547934995981,0.774923285186108,0.770944911557809,0.770110904691402,0.77075926301316,0.770113317852544,0.765236766877142,0.766280634140608,0.770345984465954,0.765437191285494,0,0.765183368709913,0.764755189206257,0.770130547445508,0,0.770371170601764,0.770961764513243,0.766211046012981,0.770749140523617,0.765071411682817,0,0.770700783537734,0.7706234143992,0.765763784391284,0.772388250723275,0,0.775154996900831,0.770288867939603,0.765407275579727,0.775329468462344,0.770578838055759,0.769725410411144,0.775088722307409,0.770692140507458,0,0.764731772953465,0.775964437188845,0,0.765296590982742,0.770496981151086,0.769969005270904,0.785948359559249,0.770459083135726,0.775193341704803,0.792375111374354,0.766201576478074,0,0.775812374377916,0.770479815889501,0,0.770458481431623,0.775037258112546,0.77021247031291,0.765223469606774,0.770860454421057,0.775038528437835,0.770111559306307,0.770910138436853,0,0.770620431394082,0.769722305211028,0.765368235039208,0.770210453621042,0.775525938632165,0.77578028541702,0.76506299100416,0.769723336309934,0.765587358734682,0.769954925429947,0,0.770114356897483,0
"RA biosynthesis pathway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.673996799034386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unblocking of NMDA receptors, glutamate binding and activation",0,0,0.769214816616493,0.770869820566668,0,0,0.843352265665365,0.768819084937769,0,0,0,0.769859886972783,0,0,0,0,0,0,0,0.83683182451874,0,0,0,0,0,0,0,0,0.767971277282338,0.774781685561325,0.782519867339472,0.77629773554941,0,0.768832069268806,0.766079788286619,0,0,0,0.767575505781381,0,0,0,0,0.768187187190057,0,0.837906211021931,0.896683217226385,0,0,0.774316897271755,0.769153005069765,0,0,0.76949116157766,0.765345699647662,0,0,0.769507036082673,0,0,0,0,0.768793265416584,0,0,0.827748736853777,0.841525407830473,0,0.768806150450752,0,0,0,0.768832069268806,0
"Activation of Matrix Metalloproteinases",0,0,0.861998871832562,0.85924138434975,0.827988867699178,0,0,0.819504940071584,0.828477817666013,0,0.827741122724633,0,0,0,0,0,0,0,0,0.861924809151018,0.825822429351954,0,0,0.862165022898831,0,0,0,0,0,0,0,0,0,0.819512759405634,0,0,0,0,0.862357988451468,0,0,0,0,0.86272635099961,0,0.820463683229731,0.861751367904526,0,0,0.861936597695643,0.823707871627193,0,0,0.825628492167984,0,0,0,0.82563805200262,0,0,0,0.8264020682103,0.819489391218079,0,0,0.820617881169431,0.829155210814788,0,0.819497150754255,0,0,0,0.819512759405634,0
"Class B/2 (Secretin family receptors)",0,0.86148467492759,0.827390556706778,0.886065207502137,0.832068538041821,0,0.860500246760295,0.856166547992199,0.864206847957165,0,0,0,0,0,0.826490126852091,0,0,0,0.861193358357183,0.857347246315651,0,0,0,0.825352477316315,0,0,0,0,0.858787651573061,0,0,0.859809966918898,0,0.856172636271437,0.857728864379042,0,0,0,0.827670171599934,0,0,0,0,0,0.859362298723094,0.887647602483362,0.857479097212028,0,0,0.826922585144478,0.859341757035478,0,0,0.88673303136235,0.887446310087692,0,0.858363957573356,0.886740474827787,0,0,0,0.828188906741443,0.85615444136504,0.85832014978415,0,0.857255050741208,0.860360521780422,0,0.856160483084539,0,0.795981367884215,0,0.856172636271437,0
"Receptor-type tyrosine-protein phosphatases",0,0,0,0.498035327186437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.504313393601515,0,0,0,0,0,0,0,0,0,0.648408791771251,0,0.643534857991472,0,0,0.498735081916626,0,0,0,0,0,0,0,0,0,0,0.570954984043276,0.638334495538892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.583523218528341,0,0,0,0.575856974989104,0.644823647272285,0,0,0,0,0,0,0
"Collagen formation",0,0.781692617358246,0.806156995519069,0.805431762787711,0,0,0,0.77706641585181,0.808801973067309,0,0.812103787619518,0,0.781177164111982,0,0,0,0,0,0.809037197368491,0.834889894295929,0.810804227970507,0,0,0.836196720913445,0,0,0,0,0,0.780125720552139,0,0.832897253595079,0,0.77707171200343,0.806611096786775,0.810123901818167,0,0,0,0,0,0.836579475203155,0.778649552866493,0.808837966813942,0.7798463771098,0.805804020155764,0.834147637961869,0,0,0.835079823153569,0.806090584014009,0,0,0.806012698103037,0,0.780980396556096,0.778977927110963,0.806019173121673,0,0,0,0.810455295148832,0.804208324469084,0.807233902352637,0,0.808067110989199,0.807768459379706,0,0.777061140030963,0,0,0,0.77707171200343,0
"Synaptic adhesion-like molecules",0,0,0,0.572616395532985,0,0,0.659335971521778,0,0,0,0,0,0,0,0,0,0,0,0,0.656974174765841,0,0,0,0,0,0,0,0,0,0.581107683995552,0,0.576956846917366,0,0,0.503449561407138,0,0,0,0,0,0,0,0,0,0,0.658363019219169,0.729006401574155,0,0,0,0,0,0,0.421346513637658,0.423198254866977,0,0,0.421365837600854,0,0,0,0,0,0,0,0.654854612200053,0.661863049519826,0,0,0,0,0,0,0
"Signaling by Nuclear Receptors",0.463984099019336,0.482462497367559,0.480984901445274,0.498391944648846,0.484496696427608,0.48114694599009,0.482722785031422,0.480592385637971,0.480924999873972,0,0.464664493262363,0.46300035802666,0,0.446422199170409,0.464161017952318,0.463376570707347,0,0.482155022301544,0.4829796333465,0.480512197625029,0.463748840213166,0.463380558176998,0.485138004082455,0.481830503147976,0.482171291955421,0,0.500421620465271,0,0.481291334022961,0.46426284650094,0.463827175737235,0.482056316795694,0.463701901432295,0.480596117238428,0.498393570498024,0.483196315633808,0,0.446216046089537,0.481946499136783,0,0.484059828825139,0.480950947738135,0.46347517576323,0.481606817835723,0.481589041674105,0.481429044609594,0.481241279265512,0,0,0.481452646377098,0.481630953826143,0,0.463880717156552,0.498801264215877,0.498642907769459,0,0.482190136785745,0.498805826430902,0.481247976353989,0.464784005741416,0,0.462785145426636,0.480584965299044,0.500214294016257,0.44190671126204,0.480252603020177,0.482144315743477,0,0.480588668362316,0.46361298794554,0.462491693128671,0,0.480596117238428,0
"Extracellular matrix organization",0,0.772827361392155,0.799170913697605,0.798838968925775,0.786527639702667,0.79852680737466,0.800348732818496,0.784048081062998,0.786543343278827,0,0.786696449271084,0.784004738723808,0.771923824973202,0,0,0,0,0,0.785330610243091,0.798707788738858,0.787107035855095,0,0,0.798697495511689,0,0,0,0,0.783129162356811,0.785796280670677,0.772911098111014,0.797760280843191,0.785861333200192,0.784050821495293,0.78337841264973,0.785892912870019,0.786799640343396,0,0.798859604550364,0,0,0.799582042803818,0.770615941819126,0.799455118743634,0.771872045766136,0.798974124362077,0.799013446918588,0,0,0.813437992133563,0.797955430648203,0,0,0.786047548791236,0.784521354530012,0.771822009881157,0.78384318745483,0.786050899214609,0.770812234345373,0,0,0.785668725808805,0.784042631675619,0.78636301311855,0,0.798423281748721,0.797999057306961,0.785045983379795,0.784045351150627,0.773570378734846,0.784813741457233,0,0.784050821495293,0
