"","PNISR","USP45","CCNC","CD109","MCHR2","SIM1","ASCC3","COL12A1","GRIK2","COX7A2","MYO6","HTR1B","PHIP","ELOVL4","TTK","BCKDHB","IBTK","TPBG","UBE3D","DOPEY1","PGM3","ME1","SNAP91","CYB5R4","NT5E","KHDRBS2","PTP4A1","SYNCRIP","HTR1E","CGA","RARS2","COL9A1","ORC3","CNR1","RNGTT","SRSF12","GABRR1","SMAP1","GABRR2","UBE2J1","RRAGD","B3GAT2","MDN1","RIMS1","MAP3K7","EPHA7","FUT9","UFL1","KCNQ5","FHL5","NDUFAF4","KLHL32","FBXL4","COQ3","EEF1A1"
"Interaction between L1 and Ankyrins",0,0,0.889672559723512,0,0.890700184366169,0,0,0,0.895686946729308,0,0.918690811011761,0.891283036332628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.891474370232142,0,0.891283036332628,0.891905559624273,0,0.918374853430195,0,0.891289532713973,0,0,0,0,0.922286924397153,0,0,0,0,0,0.917390926243921,0.919234440721848,0,0,0.91955377897552,0,0,0,0,0,0
"Transport of small molecules",0,0.921059795492873,0.921298832240496,0.91798191263078,0.924641268135533,0.921817729624064,0.917395161856072,0.917366564064503,0.92162320817338,0.917705947261659,0.924782597680468,0.924440599661095,0.918100922190361,0.917936663356742,0.921120378546551,0.917676953933212,0.921524861517426,0.917758536159812,0.920356117842567,0.917771737920502,0,0.920999211555676,0.924547707128408,0.925381674781144,0.921143654142651,0.91765368045784,0.921678813334811,0.917575015063537,0.924724442580682,0.924529435304371,0,0.921377381834041,0.9212627087903,0.924441526711092,0.921320980066119,0,0,0.921701899500661,0.921645952338617,0.920656473795137,0.921526977512132,0.917757409746507,0.917420137884373,0.925070809235439,0.921090888822267,0.921439865640046,0,0.920354604218036,0.921060254703321,0.921707999991971,0.92138209731017,0,0.920356117842567,0,0.921183752495012
"Signaling by GPCR",0,0.944502893579957,0.944512348019958,0.939976991157835,0.94977749711852,0.945041067379155,0.9395027084004,0.9444517073607,0.944735641394028,0,0.949891454837187,0.949868953811193,0,0,0.944535200214027,0.939745277103707,0.944542853130944,0,0.944191247554511,0,0,0.944331918649533,0.949700870815423,0,0.949425268694832,0.940448502839813,0.945577469954041,0.940348572491295,0.949868953811193,0.949939048747517,0,0.944366264749345,0.9443299397616,0.933142335393119,0.944541634340347,0,0,0.94478832788795,0.944788720348766,0.944188675468221,0.94427832407018,0.944499369706551,0.93990935537067,0.944369153179065,0.945632942961312,0.949891454837187,0,0.944189529543728,0.94446509874002,0.944859146359583,0.940335791488285,0,0.944191247554511,0,0.944334825895071
"G alpha (i) signalling events",0,0.930909741951476,0.938151587165731,0.930404347810384,0.945286396619832,0.939543122096138,0,0.929651790637811,0.938853380186306,0,0.946031467592858,0.945437027490092,0,0,0.938548712835382,0.930199694330196,0.938283794281935,0,0.937867467285931,0,0,0.938187516090513,0.938013927383808,0,0.945227456514908,0,0.938248054401814,0.930997950414313,0.945436133812313,0.945653699958008,0,0.938169311872661,0.938194709010248,0.916589352102633,0.938471764221821,0,0,0.938966396637011,0.939077510139747,0.937863031319945,0.938395336717712,0.938523332076054,0,0.930758837353004,0.938601950206293,0.938718645594812,0,0.937864504307033,0.938339766581974,0.939019363469535,0.931218128950522,0,0.937867467285931,0,0.938115090640372
"Neuronal System",0.934969065928062,0.941184908020758,0.940842158175082,0.935981694231141,0.946037101753262,0.936028424292208,0.935180388052875,0.940987706271149,0.946833124531435,0,0.946556833122205,0.945725215022938,0.936354318495941,0,0.941390729781464,0.941067570378405,0.940935550611125,0.934879941152185,0.940563524706422,0,0,0.940898754627014,0.945886867331708,0,0.940864151979113,0.942055015278861,0.940821915914744,0.941328616585094,0.945725215022938,0.945863286827168,0,0.940870706628963,0.940823346765345,0.94572665588002,0.941043321940136,0.935221695683251,0,0.941549739819633,0.941355658102685,0.940560002656115,0.9405314162978,0.941181100501932,0,0.946354017195169,0.940331891699425,0.940827092422716,0,0.940561172172437,0.933512951144941,0.941449190282353,0.934138252382034,0,0.940563524706422,0,0.94076013169449
"Transmission across Chemical Synapses",0.922237159356305,0.930756071992421,0.930242895986953,0.92171761995015,0.937324233781214,0.923681193215146,0.921345820910201,0.930441295684284,0.939010663435892,0,0.939235398874203,0.937500448482242,0,0,0.930944699160819,0.930550160143081,0.930391171936257,0.922115671483659,0.929863084795037,0,0,0.930320043811187,0.93771805934742,0,0.930272876207793,0.931896167234036,0.930215303332474,0.930905997765115,0.938101802601578,0.93768865708757,0,0.930281810990051,0.930217253755284,0.937502412545095,0.930517106582482,0.92258152433476,0,0.931207415536909,0.930978310142127,0.929858283813548,0.930374704841539,0.93070491546283,0,0.938357582062293,0.930148695048792,0.930222359540307,0,0.929859878006057,0.938890162498006,0.931070354329638,0.921104659787265,0,0.929863084795037,0,0.930131083951191
"GPCR downstream signalling",0,0.947925831597428,0.947863406776646,0.942886950333816,0.953287129398611,0.948443548304979,0.942366539800376,0.947796868330249,0.948108417209962,0,0.952351657917013,0.952326968487011,0,0,0.947888481528616,0.942632700242234,0.94789687875266,0,0.947511076733244,0,0,0.947665429212757,0.952142538081057,0,0.952193635624336,0.943404320282638,0.94761810364143,0.943294670911742,0.952326968487011,0.952403880714226,0,0.947703115744357,0.94766325786221,0.933973553193819,0.947895541424969,0,0,0.948187067946395,0.948166658515842,0.947508254491075,0.947606622133661,0.94787233382832,0.942812736427603,0.947739712781977,0.947678971840519,0.952351657917013,0,0.947509191632227,0.947811562127875,0.948243934017181,0.943280646854387,0,0.947511076733244,0,0.947668619211081
"Extracellular matrix organization",0,0.84011380999488,0.839341182675066,0.839759199623347,0.839246566456971,0.840562218636499,0.839218734419619,0.847364847856364,0.840296794371611,0,0.838979002909563,0.838854302240853,0,0,0,0,0.831685895436695,0.831724387970562,0.83869900021703,0,0,0.839492045481601,0.839595030963368,0,0.838880642447539,0,0.840041877143513,0,0.838854302240853,0.830529546351457,0.823773920879874,0.855166682980694,0.839282637311006,0.838856284735402,0.839746664540115,0,0,0,0.839892436094135,0.838694154180857,0.832021239321164,0.847434263251032,0,0.839687914607258,0.839322684513775,0.839198702624922,0.83124193354785,0.838695763334024,0.830719735270628,0.831551894782758,0.839426336884895,0,0.83869900021703,0,0.839062422377888
"GPCR ligand binding",0,0.919463630438816,0.919235974809793,0,0.926125609691812,0.920382690060746,0,0.91921473913483,0.919352586165825,0,0.919443603947499,0.926303860233149,0,0,0,0,0.910577321648529,0,0.918634073560424,0,0,0.919386069516105,0.92654620715181,0,0.919045604665251,0,0.919267670174501,0.910845854087872,0.926303860233149,0.926474552486257,0,0.919054577378439,0.918636689572834,0.92630583263406,0,0,0,0.911690551853617,0.920242342063386,0.918629252197275,0.918738037344948,0.919571913005101,0.910033753936975,0.919132210988453,0.918920896318586,0.919223126306749,0,0.918630853157627,0.919111804252596,0,0.910148870594289,0,0.918634073560424,0,0.91841759583813
"Phase 0 - rapid depolarisation",0,0,0.896139982884112,0,0.893645357710931,0,0,0,0.899064933138938,0,0.931045296727172,0.894158481350223,0,0,0,0,0.898567048153822,0,0,0,0,0.896798113829182,0.857683699981017,0,0.895866691287424,0,0.900003277492296,0,0.894158481350223,0.895250054165351,0,0.857901327156705,0,0.894167129876929,0,0,0,0,0,0,0,0,0,0.859647875015294,0.89660503703213,0.898335552457996,0,0,0.864122989701471,0,0,0,0,0,0.895647631340674
