"","GRM1","IL22RA2","PCMT1","PNISR","IFNGR1","RAB32","PDE7B","TNFAIP3","RAET1E","HBS1L","HIVEP2","RAET1G","USP45","TFB1M","ULBP2","PERP","ULBP1","STXBP5","CLDN20","NOX3","RAET1L","ULBP3","BCLAF1","PPP1R14C","ARID1B","MYCT1","VIP","FBXO5","ADAT2","CCNC","MTRF1L","PEX3","SNX9","MTHFD1L","UST","MAP7","OPRM1","REPS1","FUCA2","SYNJ2","MAP3K5","SUMO4","IPCEF1","PHACTR2","PPIL4","CD109","ZBTB2","PEX7","HECA","SCAF8","MCHR2","SIM1","KATNA1","IL20RA","CITED2","ASCC3","NMBR","TMEM181","LTV1","VTA1","DYNLT1","LATS1","ESR1","EZR","NUP43","PLAGL1","TAGAP","SF3B5","STX11","COL12A1","UTRN","SOD2","WTAP","GRIK2","ACAT2","TCP1","MYB","MRPL18","HACE1","IGF2R","SYNE1","LIN28B","PREP","LPA","COX7A2","PLG","MAP3K4","PRDM1","EPM2A","AGPAT4","ATG5","PACRG","FBXO30","QKI","PDE10A","MPC1","RPS6KA2","QRSL1","RNASET2","BEND3","PDSS2","FGFR1OP","CCR6","SEC63","MYO6","KIF25","FRMD1","AHI1","OSTM1","THBS2","NR2E1","SNX3","PHF10","TCTE3","FOXO3","DLL1","HTR1B","PSMB1","TBP","SESN1","PHIP","ELOVL4","SMPD2","TTK","MICAL1","BCKDHB","ZBTB24","AK9","IBTK","FIG4","WASF1","TPBG","UBE3D","CDC40","DDO","SLC22A16","DOPEY1","CDK19","PGM3","AMD1","GTF3C6","RPF2","ME1","REV3L","SNAP91","FYN","CYB5R4","TUBE1","LAMA4","NT5E","KHDRBS2","PTP4A1","RFPL4B","HDAC2","HS3ST5","COL10A1","DSE","SYNCRIP","TRAPPC3L","RWDD1","HTR1E","CGA","KPNA5","GPRC6A","RARS2","COL9A1","ORC3","GOPC","NUS1","CNR1","PLN","RNGTT","MCM9","ASF1A","SRSF12","GABRR1","MAN1A1","SMAP1","GABRR2","UBE2J1","RRAGD","B3GAT2","GJA1","HSF2","FABP7","MDN1","CLVS2","RIMS1","RNF217","TPD52L1","MAP3K7","EPHA7","HEY2","NCOA7","FUT9","UFL1","KCNQ5","TRMT11","FHL5","NDUFAF4","KLHL32","CENPW","RSPO3","RNF146","FBXL4","ECHDC1","COQ3","EEF1A1","PTPRK","LAMA2","EPB41L2","AKAP7","ARG1","MED23","ENPP3","OR2A4","ENPP1","CTGF","STX7","TAAR8","TAAR6","TAAR5","TAAR2","TAAR1","VNN1","VNN2","SLC18B1","RPS12","EYA4","TBPL1","SGK1"
"Extracellular matrix organization",0.877561545628477,0.870835343712716,0.878341232028995,0,0.87695015298611,0,0.870245696474204,0.870652967618205,0,0.870694012668635,0.864910922680376,0,0.871493201096482,0,0,0.878587306699654,0,0.877767038427935,0.877881336203992,0.876552105867147,0,0,0.871143207352153,0.878771149201971,0.870004377576392,0.878631423166955,0.870095905285107,0.870710341748173,0,0.877656050059256,0.870949787107859,0,0.877649219730273,0,0.884824340193222,0,0.877330212543359,0.877120306236138,0,0.877018728545715,0.877322774984735,0.878404117903312,0.885173494918795,0.878125594787445,0,0.878125594787445,0,0,0,0,0.877385989797259,0.878815265669273,0,0.870840717634343,0.878032951524793,0.877661417591705,0.877635784189409,0.878814470851055,0.877690538937739,0.871032222848388,0.877984578046581,0.878326649747672,0.883636815840584,0.885323118112766,0.877403606263693,0.878771149201971,0.878197801330511,0.870086972546958,0.864377672797854,0.868876626531466,0.885002363103224,0.871205028439701,0.878157609790013,0.878587306699652,0.877737273372455,0.877458938649223,0.884325863299483,0.87092680216823,0.877213652497187,0.877610617232592,0.870082567373085,0.878520891254923,0,0.87819436409731,0,0.883599329045975,0.877887930080869,0.878476774787622,0.871293952889057,0.870188667516479,0.877933077884788,0.86471029134934,0.877215045164719,0.870023216418432,0.870103359697104,0,0.877969618675159,0.871662413843503,0.865057221703376,0,0,0.877562917904691,0.877308294304397,0,0.877866022508012,0.877762127888879,0,0.877694146891138,0,0.884891391593472,0,0.870955207284483,0.870156123583323,0.870817059943679,0.877753390989639,0.885497775705939,0.877348425921546,0.877760755988233,0.877557942690306,0.878135044667373,0,0,0.877748160047313,0,0,0,0,0.869836447663163,0.878019315726794,0.871193896623801,0.877677397334913,0.871224916787131,0.877215045164719,0.869963114828466,0.871240965343025,0.871701757574848,0,0.877720010756212,0,0,0.878197680474186,0.870997757245769,0.87789615011739,0.871007716722917,0.877126406686547,0.890675722743817,0,0,0.884403135113047,0.877518554669161,0,0.878262970240382,0,0.877433352208933,0.87792452191359,0.838192246629095,0.884923578771613,0,0.878925436205725,0,0.877348425921546,0.87005897142749,0.864462701011722,0.877624794822612,0.871610672162707,0.884665597584569,0.870779350504591,0.878191260562753,0,0.877350128582058,0.871057998003059,0.863892578139982,0,0.877784777881993,0,0,0.878222186599657,0,0.878240024598939,0.877210883158608,0.877970267000234,0.884717304091328,0.877945816290141,0.878715114848545,0,0,0.878455975283364,0.870197254347351,0.877215045164719,0.877987475784146,0.877471495127847,0.877435086081605,0.878253590420353,0.878683164847752,0.870810562006354,0.877212265175801,0.870362073315001,0,0.871598089744299,0.870692538369744,0,0.863922233089657,0.871240386541828,0.870785295459926,0.877215045164719,0,0,0.877299979819123,0.884976457403525,0.884816385028605,0.878214005165688,0.878597115206869,0.878344829434937,0.87770413958148,0.8776197619733,0.87048547215734,0.884974318702098,0.877590903936391,0.878105809758861,0.870095905285107,0.870095905285107,0.870095905285107,0.870095905285107,0.870095905285107,0,0,0.870690755269118,0.877494092218561,0.870642100513031,0.878262851332659,0.878013572072734
"Collagen formation",0.922110733652899,0,0.923840398404012,0,0.908648966217286,0,0,0.909808013073983,0,0.908767344149077,0,0,0.910912270716038,0,0,0.911056377167331,0,0,0,0.922249927435131,0,0,0.909640114569006,0,0,0.924290002715787,0,0.909391200883208,0,0.922723872339532,0.909264305428719,0,0.922304436367841,0,0.923495292907818,0,0.921816297797001,0.922091272953097,0,0.921893910858711,0.922556528715687,0,0.910395225312462,0.922463073697402,0,0.922463073697402,0,0,0,0,0.921769634476629,0,0,0,0.908391440584672,0,0.922254976722501,0,0.922576123239288,0.910016605219698,0.923302468187719,0.909580727293712,0.934927687056744,0.922633386008261,0.922018622539466,0.911413577071594,0.923162425180538,0.908275946083341,0,0.904230973155362,0.935555091789606,0.908747326671265,0,0,0,0.908778278511119,0.935253579262754,0.909219646450889,0.90854865429741,0.922229432991024,0,0.924075242864838,0,0.909716861370749,0,0.934911407270572,0.923592787047154,0.910841617316381,0.910525138036056,0,0,0,0.908551360204385,0,0,0,0.909740633943113,0.910648915616999,0,0,0,0.922328159791162,0.907651586687658,0,0.923072118695666,0.922715218204658,0,0.922583133373465,0,0.935339477814821,0,0.90927483665271,0,0.909006420936613,0.922698242698274,0.909968990628068,0.907729561093049,0.921777042491546,0.922103733263143,0.910177646990161,0,0,0.923151166009238,0,0,0,0,0,0.910111712631386,0,0.922457630654009,0,0.908551360204385,0.908035294630985,0.909830055113444,0,0,0,0,0,0.923346722627816,0.90935750982081,0.922975618963949,0.909968990628068,0.922103125926563,0.921840078392623,0,0,0.935584169324795,0.921866699602735,0,0.923340256227083,0,0.922076417927682,0.923307194896829,0.844604582999068,0.923688110184855,0,0.923962583578837,0,0.907729561093049,0,0,0.922233624746116,0.910548383241766,0.93595727256392,0.909525282615533,0.922321344725069,0,0.907732869306134,0,0,0,0.90949709020581,0,0,0.923394337219447,0,0.909999370418082,0.908543273564104,0.909366402347258,0.923287325300397,0.923072118695666,0.924352080511075,0,0,0,0,0.908551360204385,0.922938301864328,0.909032434207242,0.922702322163982,0.908820134664535,0.924566840362025,0,0.908545958777823,0,0,0,0,0,0,0.910421060394268,0.909536833467211,0.908551360204385,0,0,0.92204394174539,0.910651234303333,0.935339477814821,0.909736221361345,0,0.923417868342936,0,0.922510446391037,0,0.935500602445352,0.908734072385605,0.923168220865138,0,0,0,0,0,0,0,0,0.921979673907408,0,0.90974812440567,0.922525919231351
"Collagen biosynthesis and modifying enzymes",0.933105084620766,0,0.935169184564816,0,0,0,0,0,0,0.917181715938756,0,0,0,0,0,0.919929643452983,0,0,0,0.918558514695929,0,0,0.918223238796744,0,0,0.936292370199467,0,0,0,0.933836775272355,0.916961637097052,0,0.933336240261081,0,0.93457233859293,0,0.932753718823843,0.915801897621803,0,0.91556637505148,0,0,0,0.933666393553336,0,0.933666393553336,0,0,0,0,0.932698033028715,0,0,0,0.916733130439306,0,0.933277217464256,0,0.933660458498049,0,0.917333300201864,0,0.948400229409212,0.933728793172822,0.9329951635832,0.920355908890796,0,0.916595304774775,0,0.911768225776407,0.934217656217655,0.917157828029375,0,0,0,0.917211068477228,0.948789133723622,0.916908343189327,0,0.933246734785646,0,0.936036085970953,0,0.918314824792864,0,0.933449513617265,0,0.919673359224468,0,0,0,0,0,0,0,0,0,0,0,0,0,0.933364550670204,0,0,0.934252355970146,0.933826447837922,0,0.933668824059961,0,0.948891640984871,0,0.917787333442192,0,0.917467018846996,0.933806190073083,0.918381402662415,0,0.916785444312177,0.933096730687385,0.91888100850314,0,0,0,0,0,0,0,0,0,0,0.932507212347348,0,0,0.916308122736162,0.91844990484107,0,0,0,0,0,0.934580055289116,0,0.934137197763499,0,0.915816042398617,0.931503363509156,0,0,0.933811058314132,0.932903113450461,0,0,0,0.933064133860536,0.933666393553336,0.840612917497041,0.934802437593611,0,0.935314994562016,0,0,0,0,0.933251737027523,0,0.949628887960754,0,0.918423179694313,0,0,0,0,0,0.918068864288721,0,0,0.934636876286282,0,0.919380636401312,0.91484313543792,0,0.934324159905953,0.934252355970146,0.935779801742438,0,0,0,0,0,0.934092665305293,0.917195864906702,0.918053703343445,0.917244713638126,0.936036085970952,0,0,0,0,0,0,0,0,0,0,0,0,0,0.916732359038613,0,0.933519055062219,0,0,0.934664957213899,0,0.933847404932128,0,0.949083919483146,0,0.934367039744849,0,0,0,0,0,0,0,0,0.932948684131503,0,0.918368436606161,0
"Assembly of collagen fibrils and other multimeric structures",0.889897371472461,0,0.892667831052728,0,0.868335226244422,0,0,0.870191708817739,0,0,0,0,0.871960433746397,0,0,0.872367477873261,0,0,0,0.893365125083791,0,0,0,0,0,0.893387976717999,0,0.869524087345797,0,0.89087945539787,0.869320834821078,0,0.890207631331771,0,0.892115064496367,0,0.889425764106225,0.889866200644608,0,0.88955007943972,0.890611415741297,0,0.871132265518505,0.890505718907276,0,0.890505718907276,0,0,0,0,0.889351021967384,0,0,0,0,0,0.890128410229427,0,0.890642800919028,0.870525817556495,0.891806210949592,0.869827657884163,0.910426697357524,0.891078508285398,0.889749834143916,0.872939616431441,0.891581899567493,0,0,0.911207346652922,0.911431631667333,0.869140632351388,0,0,0,0.868718574094173,0.910948689369961,0.869249303102059,0.868174553420831,0.890087496014381,0,0.893043988967693,0,0.870349579465978,0,0.910400621501184,0.892271223990378,0.872023490122956,0.871340350900053,0,0,0,0.868178887558934,0,0,0,0.870083785499935,0.871538609426582,0,0,0,0.890245629900785,0.866737691420846,0,0.891437252770467,0.890865593792114,0,0.89065402927607,0,0.890257915021681,0,0,0,0,0.890838403578367,0.870449551735933,0.866862585530119,0.889362887622788,0.889886158723371,0.870959987527955,0,0,0.89156386539123,0,0,0,0,0,0.870678154152182,0,0.890453007539783,0,0.868178887558934,0,0,0,0,0,0,0,0.891877094707533,0.869470123289162,0.891282686051074,0.870449551735933,0.889885185932867,0.889463854249948,0,0,0.911478206089274,0.889626283357121,0,0.891866737265811,0,0.889842406873327,0.891813781871372,0.911207346652922,0.892423906121349,0,0.892863538971238,0,0.866862585530119,0,0,0.89009421008313,0.871377583492562,0.910752965520345,0.869738850362514,0.890234713990556,0,0.866867884401261,0,0,0,0.86986991787029,0,0,0.891953360528096,0,0.870498212021248,0.868165934927492,0.869484366734355,0.891781956100654,0.891437252770467,0.89348740871635,0,0,0,0,0.868178887558934,0.891222914054168,0.868949439239065,0.890844937789607,0,0.893831396466656,0,0.868170235920541,0,0,0,0,0,0,0.871173646398734,0.869757351732604,0.868178887558934,0,0,0.889790388729173,0.871542323340949,0.91108627583945,0.870076717726003,0,0.891991051084296,0,0.890537604201961,0,0.91134435433471,0.86847154352742,0.891591182701643,0,0,0,0,0,0,0,0,0.889687448869107,0,0.870272007410201,0.890562387547206
"Collagen chain trimerization",0.897499036988608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.903594337430335,0,0,0,0.898898307383968,0,0,0,0,0.900304983793128,0,0.896827092148929,0,0,0,0,0,0,0.898572472832419,0,0.898572472832419,0,0,0,0,0.896720599761202,0,0,0,0,0,0.89782822035516,0,0,0,0,0,0.926749162364346,0.899181917374341,0.863015124158515,0,0,0,0,0.927861429269392,0.899626696396125,0,0,0,0,0,0.927492895105226,0,0,0,0,0.903104224657978,0,0,0,0.897667603259173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.863721532548659,0,0,0,0,0,0.864303418821853,0,0.897783309121649,0,0,0,0,0.898839816867813,0,0,0.863307732558276,0.897483061095462,0,0,0,0,0,0,0,0,0,0,0,0.896355678151667,0,0,0,0,0,0,0,0,0,0.900319741046759,0,0.899472829276582,0,0,0.89443593794773,0,0,0.896914099261551,0.897112791409673,0,0,0,0.897420723583437,0.898572472832419,0.927861429269392,0.90074502046567,0,0,0,0,0,0,0.897779492083581,0,0.927214028318642,0,0,0,0,0,0,0,0,0,0,0,0,0.869147068537429,0,0,0.899830371894381,0.899693055500594,0.903104224657978,0,0,0,0,0,0,0,0,0,0.903594337430335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.896355678151667,0,0,0.900972218541967,0,0.898215620654914,0,0.928056637426356,0,0,0,0,0,0,0,0,0,0,0.897199939857913,0,0,0
"Activation of Matrix Metalloproteinases",0.882324375698972,0,0,0,0,0,0,0.843142569188289,0,0,0,0,0,0,0,0.848912292583919,0,0.886251225193638,0,0.884114808537782,0,0,0,0,0.802725265521472,0.849684746495933,0,0,0,0.884182182350276,0,0,0.882260572699448,0,0.885680765725023,0,0.881432236769568,0.882735170131987,0,0.882137164134878,0.842356528624549,0,0.888645883391829,0.848249166468134,0,0.848249166468134,0,0,0,0,0.881290847180474,0.890848678360766,0,0,0.885750347463878,0,0.882761431360199,0,0,0,0.885284603303952,0,0.880179135419741,0.884558730391482,0.839606194703502,0.84999460621451,0,0,0,0.883604501064632,0.885149262019801,0.846096340902117,0,0,0,0.883514460161306,0.922147121389908,0,0.839625606783009,0.882033312904302,0.84288394880582,0.849034025397714,0,0.847913544059368,0,0.924084200109456,0,0.8482615714857,0,0,0,0,0.839633805665392,0,0,0,0.885377495671944,0,0,0,0,0.882983175632231,0.881303200183966,0,0.885237366782158,0,0,0,0,0.883375471592987,0,0,0,0,0.88410452468646,0.846236532269675,0.881539462178397,0.839994689902933,0.882303164558763,0.846249745262346,0,0,0.884356398343786,0,0,0,0,0,0,0,0,0,0.839633805665392,0,0,0,0,0.884558730391482,0,0,0,0,0.884944973156797,0,0.882771084572589,0.919415732407178,0,0,0.885237366782158,0.883214709215075,0,0.845317482609015,0,0.882220399251322,0.886318702519711,0.883604501064632,0.886265000952022,0,0,0,0.881539462178397,0,0,0.882696734996047,0,0.921822470781481,0,0.886031619933363,0,0.881549486044787,0,0,0,0.844187662167408,0,0,0,0,0.846857519632083,0.839609303192414,0,0.88541968130161,0.885237366782158,0.889766364730175,0,0,0,0,0.839633805665392,0,0.882580933496599,0.885237366782158,0.887049288030356,0.84609400902565,0,0.839617439374351,0,0,0,0,0,0.802027307901459,0,0,0.839633805665392,0,0,0,0.887485888364421,0.884495952931332,0,0,0.886935707298933,0.88446529395252,0.885329653035259,0,0.884984159623905,0.844360866362712,0.884877834698009,0,0,0,0,0,0,0,0,0.795924331092686,0.844688482733389,0.886453087576142,0.885636257170001
"Binding and Uptake of Ligands by Scavenger Receptors",0.512112151671942,0.426392782281921,0,0,0.471466805686362,0,0.430611787118681,0.515381615152778,0,0.474051636942425,0,0,0.47575416203623,0.518740026016302,0,0.432304808794007,0,0.517360001848911,0,0.516740733775366,0,0,0,0.43339117124534,0.515736608552065,0.558470036844987,0.470827140222143,0.471128088141692,0,0.553336482193288,0.425797694308201,0,0.589679467176664,0,0,0,0.5118698307222,0.548081514022548,0,0.547481270948295,0.514592634094481,0,0.518638945269533,0.555952512422019,0,0.555952512422019,0,0,0,0,0.511074756832641,0,0.430503947001961,0.42642453786944,0.510205728901011,0,0.51255084231214,0.432304808794007,0.470541690568132,0.473030148528483,0.427806281572627,0.474300597730994,0.591448088125985,0.515008020225853,0.513393274968593,0.43339117124534,0.428505037644795,0.545266173311097,0.511455832457544,0.553228157426561,0.514947605593517,0.51663330633409,0,0,0.516089577918008,0.513959843491269,0.588765574159306,0.425661871660854,0.509247294013062,0.589451357226677,0.510286665918722,0.55781688146801,0,0.515302535051404,0,0.550571694850784,0.429813909698782,0.43165165341703,0.474576764164066,0,0,0,0.509255523566596,0.515960635620071,0.429770690374802,0,0.472843984440501,0,0,0,0,0.46963975798545,0.511740311424389,0,0.474816992304645,0,0,0.470563010692963,0,0.552345115802927,0.521321498224778,0.474300597730994,0.51416884628031,0.42734612185941,0.514552115385361,0.473538492263952,0.511977457249935,0.509917763296619,0.512744016560078,0.429632301164701,0,0,0.510741092921484,0.429632301164701,0,0,0,0.424979657464788,0.428806218974121,0,0.513144146129824,0,0.509255523566596,0.544534273054187,0,0,0,0.553061283483887,0,0,0.516524356244024,0,0.514742552507498,0.472885336886976,0.548117562815271,0.549995418596913,0,0,0.5141940855663,0.468984784795311,0,0.429045880375552,0,0.513314097013358,0.51540835006876,0.553228157426561,0,0,0,0,0.511977457249935,0.470608890603082,0,0.512485903925737,0,0.552411160324751,0.471535874811479,0.474522030797188,0,0.511987518614549,0.51373963495782,0,0,0.427562504035151,0,0,0.431708954102116,0.431357991700971,0,0.50923092943246,0.433984995670679,0.514505965707432,0.515689195323441,0.520235135773444,0.518826736249003,0,0.512862161109049,0.509614128220081,0.509255523566596,0.54768451479424,0.550199079759744,0.515036039946465,0.516854739400284,0.520888291150421,0,0.509239096050992,0.511480656591192,0,0,0,0,0,0.474260229806937,0.471571004752427,0.509255523566596,0.51682593105394,0,0.511099928571818,0.517474610823498,0.513449898164727,0,0,0.516740733775366,0.552967497509096,0.470454485019509,0.512390643545582,0.513634179151963,0.516016012508555,0.515981473644794,0.470827140222143,0.470827140222143,0.470827140222143,0.470827140222143,0.470827140222143,0,0,0,0.50940935917099,0,0.428325981643833,0.515436422541032
"Degradation of the extracellular matrix",0.81884384511612,0.795877091040873,0,0,0.819440890996751,0,0,0.795276122288823,0,0,0.775297514038072,0,0.775117179550084,0,0,0.822670104418441,0,0.82084708216159,0.820974403519301,0.818099354718657,0,0,0,0.824160383433729,0.772719526490299,0.799826308199858,0.795205542994928,0.81953709408432,0,0.819920365516145,0,0,0.817993807598492,0,0.820461723507945,0,0.81805468213312,0.81826881674305,0,0.817922297553459,0.818732989328049,0.822095237120114,0.821693825151999,0.820169508246042,0,0.820169508246042,0,0,0,0,0.818244959040763,0.823783318072019,0,0.795895423481386,0.820829050892104,0,0.819097100391596,0.822493594347945,0.818470822776149,0.773544611712775,0.820286965648591,0.821453899137135,0.818175636380711,0.843544627298867,0.817139287114307,0.823297259403454,0.820195151399608,0.770943044132876,0,0.787889677756153,0.842343981816521,0.797746978888277,0.82087724112402,0.822343096709796,0.774256120771588,0.8191563833795,0.84191944240242,0,0.794176460747417,0.817862120156525,0.79597180960204,0.799449242838149,0,0.798913027384105,0,0.837662554353446,0.820773797492484,0.822293039056732,0.774437469989094,0,0.796630687667154,0.774789596199763,0.794181211653081,0,0,0,0.82118786634245,0,0.776186956828645,0,0,0.818848526459424,0.817979910887871,0,0.819882528719823,0.772295499360558,0,0.77206359095482,0,0.818780742672945,0,0,0.772073468200002,0,0.820450233481919,0.797254769496554,0.81811681472368,0.818044113216465,0.818831554157248,0.821127270827176,0,0,0.819630953774962,0,0,0,0,0,0.821726908391874,0,0.820677049598901,0,0.794181211653081,0.770520519501167,0,0.798853933955054,0,0.820138559184287,0,0,0,0,0.820362370535125,0.773461012226482,0.818289627642793,0.84112543775018,0,0,0.8424998770636,0.819359755742361,0,0.820412060547978,0,0.818783595161186,0.820486220545133,0.842202971981225,0.820800263118531,0,0,0,0.81811681472368,0.795079547903324,0.774535891530879,0.819059611584153,0,0.843457468990827,0.772681970326889,0.820992036395009,0,0.81812262313041,0.796697364782266,0,0,0.819932380865571,0,0,0,0,0.797297471101506,0.794167013506038,0.772742829181742,0.820096583651639,0.820457396018151,0.823156163087007,0,0,0.821895076521996,0,0.794181211653081,0.820296850906552,0.818992509511704,0.820280885947655,0.821581732026738,0.799170089106463,0,0.794171728079445,0,0,0,0.795411112803946,0,0.772315089561531,0.774254735304406,0.772702250775244,0.794181211653081,0,0,0.818399567281549,0.821021657082164,0.841965416823891,0.821726908391874,0.776088325166786,0.821515916795459,0.82008441671872,0.817003413426839,0.774285404894073,0.818659509159923,0.796741344774477,0.820051260441011,0.795205542994928,0.795205542994928,0.795205542994928,0.795205542994928,0.795205542994928,0,0,0,0.817750612477924,0.797017460711214,0.821236259072911,0.820762940390929
"Biological oxidations",0.877271999690915,0.878230619172808,0,0,0.878029737938033,0,0.878505906721523,0.879244803584373,0,0.865193411724041,0,0,0,0.879528101288732,0,0.865540494726088,0,0,0,0.863217622736055,0,0,0,0,0.894393808056754,0,0.877423368675437,0,0,0.893718685486289,0,0,0.877442922217944,0.878736332382032,0,0,0.877018219801404,0.87768078179346,0,0.87745049392518,0.877889126518072,0,0,0.878954942708159,0,0.878954942708159,0,0.896133852630647,0,0.896768064738915,0.876873995188482,0.895404663155965,0,0.878242802447999,0.894400032055309,0.879377790978862,0.877440306726345,0,0,0.863821086038947,0,0.878996437962481,0.893359026802574,0.894263857486366,0.877506109181095,0.865957286029191,0.879830099514571,0.878931240210858,0,0,0.879214539442891,0.894019228468756,0.878920496104321,0,0.909833718853666,0.894109912549661,0.89412132959917,0,0.877167266412212,0.877355406082616,0.878301524745178,0,0,0.880137856886389,0.879726061113129,0.878112544056422,0.863602624336612,0.86528990664624,0.879674235245846,0,0.879587380741525,0,0.877170423743669,0.894124037584472,0.879274072326769,0,0.879302430603641,0,0.89626688857922,0,0.878956848932743,0.877062457136257,0.876878752242517,0,0.87853852798473,0,0,0.877359967774856,0,0.877821525352405,0.896466818389571,0,0.893792324013011,0,0.878455757150805,0.862576729315814,0.876969735060944,0.879242843935208,0.893377131293394,0.864515166636,0,0.895965638866382,0,0.861949221186697,0,0.894487295949166,0,0.878418365120291,0.863216016046037,0,0.894221558543869,0,0.877170423743669,0.878030191266178,0.894943769614778,0,0,0.893863691466385,0,0.895222680012968,0.878704050343303,0,0.894089888121567,0,0.877694612189821,0.877066559823073,0.881339496619254,0,0,0.892464875779971,0,0.878887543953926,0,0.892963216728337,0.862851980846492,0,0,0,0,0,0.876969735060944,0.878444919676316,0,0.877415392615353,0.864786645210234,0,0.878306824918525,0,0.879044112826599,0.876973595180799,0,0.878516217021578,0,0.877743384295597,0,0,0,0,0,0.877160988015103,0.878616275333123,0.862505774151484,0.894773391670068,0.880992552951012,0.87884932406418,0,0,0.87881441060932,0.877170423743669,0.87818253503172,0.878339835462407,0.894203694289591,0.894753112039706,0.88028261297373,0,0.877164121201063,0,0.881994994860278,0.880479444319704,0.89458955395142,0,0.87839377189739,0,0.89458955395142,0.877170423743669,0.894095956494019,0,0.877627455818247,0,0.862278090632438,0,0,0.880976506226777,0.893827709756415,0.893829031548086,0.86291007553597,0.893695984485699,0.894578460837458,0,0.877423368675437,0.877423368675437,0.877423368675437,0.877423368675437,0.877423368675437,0,0,0,0.877229443955515,0.878996437962481,0.878861937352959,0.89420896387695
"Ethanol oxidation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.735949840899063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.744249785380454,0,0,0,0,0,0,0.738002803228419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.740475331263477,0,0,0.810741776057809,0,0.808959844407243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.744895472346168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.735383776359959,0,0,0,0.733654105600086,0,0,0,0,0,0,0.738880803772752,0,0,0,0,0,0,0,0.730552497288718,0.741096288378532,0,0,0.736653624141887,0,0,0,0,0.737375527209076,0,0,0.727904540226962,0,0,0,0,0,0,0,0.733499413953629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.736975249779007,0,0,0.733928854432543,0,0,0.731133049822,0.734881805552763,0,0,0,0,0,0,0,0,0,0,0,0,0,0.812039758011651,0,0,0,0,0,0,0.735798609794685,0.736478987726837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
