"","COL10A1","DSE","TRAPPC3L","RWDD1","KPNA5","GPRC6A"
"Collagen formation",0.837181458649683,0.91251744767857,0.912805916894244,0,0,0.910988795783989
"Extracellular matrix organization",0.835473220075265,0.885764562913603,0.878217319526944,0,0.862078060689259,0.877315137416232
"Collagen biosynthesis and modifying enzymes",0.846452657188482,0.937911571098304,0.938460778603453,0,0,0.936249987232261
"Biological oxidations",0,0,0,0,0,0.899423922823444
"Metabolism",0.89584669201974,0.898331972483839,0.893268730702161,0.893552088104598,0.895847312682525,0.898084553547464
"Assembly of collagen fibrils and other multimeric structures",0.896023750121549,0.877379734238615,0.877816103806919,0,0,0.875067330934975
"Collagen chain trimerization",0.930870621414614,0.902121672733934,0,0,0,0.898977605100019
"Phase II - Conjugation of compounds",0,0,0,0,0,0
"Drug ADME",0.84576740609852,0,0,0,0,0.842052706438208
"Glucuronidation",0,0,0,0,0,0
"Transport of small molecules",0.843712271142362,0,0.834220259970327,0,0,0.856297507891257
"RA biosynthesis pathway",0,0,0,0,0,0
"Degradation of the extracellular matrix",0.848099213276808,0.824411284523677,0,0,0.772661890289096,0.822480004778258
"Negative regulation of TCF-dependent signaling by WNT ligand antagonists",0,0,0,0,0,0.74759440752996
"Collagen degradation",0.906524950245341,0.863920362175669,0,0,0,0.805860546731248
"Ethanol oxidation",0,0,0,0,0,0
"Class B/2 (Secretin family receptors)",0.814189373894135,0,0,0,0.785868170822435,0.840359547173303
"Stimuli-sensing channels",0,0,0,0,0,0.823957339472439
"GPCR ligand binding",0.865783364513799,0,0,0,0.852204910772866,0.878027598333003
"O2/CO2 exchange in erythrocytes",0,0,0,0,0,0
"Peptide hormone biosynthesis",0,0,0,0,0,0.596440062890872
"Phase I - Functionalization of compounds",0,0,0,0,0,0.889258877506729
"Cytosolic sulfonation of small molecules",0,0,0,0,0,0
"Binding and Uptake of Ligands by Scavenger Receptors",0.603923455024164,0,0,0,0,0.545938479177063
"Signaling by Activin",0.532223429676475,0,0,0,0.542352507611986,0.63748813776235
"Aspirin ADME",0.843858469767816,0,0,0,0,0
"APAP ADME",0,0,0,0,0,0
"Aflatoxin activation and detoxification",0,0,0,0,0,0
"Peroxisomal lipid metabolism",0,0,0,0,0,0
"ECM proteoglycans",0.779624893220282,0.78286801100341,0,0,0,0.688797429565279
