"","MTHFD1L","ZBTB2","GOPC"
"Biological oxidations",0.919308675574709,0,0
"GPCR ligand binding",0,0,0.914225224572518
"Signaling by GPCR",0.9289081238064,0,0.93287785313049
"Interaction between L1 and Ankyrins",0,0,0
"Phase I - Functionalization of compounds",0,0,0
"GPCR downstream signalling",0.934041110850029,0,0.938814052719646
"Neuronal System",0.90369429133131,0,0.903300929541944
"Drug ADME",0.804959603390423,0,0.830805932403983
"Activation of Matrix Metalloproteinases",0,0,0.913672464908782
"Cytosolic sulfonation of small molecules",0,0,0
"L1CAM interactions",0,0,0.861864629119979
"Protein-protein interactions at synapses",0,0,0.852824663386439
"Class A/1 (Rhodopsin-like receptors)",0,0,0.915233641128698
"Synthesis of bile acids and bile salts via 24-hydroxycholesterol",0,0,0
"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)",0,0,0
"G alpha (i) signalling events",0.922940785322109,0,0.932106170298424
"Aspirin ADME",0,0,0
"Degradation of the extracellular matrix",0,0,0.860688501762693
"Arachidonic acid metabolism",0,0,0
"Peptide hormone metabolism",0.758160590989865,0,0.760479163715506
"Class B/2 (Secretin family receptors)",0,0,0.87335202197663
"Phase II - Conjugation of compounds",0.748493231327299,0,0
"Bile acid and bile salt metabolism",0,0,0
"Peptide ligand-binding receptors",0,0,0.898363167636387
"Transmission across Chemical Synapses",0.891783749922324,0,0.891187674174685
"Molecules associated with elastic fibres",0,0,0.747412101606687
"Complement cascade",0,0,0.670323949048584
"Chemokine receptors bind chemokines",0,0,0.891716972541273
"Regulation of IGF Activity by IGFBP",0.877105619743554,0,0.876779349605106
"Adherens junctions interactions",0.807841828652501,0,0.748742671060834
"Glycosaminoglycan metabolism",0.737503411727699,0,0.735581955713488
"Chondroitin sulfate/dermatan sulfate metabolism",0,0,0.775744835925582
"Synthesis of bile acids and bile salts via 27-hydroxycholesterol",0,0,0
"Negative regulation of TCF-dependent signaling by WNT ligand antagonists",0,0,0.803125854808674
