"","PACRG","QKI","PDE10A","MPC1","RPS6KA2","RNASET2","FGFR1OP","CCR6","KIF25","FRMD1","THBS2","PHF10","TCTE3","DLL1","PSMB1","TBP"
"Neuronal System",0,0.933557586934364,0.937602292823009,0,0.93795421487014,0,0.937434041667496,0.93763505005191,0.933749644917828,0.929544431973825,0.93367047327238,0.929484524461129,0.933699391310594,0.933938199179821,0.933644061442178,0.933631190946767
"Interaction between L1 and Ankyrins",0,0,0,0,0.933160736216189,0,0.932876171498359,0.913075320650287,0.933432235902542,0,0.932619616939281,0,0.934058536863213,0,0.9326156784532,0.932553750904377
"Transmission across Chemical Synapses",0,0.931805470656491,0.93786712869096,0,0.937941297053931,0,0.937614976619411,0.937462975999692,0.932093301181278,0.925791096884986,0.931974649429102,0.925701315609,0.932017987872861,0.932375880802296,0.931838968245843,0.931915778393427
"Cardiac conduction",0,0,0.942418186272245,0,0.942644165461683,0,0.942233409310767,0.941987704354564,0,0.933172818658549,0.931914659001367,0.943279690977523,0.932714780077163,0.943237643250513,0.942369738393204,0.954319460647258
"Amino acid transport across the plasma membrane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Transport of small molecules",0.904343308893764,0.907349968477688,0.910218406153142,0,0.907421273111716,0,0.910176330409585,0.910022222290688,0.904382915840129,0.904576272740938,0.907486695200136,0.907330674204988,0.907476690949341,0.907470874744959,0.910021582655901,0.907329500763138
"Biological oxidations",0,0.928752593938422,0.929044915580535,0,0.922945386984576,0.929592177609333,0.922067750064839,0.934352156140958,0,0,0.922365158181849,0.92862262629312,0,0.916392142862516,0.922922040520476,0.928459950946806
"Phase 0 - rapid depolarisation",0,0,0.915073605663829,0,0.915668042612752,0,0.914232589639762,0.91383678483593,0,0,0,0,0,0,0.914796224398239,0.914717920412202
"Neurotransmitter receptors and postsynaptic signal transmission",0,0.906693421467845,0.915269593986487,0,0.914730893359414,0,0.914812676941849,0.9140511574795,0.90706448219394,0.898108500965913,0.90689586771951,0.897980913952774,0.906957455422875,0.907466052448135,0.906703052940247,0.906948771480208
"Activation of Matrix Metalloproteinases",0,0,0,0,0.915024666253479,0,0.891038250773879,0.912941008245425,0,0,0.914000800037407,0,0,0.895007369501984,0.891815194346584,0.913452405561466
"Muscle contraction",0,0,0.934137203185813,0,0.934377896391523,0,0.934024896793453,0.933738026894451,0,0.926805135323535,0.933954191615027,0.934924060462723,0.925844685039705,0.934754426628191,0.934771695452771,0.945041163465196
"GPCR ligand binding",0,0.915168316532284,0.920379476904735,0,0.920652975892824,0,0.920553212509407,0.925849955198238,0.915097103565799,0,0.920641153539895,0.915032310891815,0.915269462251939,0.920894620889305,0.925513265297952,0.920464482021266
"L1CAM interactions",0,0.883046305447623,0,0,0.909656337969936,0,0.89624907608441,0.895365629588921,0.896607998572999,0.87280161153497,0.896505879337606,0.897017461400127,0.89701225660088,0.897536513282943,0.895725927539617,0.89568595520949
"Integration of energy metabolism",0.909917988425611,0.9250712611357,0.937828352428833,0,0.925247153824311,0.926240880930155,0.937251276994861,0.936903408254184,0.924614366141239,0.911226563759955,0.937762567458621,0.924687858398528,0.924509985357646,0.925481009663151,0.923873529395822,0.924208087346023
"Glucuronidation",0,0.831681384582523,0,0,0.800563301338879,0,0,0,0,0,0,0.83095858574038,0,0,0,0
"Transport of inorganic cations/anions and amino acids/oligopeptides",0,0,0.925959965072056,0,0.92635025107759,0,0.925610535985928,0.925114481630549,0,0,0,0,0,0,0,0
"Phase II - Conjugation of compounds",0,0.831233115674985,0.820130598035155,0,0.819261051086169,0,0,0,0,0,0,0.830927733606266,0,0,0.816997641374157,0.819167721538389
"Unblocking of NMDA receptors, glutamate binding and activation",0,0,0.892520325934343,0,0.893737189227283,0,0.892597896982261,0.890345147021897,0.893646808871694,0,0.855412934295982,0,0,0,0.85573350182776,0.891989710606937
"O-linked glycosylation",0,0,0,0,0,0,0.858162621857459,0.87424487874238,0,0,0.891213864005321,0,0.859711770010952,0.860054287033125,0.825135601122541,0
"G alpha (s) signalling events",0,0,0.958817507523495,0,0.950062162698055,0,0.959274267946588,0.957472096726446,0.938660305915484,0.939143089041878,0.949605818591287,0,0.950205267499349,0.950236137910719,0.949440113630484,0.94928915736097
"Nitric oxide stimulates guanylate cyclase",0,0,0.811760845745573,0,0.776392025397531,0,0.772612060799036,0.77317613379374,0,0,0,0,0,0,0.734806950274093,0.774115437769905
"G alpha (i) signalling events",0.941769733429537,0.941907927498748,0.953843614972473,0,0.948066539742145,0,0.953593928114346,0.953859967309072,0.942251388156121,0.941885242248788,0.948053290140362,0.941755502631431,0.948250706927893,0.948200861509568,0.947874390002067,0.947950449200411
"Class A/1 (Rhodopsin-like receptors)",0,0.918055639009935,0.924948777448821,0,0.926225937,0,0.925861893178072,0.932959814901633,0,0,0.926059187082147,0.917858477430155,0,0.926229389245976,0.9257579701963,0.92573326437153
"Ion channel transport",0.916624442136984,0,0.926071468699704,0,0.926481638520172,0,0.925757105571123,0.925458191345847,0,0.916409460683159,0.917370264658005,0.917175651824806,0,0.926531423504617,0.924816053477942,0.925938517215676
"Chemokine receptors bind chemokines",0,0,0.925130173721219,0,0.927332899058476,0,0.926293839284444,0.942578071313773,0,0,0.926950337167974,0,0,0.926838619596986,0.926055416544062,0.909517807319197
"Regulation of insulin secretion",0,0.90655801996937,0.924025053794094,0,0.906496664071135,0,0.923221060198239,0.924181585273321,0.905615051001551,0.885517700882986,0.923933400794087,0.906023855236004,0.906015847046982,0.906822476929753,0.905110516943577,0.904742601583941
"Extracellular matrix organization",0.844339559366515,0.849388831964035,0.849464998154149,0,0.856940896155039,0.844669273395435,0.856603551814318,0.856312389827557,0.856743702042986,0,0.863023729939338,0.850010591669229,0.850143281218756,0.863553228678971,0.85693352142894,0.856549649479744
"Aspirin ADME",0,0.796912504608832,0,0,0.775658999919789,0,0,0,0,0,0.775199098954981,0.796368727424825,0,0,0,0.794949201373586
"Peptide ligand-binding receptors",0,0.915345840757705,0.922709225653738,0,0.924032484830754,0,0.923645434185609,0.931191930010598,0,0,0.923855196659947,0.915136218970287,0,0.924097416257472,0.923534943484442,0.923508676302196
"Ion transport by P-type ATPases",0,0,0.87304018173934,0,0.873752619285847,0,0.872032217153952,0.871292662145135,0,0,0,0,0,0.874514967145397,0,0.872613890055321
"Protein-protein interactions at synapses",0,0,0,0,0.888625387519414,0,0.888573756015391,0.886550982544202,0.888530888904245,0,0.872415952369373,0,0.872571618308288,0.871870679271002,0.871575531917891,0.88717657034355
"Signaling by GPCR",0.935575817366365,0.935510318888944,0.942272121476319,0,0.938768248838425,0,0.941933364527491,0.942079541136855,0.93538504225313,0.935953949739962,0.938843687915055,0.935426568258478,0.938967850239162,0.939045114512851,0.941889219946924,0.938832525895422
"GPCR downstream signalling",0.944172986915477,0.944102965750549,0.951377919032324,0,0.947646188479425,0,0.951013431282017,0.951170710959021,0.944251579414351,0.944579840911085,0.947689073563177,0.944012853713022,0.947854573042237,0.947905799825879,0.947688355429487,0.947677063715293
"Drug ADME",0,0.815659652296398,0.815045110346161,0,0.815262963333558,0.816757193472978,0.814605884784708,0.814060119205709,0.800048532742236,0,0.802772134991052,0.815299877014503,0.815396770474472,0.815631393510405,0.802173225261441,0.814436915899596
"Molecules associated with elastic fibres",0,0,0,0,0.698049087280989,0,0.641170408276726,0.639983077710974,0,0,0.744178293864111,0.643792882595416,0,0.753968181817171,0.641337502613619,0.137424967517198
"Ion homeostasis",0,0,0.92131887829545,0,0.921855306353523,0,0.920671120817752,0.919915251480428,0,0.899372279551077,0.896385667627542,0,0.89694153453925,0.922629151362211,0.89726860581584,0.921129859438913
"SLC-mediated transmembrane transport",0,0.896542931641595,0.897001948275394,0,0.897376847908205,0,0.896858897974805,0.896783131667434,0,0,0.897180290700995,0,0,0.887917214186483,0.905383955865752,0.905355701687374
"Glucagon signaling in metabolic regulation",0,0,0.925411197996648,0,0.893907534724487,0,0.923991011661429,0.92313490446491,0,0.857395832312017,0.892783555791159,0,0.893990199778403,0.894483055440116,0.891459023667546,0.890959651033198
"Sialic acid metabolism",0,0,0,0,0,0,0,0,0,0,0,0,0,0.666501889526349,0,0
"Glucagon-type ligand receptors",0,0,0.912400360356311,0,0.914886568989107,0,0.911328539827529,0.938334433185409,0.883747958686659,0,0,0,0,0,0.881348230041221,0
"Developmental Biology",0.892525840042262,0.894942268564395,0.895100579984375,0,0.897602484394039,0.89536174453884,0.894857114861397,0.897248036294138,0.894999533501366,0.892771461375274,0.897403229979939,0.895043170371029,0.895080177004155,0.894994446520226,0.897429538129454,0.897269357960747
"Platelet homeostasis",0.781646645186229,0,0.834977737511783,0,0.818532712670384,0,0.815964188874044,0.833870640089242,0.796500842688657,0,0.818297123432442,0.796885057271591,0.780067418081588,0.818496575577414,0.798619414008595,0.81733161602687
"O-linked glycosylation of mucins",0,0,0,0,0,0,0.885634879344127,0,0,0,0,0,0.888102391296736,0.888647958771529,0,0
"Assembly and cell surface presentation of NMDA receptors",0,0,0.855731084661701,0,0.856387307470935,0,0.85409992489113,0.853067706998617,0.817952714911246,0,0.818454251849569,0,0.855432840821314,0,0.815997077134318,0.854873295510167
"Peptide hormone metabolism",0,0.715773829910594,0.733340277809432,0,0.734568320541718,0.700901304339842,0.732962980526009,0.749184565462902,0.749858416400774,0,0.733538386840505,0.73348515535088,0.733681819321716,0.734221856614273,0.732642631939355,0.731806567689952
"Activation of NMDA receptors and postsynaptic events",0,0.867688508288218,0.868483867584948,0,0.887753142145649,0,0.886447179675831,0.866261236486393,0.868769414795768,0.847652270983971,0.868060646191388,0.847355954270588,0.86820368164145,0.869384881790701,0.867612840099862,0.86818351346534
"Sensory processing of sound by inner hair cells of the cochlea",0,0,0,0,0.894385075816343,0,0.89291860170902,0.892288203587984,0.892950636517492,0,0.868399068423237,0,0.868778400244976,0.894808862906586,0.892582104440907,0.890982167303296
"Sensory processing of sound",0,0,0,0,0.89757632538517,0,0.896668553809554,0.89579374847246,0.897078829725755,0,0.872756699030741,0,0.873177632282398,0.897980120525502,0.895858408307659,0.894333947426532
"RA biosynthesis pathway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Synaptic adhesion-like molecules",0,0,0,0,0.773348906612014,0,0.77123164614941,0.719034220233991,0.772655764220107,0,0,0,0,0,0.718029361326901,0
"Termination of O-glycan biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0.813663290255649,0,0
