,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
TCGA.CM.5864.01,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,-0.25,-0.25
TCGA.A6.5666.01,0.0,0.0,0.25,0.25,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA.DM.A28M.01,0.0,0.0,0.0,-0.20000000000000007,-0.19999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA.AA.3660.01,0.0,0.0,0.16666666666666669,0.16666666666666663,0.33333333333333337,0.33333333333333337,0.16666666666666674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16666666666666663,-0.16666666666666663,-0.16666666666666663
TCGA.CM.6169.01,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0
TCGA.CM.6164.01,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA.AD.6895.01,0.043478260869565216,0.08695652173913043,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.0,0.0,0.0,-0.043478260869565216,-0.08695652173913043,-0.08695652173913043,-0.08695652173913043,-0.08695652173913043,-0.13043478260869565,-0.13043478260869565,-0.13043478260869565,-0.13043478260869565,-0.13043478260869565,-0.13043478260869565,-0.13043478260869565
TCGA.AD.6889.01,0.0,-0.04,-0.04,-0.07999999999999999,-0.07999999999999999,-0.07999999999999999,-0.07999999999999999,-0.07999999999999999,-0.07999999999999999,-0.07999999999999999,-0.07999999999999999,-0.07999999999999999,-0.07999999999999999,-0.07999999999999999,-0.12,-0.12,-0.12,-0.12,-0.12,-0.08
TCGA.DM.A0X9.01,0.2,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20000000000000007,-0.20000000000000007,-0.4,-0.4,-0.19999999999999996,-0.19999999999999996,0.0,0.0,0.0
TCGA.D5.6920.01,0.0,0.0,0.19999999999999996,0.19999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,-0.20000000000000007,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4
TCGA.F4.6807.01,0.2,0.4,0.39999999999999997,0.19999999999999996,0.0,0.20000000000000007,0.0,0.0,0.0,0.0,0.0,-0.19999999999999996,-0.19999999999999996,-0.19999999999999996,-0.19999999999999996,0.0,0.0,0.0,0.0,0.0
TCGA.CM.6161.01,0.0,0.0,-0.25,-0.25,-0.5,-0.5,-0.5,-0.25,-0.25,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA.D5.6532.01,0.0,0.0,0.0,0.0,0.0,-0.16666666666666663,-0.16666666666666663,-0.16666666666666663,-0.16666666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA.CM.5868.01,0.25,0.5,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25
